id,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Tkld,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
005ca692,17,0,2,13,2,0,17,0,0,0,11,91.0,46.0,0,1,0,0,0,15,0
00672021,429,3,51,286,100,4,428,24,16,8,311,1697.0,777.0,15,18,0,7,13,353,11
0076ab7f,867,29,190,625,58,4,867,5,4,1,552,3013.0,1469.0,5,8,0,4,4,675,2
007faf7a,47,0,2,25,21,1,47,3,3,0,40,194.0,67.0,1,0,1,2,1,41,11
00963611,71,7,31,36,4,3,71,0,0,0,43,246.0,138.0,0,0,0,2,0,48,0
00b28772,216,13,54,112,54,13,216,5,3,2,80,437.0,137.0,3,2,4,9,2,87,6
00ddb7f7,237,6,45,121,78,11,237,5,3,2,103,763.0,451.0,18,11,3,7,0,131,15
00eba9c9,152,2,22,73,61,10,152,14,7,7,87,385.0,153.0,2,2,2,16,7,95,22
0127419a,115,0,8,61,46,8,114,11,5,6,71,362.0,145.0,5,1,3,8,4,77,9
01464072,67,2,15,41,11,2,67,0,0,0,25,126.0,72.0,3,1,1,1,1,41,4
0176f037,295,25,106,120,71,0,295,6,4,2,132,662.0,279.0,5,4,0,7,0,144,19
017ab4d4,52,2,9,18,25,2,52,2,1,1,23,123.0,52.0,2,2,0,2,0,35,3
0193a8bf,182,4,28,80,78,14,182,23,10,13,119,846.0,351.0,11,11,4,16,9,123,27
01ba3996,16,0,3,9,4,0,16,0,0,0,5,18.0,1.0,0,0,0,0,0,5,1
02319ad7,210,11,24,68,119,28,209,7,4,3,137,603.0,222.0,6,2,3,20,9,176,42
023efc8b,39,2,2,30,7,1,39,0,0,0,24,142.0,82.0,0,1,0,0,0,30,0
02caf6e0,313,10,72,132,113,9,313,16,6,10,146,1169.0,658.0,21,15,6,7,1,193,46
02ce2030,391,42,204,179,9,4,391,0,0,0,254,1364.0,921.0,4,0,0,4,1,246,1
02ee4c77,87,2,6,46,35,5,87,0,0,0,38,89.0,14.0,0,0,0,7,5,61,14
03622183,96,1,2,35,59,20,96,15,9,6,54,236.0,54.0,4,0,4,10,5,76,26
038aa94a,679,30,210,307,168,13,679,16,11,5,335,2055.0,1188.0,32,17,5,10,12,377,45
03df04ff,57,52,57,0,0,0,57,0,0,0,33,191.0,99.0,0,0,0,0,0,24,0
042d286e,187,5,8,55,126,36,187,12,6,6,96,638.0,219.0,11,7,6,11,8,128,45
04a35432,258,39,150,101,9,6,258,1,0,1,129,604.0,249.0,0,1,0,1,0,129,0
04e17fd5,69,4,8,31,31,13,69,5,3,2,37,237.0,95.0,1,4,3,7,6,53,21
0534149c,16,0,1,9,6,1,16,1,1,0,8,61.0,34.0,1,0,0,0,3,12,5
053f6e16,229,18,98,113,21,1,229,3,2,1,78,465.0,268.0,5,4,1,4,1,91,5
0562b7f1,208,2,4,85,122,46,207,22,9,13,113,754.0,406.0,19,10,16,29,15,146,54
05a6c38b,167,12,51,85,31,1,167,1,0,1,57,318.0,136.0,4,3,0,1,1,80,13
05a84d52,196,5,13,85,104,27,196,19,8,11,114,781.0,302.0,10,9,6,31,13,129,44
05cb19c5,132,7,30,48,56,8,132,11,5,6,70,584.0,250.0,10,6,4,7,3,88,30
062fc2e6,62,4,13,30,20,1,62,2,2,0,22,145.0,116.0,4,2,1,0,0,23,1
068830ca,202,189,202,0,0,0,202,0,0,0,77,407.0,261.0,0,0,0,0,0,70,0
06983922,110,1,5,37,69,18,110,10,6,4,75,369.0,161.0,5,6,4,9,7,86,26
06a10001,696,6,126,288,288,19,696,25,15,10,317,2376.0,1371.0,51,36,3,11,8,388,90
06a1d642,94,1,8,45,45,5,94,8,5,3,57,351.0,174.0,5,6,1,17,1,60,13
06e5b0e4,401,48,226,173,5,1,401,0,0,0,212,1165.0,696.0,2,2,0,2,0,222,1
06f33dc8,189,10,19,103,67,23,189,8,5,2,82,390.0,107.0,3,1,2,25,5,125,17
