id,Gls,Sh,SoT,FK,PK,PKatt,xG,npxG,G-xG,np:G-xG,TotDist
005ca692,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
00672021,0,1,0,0,0,0,0.0,0.0,0.0,0.0,25.5
0076ab7f,0,3,0,0,0,0,0.1,0.1,-0.1,-0.1,82.2
00bc97e8,0,1,0,0,0,0,0.1,0.1,-0.1,-0.1,9.2
01834aa0,0,2,0,0,0,0,0.1,0.1,-0.1,-0.1,42.8
023efc8b,0,1,0,0,0,0,0.0,0.0,0.0,0.0,23.5
02ce2030,0,4,0,0,0,0,1.0,1.0,-1.0,-1.0,50.0
02df3a4b,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0331786b,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0366fc78,1,4,2,0,0,0,0.4,0.4,0.6,0.6,107.2
0375723e,1,2,2,0,0,0,0.9,0.9,0.1,0.1,15.6
03df04ff,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
04965583,0,5,0,0,0,0,0.3,0.3,-0.3,-0.3,81.5
04da2b40,0,8,1,0,0,0,0.5,0.5,-0.5,-0.5,124.0
0538066d,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0562b7f1,2,13,5,1,0,0,1.5,1.5,0.5,0.5,175.5
059a0231,0,5,0,0,0,0,0.2,0.2,-0.2,-0.2,113.0
05a6c38b,0,2,1,0,0,0,0.1,0.1,-0.1,-0.1,30.0
05e19d6a,0,4,1,0,0,0,0.2,0.2,-0.2,-0.2,81.6
0630eb63,0,4,2,0,0,0,0.2,0.2,-0.2,-0.2,81.2
0638becf,0,2,0,0,0,0,0.1,0.1,-0.1,-0.1,21.0
06972405,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
06b2765c,0,1,0,0,0,0,0.0,0.0,0.0,0.0,26.0
06e5b0e4,0,4,0,0,0,0,0.3,0.3,-0.3,-0.3,41.2
06fee814,0,2,0,0,0,0,0.1,0.1,-0.1,-0.1,43.0
070ec0b1,0,2,0,0,0,0,0.3,0.3,-0.3,-0.3,25.2
07ab6542,0,2,1,0,0,0,0.1,0.1,-0.1,-0.1,18.6
07abb358,0,2,0,0,0,0,0.4,0.4,-0.4,-0.4,39.4
07f8bcc8,0,3,0,0,0,0,0.1,0.1,-0.1,-0.1,56.4
080440a4,1,8,2,0,0,0,1.3,1.3,-0.3,-0.3,88.8
08593525,0,3,0,0,0,0,0.1,0.1,-0.1,-0.1,77.1
086d7db3,0,8,1,0,0,0,0.4,0.4,-0.4,-0.4,120.0
088e6424,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
089550f5,0,1,0,0,0,0,0.0,0.0,0.0,0.0,17.0
08990838,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
08a2c314,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
08d37c53,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
08fe932d,0,1,1,0,0,0,0.0,0.0,0.0,0.0,11.6
0990f2fb,0,6,1,0,0,0,0.9,0.9,-0.9,-0.9,82.2
09a9e921,2,8,3,0,0,0,0.7,0.7,1.3,1.3,134.4
0a0cc13c,0,11,4,0,0,1,1.7,0.9,-1.7,-0.9,170.5
