id,Gls,Sh,SoT,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,G-xG,np:G-xG
5bc43860,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
c2304da8,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
7ecc9dee,0,1,0,0.0,0.0,2.9,0.0,0,0,0.1,0.1,-0.1,-0.1
4c07f0e8,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
c2a6033c,0,6,2,0.0,0.0,12.6,0.0,0,0,0.7,0.7,-0.7,-0.7
c603091a,0,1,0,0.0,0.0,27.4,0.0,0,0,0.0,0.0,0.0,0.0
74510b8f,4,7,4,0.57,1.0,18.1,0.0,0,0,1.3,1.3,2.7,2.7
22919e97,2,3,2,0.67,1.0,9.1,0.0,0,0,1.2,1.2,0.8,0.8
ee926a02,0,15,6,0.0,0.0,15.4,0.0,0,0,1.7,1.7,-1.7,-1.7
501055d8,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
f9c927de,0,8,1,0.0,0.0,24.1,1.0,0,0,0.3,0.3,-0.3,-0.3
b3de00a7,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
c86c0fab,1,1,1,1.0,1.0,4.2,0.0,0,0,0.8,0.8,0.2,0.2
3ff205d5,0,1,0,0.0,0.0,9.5,0.0,0,0,0.1,0.1,-0.1,-0.1
a8c0acb7,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
2b1c4abd,0,3,0,0.0,0.0,12.3,0.0,0,0,0.2,0.2,-0.2,-0.2
e0d3e18d,0,2,1,0.0,0.0,23.6,0.0,0,0,0.1,0.1,-0.1,-0.1
42ec696a,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
6ec6fde0,0,2,0,0.0,0.0,29.3,0.0,0,0,0.1,0.1,-0.1,-0.1
8b92fc98,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
834d0be5,2,7,3,0.29,0.67,17.9,0.0,0,0,1.0,1.0,1.0,1.0
4bd414c1,2,3,2,0.67,1.0,7.7,0.0,0,0,0.7,0.7,1.3,1.3
b827d5b3,0,5,2,0.0,0.0,20.6,0.0,0,0,0.2,0.2,-0.2,-0.2
a7a9d95a,6,15,9,0.33,0.56,14.3,1.0,1,2,5.3,3.8,0.7,1.2
f7d50789,0,2,0,0.0,0.0,5.6,0.0,0,0,0.1,0.1,-0.1,-0.1
8fa8f8d2,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
cd6a1a59,1,3,1,0.33,1.0,26.3,0.0,0,0,0.1,0.1,0.9,0.9
cea4ee8f,2,9,6,0.11,0.17,19.4,0.0,1,1,1.6,0.8,0.4,0.2
b39b2cba,0,1,0,0.0,0.0,25.3,0.0,0,0,0.0,0.0,0.0,0.0
8ce30c57,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
8b3ab7ad,0,5,1,0.0,0.0,13.0,0.0,0,0,0.3,0.3,-0.3,-0.3
4c1b67d6,0,2,0,0.0,0.0,30.0,0.0,0,0,0.0,0.0,0.0,0.0
24fc70d3,0,1,0,0.0,0.0,3.5,0.0,0,0,0.3,0.3,-0.3,-0.3
d73a07e2,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
00eba9c9,0,1,0,0.0,0.0,7.6,0.0,0,0,0.1,0.1,-0.1,-0.1
1a4ef233,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
555d5edd,1,16,3,0.06,0.33,23.5,2.0,0,0,1.6,1.6,-0.6,-0.6
e7199efb,0,5,1,0.0,0.0,14.3,0.0,0,0,0.8,0.8,-0.8,-0.8
8d711616,0,1,0,0.0,0.0,26.8,0.0,0,0,0.0,0.0,0.0,0.0
6ea23758,0,1,0,0.0,0.0,27.7,0.0,0,0,0.0,0.0,0.0,0.0
e66c698a,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
ef9c1c95,0,5,0,0.0,0.0,13.7,0.0,0,0,0.3,0.3,-0.3,-0.3
db2e8273,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
84a42351,0,5,2,0.0,0.0,12.8,0.0,0,0,0.3,0.3,-0.3,-0.3
4e3f5992,0,1,1,0.0,0.0,23.7,0.0,0,0,0.0,0.0,0.0,0.0
2a70dcc9,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
8ec4c2f7,0,2,0,0.0,0.0,19.3,0.0,0,0,0.2,0.2,-0.2,-0.2
011d8c56,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
50cddd19,0,1,1,0.0,0.0,16.1,0.0,0,0,0.0,0.0,0.0,0.0
108fe016,0,2,0,0.0,0.0,34.9,0.0,0,0,0.0,0.0,0.0,0.0
99127249,0,14,7,0.0,0.0,14.4,0.0,0,0,2.4,2.4,-2.4,-2.4
8f68aa41,0,2,0,0.0,0.0,7.7,0.0,0,0,0.3,0.3,-0.3,-0.3
3a7e7259,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
c63f6e46,3,10,5,0.3,0.6,13.6,0.0,0,0,1.6,1.6,1.4,1.4
56413b1f,0,1,0,0.0,0.0,20.0,0.0,0,0,0.1,0.1,-0.1,-0.1
313d5ee5,1,5,1,0.2,1.0,12.0,0.0,0,0,1.4,1.4,-0.4,-0.4
fa18c72e,0,5,3,0.0,0.0,21.0,0.0,0,0,0.3,0.3,-0.3,-0.3
b1313ec4,2,12,3,0.17,0.67,19.8,0.0,0,0,1.4,1.4,0.6,0.6
30643ce2,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
328f7d51,1,6,1,0.17,1.0,15.2,0.0,0,0,1.1,1.1,-0.1,-0.1
2429a3ec,0,3,0,0.0,0.0,20.2,0.0,0,0,0.1,0.1,-0.1,-0.1
c83c2c9c,0,2,0,0.0,0.0,9.4,0.0,0,0,0.2,0.2,-0.2,-0.2
46fcf2fb,1,1,1,1.0,1.0,11.2,0.0,0,0,0.2,0.2,0.8,0.8
9f0ea33f,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
6a827d8e,0,1,0,0.0,0.0,16.8,0.0,0,0,0.3,0.3,-0.3,-0.3
55b93ae0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
8f5bfaac,2,6,3,0.33,0.67,14.8,0.0,0,0,0.4,0.4,1.6,1.6
