id,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
9e17ccff,Doğan Alemdar,tr TUR,GK,Rennes,20-156,2002,2.5,4,0,0,0,0,3.9,0.36,-0.1,-0.06,14,34,41.2,52,4,46.2,35.5,19,52.6,42.0,40,2,5.0,3,1.20,13.1,Matches
28dabd43,Paul Bernardoni,fr FRA,GK,Angers,25-350,1997,21.0,49,5,1,6,2,40.0,0.32,-7.0,-0.33,69,204,33.8,374,96,35.0,32.7,147,49.7,40.1,277,17,6.1,14,0.67,11.4,Matches
3d214e5f,Marco Bizot,nl NED,GK,Brest,32-024,1991,28.0,47,5,0,9,2,47.8,0.28,+2.8,+0.10,141,353,39.9,580,118,39.1,35.4,221,57.0,43.3,409,18,4.4,18,0.64,11.6,Matches
967f34d3,Rubén Blanco,es ESP,GK,Marseille,27-252,1995,5.0,6,0,0,1,2,3.9,0.20,-0.1,-0.02,11,47,23.4,150,28,22.7,28.0,40,32.5,32.2,66,2,3.0,7,1.40,18.6,Matches
6a9e4913,Joaquín Blázquez,ar ARG,GK,Brest,22-065,2001,1.0,0,0,0,0,0,0.2,0.06,+0.2,+0.17,8,13,61.5,18,3,61.1,45.7,11,18.2,26.3,11,2,18.2,0,0.00,3.5,Matches
db87a2c4,Marcin Bułka,pl POL,GK,Nice,23-181,1999,2.0,2,0,0,0,0,3.1,0.52,+1.1,+0.56,8,20,40.0,49,11,20.4,28.1,18,55.6,44.2,26,2,7.7,3,1.50,13.8,Matches
8608f269,Matis Carvalho,pt POR,GK,Montpellier,23-340,1999,1.5,3,0,0,0,0,1.9,0.24,-1.1,-0.70,14,43,32.6,38,4,78.9,49.4,14,92.9,61.4,38,2,5.3,0,0.00,8.3,Matches
f5dfc256,Leonardo César Jardim,br BRA,GK,Lille,28-014,1995,6.0,13,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
b3d76d84,Lucas Chevalier,fr FRA,GK,Lille,21-148,2001,23.0,24,1,2,1,3,22.0,0.25,+1.0,+0.04,51,193,26.4,657,91,24.2,28.9,74,45.9,37.8,240,19,7.9,17,0.74,12.7,Matches
2434f24a,Benoît Costil,fr FRA,GK,Auxerre,35-274,1987,19.0,41,3,0,3,0,34.0,0.33,-7.0,-0.37,132,292,45.2,454,72,41.9,36.8,137,74.5,51.7,285,3,1.1,11,0.58,13.1,Matches
477e50ce,Rémy Descamps,fr FRA,GK,Nantes,26-282,1996,1.0,1,0,0,0,0,1.5,0.25,+0.5,+0.48,5,9,55.6,20,9,25.0,33.2,6,66.7,46.5,11,1,9.1,0,0.00,7.0,Matches
f41a69e6,Mory Diaw,sn SEN,GK,Clermont Foot,29-285,1993,29.0,41,7,0,4,0,45.3,0.29,+4.3,+0.15,184,460,40.0,898,142,40.6,37.1,210,45.2,39.6,369,25,6.8,17,0.59,10.9,Matches
eedea60b,Yehvann Diouf,fr FRA,GK,Reims,23-138,1999,22.0,14,0,1,1,0,21.9,0.24,+7.9,+0.36,96,226,42.5,601,135,30.0,32.6,140,32.9,33.8,324,30,9.3,22,1.00,12.4,Matches
08f5afaa,Gianluigi Donnarumma,it ITA,GK,Paris S-G,24-037,1999,29.0,29,1,1,3,1,31.2,0.26,+3.2,+0.11,44,120,36.7,581,130,14.5,23.6,156,23.1,26.3,302,27,8.9,24,0.83,13.1,Matches
0e12089d,Maxime Dupé,fr FRA,GK,Toulouse,30-030,1993,29.0,51,3,2,8,2,44.7,0.28,-4.3,-0.15,111,282,39.4,797,139,24.3,29.6,200,44.0,37.1,398,25,6.3,19,0.66,10.9,Matches
9d420dad,Yahia Fofana,fr FRA,GK,Angers,22-225,2000,8.0,15,1,0,2,1,13.1,0.28,-0.9,-0.12,26,91,28.6,190,49,34.2,33.3,53,49.1,41.0,105,11,10.5,5,0.63,12.0,Matches
db3164e1,Gauthier Gallon,fr FRA,GK,Troyes,29-345,1993,22.0,48,5,0,6,2,37.8,0.30,-8.2,-0.37,73,276,26.4,499,90,36.3,33.1,158,60.1,43.5,339,23,6.8,9,0.41,9.9,Matches
3814120d,Bingourou Kamara,sn SEN,GK,Montpellier,26-164,1996,4.5,11,1,0,2,0,9.1,0.29,-1.9,-0.41,18,57,31.6,95,19,42.1,35.4,35,48.6,39.9,52,3,5.8,2,0.44,11.2,Matches
4e7db402,Alban Lafont,fr FRA,GK,Nantes,24-070,1999,28.0,39,4,1,4,4,39.8,0.27,+4.8,+0.17,149,402,37.1,716,158,37.7,35.8,200,66.0,48.5,387,32,8.3,24,0.86,11.3,Matches
