id,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
32c2d95f,Yunis Abdelhamid,ma MAR,DF,Reims,35-201,1987,31.0,3,0,0,39,20,2,5,55,42,0,0,0,224,72,38,65.5,Matches
7978cbf0,Himad Abdelli,fr FRA,"MF,FW",Angers,23-151,1999,16.8,3,0,0,34,18,1,18,18,25,0,0,0,122,15,19,44.1,Matches
82464ce3,Salis Abdul Samed,gh GHA,MF,Lens,23-022,2000,28.2,5,1,0,69,37,0,9,31,23,0,0,1,178,12,16,42.9,Matches
31626657,Laurent Abergel,fr FRA,MF,Lorient,30-075,1993,19.1,5,1,1,18,22,0,5,20,43,0,0,0,142,5,11,31.3,Matches
0e46fa2f,Matthis Abline,fr FRA,FW,Auxerre,20-020,2003,7.7,0,0,0,12,9,4,5,1,2,1,0,0,13,9,21,30.0,Matches
0e46fa2f,Matthis Abline,fr FRA,"FW,MF",Rennes,20-020,2003,1.2,0,0,0,3,5,1,2,2,1,1,0,0,2,1,4,20.0,Matches
c2a6033c,Zakaria Aboukhlal,ma MAR,"FW,MF",Toulouse,23-058,2000,23.8,4,0,0,37,42,17,24,20,20,0,0,0,111,8,29,21.6,Matches
1e93fc5d,Mohamed Achi,fr FRA,FW,Nantes,21-091,2002,0.4,0,0,0,2,0,0,1,0,1,0,0,0,2,0,0,,Matches
7587446d,Martin Adeline,fr FRA,"MF,FW",Reims,19-136,2003,1.2,2,0,0,5,0,0,0,3,3,0,0,0,11,6,5,54.5,Matches
75f1ed80,Emmanuel Agbadou,ci CIV,DF,Reims,25-304,1997,21.9,4,2,0,25,6,0,2,30,38,0,0,0,198,48,30,61.5,Matches
8bc8829a,Lucien Agoume,fr FRA,MF,Troyes,21-067,2002,9.4,5,0,0,23,8,1,8,23,18,0,0,0,62,29,12,70.7,Matches
3dd738a1,Ruben Aguilar,fr FRA,DF,Monaco,29-356,1993,10.1,2,0,0,12,13,1,26,14,6,0,0,0,60,10,13,43.5,Matches
22396615,Amar Ahmed,se SWE,FW,Troyes,19-057,2004,0.2,0,0,0,1,1,0,0,1,1,0,0,0,2,0,3,0.0,Matches
48b28bfd,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,29-028,1994,13.5,3,1,0,34,22,1,5,24,20,0,0,0,82,25,18,58.1,Matches
462475ed,Ludovic Ajorque,fr FRA,FW,Strasbourg,29-051,1994,8.6,1,0,0,14,8,1,0,2,4,0,0,0,21,50,33,60.2,Matches
b625b241,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,21-051,2002,3.4,3,0,0,5,3,0,10,3,3,0,0,0,19,2,4,33.3,Matches
9e17ccff,Doğan Alemdar,tr TUR,GK,Rennes,20-170,2002,3.5,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,100.0,Matches
1956b948,Jim Allevinah,ga GAB,"DF,FW",Clermont Foot,28-049,1995,21.2,2,0,0,18,48,1,56,18,23,0,0,0,124,10,13,43.5,Matches
0a63446f,Mickaël Alphonse,gp GLP,DF,Ajaccio,33-279,1989,13.9,2,0,0,16,14,0,27,34,22,0,1,1,86,31,25,55.4,Matches
9260926b,Ibrahim Amadou,fr FRA,"DF,MF",Angers,30-011,1993,4.7,2,0,0,4,3,0,1,10,7,0,2,0,29,6,5,54.5,Matches
ae11ba3d,Ayoub Amraoui,ma MAR,"DF,FW",Nice,18-338,2004,3.1,1,0,0,4,2,0,14,4,4,0,0,0,12,0,1,0.0,Matches
ef9c1c95,Benjamin André,fr FRA,MF,Lille,32-257,1990,27.3,10,0,0,49,33,1,11,36,60,1,0,0,234,77,49,61.1,Matches
