id,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
32c2d95f,Yunis Abdelhamid,ma MAR,DF,Reims,31,1987,28.0,1323,1570,84.3,27406,10308,370,420,88.1,762,854,89.2,185,269,68.8,0,1.2,0.3,-1.2,5,53,1,0,96,Matches
a4c3f7af,Mehdi Abeid,dz ALG,MF,Nantes,26,1992,20.2,792,967,81.9,12997,3634,392,426,92.0,313,354,88.4,59,128,46.1,2,1.8,1.7,+0.2,27,80,6,2,104,Matches
469d3d84,Charles Abi,fr FRA,FW,Saint-Étienne,19,2000,6.9,75,132,56.8,932,234,46,75,61.3,16,29,55.2,4,6,66.7,0,1.2,0.8,-1.2,7,3,4,1,10,Matches
dcfb17f4,Amine Adli,fr FRA,"MF,FW",Toulouse,19,2000,0.5,20,26,76.9,297,105,11,12,91.7,6,7,85.7,2,6,33.3,0,0.1,0.0,-0.1,2,3,1,0,3,Matches
26777636,Yacine Adli,fr FRA,MF,Bordeaux,19,2000,11.3,448,571,78.5,7437,1845,225,256,87.9,165,202,81.7,44,76,57.9,3,2.2,1.4,+0.8,19,51,5,0,65,Matches
288e1e13,Nayef Aguerd,ma MAR,DF,Dijon,23,1996,10.6,492,597,82.4,10780,4411,160,171,93.6,239,269,88.8,90,143,62.9,0,0.0,0.0,0.0,0,23,0,0,27,Matches
3dd738a1,Ruben Aguilar,fr FRA,DF,Monaco,26,1993,11.9,662,787,84.1,9674,3464,399,422,94.5,212,251,84.5,31,69,44.9,2,1.8,1.9,+0.2,18,40,28,15,52,Matches
48b28bfd,Jean-Eudes Aholou,ci CIV,MF,Saint-Étienne,25,1994,7.0,260,310,83.9,4185,848,122,142,85.9,114,122,93.4,14,29,48.3,1,0.5,0.1,+0.5,5,17,0,0,34,Matches
c46fa34c,Youssef Aït Bennasser,ma MAR,MF,Bordeaux,23,1996,6.0,350,406,86.2,5419,1636,190,206,92.2,130,143,90.9,19,32,59.4,1,0.1,0.4,+0.9,4,36,3,0,47,Matches
9b398aea,Rayan Aït Nouri,fr FRA,DF,Angers,18,2001,14.2,618,808,76.5,9226,4114,321,354,90.7,220,286,76.9,43,98,43.9,2,0.7,0.9,+1.3,9,34,17,13,56,Matches
