id,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
32c2d95f,Yunis Abdelhamid,ma MAR,DF,Reims,35-195,1987,30.0,1571,1452,114,100,0,21,5,6,0,0,0,0,1288,5,18,Matches
7978cbf0,Himad Abdelli,fr FRA,"MF,FW",Angers,23-145,1999,15.8,762,738,22,5,4,3,17,10,0,0,0,0,615,2,15,Matches
82464ce3,Salis Abdul Samed,gh GHA,MF,Lens,23-016,2000,28.0,1738,1688,42,40,4,4,9,2,0,0,0,0,1594,8,14,Matches
31626657,Laurent Abergel,fr FRA,MF,Lorient,30-069,1993,18.1,910,880,28,26,6,4,5,1,1,0,0,0,793,2,8,Matches
0e46fa2f,Matthis Abline,fr FRA,FW,Auxerre,20-014,2003,7.4,89,79,10,0,0,1,5,0,0,0,0,0,60,0,3,Matches
0e46fa2f,Matthis Abline,fr FRA,"FW,MF",Rennes,20-014,2003,1.2,15,15,0,0,1,0,2,0,0,0,0,0,7,0,1,Matches
c2a6033c,Zakaria Aboukhlal,ma MAR,"FW,MF",Toulouse,23-052,2000,23.1,615,596,16,1,1,0,24,15,0,0,0,0,438,3,41,Matches
1e93fc5d,Mohamed Achi,fr FRA,FW,Nantes,21-085,2002,0.4,21,20,1,0,0,0,1,0,1,0,1,0,18,0,0,Matches
7587446d,Martin Adeline,fr FRA,"MF,FW",Reims,19-130,2003,1.2,41,38,3,1,0,0,0,1,1,0,0,0,29,0,1,Matches
75f1ed80,Emmanuel Agbadou,ci CIV,DF,Reims,25-298,1997,20.9,1089,1044,42,39,4,14,1,2,0,0,0,0,927,3,10,Matches
8bc8829a,Lucien Agoume,fr FRA,MF,Troyes,21-061,2002,8.6,542,523,17,11,2,7,8,2,4,3,0,0,437,2,10,Matches
3dd738a1,Ruben Aguilar,fr FRA,DF,Monaco,29-350,1993,10.1,648,538,109,12,0,2,26,97,0,0,0,0,529,1,13,Matches
22396615,Amar Ahmed,se SWE,FW,Troyes,19-051,2004,0.2,10,10,0,0,0,0,0,0,0,0,0,0,6,0,0,Matches
48b28bfd,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,29-022,1994,12.9,515,502,13,10,3,6,5,1,0,0,0,0,388,0,9,Matches
462475ed,Ludovic Ajorque,fr FRA,FW,Strasbourg,29-045,1994,8.6,255,242,10,1,3,3,0,0,0,0,0,0,178,3,1,Matches
b625b241,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,21-045,2002,3.4,131,125,5,1,0,0,10,3,1,1,0,0,99,1,5,Matches
9e17ccff,Doğan Alemdar,tr TUR,GK,Rennes,20-164,2002,3.5,108,72,35,12,0,0,0,0,0,0,0,0,74,1,0,Matches
1956b948,Jim Allevinah,ga GAB,"DF,FW",Clermont Foot,28-043,1995,20.2,660,624,35,7,0,2,56,27,0,0,0,0,513,1,28,Matches
0a63446f,Mickaël Alphonse,gp GLP,DF,Ajaccio,33-273,1989,13.9,651,502,147,7,0,0,27,140,0,0,0,0,421,2,21,Matches
9260926b,Ibrahim Amadou,fr FRA,"DF,MF",Angers,30-005,1993,4.7,190,186,4,4,0,0,1,0,0,0,0,0,161,0,5,Matches
ae11ba3d,Ayoub Amraoui,ma MAR,"DF,FW",Nice,18-332,2004,2.6,152,143,9,0,0,0,14,9,0,0,0,0,127,0,4,Matches
ef9c1c95,Benjamin André,fr FRA,MF,Lille,32-251,1990,26.3,1875,1829,40,36,6,17,9,4,0,0,0,0,1590,6,25,Matches
af3ddb2e,Komnen Andrić,rs SRB,FW,Clermont Foot,27-284,1995,15.3,412,375,35,0,0,4,1,0,0,0,0,0,308,2,15,Matches
a5db0bec,Houssem Aouar,fr FRA,MF,Lyon,24-285,1998,5.2,338,329,9,4,1,3,5,1,3,0,0,0,271,0,9,Matches
b94b8be1,Adil Aouchiche,fr FRA,MF,Lorient,20-270,2002,2.3,118,101,17,7,0,4,14,1,7,2,3,0,87,0,3,Matches
feb5d3ab,Dennis Appiah,fr FRA,"DF,MF",Nantes,30-306,1992,8.8,468,393,74,5,0,0,21,69,0,0,0,0,339,1,8,Matches
42f0113f,Stredair Appuah,fr FRA,MF,Nantes,18-288,2004,0.1,6,5,1,1,0,1,0,0,0,0,0,0,5,0,0,Matches
c5e6c017,Taïryk Arconte,fr FRA,FW,Brest,19-150,2003,1.4,17,15,2,0,0,0,1,1,0,0,0,0,10,0,1,Matches
508a9011,Mohamed El Arouch,fr FRA,MF,Lyon,19-005,2004,0.0,2,1,1,0,0,0,1,0,1,1,0,0,1,0,0,Matches
b026bbf6,Lorenz Assignon,tg TOG,DF,Rennes,22-293,2000,2.2,108,89,18,3,0,0,2,15,0,0,0,0,89,1,1,Matches
6a827d8e,Youcef Atal,dz ALG,"DF,MF",Nice,26-329,1996,7.1,414,347,67,6,0,1,33,61,0,0,0,0,334,0,14,Matches
6b5edd5d,Valentin Atangana Edoa,fr FRA,MF,Reims,17-229,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
7dfbba27,Mathias Autret,fr FRA,"MF,FW",Auxerre,32-041,1991,14.1,589,523,63,19,4,18,64,10,24,13,7,0,446,3,14,Matches
a94d93be,Cédric Avinel,gp GLP,DF,Ajaccio,36-212,1986,16.9,630,610,20,20,0,1,0,0,0,0,0,0,535,0,2,Matches
114bbdee,Loïc Bade,fr FRA,DF,Rennes,23-000,2000,1.0,59,59,0,0,0,0,0,0,0,0,0,0,52,0,0,Matches
06df8256,Benoît Badiashile,fr FRA,DF,Monaco,22-016,2001,9.3,468,455,13,13,0,5,0,0,0,0,0,0,403,0,2,Matches
a1232f4e,Eric Bailly,ci CIV,DF,Marseille,28-364,1994,4.8,194,176,17,13,1,0,0,3,0,0,0,0,163,1,2,Matches
5065d67d,Dénys Bain,fr FRA,DF,Auxerre,29-283,1993,1.4,56,55,1,1,0,1,0,0,0,0,0,0,52,0,0,Matches
7e3e825e,Brandon Baiye,be BEL,MF,Clermont Foot,22-105,2000,0.6,32,29,3,3,0,0,0,0,0,0,0,0,27,0,0,Matches
0af4dcf0,Cédric Bakambu,cd COD,MF,Marseille,32-000,1991,0.7,23,23,0,0,0,0,1,0,0,0,0,0,19,0,1,Matches
3975195f,Thierno Balde,fr FRA,DF,Troyes,20-305,2002,20.0,822,669,153,13,3,2,32,138,2,2,0,0,676,0,17,Matches
a1390d2f,Carlos Baleba,cm CMR,MF,Lille,19-098,2004,3.2,202,201,0,0,0,3,0,0,0,0,0,0,169,1,7,Matches
7c3ed041,Leonardo Balerdi,ar ARG,DF,Marseille,24-075,1999,23.9,1316,1277,38,29,2,7,6,4,0,0,0,0,1112,1,13,Matches
31822f8c,Folarin Balogun,eng ENG,FW,Reims,21-282,2001,25.4,419,380,34,0,3,3,17,2,0,0,0,0,281,5,16,Matches
