id,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Matches
32c2d95f,Yunis Abdelhamid,ma MAR,DF,Reims,35-170,1987,27,2430,90,100.0,27.0,27,90,27,0,,0,1.59,35,26,+9,+0.33,,44.0,34.4,+9.6,+0.35,,Matches
7978cbf0,Himad Abdelli,fr FRA,"MF,FW",Angers,23-120,1999,19,1193,63,49.1,13.3,13,81,7,6,23,6,0.11,10,28,-18,-1.36,+0.17,15.6,23.2,-7.5,-0.57,-0.22,Matches
82464ce3,Salis Abdul Samed,gh GHA,MF,Lens,22-356,2000,25,2246,90,92.4,25.0,25,90,23,0,,0,2.12,42,18,+24,+0.96,+1.45,45.1,27.0,+18.1,+0.72,+0.60,Matches
31626657,Laurent Abergel,fr FRA,MF,Lorient,30-044,1993,19,1461,77,60.1,16.2,18,80,11,1,26,0,2.05,26,21,+5,+0.31,+0.40,22.1,25.6,-3.5,-0.22,+0.18,Matches
0e46fa2f,Matthis Abline,fr FRA,FW,Auxerre,19-354,2003,9,514,57,21.2,5.7,6,75,1,3,21,0,1.00,7,8,-1,-0.18,+1.00,8.1,6.8,+1.3,+0.23,+0.75,Matches
0e46fa2f,Matthis Abline,fr FRA,"FW,MF",Rennes,19-354,2003,11,107,10,4.4,1.2,0,,0,11,10,4,2.27,5,0,+5,+4.21,+3.78,2.9,1.3,+1.6,+1.36,+1.09,Matches
c2a6033c,Zakaria Aboukhlal,ma MAR,"FW,MF",Toulouse,23-027,2000,27,1905,71,78.4,21.2,22,81,10,5,25,0,1.30,31,38,-7,-0.33,-1.02,28.1,32.2,-4.1,-0.20,-0.12,Matches
1e93fc5d,Mohamed Achi,fr FRA,FW,Nantes,21-060,2002,2,36,18,1.5,0.4,0,,0,2,18,6,0.50,1,0,+1,+2.50,+2.80,0.8,0.0,+0.7,+1.87,+2.07,Matches
7587446d,Martin Adeline,fr FRA,"MF,FW",Reims,19-105,2003,5,107,21,4.4,1.2,0,,0,5,21,10,1.40,3,5,-2,-1.68,-2.11,2.1,2.7,-0.7,-0.57,-0.96,Matches
f1a29ddc,Loïc Affamah,fr FRA,FW,Nantes,20-261,2002,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
75f1ed80,Emmanuel Agbadou,ci CIV,DF,Reims,25-273,1997,20,1689,84,69.5,18.8,19,88,17,1,24,0,1.40,26,20,+6,+0.32,-0.04,30.8,25.5,+5.3,+0.28,-0.24,Matches
8bc8829a,Lucien Agoume,fr FRA,MF,Troyes,21-036,2002,8,556,70,22.9,6.2,7,78,5,1,9,4,0.50,5,16,-11,-1.78,-1.20,6.3,11.7,-5.4,-0.88,-0.05,Matches
3dd738a1,Ruben Aguilar,fr FRA,DF,Monaco,29-325,1993,15,778,52,32.0,8.6,9,74,4,6,19,1,2.20,12,11,+1,+0.12,-0.81,13.8,11.6,+2.2,+0.25,-0.17,Matches
22396615,Amar Ahmed,se SWE,FW,Troyes,19-026,2004,1,20,20,0.8,0.2,0,,0,1,20,2,1.00,0,0,0,0.00,+0.86,0.1,0.6,-0.6,-2.50,-1.67,Matches
48b28bfd,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,28-362,1994,21,992,47,40.8,11.0,12,69,1,9,18,3,0.76,11,15,-4,-0.36,+0.26,15.0,16.1,-1.1,-0.10,+0.74,Matches
462475ed,Ludovic Ajorque,fr FRA,FW,Strasbourg,29-020,1994,13,771,59,31.7,8.6,9,77,4,4,20,1,0.62,12,18,-6,-0.70,-0.27,10.8,13.6,-2.8,-0.33,+0.31,Matches
587823f4,Salim Akkal,fr FRA,MF,Angers,23-028,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
b625b241,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,21-020,2002,7,307,44,12.6,3.4,4,60,0,3,22,11,2.29,4,1,+3,+0.88,+0.24,5.6,3.9,+1.7,+0.50,+0.15,Matches
9e17ccff,Doğan Alemdar,tr TUR,GK,Rennes,20-139,2002,3,225,75,9.3,2.5,2,90,2,1,45,24,1.33,4,4,0,0.00,-0.65,3.1,3.4,-0.3,-0.13,-0.49,Matches
1956b948,Jim Allevinah,ga GAB,"DF,FW",Clermont Foot,28-018,1995,25,1568,63,64.5,17.4,17,82,8,8,21,0,1.24,12,25,-13,-0.75,-0.85,18.0,28.8,-10.8,-0.62,-0.16,Matches
d609ec7d,Téo Allix,fr FRA,DF,Montpellier,18-255,2004,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
0a63446f,Mickaël Alphonse,gp GLP,DF,Ajaccio,33-248,1989,20,1041,52,42.8,11.6,11,85,8,9,12,6,0.90,6,18,-12,-1.04,0.00,10.6,15.5,-4.9,-0.42,-0.37,Matches
9260926b,Ibrahim Amadou,fr FRA,"DF,MF",Angers,29-345,1993,7,424,61,17.4,4.7,4,90,4,3,21,4,0.14,5,9,-4,-0.85,+0.72,5.9,9.8,-3.9,-0.83,-0.45,Matches
ae11ba3d,Ayoub Amraoui,fr FRA,DF,Nice,18-307,2004,3,190,63,7.8,2.1,2,90,2,1,10,0,1.67,4,2,+2,+0.95,+0.55,4.0,1.8,+2.2,+1.03,+0.84,Matches
ef9c1c95,Benjamin André,fr FRA,MF,Lille,32-226,1990,25,2206,88,90.8,24.5,25,88,22,0,,0,1.72,45,29,+16,+0.65,+1.86,45.4,26.6,+18.8,+0.77,+0.23,Matches
af3ddb2e,Komnen Andrić,rs SRB,FW,Clermont Foot,27-259,1995,27,1366,51,56.2,15.2,16,74,2,11,17,0,1.26,14,26,-12,-0.79,-0.79,15.6,28.9,-13.2,-0.87,-0.71,Matches
a5db0bec,Houssem Aouar,fr FRA,MF,Lyon,24-260,1998,10,428,43,17.6,4.8,6,57,0,4,21,6,1.70,6,6,0,0.00,-0.49,5.1,6.3,-1.2,-0.25,-0.64,Matches
b94b8be1,Adil Aouchiche,fr FRA,"MF,FW",Lorient,20-245,2002,7,102,15,4.2,1.1,0,,0,7,15,11,1.00,1,2,-1,-0.88,-1.08,1.9,1.1,+0.8,+0.73,+1.06,Matches
feb5d3ab,Dennis Appiah,fr FRA,"DF,MF",Nantes,30-281,1992,15,795,53,32.7,8.8,9,76,3,6,18,0,0.87,8,16,-8,-0.91,-0.96,10.0,12.5,-2.4,-0.28,-0.17,Matches
42f0113f,Stredair Appuah,fr FRA,MF,Nantes,18-263,2004,1,10,10,0.4,0.1,0,,0,1,10,0,1.00,1,0,+1,+9.00,+9.30,0.4,0.1,+0.3,+2.61,+2.79,Matches
209528d3,Ylies Aradj,fr FRA,DF,Toulouse,17-285,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
c5e6c017,Taïryk Arconte,fr FRA,FW,Brest,19-125,2003,4,128,32,5.3,1.4,1,66,0,3,21,17,0.25,2,2,0,0.00,+0.63,0.9,2.2,-1.3,-0.91,-0.42,Matches
508a9011,Mohamed El Arouch,fr FRA,MF,Lyon,18-345,2004,1,2,2,0.1,0.0,0,,0,1,2,5,3.00,1,0,+1,+45.00,+44.63,0.6,0.0,+0.6,+50.45,+50.19,Matches
b026bbf6,Lorenz Assignon,tg TOG,DF,Rennes,22-268,2000,6,194,32,8.0,2.2,2,81,1,4,8,9,2.33,4,3,+1,+0.46,-0.14,3.4,1.4,+2.0,+0.94,+0.68,Matches
6a827d8e,Youcef Atal,dz ALG,"DF,MF",Nice,26-304,1996,13,637,49,26.2,7.1,7,67,2,6,28,2,1.38,9,5,+4,+0.57,+0.16,11.5,7.0,+4.5,+0.63,+0.51,Matches
6b5edd5d,Valentin Atangana Edoa,fr FRA,MF,Reims,17-204,2005,1,3,3,0.1,0.0,0,,0,1,3,2,3.00,0,0,0,0.00,-0.33,0.1,0.0,+0.1,+2.48,+2.12,Matches
7dfbba27,Mathias Autret,fr FRA,"MF,FW",Auxerre,32-016,1991,20,1259,63,51.8,14.0,16,72,0,4,26,5,0.70,15,26,-11,-0.79,+0.37,14.8,19.9,-5.1,-0.37,0.00,Matches
a94d93be,Cédric Avinel,gp GLP,DF,Ajaccio,36-187,1986,18,1462,81,60.2,16.2,16,88,15,2,26,6,0.78,10,28,-18,-1.11,-0.18,16.9,21.0,-4.1,-0.25,-0.11,Matches
114bbdee,Loïc Bade,fr FRA,DF,Rennes,22-340,2000,1,90,90,3.7,1.0,1,90,1,0,,4,3.00,2,1,+1,+1.00,+0.42,1.2,1.4,-0.2,-0.25,-0.59,Matches
06df8256,Benoît Badiashile,fr FRA,DF,Monaco,21-356,2001,11,839,76,34.5,9.3,9,87,8,2,27,2,1.55,20,15,+5,+0.54,-0.20,14.5,15.2,-0.7,-0.07,-0.68,Matches
a1232f4e,Eric Bailly,ci CIV,DF,Marseille,28-339,1994,10,432,43,17.8,4.8,4,66,1,6,28,4,2.20,8,7,+1,+0.21,-0.83,9.0,6.7,+2.3,+0.49,+0.02,Matches
5065d67d,Dénys Bain,fr FRA,DF,Auxerre,29-258,1993,2,126,63,5.2,1.4,1,90,1,1,36,14,0.50,2,3,-1,-0.71,+0.26,1.8,1.5,+0.3,+0.20,+0.59,Matches
7e3e825e,Brandon Baiye,be BEL,MF,Clermont Foot,22-080,2000,7,51,7,2.1,0.6,0,,0,7,7,8,1.71,2,2,0,0.00,+0.45,0.8,1.6,-0.7,-1.26,-0.72,Matches
0af4dcf0,Cédric Bakambu,cd COD,MF,Marseille,31-340,1991,3,59,20,2.4,0.7,0,,0,3,20,2,2.33,1,1,0,0.00,-0.91,1.5,1.6,-0.1,-0.14,-0.63,Matches
a30cb0d4,Ibrahima Baldé,fr FRA,FW,Lens,20-059,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
3975195f,Thierno Balde,fr FRA,DF,Troyes,20-280,2002,22,1537,70,63.3,17.1,18,82,9,4,13,1,0.77,22,39,-17,-1.00,-0.39,17.7,33.2,-15.5,-0.91,-0.18,Matches
a1390d2f,Carlos Baleba,cm CMR,MF,Lille,19-073,2004,12,277,23,11.4,3.1,3,68,0,9,8,10,2.08,4,2,+2,+0.65,+0.19,5.2,2.8,+2.5,+0.80,+0.06,Matches
7c3ed041,Leonardo Balerdi,ar ARG,DF,Marseille,24-050,1999,27,2063,76,84.9,22.9,24,81,19,3,38,0,2.07,43,23,+20,+0.87,-0.11,39.0,28.5,+10.5,+0.46,-0.09,Matches
31822f8c,Folarin Balogun,eng ENG,FW,Reims,21-257,2001,26,2029,78,83.5,22.5,23,84,10,3,29,0,1.62,32,18,+14,+0.62,+1.74,39.8,27.1,+12.6,+0.56,+1.25,Matches
7fecbcdb,Abdoulaye Bamba,ci CIV,DF,Angers,32-326,1990,10,558,56,23.0,6.2,4,90,4,6,33,14,0.30,7,18,-11,-1.77,-0.43,8.4,9.9,-1.5,-0.24,+0.28,Matches
b2bd0f6c,Jonathan Bamba,fr FRA,FW,Lille,26-356,1996,23,1886,82,77.6,21.0,21,88,16,2,24,0,1.70,40,34,+6,+0.29,-0.87,37.9,24.8,+13.1,+0.63,-0.52,Matches
a0d55a09,Bradley Barcola,fr FRA,"FW,MF",Lyon,20-196,2002,17,687,40,28.3,7.6,7,79,3,10,13,5,1.47,14,6,+8,+1.05,+0.89,11.7,10.6,+1.1,+0.15,-0.18,Matches
1ddbc7ca,Melvin Bard,fr FRA,DF,Nice,22-131,2000,22,1678,76,69.1,18.6,18,87,15,4,27,2,1.45,23,20,+3,+0.16,-0.92,24.7,23.9,+0.8,+0.04,-0.70,Matches
3a24769f,Ross Barkley,eng ENG,"MF,FW",Nice,29-102,1993,19,701,37,28.8,7.8,7,69,2,12,18,2,1.68,9,10,-1,-0.13,-0.81,9.7,10.5,-0.9,-0.12,-0.52,Matches
e3844ecb,Mickaël Barreto,fr FRA,MF,Ajaccio,32-058,1991,11,625,57,25.7,6.9,6,82,3,5,27,2,0.73,3,11,-8,-1.15,-0.15,4.4,7.8,-3.4,-0.49,-0.37,Matches
9e03d22e,Yacouba Barry,fr FRA,MF,Lens,20-112,2002,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
0d836298,Teddy Bartouche,fr FRA,GK,Lorient,25-285,1997,0,,,,,0,,0,0,,11,,,,,,,,,,,,Matches
20e0dd86,Cyrille Bayala,bf BFA,MF,Ajaccio,26-297,1996,26,1590,61,65.4,17.7,20,73,5,6,22,0,0.77,7,34,-27,-1.53,-1.42,16.5,24.1,-7.5,-0.43,-0.62,Matches
30db8574,Mads Bech Sørensen,dk DEN,DF,Nice,24-069,1999,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
5e6355f8,Yanis Begraoui,fr FRA,"FW,MF",Toulouse,21-256,2001,3,65,22,2.7,0.7,1,45,0,2,10,11,0.00,1,4,-3,-4.15,-4.15,0.3,2.2,-1.9,-2.65,-2.55,Matches
4a5e83ad,Alexis Beka Beka,fr FRA,"MF,DF",Nice,21-353,2001,9,339,38,14.0,3.8,4,63,0,5,17,16,1.00,2,7,-5,-1.33,-2.06,4.0,5.4,-1.3,-0.35,-0.71,Matches
5680bf3f,Jérémie Bela,ao ANG,"DF,MF",Clermont Foot,29-343,1993,15,672,45,27.7,7.5,7,73,2,8,21,2,1.00,7,9,-2,-0.27,+0.24,6.7,11.8,-5.1,-0.68,-0.16,Matches
