id,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
32c2d95f,Yunis Abdelhamid,ma MAR,DF,Reims,35-195,1987,30.0,1939,198,895,979,86,30,1939,27,15,55.6,11,40.7,1338,8419,4627,26,13,3,24,20,1153,8,Matches
7978cbf0,Himad Abdelli,fr FRA,"MF,FW",Angers,23-145,1999,15.8,936,15,145,568,250,17,936,47,27,57.4,18,38.3,714,4346,2114,39,41,6,26,17,645,82,Matches
82464ce3,Salis Abdul Samed,gh GHA,MF,Lens,23-016,2000,28.0,1953,49,342,1328,301,15,1953,45,28,62.2,10,22.2,1624,8551,3042,29,52,3,37,29,1502,37,Matches
31626657,Laurent Abergel,fr FRA,MF,Lorient,30-069,1993,18.1,1126,56,395,648,97,3,1126,30,15,50.0,12,40.0,851,3724,1570,8,17,0,21,15,762,10,Matches
0e46fa2f,Matthis Abline,fr FRA,FW,Auxerre,20-014,2003,7.4,170,3,11,85,78,29,168,19,11,57.9,8,42.1,119,789,278,11,5,6,37,16,126,37,Matches
0e46fa2f,Matthis Abline,fr FRA,"FW,MF",Rennes,20-014,2003,1.2,37,1,1,15,22,15,37,0,0,,0,,27,174,105,4,1,2,10,1,27,11,Matches
c2a6033c,Zakaria Aboukhlal,ma MAR,"FW,MF",Toulouse,23-052,2000,23.1,925,30,133,356,453,120,925,85,32,37.6,45,52.9,721,4701,2095,79,37,33,65,33,672,217,Matches
1e93fc5d,Mohamed Achi,fr FRA,FW,Nantes,21-085,2002,0.4,25,0,4,11,10,0,25,1,0,0.0,1,100.0,21,134,75,2,2,0,0,1,19,1,Matches
7587446d,Martin Adeline,fr FRA,"MF,FW",Reims,19-130,2003,1.2,59,4,22,22,16,1,59,3,1,33.3,2,66.7,31,173,83,1,0,0,4,2,27,1,Matches
75f1ed80,Emmanuel Agbadou,ci CIV,DF,Reims,25-298,1997,20.9,1338,173,669,618,63,18,1338,9,5,55.6,4,44.4,937,5698,2940,13,17,2,21,10,787,5,Matches
8bc8829a,Lucien Agoume,fr FRA,MF,Troyes,21-061,2002,8.6,653,30,179,366,113,11,653,12,4,33.3,5,41.7,469,2299,878,8,7,0,6,8,430,7,Matches
3dd738a1,Ruben Aguilar,fr FRA,DF,Monaco,29-350,1993,10.1,752,34,172,360,221,20,752,9,4,44.4,4,44.4,491,2479,1076,20,13,2,12,3,441,53,Matches
22396615,Amar Ahmed,se SWE,FW,Troyes,19-051,2004,0.2,18,0,3,8,7,0,18,1,1,100.0,0,0.0,12,74,21,0,1,0,4,2,12,2,Matches
48b28bfd,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,29-022,1994,12.9,697,21,119,414,173,27,697,33,14,42.4,13,39.4,473,2581,1077,23,15,9,29,13,422,36,Matches
462475ed,Ludovic Ajorque,fr FRA,FW,Strasbourg,29-045,1994,8.6,336,8,32,172,136,50,335,5,3,60.0,2,40.0,225,901,202,2,7,1,19,10,262,55,Matches
b625b241,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,21-045,2002,3.4,163,4,21,69,75,10,163,7,2,28.6,5,71.4,129,678,281,5,3,1,6,6,121,26,Matches
9e17ccff,Doğan Alemdar,tr TUR,GK,Rennes,20-164,2002,3.5,115,85,115,0,0,0,115,0,0,,0,,74,326,141,0,0,0,1,0,55,0,Matches
1956b948,Jim Allevinah,ga GAB,"DF,FW",Clermont Foot,28-043,1995,20.2,898,31,189,403,324,58,898,76,32,42.1,35,46.1,680,5082,2224,69,47,11,37,36,602,119,Matches
0a63446f,Mickaël Alphonse,gp GLP,DF,Ajaccio,33-273,1989,13.9,833,50,247,428,169,11,833,18,9,50.0,8,44.4,450,2858,1479,29,25,0,13,14,382,32,Matches
9260926b,Ibrahim Amadou,fr FRA,"DF,MF",Angers,30-005,1993,4.7,244,54,147,89,9,2,244,2,1,50.0,1,50.0,167,851,394,0,3,0,2,3,143,5,Matches
ae11ba3d,Ayoub Amraoui,ma MAR,"DF,FW",Nice,18-332,2004,2.6,174,8,53,75,48,1,174,4,2,50.0,1,25.0,136,637,321,6,5,0,3,1,129,18,Matches
ef9c1c95,Benjamin André,fr FRA,MF,Lille,32-251,1990,26.3,2220,96,523,1435,281,26,2220,31,19,61.3,10,32.3,1675,8485,3597,31,34,0,33,30,1536,36,Matches
af3ddb2e,Komnen Andrić,rs SRB,FW,Clermont Foot,27-284,1995,15.3,568,12,38,337,196,51,566,11,5,45.5,4,36.4,410,2050,465,8,12,4,44,27,457,86,Matches
a5db0bec,Houssem Aouar,fr FRA,MF,Lyon,24-285,1998,5.2,416,4,43,254,122,23,416,21,9,42.9,10,47.6,330,1679,697,12,18,4,6,11,322,32,Matches
