id,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
32c2d95f,Yunis Abdelhamid,ma MAR,DF,Reims,35-187,1987,28.0,1,24,2,8.3,0.86,0.07,0.04,0.50,15.3,0,0,0,1.8,1.8,0.08,-0.8,-0.8,Matches
7978cbf0,Himad Abdelli,fr FRA,"MF,FW",Angers,23-137,1999,14.0,0,11,3,27.3,0.79,0.21,0.00,0.00,19.5,0,0,0,0.9,0.9,0.08,-0.9,-0.9,Matches
82464ce3,Salis Abdul Samed,gh GHA,MF,Lens,23-008,2000,27.0,1,12,3,25.0,0.45,0.11,0.08,0.33,20.3,0,0,0,0.8,0.8,0.07,+0.2,+0.2,Matches
31626657,Laurent Abergel,fr FRA,MF,Lorient,30-061,1993,17.2,0,8,1,12.5,0.46,0.06,0.00,0.00,23.1,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
0e46fa2f,Matthis Abline,fr FRA,FW,Auxerre,20-006,2003,7.2,2,14,5,35.7,1.95,0.70,0.07,0.20,22.5,0,1,2,2.8,1.3,0.09,-0.8,-0.3,Matches
0e46fa2f,Matthis Abline,fr FRA,"FW,MF",Rennes,20-006,2003,1.2,1,6,2,33.3,5.05,1.68,0.17,0.50,12.2,0,0,0,0.8,0.8,0.13,+0.2,+0.2,Matches
c2a6033c,Zakaria Aboukhlal,ma MAR,"FW,MF",Toulouse,23-044,2000,22.2,6,61,20,32.8,2.75,0.90,0.10,0.30,17.3,0,0,0,7.6,7.6,0.12,-1.6,-1.6,Matches
1e93fc5d,Mohamed Achi,fr FRA,FW,Nantes,21-077,2002,0.4,0,1,0,0.0,2.50,0.00,0.00,,26.1,0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches
7587446d,Martin Adeline,fr FRA,"MF,FW",Reims,19-122,2003,1.2,0,1,0,0.0,0.84,0.00,0.00,,25.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
75f1ed80,Emmanuel Agbadou,ci CIV,DF,Reims,25-290,1997,18.9,0,17,3,17.6,0.90,0.16,0.00,0.00,15.4,0,0,0,1.5,1.5,0.09,-1.5,-1.5,Matches
8bc8829a,Lucien Agoume,fr FRA,MF,Troyes,21-053,2002,8.1,0,7,2,28.6,0.87,0.25,0.00,0.00,15.3,0,0,0,0.7,0.7,0.10,-0.7,-0.7,Matches
3dd738a1,Ruben Aguilar,fr FRA,DF,Monaco,29-342,1993,9.6,0,3,2,66.7,0.31,0.21,0.00,0.00,14.9,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
22396615,Amar Ahmed,se SWE,FW,Troyes,19-043,2004,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
48b28bfd,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,29-014,1994,11.8,3,17,7,41.2,1.44,0.59,0.18,0.43,24.1,0,0,0,1.0,1.0,0.06,+2.0,+2.0,Matches
462475ed,Ludovic Ajorque,fr FRA,FW,Strasbourg,29-037,1994,8.6,1,22,7,31.8,2.57,0.82,0.00,0.00,15.1,1,1,1,3.4,2.6,0.12,-2.4,-2.6,Matches
b625b241,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,21-037,2002,3.4,0,1,1,100.0,0.29,0.29,0.00,0.00,8.4,0,0,0,0.2,0.2,0.18,-0.2,-0.2,Matches
9e17ccff,Doğan Alemdar,tr TUR,GK,Rennes,20-156,2002,2.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1956b948,Jim Allevinah,ga GAB,"DF,FW",Clermont Foot,28-035,1995,18.4,1,24,7,29.2,1.30,0.38,0.04,0.14,16.4,0,0,0,2.1,2.1,0.09,-1.1,-1.1,Matches
0a63446f,Mickaël Alphonse,gp GLP,DF,Ajaccio,33-265,1989,12.4,0,10,2,20.0,0.81,0.16,0.00,0.00,16.3,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
9260926b,Ibrahim Amadou,fr FRA,"DF,MF",Angers,29-362,1993,4.7,0,2,0,0.0,0.42,0.00,0.00,,24.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
ae11ba3d,Ayoub Amraoui,ma MAR,"DF,FW",Nice,18-324,2004,2.6,0,1,0,0.0,0.38,0.00,0.00,,20.4,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
ef9c1c95,Benjamin André,fr FRA,MF,Lille,32-243,1990,24.5,1,16,3,18.8,0.65,0.12,0.06,0.33,15.8,0,0,0,1.2,1.2,0.08,-0.2,-0.2,Matches
af3ddb2e,Komnen Andrić,rs SRB,FW,Clermont Foot,27-276,1995,15.3,4,27,11,40.7,1.76,0.72,0.11,0.27,13.9,0,1,2,5.4,3.8,0.14,-1.4,-0.8,Matches
a5db0bec,Houssem Aouar,fr FRA,MF,Lyon,24-277,1998,4.9,1,11,4,36.4,2.22,0.81,0.09,0.25,16.0,0,0,0,1.1,1.1,0.10,-0.1,-0.1,Matches
b94b8be1,Adil Aouchiche,fr FRA,"MF,FW",Lorient,20-262,2002,1.2,0,5,2,40.0,4.17,1.67,0.00,0.00,15.8,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches
feb5d3ab,Dennis Appiah,fr FRA,"DF,MF",Nantes,30-298,1992,8.8,0,5,1,20.0,0.57,0.11,0.00,0.00,19.3,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches
42f0113f,Stredair Appuah,fr FRA,MF,Nantes,18-280,2004,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
c5e6c017,Taïryk Arconte,fr FRA,FW,Brest,19-142,2003,1.4,0,2,1,50.0,1.41,0.70,0.00,0.00,12.5,0,0,0,0.3,0.3,0.14,-0.3,-0.3,Matches
508a9011,Mohamed El Arouch,fr FRA,MF,Lyon,18-362,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
b026bbf6,Lorenz Assignon,tg TOG,DF,Rennes,22-285,2000,2.2,0,3,1,33.3,1.39,0.46,0.00,0.00,14.7,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches
6a827d8e,Youcef Atal,dz ALG,"DF,MF",Nice,26-321,1996,7.1,1,9,5,55.6,1.27,0.71,0.11,0.20,16.3,0,0,0,0.9,0.9,0.10,+0.1,+0.1,Matches
6b5edd5d,Valentin Atangana Edoa,fr FRA,MF,Reims,17-221,2005,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
7dfbba27,Mathias Autret,fr FRA,"MF,FW",Auxerre,32-033,1991,14.0,2,22,11,50.0,1.57,0.79,0.05,0.09,26.0,1,1,1,2.3,1.5,0.07,-0.3,-0.5,Matches
a94d93be,Cédric Avinel,gp GLP,DF,Ajaccio,36-204,1986,16.2,1,2,1,50.0,0.12,0.06,0.50,1.00,1.2,0,0,0,1.0,1.0,0.58,0.0,0.0,Matches
114bbdee,Loïc Bade,fr FRA,DF,Rennes,22-357,2000,1.0,0,2,0,0.0,2.00,0.00,0.00,,8.7,0,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches
06df8256,Benoît Badiashile,fr FRA,DF,Monaco,22-008,2001,9.3,2,5,3,60.0,0.54,0.32,0.40,0.67,16.0,0,0,0,0.6,0.6,0.13,+1.4,+1.4,Matches
