id,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
4cd41883,Paxten Aaronson,us USA,"MF,FW",Eint Frankfurt,19-242,2003,0.7,4,5.45,1,1,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
22919e97,Sargis Adamyan,am ARM,"FW,MF",Köln,29-337,1993,7.1,21,2.95,15,0,0,6,0,0,3,0.42,1,0,0,2,0,0,Matches
501055d8,Karim Adeyemi,de GER,"FW,MF",Dortmund,21-097,2002,11.5,42,3.65,31,0,4,3,3,1,11,0.95,8,0,2,1,0,0,Matches
dcfb17f4,Amine Adli,fr FRA,"FW,MF",Leverkusen,22-350,2000,12.9,46,3.57,29,3,4,3,6,1,11,0.85,6,0,3,0,2,0,Matches
cb6d81b3,Felix Agu,de GER,"DF,FW",Werder Bremen,23-210,1999,0.5,4,7.20,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
a6c58494,Naouirou Ahamada,fr FRA,MF,Stuttgart,21-027,2002,15.5,38,2.45,31,0,3,2,1,1,7,0.45,7,0,0,0,0,0,Matches
462475ed,Ludovic Ajorque,fr FRA,"FW,MF",Mainz 05,29-059,1994,11.0,30,2.74,23,0,0,4,3,0,3,0.27,2,0,0,1,0,0,Matches
6ec6fde0,Kevin Akpoguma,ng NGA,DF,Hoffenheim,28-006,1995,18.9,16,0.85,13,0,3,0,0,0,1,0.05,1,0,0,0,0,0,Matches
834d0be5,Lucas Alario,ar ARG,"FW,MF",Eint Frankfurt,30-199,1992,3.7,8,2.17,6,0,1,1,0,0,2,0.54,1,0,0,1,0,0,Matches
00f518d8,Faride Alidou,de GER,"DF,MF",Eint Frankfurt,21-281,2001,1.7,7,3.96,6,0,1,0,0,0,1,0.57,1,0,0,0,0,0,Matches
8ce30c57,Éder Álvarez Balanta,co COL,"MF,FW",Schalke 04,30-056,1993,2.6,8,3.03,6,1,0,0,0,1,1,0.38,1,0,0,0,0,0,Matches
cd682b6b,Lukáš Ambros,cz CZE,MF,Wolfsburg,18-324,2004,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
555d5edd,Nadiem Amiri,de GER,"MF,FW",Leverkusen,26-180,1996,9.1,32,3.51,22,2,3,1,4,0,5,0.55,3,0,1,0,1,0,Matches
e0b113a7,Robert Andrich,de GER,MF,Leverkusen,28-215,1994,24.7,42,1.70,36,0,0,3,1,2,4,0.16,3,0,0,0,0,1,Matches
30941e96,Angeliño,es ESP,DF,Hoffenheim,26-111,1997,24.8,79,3.19,54,18,1,2,3,1,8,0.32,6,1,0,1,0,0,Matches
5e66fa06,Waldemar Anton,de GER,DF,Stuttgart,26-279,1996,27.8,34,1.22,24,4,2,4,0,0,4,0.14,3,0,0,1,0,0,Matches
0a3f6cde,Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,29-077,1994,17.2,62,3.61,34,12,5,3,8,0,10,0.58,5,1,2,0,2,0,Matches
56413b1f,Charles Aránguiz,cl CHI,MF,Leverkusen,34-008,1989,5.5,10,1.83,10,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
86e119e0,Maximilian Arnold,de GER,MF,Wolfsburg,28-333,1994,25.8,75,2.90,36,34,1,2,2,0,9,0.35,4,3,0,1,1,0,Matches
