id,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
47064058,Oliver Baumann,de GER,GK,Hoffenheim,32-313,1990,27.0,46,1,1,8,1,40.2,0.31,-4.8,-0.18,153,376,40.7,949,141,32.7,32.2,178,37.1,34.2,383,31,8.1,33,1.22,13.4,Matches
663e080e,Janis Blaswich,de GER,GK,RB Leipzig,31-344,1991,20.0,23,5,0,2,0,22.6,0.28,-0.4,-0.02,44,126,34.9,750,99,13.5,24.6,114,21.9,27.2,222,16,7.2,26,1.30,16.7,Matches
d28339cb,Fabian Bredlow,de GER,GK,Stuttgart,28-040,1995,8.0,13,3,0,0,1,11.3,0.24,-0.7,-0.08,26,71,36.6,280,51,19.6,27.8,46,34.8,36.1,126,7,5.6,11,1.38,16.4,Matches
db401046,Koen Casteels,be BEL,GK,Wolfsburg,30-290,1992,27.0,36,4,0,4,2,33.1,0.26,-0.9,-0.03,201,447,45.0,1031,146,32.3,33.5,218,52.3,45.7,380,20,5.3,40,1.48,16.8,Matches
af104654,Oliver Christensen,dk DEN,GK,Hertha BSC,24-020,1999,27.0,50,5,3,7,0,41.9,0.31,-8.1,-0.30,171,471,36.3,821,143,41.5,35.4,185,70.3,53.2,376,28,7.4,62,2.30,18.9,Matches
dee3013b,Finn Dahmen,de GER,GK,Mainz 05,25-015,1998,6.0,10,1,0,2,0,9.5,0.29,-0.5,-0.09,40,104,38.5,160,23,45.0,37.1,40,80.0,54.3,101,10,9.9,7,1.17,16.5,Matches
1e43fad8,Ralf Fährmann,de GER,GK,Schalke 04,34-196,1988,10.0,9,1,0,1,1,9.9,0.21,+1.9,+0.19,81,181,44.8,307,42,42.7,36.1,76,65.8,48.1,152,10,6.6,8,0.80,11.7,Matches
a92ab7be,Mark Flekken,nl NED,GK,Freiburg,29-302,1993,27.0,36,5,0,4,0,36.3,0.27,+0.3,+0.01,207,507,40.8,953,90,39.8,37.3,178,71.9,57.6,332,21,6.3,33,1.22,15.4,Matches
17376543,Rafał Gikiewicz,pl POL,GK,Augsburg,35-167,1987,23.0,41,1,1,4,0,41.3,0.28,+0.3,+0.01,185,452,40.9,916,127,33.3,33.0,234,62.8,48.9,363,21,5.8,45,1.96,16.7,Matches
37998008,Lennart Grill,de GER,GK,Union Berlin,24-076,1999,5.0,11,2,0,1,0,9.0,0.28,-2.0,-0.41,48,108,44.4,197,28,48.2,37.1,17,76.5,55.2,47,8,17.0,7,1.40,15.1,Matches
bcb2ccd8,Péter Gulácsi,hu HUN,GK,RB Leipzig,32-340,1990,6.0,10,1,0,2,1,10.1,0.37,+1.1,+0.19,11,37,29.7,179,37,15.6,26.4,36,25.0,29.6,61,3,4.9,10,1.67,19.4,Matches
ad3389d5,Lukáš Hrádecký,fi FIN,GK,Leverkusen,33-138,1989,26.0,39,6,1,4,2,34.3,0.25,-2.7,-0.10,92,310,29.7,739,113,33.2,32.7,150,43.3,37.5,314,21,6.7,16,0.62,13.2,Matches
fa4cabd1,Jan Jakob Olschowsky,de GER,GK,M'Gladbach,21-144,2001,2.0,4,0,0,1,0,5.5,0.40,+1.5,+0.74,10,30,33.3,78,12,37.2,33.4,13,7.7,22.2,30,2,6.7,3,1.50,14.1,Matches
cd59b9df,Gregor Kobel,ch SUI,GK,Dortmund,25-126,1997,20.0,24,0,0,3,1,26.6,0.30,+3.6,+0.18,77,207,37.2,664,90,21.7,29.4,143,44.1,38.5,230,11,4.8,31,1.55,17.0,Matches
