id,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
22919e97,Sargis Adamyan,am ARM,"FW,MF",Köln,29-298,1993,6.4,3,0,0,16,5,4,13,3,6,0,0,0,32,10,25,28.6,Matches
501055d8,Karim Adeyemi,de GER,"FW,MF",Dortmund,21-058,2002,8.9,5,0,0,11,18,0,15,6,7,0,0,0,43,7,2,77.8,Matches
dcfb17f4,Amine Adli,fr FRA,"FW,MF",Leverkusen,22-311,2000,9.3,1,1,0,27,27,3,13,4,9,0,1,0,34,15,24,38.5,Matches
cb6d81b3,Felix Agu,de GER,"DF,FW",Werder Bremen,23-171,1999,0.5,0,0,0,3,3,0,1,0,0,0,1,0,3,1,1,50.0,Matches
a6c58494,Naouirou Ahamada,fr FRA,MF,Stuttgart,20-353,2002,15.5,4,1,1,16,17,1,6,8,11,0,1,0,88,7,16,30.4,Matches
462475ed,Ludovic Ajorque,fr FRA,FW,Mainz 05,29-020,1994,6.2,1,0,0,13,5,1,1,0,2,0,0,0,25,49,44,52.7,Matches
6ec6fde0,Kevin Akpoguma,ng NGA,DF,Hoffenheim,27-332,1995,14.3,8,0,0,20,11,0,8,15,29,0,0,0,94,39,31,55.7,Matches
834d0be5,Lucas Alario,ar ARG,"FW,MF",Eint Frankfurt,30-160,1992,3.0,0,0,0,8,2,5,0,0,2,0,0,0,9,14,17,45.2,Matches
00f518d8,Faride Alidou,de GER,"DF,MF",Eint Frankfurt,21-242,2001,1.4,0,0,0,7,1,2,2,1,4,0,0,0,11,1,7,12.5,Matches
8ce30c57,Éder Álvarez Balanta,co COL,MF,Schalke 04,30-017,1993,1.8,1,0,0,2,0,0,0,3,3,0,0,0,12,2,1,66.7,Matches
cd682b6b,Lukáš Ambros,cz CZE,MF,Wolfsburg,18-285,2004,0.2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,Matches
555d5edd,Nadiem Amiri,de GER,"MF,FW",Leverkusen,26-141,1996,8.0,3,0,0,11,20,3,11,4,3,0,0,0,49,1,10,9.1,Matches
e0b113a7,Robert Andrich,de GER,MF,Leverkusen,28-176,1994,19.7,6,0,0,31,11,0,4,28,29,0,0,1,108,38,32,54.3,Matches
30941e96,Angeliño,es ESP,DF,Hoffenheim,26-072,1997,20.9,2,0,0,10,21,6,137,16,14,0,0,0,108,10,19,34.5,Matches
5e66fa06,Waldemar Anton,de GER,DF,Stuttgart,26-240,1996,23.4,3,0,0,21,23,1,27,30,23,0,0,0,169,39,40,49.4,Matches
0a3f6cde,Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,29-038,1994,12.8,0,0,0,11,22,12,35,3,11,1,0,0,68,10,28,26.3,Matches
56413b1f,Charles Aránguiz,cl CHI,MF,Leverkusen,33-334,1989,5.5,1,0,0,7,10,0,12,7,7,0,0,0,33,2,7,22.2,Matches
86e119e0,Maximilian Arnold,de GER,MF,Wolfsburg,28-294,1994,22.2,5,0,0,24,49,0,117,18,20,0,0,0,171,21,22,48.8,Matches
13ddc856,Takuma Asano,jp JPN,"FW,MF",Bochum,28-127,1994,10.4,1,0,0,8,18,5,14,6,3,0,0,0,45,8,20,28.6,Matches
35f67a30,Fisnik Asllani,xk KVX,FW,Hoffenheim,20-221,2002,1.6,0,0,0,1,2,2,3,2,0,0,0,0,2,4,4,50.0,Matches
fe46e261,Mehmet-Can Aydin,de GER,"DF,FW",Schalke 04,21-036,2002,5.1,0,0,0,6,3,0,14,9,15,0,0,0,37,8,8,50.0,Matches
