id,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
4cd41883,Paxten Aaronson,us USA,MF,Eint Frankfurt,19-220,2003,0.1,4,4,100.0,49,0,3,3,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
22919e97,Sargis Adamyan,am ARM,"FW,MF",Köln,29-315,1993,7.0,118,172,68.6,1928,470,58,72,80.6,46,62,74.2,10,16,62.5,2,0.8,1.4,+1.2,8,6,11,2,23,Matches
501055d8,Karim Adeyemi,de GER,"FW,MF",Dortmund,21-075,2002,8.9,210,287,73.2,2631,763,129,158,81.6,56,71,78.9,6,15,40.0,2,2.0,1.7,0.0,13,12,11,0,27,Matches
dcfb17f4,Amine Adli,fr FRA,"FW,MF",Leverkusen,22-328,2000,11.0,288,386,74.6,3989,928,161,203,79.3,91,109,83.5,14,25,56.0,3,1.5,1.5,+1.5,17,20,7,0,36,Matches
cb6d81b3,Felix Agu,de GER,"DF,FW",Werder Bremen,23-188,1999,0.5,16,25,64.0,299,144,4,5,80.0,9,10,90.0,2,6,33.3,0,0.1,0.1,-0.1,1,1,1,0,2,Matches
a6c58494,Naouirou Ahamada,fr FRA,MF,Stuttgart,21-005,2002,15.5,449,529,84.9,6965,1651,223,242,92.1,187,204,91.7,21,40,52.5,2,1.2,0.9,+0.8,15,38,7,2,56,Matches
462475ed,Ludovic Ajorque,fr FRA,FW,Mainz 05,29-037,1994,8.2,142,253,56.1,2021,438,91,143,63.6,28,63,44.4,13,16,81.3,1,1.6,1.4,-0.6,11,10,6,0,20,Matches
6ec6fde0,Kevin Akpoguma,ng NGA,DF,Hoffenheim,27-349,1995,16.2,607,780,77.8,11297,4198,201,236,85.2,339,384,88.3,56,125,44.8,0,0.5,0.8,-0.5,5,64,8,3,70,Matches
834d0be5,Lucas Alario,ar ARG,"FW,MF",Eint Frankfurt,30-177,1992,3.4,53,78,67.9,743,180,28,39,71.8,18,24,75.0,4,5,80.0,0,0.0,0.4,0.0,1,4,0,0,8,Matches
00f518d8,Faride Alidou,de GER,"DF,MF",Eint Frankfurt,21-259,2001,1.5,47,63,74.6,735,271,23,24,95.8,21,30,70.0,2,5,40.0,0,0.3,0.2,-0.3,1,5,5,1,11,Matches
8ce30c57,Éder Álvarez Balanta,co COL,"MF,FW",Schalke 04,30-034,1993,2.6,64,91,70.3,1237,408,21,29,72.4,34,39,87.2,9,18,50.0,0,0.3,0.2,-0.3,4,11,0,0,12,Matches
cd682b6b,Lukáš Ambros,cz CZE,MF,Wolfsburg,18-302,2004,0.2,3,3,100.0,43,4,2,2,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
555d5edd,Nadiem Amiri,de GER,"MF,FW",Leverkusen,26-158,1996,8.0,303,356,85.1,4970,1220,152,164,92.7,109,120,90.8,31,45,68.9,1,0.8,1.3,+0.2,11,31,6,1,39,Matches
e0b113a7,Robert Andrich,de GER,MF,Leverkusen,28-193,1994,21.7,991,1182,83.8,16267,4744,482,542,88.9,404,476,84.9,68,100,68.0,2,1.1,0.8,+0.9,15,69,10,2,86,Matches
30941e96,Angeliño,es ESP,DF,Hoffenheim,26-089,1997,21.9,784,1178,66.6,14901,5809,331,388,85.3,331,473,70.0,111,248,44.8,6,5.5,5.8,+0.5,43,59,44,23,86,Matches
5e66fa06,Waldemar Anton,de GER,DF,Stuttgart,26-257,1996,24.8,1194,1532,77.9,23421,9214,408,476,85.7,658,764,86.1,123,241,51.0,0,0.8,1.1,-0.8,8,74,13,4,102,Matches
0a3f6cde,Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,29-055,1994,14.5,257,427,60.2,4218,1515,134,170,78.8,90,152,59.2,24,67,35.8,6,3.2,2.3,+2.8,22,8,19,9,18,Matches
56413b1f,Charles Aránguiz,cl CHI,MF,Leverkusen,33-351,1989,5.5,248,311,79.7,3706,1211,136,154,88.3,84,96,87.5,15,39,38.5,0,0.2,0.2,-0.2,3,21,3,0,32,Matches
86e119e0,Maximilian Arnold,de GER,MF,Wolfsburg,28-311,1994,24.2,1013,1316,77.0,22764,7271,275,311,88.4,519,600,86.5,203,363,55.9,3,4.1,4.5,-1.1,36,90,17,2,122,Matches
13ddc856,Takuma Asano,jp JPN,"FW,MF",Bochum,28-144,1994,12.1,149,218,68.3,2089,551,92,119,77.3,50,66,75.8,3,10,30.0,2,1.0,1.1,+1.0,12,11,8,2,19,Matches
35f67a30,Fisnik Asllani,xk KVX,FW,Hoffenheim,20-238,2002,1.9,37,63,58.7,384,62,28,43,65.1,5,7,71.4,0,0,,0,0.2,0.1,-0.2,3,1,0,0,1,Matches
fe46e261,Mehmet Aydin,de GER,"DF,FW",Schalke 04,21-053,2002,5.4,123,211,58.3,2160,792,58,78,74.4,51,82,62.2,11,28,39.3,0,0.7,0.3,-0.7,3,6,4,2,8,Matches
ce81d82d,Ayman Azhil,ma MAR,MF,Leverkusen,21-358,2001,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
10549b49,Sardar Azmoun,ir IRN,"FW,MF",Leverkusen,28-092,1995,6.5,114,166,68.7,1751,644,60,81,74.1,29,42,69.0,13,17,76.5,1,2.3,1.2,-1.3,11,16,7,0,27,Matches
f582d5c1,Sanoussy Ba,de GER,DF,RB Leipzig,19-088,2004,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
a8567629,Mitchel Bakker,nl NED,"DF,MF",Leverkusen,22-287,2000,12.9,559,709,78.8,8682,2658,315,363,86.8,200,252,79.4,33,65,50.8,2,1.7,1.1,+0.3,15,23,11,1,45,Matches
