id,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
4cd41883,Paxten Aaronson,us USA,"MF,FW",Eint Frankfurt,19-242,2003,0.7,24,23,1,0,0,0,3,1,0,0,0,0,19,0,1,Matches
22919e97,Sargis Adamyan,am ARM,"FW,MF",Köln,29-337,1993,7.1,176,156,19,0,1,1,13,6,0,0,0,0,121,1,7,Matches
501055d8,Karim Adeyemi,de GER,"FW,MF",Dortmund,21-097,2002,11.5,367,350,16,3,0,1,17,8,5,5,0,0,267,1,18,Matches
dcfb17f4,Amine Adli,fr FRA,"FW,MF",Leverkusen,22-350,2000,12.9,443,417,20,4,2,2,15,5,8,2,2,0,331,6,17,Matches
cb6d81b3,Felix Agu,de GER,"DF,FW",Werder Bremen,23-210,1999,0.5,25,19,6,0,0,0,1,6,0,0,0,0,16,0,2,Matches
a6c58494,Naouirou Ahamada,fr FRA,MF,Stuttgart,21-027,2002,15.5,529,514,13,4,2,1,6,5,0,0,0,0,449,2,13,Matches
462475ed,Ludovic Ajorque,fr FRA,"FW,MF",Mainz 05,29-059,1994,11.0,339,331,5,1,1,5,4,1,0,0,0,0,190,3,10,Matches
6ec6fde0,Kevin Akpoguma,ng NGA,DF,Hoffenheim,28-006,1995,18.9,871,822,49,24,1,11,8,25,0,0,0,0,680,0,17,Matches
834d0be5,Lucas Alario,ar ARG,"FW,MF",Eint Frankfurt,30-199,1992,3.7,85,80,5,0,0,0,0,0,0,0,0,0,56,0,1,Matches
00f518d8,Faride Alidou,de GER,"DF,MF",Eint Frankfurt,21-281,2001,1.7,75,64,11,0,0,0,4,11,0,0,0,0,57,0,2,Matches
8ce30c57,Éder Álvarez Balanta,co COL,"MF,FW",Schalke 04,30-056,1993,2.6,91,84,5,3,1,1,2,0,2,1,1,0,64,2,1,Matches
cd682b6b,Lukáš Ambros,cz CZE,MF,Wolfsburg,18-324,2004,0.2,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
555d5edd,Nadiem Amiri,de GER,"MF,FW",Leverkusen,26-180,1996,9.1,424,399,22,10,4,3,12,1,6,1,5,0,366,3,13,Matches
e0b113a7,Robert Andrich,de GER,MF,Leverkusen,28-215,1994,24.7,1331,1283,46,41,0,4,4,4,0,0,0,0,1117,2,12,Matches
30941e96,Angeliño,es ESP,DF,Hoffenheim,26-111,1997,24.8,1338,1006,315,31,1,14,159,239,45,16,22,0,873,17,32,Matches
5e66fa06,Waldemar Anton,de GER,DF,Stuttgart,26-279,1996,27.8,1701,1512,185,54,4,15,28,130,0,0,0,0,1331,4,28,Matches
0a3f6cde,Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,29-077,1994,17.2,530,378,150,3,1,2,49,135,4,0,0,0,330,2,22,Matches
56413b1f,Charles Aránguiz,cl CHI,MF,Leverkusen,34-008,1989,5.5,311,290,20,12,0,0,12,1,7,4,3,0,248,1,3,Matches
86e119e0,Maximilian Arnold,de GER,MF,Wolfsburg,28-333,1994,25.8,1386,1121,255,154,5,28,133,8,78,53,23,0,1063,10,8,Matches
13ddc856,Takuma Asano,jp JPN,"FW,MF",Bochum,28-166,1994,14.6,265,259,4,1,2,0,21,2,1,0,0,0,184,2,15,Matches
35f67a30,Fisnik Asllani,xk KVX,FW,Hoffenheim,20-260,2002,1.9,63,62,1,0,0,0,3,0,0,0,0,0,37,0,4,Matches
fe46e261,Mehmet Aydin,de GER,"DF,FW",Schalke 04,21-075,2002,6.3,280,220,56,4,1,1,23,51,1,0,0,0,178,4,13,Matches
ce81d82d,Ayman Azhil,ma MAR,MF,Leverkusen,22-015,2001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
10549b49,Sardar Azmoun,ir IRN,"FW,MF",Leverkusen,28-114,1995,7.6,195,184,10,0,2,0,0,1,0,0,0,0,131,1,6,Matches
f582d5c1,Sanoussy Ba,de GER,DF,RB Leipzig,19-110,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
a8567629,Mitchel Bakker,nl NED,"DF,MF",Leverkusen,22-309,2000,14.2,758,616,141,11,1,8,18,129,1,0,0,0,597,1,15,Matches
442b56fa,Ridle Baku,de GER,DF,Wolfsburg,25-017,1998,24.2,1327,1100,222,24,2,6,60,196,2,2,0,0,1043,5,27,Matches
a2a85828,Aymen Barkok,ma MAR,MF,Mainz 05,24-339,1998,4.7,194,182,9,1,1,1,12,5,3,1,1,0,130,3,8,Matches
00242b75,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,23-112,2000,20.3,489,479,7,7,2,0,6,0,0,0,0,0,326,3,19,Matches
e61bdd69,Gil Bastião Dias,pt POR,FW,Stuttgart,26-209,1996,4.4,174,170,4,1,0,2,6,3,0,0,0,0,120,0,14,Matches
44a20f0c,Maximilian Bauer,de GER,DF,Augsburg,23-075,2000,17.7,680,652,26,25,0,7,2,1,0,0,0,0,497,2,11,Matches
47064058,Oliver Baumann,de GER,GK,Hoffenheim,32-327,1990,29.0,1213,942,268,71,0,6,0,0,0,0,0,0,938,3,1,Matches
bd7d2e6d,Timo Baumgartl,de GER,DF,Union Berlin,27-052,1996,5.7,279,265,14,12,0,2,5,0,0,0,0,0,225,0,1,Matches
69374ff5,Julian Baumgartlinger,at AUT,MF,Augsburg,35-113,1988,5.9,215,206,9,4,0,2,2,1,0,0,0,0,179,0,2,Matches
437f2b00,Christoph Baumgartner,at AUT,"MF,FW",Hoffenheim,23-267,1999,24.7,815,758,51,7,4,7,26,29,1,0,0,0,540,6,42,Matches
fbbc8e15,Noah Joel Sarenren Bazee,ng NGA,"MF,FW",Augsburg,26-247,1996,0.2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1,Matches
a53b661f,Ihlas Bebou,tg TOG,FW,Hoffenheim,29-002,1994,10.9,242,227,13,0,0,1,11,5,0,0,0,0,156,2,8,Matches
8eb55dbb,Sheraldo Becker,sr SUR,FW,Union Berlin,28-075,1995,23.4,499,484,12,2,1,1,98,6,2,0,0,0,295,3,34,Matches
30ae134d,Kevin Behrens,de GER,FW,Union Berlin,32-081,1991,13.7,382,376,3,0,2,0,6,1,0,0,0,0,224,3,9,Matches
857a5abe,Stefan Bell,de GER,DF,Mainz 05,31-244,1991,21.7,994,958,30,29,1,5,13,1,0,0,0,0,747,6,9,Matches
bee0bab1,Karim Bellarabi,de GER,"FW,MF",Leverkusen,33-017,1990,0.9,52,51,1,0,0,0,6,1,0,0,0,0,34,0,1,Matches
57d88cf9,Jude Bellingham,eng ENG,MF,Dortmund,19-300,2003,26.9,1482,1428,49,32,9,27,26,13,1,0,0,0,1211,5,31,Matches
378825c7,Ramy Bensebaini,dz ALG,DF,M'Gladbach,28-009,1995,24.6,1336,1051,276,44,9,3,27,232,0,0,0,0,1025,9,34,Matches
eb6e14be,Mergim Berisha,de GER,FW,Augsburg,24-349,1998,17.5,327,253,72,18,1,1,76,0,34,18,16,0,154,2,17,Matches
7aac47fe,Ermin Bičakčić,ba BIH,DF,Hoffenheim,33-091,1990,1.9,84,79,5,2,0,1,1,2,0,0,0,0,59,0,1,Matches
07d3bfec,Tom Bischof,de GER,"MF,FW",Hoffenheim,17-301,2005,3.4,117,112,5,2,1,0,6,1,2,2,0,0,82,0,6,Matches
dc62fbee,Leonardo Bittencourt,de GER,"MF,DF",Werder Bremen,29-127,1993,14.0,641,612,28,1,1,5,41,26,1,1,0,0,463,1,23,Matches
663e080e,Janis Blaswich,de GER,GK,RB Leipzig,31-358,1991,22.0,963,815,147,28,0,0,0,0,0,0,0,0,843,1,2,Matches
691bef82,Daley Blind,nl NED,"DF,MF",Bayern Munich,33-047,1990,1.5,100,92,7,6,0,1,1,1,0,0,0,0,87,1,1,Matches
f4ec4fd0,Kevin-Prince Boateng,gh GHA,MF,Hertha BSC,36-050,1987,4.5,221,195,25,8,1,0,7,9,0,0,0,0,162,1,1,Matches
635f2732,Jean-Paul Boëtius,nl NED,MF,Hertha BSC,29-034,1994,9.5,340,313,23,16,4,6,4,0,0,0,0,0,248,4,4,Matches
36578017,Yvandro Borges Sanches,lu LUX,"FW,MF",M'Gladbach,18-336,2004,0.3,9,8,1,0,0,0,2,0,0,0,0,0,8,0,0,Matches
01834aa0,Sebastiaan Bornauw,be BEL,DF,Wolfsburg,24-034,1999,16.4,913,864,49,26,0,4,2,8,0,0,0,0,777,0,10,Matches
c68da769,Rafael Borré,co COL,"MF,FW",Eint Frankfurt,27-222,1995,10.4,373,356,15,2,2,1,22,4,2,0,0,0,257,2,15,Matches
a167537f,Julian Brandt,de GER,"MF,FW",Dortmund,26-358,1996,22.4,1163,1031,127,19,5,14,137,13,93,33,46,2,894,5,26,Matches
d28339cb,Fabian Bredlow,de GER,GK,Stuttgart,28-054,1995,10.0,409,331,78,21,0,0,0,0,0,0,0,0,345,0,0,Matches
d4a2533d,Josip Brekalo,hr CRO,"MF,FW",Wolfsburg,24-306,1998,3.0,148,132,16,4,0,3,13,5,4,4,0,0,103,0,9,Matches
e27da244,John Brooks,us USA,DF,Hoffenheim,30-087,1993,10.0,516,484,30,24,0,6,0,1,0,0,0,0,406,2,6,Matches
bbd79358,Moritz Broschinski,de GER,"FW,MF",Bochum,22-214,2000,1.8,40,39,1,0,0,0,3,0,0,0,0,0,25,0,1,Matches
f0a37d36,Cédric Brunner,ch SUI,DF,Schalke 04,29-067,1994,22.4,1004,773,228,15,1,2,49,213,0,0,0,0,669,3,27,Matches
4e204552,Jacob Bruun Larsen,dk DEN,FW,Hoffenheim,24-218,1998,3.3,77,70,6,1,0,0,4,0,0,0,0,0,56,1,3,Matches
45e95f21,Lee Buchanan,eng ENG,"DF,FW",Werder Bremen,22-049,2001,4.1,200,172,28,1,1,3,17,27,0,0,0,0,134,0,2,Matches
ab5b7dc1,Marius Bülter,de GER,"FW,MF",Schalke 04,30-027,1993,25.2,658,638,15,0,3,6,103,15,0,0,0,0,382,5,37,Matches
05e2d5ea,Delano Burgzorg,nl NED,"FW,MF",Mainz 05,24-169,1998,2.4,43,38,3,1,0,0,1,1,1,0,0,0,32,2,3,Matches
05f99a4a,Jonathan Burkardt,de GER,"MF,FW",Mainz 05,22-288,2000,5.9,109,106,1,0,2,2,11,0,0,0,0,0,71,2,5,Matches
f631c17f,Oliver Burke,sct SCO,"FW,MF",Werder Bremen,26-018,1997,3.0,81,78,3,0,0,0,6,1,0,0,0,0,53,0,2,Matches
b4705807,Aurélio Buta,pt POR,DF,Eint Frankfurt,26-074,1997,10.0,555,441,114,4,0,0,41,110,0,0,0,0,412,0,23,Matches
10745192,Jamie Bynoe-Gittens,eng ENG,"FW,MF",Dortmund,18-260,2004,5.9,142,138,3,0,2,1,6,3,0,0,0,0,104,1,1,Matches
0118c54c,Anthony Caci,fr FRA,DF,Mainz 05,25-298,1997,19.3,971,809,158,24,0,20,61,122,12,8,4,0,692,4,22,Matches
d1db4b83,Kerim Calhanoglu,de GER,DF,Schalke 04,20-242,2002,0.7,42,25,17,2,0,0,2,14,1,0,1,0,30,0,3,Matches
d1273f09,Daniel Caligiuri,it ITA,"DF,MF",Augsburg,35-100,1988,3.2,166,116,50,9,0,2,11,35,6,5,1,0,107,0,3,Matches
a65ce836,Emre Can,de GER,"MF,DF",Dortmund,29-103,1994,16.1,957,935,21,16,1,10,1,4,0,0,0,0,850,1,6,Matches
bd6351cd,João Cancelo,pt POR,"DF,FW",Bayern Munich,28-333,1994,7.0,481,431,49,4,2,9,20,45,0,0,0,0,398,1,8,Matches
5e080f73,Irvin Cardona,fr FRA,"FW,MF",Augsburg,25-260,1997,2.6,54,53,0,0,1,0,7,0,0,0,0,0,25,1,2,Matches
db401046,Koen Casteels,be BEL,GK,Wolfsburg,30-304,1992,29.0,1350,1023,326,94,0,11,0,0,0,0,0,0,1051,1,0,Matches
ae7058f9,Julian Chabot,de GER,DF,Köln,25-072,1998,15.0,879,817,60,34,0,2,1,0,0,0,0,0,734,2,3,Matches
b3b7f5a6,Timothy Chandler,us USA,DF,Eint Frankfurt,33-027,1990,0.9,53,37,15,0,0,0,3,15,0,0,0,0,31,1,0,Matches
48780156,Fabio Chiarodia,it ITA,DF,Werder Bremen,17-324,2005,0.7,22,20,2,2,0,1,0,0,0,0,0,0,15,0,1,Matches
af104654,Oliver Christensen,dk DEN,GK,Hertha BSC,24-034,1999,29.0,1081,775,300,103,0,3,0,0,0,0,0,0,705,6,0,Matches
c6608135,Darko Churlinov,mk MKD,FW,Stuttgart,22-288,2000,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
6e17c802,Tolga Ciğerci,tr TUR,MF,Hertha BSC,31-033,1992,7.5,420,369,48,25,1,0,22,1,10,0,8,0,326,3,9,Matches
dd5bbe0d,David Čolina,hr CRO,"DF,FW",Augsburg,22-280,2000,1.2,56,41,15,1,0,0,6,14,0,0,0,0,31,0,4,Matches
042e8a49,Kingsley Coman,fr FRA,"FW,MF",Bayern Munich,26-316,1996,11.7,613,599,11,1,4,7,61,9,1,0,1,0,487,3,15,Matches
5ddb8f9f,Danny da Costa,de GER,DF,Mainz 05,29-286,1993,10.9,492,370,119,0,0,3,48,118,1,0,1,0,296,3,16,Matches
9dff291c,Soumaïla Coulibaly,fr FRA,DF,Dortmund,19-193,2003,0.5,46,46,0,0,0,0,0,0,0,0,0,0,45,0,1,Matches
05ba9d7c,Tanguy Coulibaly,fr FRA,"FW,DF",Stuttgart,22-066,2001,3.2,126,111,14,3,0,1,9,10,1,1,0,0,88,1,13,Matches
8f325097,Nicolas Cozza,fr FRA,DF,Wolfsburg,24-107,1999,0.3,10,9,1,0,0,0,0,1,0,0,0,0,10,0,0,Matches
eac044ad,Moanes Dabbur,il ISR,"FW,MF",Hoffenheim,30-346,1992,7.8,223,215,7,0,0,1,5,2,0,0,0,0,162,1,6,Matches
