id,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Matches
4cd41883,Paxten Aaronson,us USA,"MF,FW",Eint Frankfurt,19-242,2003,3,65,22,2.5,0.7,0,,0,3,22,5,0.33,1,0,+1,+1.38,+1.28,1.6,0.1,+1.5,+2.05,+1.88,Matches
22919e97,Sargis Adamyan,am ARM,"FW,MF",Köln,29-337,1993,23,639,28,24.5,7.1,4,62,0,19,21,4,1.04,11,16,-5,-0.70,-0.61,11.0,11.5,-0.5,-0.07,-0.21,Matches
501055d8,Karim Adeyemi,de GER,"FW,MF",Dortmund,21-097,2002,19,1038,55,39.8,11.5,15,62,1,4,27,1,2.16,29,12,+17,+1.47,+0.90,19.8,12.9,+6.9,+0.60,+0.09,Matches
dcfb17f4,Amine Adli,fr FRA,"FW,MF",Leverkusen,22-350,2000,21,1159,55,44.4,12.9,12,78,1,9,25,1,1.95,25,13,+12,+0.93,+0.93,21.7,12.8,+9.0,+0.69,+0.72,Matches
cb6d81b3,Felix Agu,de GER,"DF,FW",Werder Bremen,23-210,1999,3,49,16,1.9,0.5,0,,0,3,16,9,1.33,1,2,-1,-1.84,-1.56,0.4,2.4,-2.0,-3.53,-3.26,Matches
a6c58494,Naouirou Ahamada,fr FRA,MF,Stuttgart,21-027,2002,17,1398,82,53.6,15.5,17,82,6,0,,0,0.94,17,26,-9,-0.58,-0.13,19.5,18.4,+1.1,+0.07,+0.20,Matches
54507986,Antonis Aidonis,de GER,DF,Stuttgart,21-338,2001,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
462475ed,Ludovic Ajorque,fr FRA,"FW,MF",Mainz 05,29-059,1994,13,988,76,37.9,11.0,12,81,3,1,11,0,1.92,22,12,+10,+0.91,+0.97,15.5,14.8,+0.8,+0.07,+0.16,Matches
6ec6fde0,Kevin Akpoguma,ng NGA,DF,Hoffenheim,28-006,1995,25,1701,68,65.2,18.9,18,81,12,7,35,3,1.04,19,25,-6,-0.32,+0.18,24.1,26.7,-2.6,-0.14,-0.32,Matches
834d0be5,Lucas Alario,ar ARG,"FW,MF",Eint Frankfurt,30-199,1992,20,331,17,12.7,3.7,2,78,1,18,10,8,1.25,5,9,-4,-1.09,-1.40,6.1,3.5,+2.6,+0.69,+0.54,Matches
00f518d8,Faride Alidou,de GER,"DF,MF",Eint Frankfurt,21-281,2001,13,156,12,6.0,1.7,0,,0,13,12,10,1.23,3,4,-1,-0.58,-0.76,3.2,2.4,+0.8,+0.44,+0.23,Matches
8ce30c57,Éder Álvarez Balanta,co COL,"MF,FW",Schalke 04,30-056,1993,6,238,40,9.1,2.6,3,50,0,3,29,3,1.50,2,3,-1,-0.38,+0.72,2.7,4.7,-2.0,-0.75,-0.34,Matches
cd682b6b,Lukáš Ambros,cz CZE,MF,Wolfsburg,18-324,2004,1,17,17,0.7,0.2,0,,0,1,17,6,0.00,0,2,-2,-10.59,-11.14,0.0,1.0,-1.0,-5.36,-5.46,Matches
555d5edd,Nadiem Amiri,de GER,"MF,FW",Leverkusen,26-180,1996,21,821,39,31.5,9.1,7,77,2,14,20,4,1.62,18,15,+3,+0.33,-0.12,13.0,10.5,+2.4,+0.27,-0.04,Matches
e0b113a7,Robert Andrich,de GER,MF,Leverkusen,28-215,1994,27,2226,82,85.3,24.7,26,85,22,1,15,0,1.63,49,36,+13,+0.53,+0.76,39.2,33.3,+5.9,+0.24,-0.39,Matches
30941e96,Angeliño,es ESP,DF,Hoffenheim,26-111,1997,28,2230,80,85.4,24.8,25,88,20,3,13,0,1.04,30,45,-15,-0.61,-1.55,33.3,37.5,-4.2,-0.17,-0.97,Matches
5e66fa06,Waldemar Anton,de GER,DF,Stuttgart,26-279,1996,29,2504,86,95.9,27.8,29,86,23,0,,0,0.86,35,48,-13,-0.47,+1.23,35.5,37.6,-2.0,-0.07,-1.23,Matches
0a3f6cde,Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,29-077,1994,24,1546,64,59.2,17.2,17,79,6,7,29,2,1.13,24,35,-11,-0.64,+1.31,23.8,30.5,-6.8,-0.39,+0.99,Matches
56413b1f,Charles Aránguiz,cl CHI,MF,Leverkusen,34-008,1989,10,493,49,18.9,5.5,4,60,0,6,42,0,0.80,7,10,-3,-0.55,-1.19,7.4,8.6,-1.2,-0.22,-0.64,Matches
86e119e0,Maximilian Arnold,de GER,MF,Wolfsburg,28-333,1994,27,2326,86,89.1,25.8,27,86,20,0,,0,1.52,47,33,+14,+0.54,+0.54,38.8,34.9,+3.8,+0.15,+0.73,Matches
13ddc856,Takuma Asano,jp JPN,"FW,MF",Bochum,28-166,1994,20,1310,66,50.2,14.6,16,74,3,4,33,0,0.70,18,33,-15,-1.03,+0.28,21.7,30.2,-8.5,-0.58,+0.43,Matches
35f67a30,Fisnik Asllani,xk KVX,FW,Hoffenheim,20-260,2002,8,167,21,6.4,1.9,0,,0,8,21,2,0.38,1,3,-2,-1.08,-0.75,3.2,2.7,+0.5,+0.25,+0.30,Matches
dbd1b101,Noah Atubolu,de GER,GK,Freiburg,20-335,2002,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
