id,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
4cd41883,Paxten Aaronson,us USA,MF,Eint Frankfurt,19-234,2003,0.5,24,0,0,9,15,5,24,1,0,0.0,1,100.0,14,54,13,2,0,1,0,0,13,2,Matches
22919e97,Sargis Adamyan,am ARM,"FW,MF",Köln,29-329,1993,7.1,301,6,33,129,145,48,301,26,6,23.1,15,57.7,162,877,341,11,8,5,26,16,187,58,Matches
501055d8,Karim Adeyemi,de GER,"FW,MF",Dortmund,21-089,2002,10.5,492,7,48,189,266,43,492,59,19,32.2,30,50.8,327,2180,924,29,25,12,38,17,346,92,Matches
dcfb17f4,Amine Adli,fr FRA,"FW,MF",Leverkusen,22-342,2000,11.9,589,7,60,298,238,53,589,44,19,43.2,15,34.1,344,1863,983,35,22,11,46,15,444,101,Matches
cb6d81b3,Felix Agu,de GER,"DF,FW",Werder Bremen,23-202,1999,0.5,33,1,7,13,14,2,33,3,0,0.0,2,66.7,19,165,24,0,2,0,1,2,19,2,Matches
a6c58494,Naouirou Ahamada,fr FRA,MF,Stuttgart,21-019,2002,15.5,674,18,139,387,160,22,674,44,20,45.5,20,45.5,408,2988,1511,43,27,6,34,11,453,54,Matches
462475ed,Ludovic Ajorque,fr FRA,"FW,MF",Mainz 05,29-051,1994,10.1,419,5,25,211,187,65,419,10,6,60.0,3,30.0,193,765,212,4,5,0,32,12,323,69,Matches
6ec6fde0,Kevin Akpoguma,ng NGA,DF,Hoffenheim,27-363,1995,18.2,1071,113,493,502,84,16,1071,21,7,33.3,13,61.9,550,2916,1283,15,13,3,15,6,592,23,Matches
834d0be5,Lucas Alario,ar ARG,"FW,MF",Eint Frankfurt,30-191,1992,3.7,131,13,22,51,61,24,131,8,5,62.5,3,37.5,53,234,116,2,6,1,4,8,91,17,Matches
00f518d8,Faride Alidou,de GER,"DF,MF",Eint Frankfurt,21-273,2001,1.7,99,2,19,52,29,3,99,8,2,25.0,6,75.0,45,280,151,7,3,2,4,3,50,16,Matches
8ce30c57,Éder Álvarez Balanta,co COL,"MF,FW",Schalke 04,30-048,1993,2.6,114,4,38,60,17,2,114,4,3,75.0,1,25.0,55,234,130,3,1,0,1,2,53,0,Matches
cd682b6b,Lukáš Ambros,cz CZE,MF,Wolfsburg,18-316,2004,0.2,9,1,3,5,1,0,9,1,0,0.0,1,100.0,4,28,7,0,0,0,0,0,4,0,Matches
555d5edd,Nadiem Amiri,de GER,"MF,FW",Leverkusen,26-172,1996,8.9,513,11,87,293,139,10,513,33,15,45.5,14,42.4,295,1831,919,26,25,5,10,6,365,26,Matches
e0b113a7,Robert Andrich,de GER,MF,Leverkusen,28-207,1994,23.7,1527,100,489,897,148,14,1527,6,5,83.3,1,16.7,638,3054,1477,11,15,1,17,3,961,6,Matches
30941e96,Angeliño,es ESP,DF,Hoffenheim,26-103,1997,23.9,1481,60,395,635,458,27,1481,22,10,45.5,8,36.4,681,2640,1176,20,23,3,24,14,801,106,Matches
5e66fa06,Waldemar Anton,de GER,DF,Stuttgart,26-271,1996,26.8,1951,216,922,829,222,32,1951,35,17,48.6,17,48.6,1061,6618,3680,49,29,4,24,14,1195,48,Matches
0a3f6cde,Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,29-069,1994,16.5,708,3,63,217,441,47,708,62,27,43.5,29,46.8,397,2852,1164,49,37,12,73,26,404,170,Matches
56413b1f,Charles Aránguiz,cl CHI,MF,Leverkusen,34-000,1989,5.5,368,9,84,225,61,8,368,7,4,57.1,1,14.3,172,681,278,3,3,0,8,2,244,7,Matches
86e119e0,Maximilian Arnold,de GER,MF,Wolfsburg,28-325,1994,24.8,1596,92,387,915,308,10,1591,16,7,43.8,5,31.3,811,3912,1993,25,22,1,15,18,872,17,Matches
13ddc856,Takuma Asano,jp JPN,"FW,MF",Bochum,28-158,1994,14.1,405,5,44,163,205,51,405,30,11,36.7,14,46.7,261,1711,629,21,13,9,42,28,291,85,Matches
35f67a30,Fisnik Asllani,xk KVX,FW,Hoffenheim,20-252,2002,1.9,95,3,8,36,53,16,95,3,1,33.3,2,66.7,56,182,103,4,3,3,7,2,75,19,Matches
fe46e261,Mehmet Aydin,de GER,"DF,FW",Schalke 04,21-067,2002,6.0,356,22,121,153,91,5,356,14,4,28.6,7,50.0,153,893,355,8,11,2,12,3,141,21,Matches
ce81d82d,Ayman Azhil,ma MAR,MF,Leverkusen,22-007,2001,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
10549b49,Sardar Azmoun,ir IRN,"FW,MF",Leverkusen,28-106,1995,7.4,265,6,31,137,105,42,265,8,4,50.0,4,50.0,127,565,279,8,6,7,18,8,200,39,Matches
f582d5c1,Sanoussy Ba,de GER,DF,RB Leipzig,19-102,2004,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
a8567629,Mitchel Bakker,nl NED,"DF,MF",Leverkusen,22-301,2000,13.2,843,24,252,418,183,21,843,26,7,26.9,15,57.7,407,1934,1024,20,13,6,18,10,513,52,Matches
442b56fa,Ridle Baku,de GER,DF,Wolfsburg,25-009,1998,23.2,1554,66,437,743,382,33,1554,49,18,36.7,22,44.9,882,4220,2038,42,17,5,45,15,955,119,Matches
a2a85828,Aymen Barkok,ma MAR,MF,Mainz 05,24-331,1998,4.6,262,11,41,98,129,13,262,17,9,52.9,8,47.1,135,976,531,11,14,3,13,7,155,23,Matches
00242b75,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,23-104,2000,19.3,713,43,178,350,196,47,713,13,4,30.8,5,38.5,287,1143,438,12,14,2,31,10,303,40,Matches
e61bdd69,Gil Bastião Dias,pt POR,FW,Stuttgart,26-201,1996,4.4,246,4,46,111,97,13,246,19,10,52.6,8,42.1,157,1079,531,16,5,4,17,11,164,33,Matches
44a20f0c,Maximilian Bauer,de GER,DF,Augsburg,23-067,2000,16.7,825,113,501,296,33,12,825,4,2,50.0,1,25.0,381,1844,995,8,8,0,7,3,422,2,Matches
47064058,Oliver Baumann,de GER,GK,Hoffenheim,32-319,1990,28.0,1239,994,1228,11,0,0,1239,0,0,,0,,771,3528,1943,0,0,0,0,0,636,0,Matches
bd7d2e6d,Timo Baumgartl,de GER,DF,Union Berlin,27-044,1996,5.7,330,31,154,155,22,8,330,0,0,,0,,187,985,553,3,3,0,3,0,202,2,Matches
69374ff5,Julian Baumgartlinger,at AUT,MF,Augsburg,35-105,1988,5.7,273,19,92,144,38,3,273,3,1,33.3,1,33.3,132,428,186,1,2,0,7,2,138,2,Matches
437f2b00,Christoph Baumgartner,at AUT,"MF,FW",Hoffenheim,23-259,1999,23.9,1145,35,173,552,442,105,1145,104,49,47.1,42,40.4,664,4334,2151,64,51,28,64,30,763,127,Matches
