id,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches
565bf0da,David Abraham,ar ARG,DF,Eint Frankfurt,31,1986,27,27,2302,25.6,0,2,2,0,0,0,3,0,0.4,0.4,0.7,1.1,17,103,7,0.00,0.08,0.08,0.00,0.08,0.01,0.03,0.04,0.01,0.04,Matches
1c08a3c8,Amir Abrashi,al ALB,MF,Freiburg,27,1990,12,11,850,9.4,0,0,0,0,0,0,2,0,0.2,0.2,0.4,0.7,8,38,18,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07,Matches
f71890f5,René Adler,de GER,GK,Mainz 05,32,1985,14,14,1260,14.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
74ced675,Ailton,br BRA,"DF,MF",Stuttgart,22,1995,5,1,108,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,2,4,3,0.00,0.00,0.00,0.00,0.00,0.03,0.11,0.14,0.03,0.14,Matches
89ac64a6,Manuel Akanji,ch SUI,DF,Dortmund,22,1995,11,10,904,10.0,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,15,47,7,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
debc2f28,Chadrac Akolo,cd COD,"MF,FW",Stuttgart,22,1995,22,13,1102,12.2,5,0,5,5,0,1,2,0,4.7,4.0,1.0,4.9,27,35,75,0.41,0.00,0.41,0.41,0.41,0.39,0.08,0.47,0.32,0.40,Matches
6ec6fde0,Kevin Akpoguma,ng NGA,DF,Hoffenheim,22,1995,22,17,1690,18.8,0,1,1,0,0,0,1,0,0.2,0.2,1.4,1.6,23,85,8,0.00,0.05,0.05,0.00,0.05,0.01,0.07,0.09,0.01,0.09,Matches
05439de2,David Alaba,at AUT,DF,Bayern Munich,25,1992,23,17,1551,17.2,2,2,4,2,0,0,1,0,1.3,1.3,2.3,3.5,53,110,178,0.12,0.12,0.23,0.12,0.23,0.07,0.13,0.20,0.07,0.20,Matches
834d0be5,Lucas Alario,ar ARG,FW,Leverkusen,24,1992,23,17,1550,17.2,9,4,13,8,1,2,4,1,10.5,8.9,1.8,10.8,16,28,111,0.52,0.23,0.75,0.46,0.70,0.61,0.11,0.72,0.52,0.63,Matches
d459281d,Miiko Albornoz,cl CHI,"DF,MF",Hannover 96,26,1990,10,7,703,7.8,0,0,0,0,0,0,1,0,0.2,0.2,1.4,1.6,10,25,19,0.00,0.00,0.00,0.00,0.00,0.02,0.18,0.21,0.02,0.21,Matches
77e84962,Thiago Alcántara,es ESP,"MF,FW",Bayern Munich,26,1991,19,12,1247,13.9,2,2,4,2,0,0,3,0,2.5,2.5,1.9,4.4,30,183,80,0.14,0.14,0.29,0.14,0.29,0.18,0.14,0.32,0.18,0.32,Matches
2930c9d8,Stephan Ambrosius,gh GHA,DF,Hamburger SV,18,1998,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
555d5edd,Nadiem Amiri,de GER,MF,Hoffenheim,20,1996,28,19,1744,19.4,2,3,5,2,0,0,4,0,2.9,2.9,3.4,6.4,51,89,116,0.10,0.15,0.26,0.10,0.26,0.15,0.18,0.33,0.15,0.33,Matches
