id,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
4b7a9fcc,James Abankwah,ie IRL,DF,Udinese,19-099,2004,0.1,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,Matches
8f5cdf66,Oliver Abildgaard,dk DEN,MF,Hellas Verona,26-319,1996,2.2,4,3,2,1,1,3,7,42.9,4,3,0,3,1,5,7,0,Matches
f586779e,Tammy Abraham,eng ENG,FW,Roma,25-205,1997,21.2,12,7,3,5,4,3,14,21.4,11,10,4,6,3,15,11,0,Matches
771a2cfe,Christian Acella,it ITA,MF,Cremonese,20-292,2002,0.2,1,0,1,0,0,0,2,0.0,2,0,0,0,0,1,0,0,Matches
b96b595c,Francesco Acerbi,it ITA,DF,Inter,35-074,1988,21.3,27,15,17,6,4,16,22,72.7,6,15,9,6,31,58,64,0,Matches
26777636,Yacine Adli,fr FRA,"MF,FW",Milan,22-270,2000,1.4,6,3,2,4,0,2,2,100.0,0,2,0,2,1,7,1,0,Matches
f9c927de,Michel Aebischer,ch SUI,"FW,MF",Bologna,26-109,1997,13.2,10,4,3,4,3,2,14,14.3,12,13,2,11,6,16,6,0,Matches
0154d290,Felix Afena-Gyan,gh GHA,"FW,MF",Cremonese,20-096,2003,7.4,6,3,4,1,1,2,7,28.6,5,5,1,4,1,7,3,0,Matches
46fa7204,Kevin Agudelo,co COL,"MF,FW",Spezia,24-162,1998,20.7,66,34,19,28,19,21,53,39.6,32,36,5,31,9,75,6,0,Matches
246d153b,Ola Aina,ng NGA,DF,Torino,26-199,1996,9.0,15,11,5,7,3,8,14,57.1,6,11,2,9,9,24,26,0,Matches
d810c13b,Emanuel Aiwum,at AUT,DF,Cremonese,22-121,2000,16.4,48,29,29,17,2,28,42,66.7,14,25,15,10,24,72,50,3,Matches
fdf4b948,Jean-Daniel Akpa-Akpro,ci CIV,MF,Empoli,30-196,1992,10.7,37,28,18,14,5,13,22,59.1,9,29,4,25,12,49,23,0,Matches
5294a83f,Luis Alberto,es ESP,MF,Lazio,30-209,1992,20.1,33,18,14,13,6,16,52,30.8,36,27,5,22,7,40,3,0,Matches
ab472696,Agustín Álvarez Martínez,uy URU,"FW,MF",Sassuolo,21-341,2001,3.7,6,3,0,5,1,1,4,25.0,3,4,1,3,3,9,3,0,Matches
bcc81786,Kelvin Amian,fr FRA,DF,Spezia,25-076,1998,20.7,45,28,27,10,8,19,26,73.1,7,26,11,15,21,66,66,1,Matches
2df7cc43,Bruno Amione,ar ARG,DF,Hellas Verona,21-112,2002,0.6,1,1,1,0,0,1,2,50.0,1,1,0,1,0,1,4,0,Matches
2df7cc43,Bruno Amione,ar ARG,DF,Sampdoria,21-112,2002,18.6,44,28,30,14,0,17,33,51.5,16,21,11,10,21,65,49,1,Matches
10b9fa99,Ethan Ampadu,wls WAL,"DF,MF",Spezia,22-223,2000,23.0,54,30,24,25,5,13,33,39.4,20,38,17,21,28,82,76,0,Matches
5a2cb25d,Sofyan Amrabat,ma MAR,MF,Fiorentina,26-247,1996,19.5,31,19,13,12,6,14,26,53.8,12,22,5,17,20,51,15,2,Matches
9f1893b9,Felipe Anderson,br BRA,FW,Lazio,30-010,1993,27.4,58,38,20,32,6,21,62,33.9,41,45,4,41,20,78,19,0,Matches
38d9ce53,Janis Antiste,fr FRA,FW,Sassuolo,20-250,2002,0.6,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches
108fe016,Marcos Antônio,br BRA,MF,Lazio,22-316,2000,4.0,5,4,3,2,0,5,10,50.0,5,2,0,2,6,11,11,0,Matches
8f68aa41,Valentin Antov,bg BUL,DF,Monza,22-167,2000,3.2,6,5,3,3,0,1,5,20.0,4,5,4,1,2,8,10,1,Matches
00459419,Marko Arnautović,at AUT,FW,Bologna,34-006,1989,13.7,8,5,2,4,2,1,5,20.0,4,9,1,8,2,10,8,0,Matches
963a328b,Tolgay Arslan,de GER,MF,Udinese,32-252,1990,10.9,23,14,11,11,1,10,28,35.7,18,13,0,13,7,30,9,1,Matches
a820e429,Arthur,br BRA,FW,Fiorentina,25-000,1998,14.2,8,2,1,3,4,4,8,50.0,4,10,1,9,1,9,11,0,Matches
e26fcca3,Santiago Ascacíbar,ar ARG,MF,Cremonese,26-059,1997,8.1,29,14,17,10,2,14,35,40.0,21,14,2,12,13,42,11,0,Matches
a69cc629,Kristoffer Askildsen,no NOR,MF,Lecce,22-106,2001,7.0,7,3,2,3,2,4,8,50.0,4,11,3,8,11,18,6,0,Matches
0fdcef0e,Kristjan Asllani,al ALB,MF,Inter,21-047,2002,5.0,9,5,1,6,2,6,7,85.7,1,2,0,2,5,14,3,0,Matches
649b01d8,Emil Audero,it ITA,GK,Sampdoria,26-097,1997,25.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,7,1,Matches
3cd3b384,Tommaso Augello,it ITA,DF,Sampdoria,28-238,1994,27.0,15,12,11,2,2,7,14,50.0,7,20,7,13,10,25,46,1,Matches
2200181e,Kaan Ayhan,tr TUR,DF,Sassuolo,28-166,1994,6.1,10,4,6,4,0,7,7,100.0,0,5,4,1,5,15,26,1,Matches
dfd24c07,Jaime Báez,uy URU,DF,Cremonese,28-000,1995,1.1,4,2,3,0,1,3,6,50.0,3,0,0,0,0,4,2,1,Matches
f42d6c13,Nedim Bajrami,al ALB,"MF,FW",Empoli,24-056,1999,10.4,8,4,3,3,2,4,6,66.7,2,5,0,5,7,15,4,0,Matches
f42d6c13,Nedim Bajrami,al ALB,"FW,MF",Sassuolo,24-056,1999,5.6,5,2,3,2,0,3,6,50.0,3,6,1,5,6,11,5,0,Matches
59bf127b,Tiemoué Bakayoko,fr FRA,MF,Milan,28-251,1994,0.5,5,5,4,1,0,3,3,100.0,0,0,0,0,0,5,0,1,Matches
102e2599,Tommaso Baldanzi,it ITA,MF,Empoli,20-033,2003,16.5,19,9,8,10,1,6,25,24.0,19,17,1,16,2,21,4,0,Matches
f449640d,Fodé Ballo-Touré,sn SEN,DF,Milan,26-112,1997,4.2,11,6,6,5,0,4,5,80.0,1,10,3,7,1,12,3,0,Matches
8a6de8c7,Lameck Banda,zm ZAM,"FW,MF",Lecce,22-086,2001,14.5,25,15,11,11,3,11,33,33.3,22,21,2,19,3,28,3,0,Matches
d44360be,Filippo Bandinelli,it ITA,MF,Empoli,28-027,1995,22.6,48,29,17,23,8,14,35,40.0,21,18,6,12,12,60,35,0,Matches
01efac19,Antonín Barák,cz CZE,MF,Hellas Verona,28-143,1994,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
