id,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
95adf1e1,Enrico Alfonso,it ITA,GK,Brescia,31,1988,4,4,279,3.1,4,1.29,11,7,63.6,1,0,3,1,25.0,0,0,0,0,,Matches
fe471a89,Lorenzo Andrenacci,it ITA,GK,Brescia,24,1995,6,5,531,5.9,16,2.71,44,28,63.6,0,1,4,0,0.0,1,0,0,1,,Matches
649b01d8,Emil Audero,it ITA,GK,Sampdoria,22,1997,36,36,3240,36.0,60,1.67,165,109,67.9,12,5,19,9,25.0,8,7,0,1,0.0,Matches
7b4de647,Asmir Begović,ba BIH,GK,Milan,32,1987,2,1,129,1.4,3,2.09,7,4,71.4,0,0,1,0,0.0,1,1,0,0,0.0,Matches
ee833569,Etrit Berisha,al ALB,GK,SPAL,30,1989,26,26,2340,26.0,44,1.69,147,105,74.1,5,3,18,3,11.5,6,6,0,0,0.0,Matches
d4890c25,Federico Brancolini,it ITA,GK,Fiorentina,18,2001,1,0,6,0.1,0,0.00,0,0,,0,0,0,1,,0,0,0,0,,Matches
e40d028b,Gianluigi Buffon,it ITA,GK,Juventus,41,1978,9,9,810,9.0,10,1.11,33,23,72.7,7,1,1,1,11.1,2,1,0,1,0.0,Matches
72be9309,Simone Colombi,it ITA,GK,Parma,28,1991,4,4,360,4.0,4,1.00,19,15,84.2,1,1,2,1,25.0,2,1,0,1,0.0,Matches
8cabdc1e,Andrea Consigli,it ITA,GK,Sassuolo,32,1987,31,31,2790,31.0,55,1.77,145,92,66.9,12,5,14,5,16.1,8,7,1,0,12.5,Matches
18736214,Angelo da Costa Júnior,br BRA,GK,Bologna,35,1983,1,1,90,1.0,1,1.00,2,1,50.0,0,1,0,0,0.0,0,0,0,0,,Matches
f554e29b,Alessio Cragno,it ITA,GK,Cagliari,25,1994,16,16,1440,16.0,21,1.31,89,68,77.5,2,6,8,3,18.8,2,1,1,0,50.0,Matches
08f5afaa,Gianluigi Donnarumma,it ITA,GK,Milan,20,1999,36,36,3201,35.6,42,1.18,141,96,73.0,18,9,9,12,33.3,8,4,4,0,50.0,Matches
085e71a7,Bartłomiej Drągowski,pl POL,GK,Fiorentina,21,1997,31,31,2790,31.0,43,1.39,139,94,73.4,7,12,12,8,25.8,8,6,2,0,25.0,Matches
9f5a610b,Wladimiro Falcone,it ITA,GK,Sampdoria,24,1995,2,2,180,2.0,5,2.50,13,8,69.2,0,1,1,0,0.0,1,1,0,0,0.0,Matches
82328faf,Daniel Fuzato,br BRA,GK,Roma,22,1997,1,1,90,1.0,1,1.00,2,1,50.0,1,0,0,0,0.0,0,0,0,0,,Matches
f93ed0df,Gabriel,br BRA,GK,Lecce,26,1992,34,34,2997,33.3,76,2.28,227,152,70.9,6,8,20,2,5.9,12,10,2,0,16.7,Matches
f0f7f62f,Pierluigi Gollini,it ITA,GK,Atalanta,24,1995,33,33,2884,32.0,42,1.31,120,81,70.0,19,9,5,8,24.2,6,6,0,0,0.0,Matches
74419746,Samir Handanović,si SVN,GK,Inter,35,1984,35,35,3150,35.0,32,0.91,110,78,72.7,22,10,3,13,37.1,3,2,1,0,33.3,Matches
7f66ea09,Jesse Joronen,fi FIN,GK,Brescia,26,1993,29,29,2610,29.0,59,2.03,181,124,72.4,5,6,18,5,17.2,10,9,1,0,10.0,Matches
4a6914ff,Karlo Letica,hr CRO,GK,SPAL,22,1997,10,10,900,10.0,29,2.90,65,36,55.4,0,1,9,0,0.0,1,0,1,0,100.0,Matches
20b9f052,Pau López,es ESP,GK,Roma,24,1994,32,32,2880,32.0,45,1.41,132,86,72.0,18,6,8,5,15.6,9,8,1,0,11.1,Matches
9413b19f,Alex Meret,it ITA,GK,Napoli,22,1997,22,21,1951,21.7,33,1.52,84,51,66.7,9,5,7,3,14.3,6,5,1,0,16.7,Matches
30223b33,Antonio Mirante,it ITA,GK,Roma,36,1983,5,5,450,5.0,5,1.00,24,19,83.3,2,1,2,2,40.0,1,1,0,0,0.0,Matches
a111cf41,Juan Musso,ar ARG,GK,Udinese,25,1994,38,38,3420,38.0,51,1.34,194,141,77.8,12,9,17,14,36.8,10,8,2,0,20.0,Matches
