id,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
4b7a9fcc,James Abankwah,ie IRL,DF,Udinese,19-099,2004,0.1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,Matches
8f5cdf66,Oliver Abildgaard,dk DEN,MF,Hellas Verona,26-319,1996,2.2,0,0,0,3,1,0,1,1,3,0,0,0,15,15,5,75.0,Matches
f586779e,Tammy Abraham,eng ENG,FW,Roma,25-205,1997,21.2,2,0,0,30,44,10,7,3,7,1,0,0,41,66,57,53.7,Matches
771a2cfe,Christian Acella,it ITA,MF,Cremonese,20-292,2002,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
b96b595c,Francesco Acerbi,it ITA,DF,Inter,35-074,1988,21.3,4,0,0,12,10,1,20,31,15,0,0,0,122,69,32,68.3,Matches
26777636,Yacine Adli,fr FRA,"MF,FW",Milan,22-270,2000,1.4,1,0,0,4,1,1,4,1,3,0,0,0,6,0,3,0.0,Matches
f9c927de,Michel Aebischer,ch SUI,"FW,MF",Bologna,26-109,1997,13.2,3,0,0,16,18,7,19,6,4,1,1,0,58,8,21,27.6,Matches
0154d290,Felix Afena-Gyan,gh GHA,"FW,MF",Cremonese,20-096,2003,7.4,4,0,0,16,7,4,4,1,3,0,0,0,30,12,29,29.3,Matches
46fa7204,Kevin Agudelo,co COL,"MF,FW",Spezia,24-162,1998,20.7,3,0,0,30,32,2,27,9,34,0,0,0,121,14,24,36.8,Matches
246d153b,Ola Aina,ng NGA,DF,Torino,26-199,1996,9.0,5,0,0,15,15,1,31,9,11,0,1,0,53,12,9,57.1,Matches
d810c13b,Emanuel Aiwum,at AUT,DF,Cremonese,22-121,2000,16.4,3,0,0,19,10,0,4,24,29,0,0,0,103,25,13,65.8,Matches
fdf4b948,Jean-Daniel Akpa-Akpro,ci CIV,MF,Empoli,30-196,1992,10.7,8,2,1,22,13,0,9,12,28,0,0,0,54,11,9,55.0,Matches
5294a83f,Luis Alberto,es ESP,MF,Lazio,30-209,1992,20.1,2,0,0,10,11,2,110,7,18,0,0,0,125,6,10,37.5,Matches
ab472696,Agustín Álvarez Martínez,uy URU,"FW,MF",Sassuolo,21-341,2001,3.7,1,0,0,8,4,2,4,3,3,0,0,0,19,8,11,42.1,Matches
bcc81786,Kelvin Amian,fr FRA,DF,Spezia,25-076,1998,20.7,4,0,0,32,2,1,26,21,28,0,1,0,86,26,31,45.6,Matches
2df7cc43,Bruno Amione,ar ARG,DF,Hellas Verona,21-112,2002,0.6,1,0,0,3,0,0,0,0,1,0,0,0,5,1,0,100.0,Matches
2df7cc43,Bruno Amione,ar ARG,DF,Sampdoria,21-112,2002,18.6,7,0,0,19,12,0,5,21,28,0,1,0,105,59,36,62.1,Matches
10b9fa99,Ethan Ampadu,wls WAL,"DF,MF",Spezia,22-223,2000,23.0,8,1,1,32,17,1,10,28,30,0,2,0,163,52,33,61.2,Matches
5a2cb25d,Sofyan Amrabat,ma MAR,MF,Fiorentina,26-247,1996,19.5,11,0,0,42,28,0,24,20,19,0,1,0,144,11,10,52.4,Matches
