id,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
01040647,Gennaro Acampora,it ITA,"MF,FW",Spezia,26,1994,4.9,185,223,83.0,3437,574,79,86,91.9,83,100,83.0,19,27,70.4,0,0.0,0.2,0.0,1,20,2,0,28,Matches
b96b595c,Francesco Acerbi,it ITA,DF,Lazio,32,1988,31.3,1854,2097,88.4,35641,11589,703,767,91.7,880,930,94.6,248,352,70.5,1,1.0,1.4,0.0,10,110,21,10,141,Matches
7005ac66,Andrea Adorante,it ITA,FW,Parma,20,2000,0.1,1,1,100.0,18,0,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
8bc8829a,Lucien Agoume,fr FRA,MF,Spezia,18,2002,8.9,434,487,89.1,7835,1942,191,205,93.2,187,205,91.2,47,59,79.7,0,0.1,0.3,-0.1,2,39,3,1,46,Matches
46fa7204,Kevin Agudelo,co COL,FW,Spezia,21,1998,15.1,228,328,69.5,3824,848,114,141,80.9,86,110,78.2,22,36,61.1,2,1.3,0.8,+0.7,12,27,10,0,43,Matches
fdf4b948,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,27,1992,11.7,293,361,81.2,4459,907,149,181,82.3,113,124,91.1,15,22,68.2,1,0.8,0.3,+0.2,12,20,7,0,26,Matches
5294a83f,Luis Alberto,es ESP,MF,Lazio,27,1992,29.1,1493,1946,76.7,25097,9846,712,808,88.1,575,702,81.9,157,308,51.0,2,7.9,7.0,-5.9,80,282,83,6,301,Matches
585a73a8,Bruno Alves,pt POR,DF,Parma,38,1981,18.1,790,931,84.9,19031,7295,142,160,88.8,456,499,91.4,190,256,74.2,0,0.1,0.2,-0.1,2,43,3,1,50,Matches
35b4bc62,Wisdom Amey,it ITA,DF,Bologna,14,2005,0.0,5,5,100.0,102,7,2,2,100.0,2,2,100.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
5a2cb25d,Sofyan Amrabat,ma MAR,MF,Fiorentina,23,1996,27.1,1210,1378,87.8,23407,5627,469,531,88.3,540,582,92.8,179,204,87.7,0,0.6,0.9,-0.6,13,143,11,4,151,Matches
ca241ad3,Djavan Anderson,nl NED,DF,Lazio,25,1995,0.8,23,32,71.9,265,37,15,19,78.9,7,8,87.5,0,2,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
326d09ef,Nícolas Andrade,br BRA,GK,Udinese,32,1988,2.0,34,40,85.0,978,673,6,6,100.0,19,19,100.0,9,15,60.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
0e0e4422,Davide Angelo Ghislandi,it ITA,DF,Atalanta,19,2001,0.1,3,3,100.0,51,9,1,1,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,Matches
f5409698,Philip Ankhrah,gh GHA,MF,Hellas Verona,17,2002,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
bbafc0c4,Cristian Ansaldi,ar ARG,"DF,FW",Torino,33,1986,21.6,674,997,67.6,12959,5276,308,350,88.0,242,345,70.1,106,248,42.7,6,5.0,4.8,+1.0,36,64,40,34,66,Matches
8f68aa41,Valentin Antov,bg BUL,DF,Bologna,19,2000,2.6,108,122,88.5,2181,851,41,42,97.6,51,55,92.7,16,25,64.0,0,0.0,0.0,0.0,1,4,0,0,6,Matches
2f7407fa,Nicolò Armini,it ITA,DF,Lazio,19,2001,0.1,3,5,60.0,93,31,2,3,66.7,0,0,,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
963a328b,Tolgay Arslan,de GER,MF,Udinese,29,1990,20.2,749,890,84.2,12827,2917,341,380,89.7,325,363,89.5,62,97,63.9,0,0.4,0.9,-0.4,9,73,12,2,80,Matches
089550f5,Kwadwo Asamoah,gh GHA,"DF,MF",Cagliari,31,1988,2.5,95,114,83.3,1746,456,43,48,89.6,38,43,88.4,12,17,70.6,0,0.0,0.1,0.0,0,10,2,0,6,Matches
a69cc629,Kristoffer Askildsen,no NOR,MF,Sampdoria,19,2001,1.1,10,19,52.6,146,67,8,12,66.7,1,2,50.0,1,3,33.3,0,0.0,0.0,0.0,0,1,0,0,1,Matches
649b01d8,Emil Audero,it ITA,GK,Sampdoria,23,1997,37.0,877,1247,70.3,26471,19006,124,125,99.2,387,394,98.2,364,724,50.3,1,0.2,0.0,+0.8,1,12,0,0,0,Matches
3cd3b384,Tommaso Augello,it ITA,DF,Sampdoria,25,1994,35.7,1564,2061,75.9,24859,10136,807,916,88.1,628,807,77.8,97,228,42.5,3,3.9,4.1,-0.9,29,100,40,25,157,Matches
2200181e,Kaan Ayhan,tr TUR,DF,Sassuolo,25,1994,8.8,515,567,90.8,8573,2411,234,246,95.1,251,268,93.7,26,41,63.4,0,0.0,0.2,0.0,0,51,2,0,41,Matches
e8c930bb,Milan Badelj,hr CRO,MF,Genoa,31,1989,26.8,1295,1597,81.1,23532,7988,597,674,88.6,492,585,84.1,182,261,69.7,4,2.7,1.6,+1.3,29,149,25,2,170,Matches
59bf127b,Tiemoué Bakayoko,fr FRA,MF,Napoli,25,1994,21.8,1080,1228,87.9,17505,4453,524,590,88.8,442,465,95.1,82,103,79.6,1,0.8,1.0,+0.2,12,87,8,0,99,Matches
509a4ccb,Keita Baldé,sn SEN,FW,Sampdoria,25,1995,13.3,230,315,73.0,3100,526,135,169,79.9,74,96,77.1,7,18,38.9,1,2.4,1.3,-1.4,21,14,6,0,26,Matches
348bafd4,Botond Balogh,hu HUN,DF,Parma,18,2002,1.8,59,79,74.7,1277,419,12,16,75.0,35,42,83.3,11,18,61.1,0,0.0,0.0,0.0,0,0,0,0,2,Matches
0821331c,Mattia Bani,it ITA,DF,Genoa,26,1993,10.2,443,529,83.7,8734,3270,142,163,87.1,236,258,91.5,58,88,65.9,0,0.2,0.2,-0.2,2,14,2,1,15,Matches
0821331c,Mattia Bani,it ITA,DF,Parma,26,1993,12.7,633,712,88.9,13012,4280,167,187,89.3,382,398,96.0,79,115,68.7,0,0.4,0.3,-0.4,2,23,2,1,32,Matches
01efac19,Antonín Barák,cz CZE,MF,Hellas Verona,25,1994,30.7,1017,1311,77.6,16319,4200,523,629,83.1,395,476,83.0,67,104,64.4,3,2.2,2.0,+0.8,24,126,26,2,147,Matches
c010b898,Federico Barba,it ITA,DF,Benevento,26,1993,29.5,1095,1396,78.4,19174,7531,465,527,88.2,496,606,81.8,101,198,51.0,2,1.4,1.3,+0.6,13,56,14,4,80,Matches
6928979a,Nicolò Barella,it ITA,MF,Inter,23,1997,32.2,1591,1931,82.4,25100,8423,850,935,90.9,564,662,85.2,123,201,61.2,7,5.7,4.8,+1.3,47,182,66,10,261,Matches
