id,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Matches
4b7a9fcc,James Abankwah,ie IRL,DF,Udinese,19-113,2004,1,5,5,0.2,0.1,0,,0,1,5,30,0.00,0,0,0,0.00,-0.12,0.0,0.0,0.0,0.00,+0.06,Matches
8f5cdf66,Oliver Abildgaard,dk DEN,MF,Hellas Verona,26-333,1996,9,467,52,15.3,5.2,5,78,4,4,20,5,1.44,2,7,-5,-0.96,-0.34,4.1,6.1,-2.0,-0.38,-0.08,Matches
f586779e,Tammy Abraham,eng ENG,FW,Roma,25-219,1997,34,2100,62,68.6,23.3,24,77,7,10,25,0,1.71,31,23,+8,+0.34,-0.03,36.2,20.8,+15.4,+0.66,-0.16,Matches
771a2cfe,Christian Acella,it ITA,MF,Cremonese,20-306,2002,1,15,15,0.5,0.2,0,,0,1,15,21,0.00,0,1,-1,-6.00,-5.20,0.0,0.1,-0.1,-0.65,+0.05,Matches
b96b595c,Francesco Acerbi,it ITA,DF,Inter,35-088,1988,27,2185,81,71.4,24.3,23,89,22,4,32,3,1.89,45,23,+22,+0.91,+0.39,44.6,21.5,+23.1,+0.95,+0.03,Matches
1226f0de,Marius Adamonis,lt LTU,GK,Lazio,25-361,1997,0,,,,,0,,0,0,,34,,,,,,,,,,,,Matches
26777636,Yacine Adli,fr FRA,"MF,FW",Milan,22-284,2000,5,124,25,4.1,1.4,1,59,0,4,16,29,1.40,2,2,0,0.00,-0.49,2.1,2.0,+0.1,+0.09,-0.34,Matches
f9c927de,Michel Aebischer,ch SUI,"FW,MF",Bologna,26-123,1997,29,1361,47,44.5,15.1,16,72,4,13,16,5,1.41,18,21,-3,-0.20,-0.30,14.1,18.2,-4.2,-0.28,-0.20,Matches
0154d290,Felix Afena-Gyan,gh GHA,"FW,MF",Cremonese,20-110,2003,21,757,36,24.7,8.4,6,66,1,15,24,9,0.86,8,12,-4,-0.48,+0.46,8.0,12.4,-4.5,-0.53,+0.22,Matches
0154d290,Felix Afena-Gyan,gh GHA,FW,Roma,20-110,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
8bc8829a,Lucien Agoume,fr FRA,MF,Inter,21-089,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
46fa7204,Kevin Agudelo,co COL,"MF,FW",Spezia,24-176,1998,32,2059,64,67.3,22.9,23,78,6,9,29,1,0.78,20,36,-16,-0.70,+0.38,23.4,38.0,-14.7,-0.64,-0.35,Matches
246d153b,Ola Aina,ng NGA,DF,Torino,26-213,1996,16,807,50,26.4,9.0,9,75,4,7,19,2,1.56,8,7,+1,+0.11,+0.27,12.4,10.0,+2.4,+0.26,+0.36,Matches
d810c13b,Emanuel Aiwum,at AUT,DF,Cremonese,22-135,2000,22,1563,71,51.1,17.4,16,87,13,6,29,10,0.50,11,30,-19,-1.09,-0.55,16.0,33.2,-17.2,-0.99,-0.59,Matches
fdf4b948,Jean-Daniel Akpa-Akpro,ci CIV,MF,Empoli,30-210,1992,20,1097,55,35.8,12.2,13,69,1,7,28,0,1.30,13,16,-3,-0.25,+0.21,13.5,18.0,-4.5,-0.37,+0.33,Matches
5294a83f,Luis Alberto,es ESP,MF,Lazio,30-223,1992,31,2083,67,68.1,23.1,23,81,13,8,27,2,1.87,41,15,+26,+1.12,+1.12,32.2,25.0,+7.3,+0.32,+0.50,Matches
ab472696,Agustín Álvarez Martínez,uy URU,"FW,MF",Sassuolo,21-355,2001,22,368,17,12.0,4.1,1,53,0,21,15,12,0.86,6,9,-3,-0.73,-0.53,4.8,6.3,-1.5,-0.38,-0.45,Matches
13b9e2fb,Lorenzo Amatucci,it ITA,MF,Fiorentina,19-093,2004,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
35b4bc62,Wisdom Amey,it ITA,DF,Bologna,17-271,2005,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
bcc81786,Kelvin Amian,fr FRA,DF,Spezia,25-090,1998,27,2104,78,68.8,23.4,23,86,20,4,31,0,0.70,18,37,-19,-0.81,+0.03,28.3,38.4,-10.2,-0.43,+0.30,Matches
2df7cc43,Bruno Amione,ar ARG,DF,Hellas Verona,21-126,2002,1,58,58,1.9,0.6,1,58,0,0,,3,0.00,2,3,-1,-1.55,-0.89,0.9,1.7,-0.8,-1.27,-0.97,Matches
2df7cc43,Bruno Amione,ar ARG,DF,Sampdoria,21-126,2002,22,1850,84,60.5,20.6,22,84,16,0,,6,0.64,15,37,-22,-1.07,+0.34,18.4,35.0,-16.6,-0.80,-0.05,Matches
10b9fa99,Ethan Ampadu,wls WAL,"DF,MF",Spezia,22-237,2000,27,2305,85,75.3,25.6,27,85,19,0,,0,0.74,19,39,-20,-0.78,+0.17,28.4,39.8,-11.3,-0.44,+0.34,Matches
5a2cb25d,Sofyan Amrabat,ma MAR,MF,Fiorentina,26-261,1996,28,1917,68,62.6,21.3,23,78,11,5,23,2,1.36,27,26,+1,+0.05,-0.27,29.4,24.6,+4.8,+0.22,-0.08,Matches
ca241ad3,Djavan Anderson,nl NED,"DF,MF",Lazio,28-018,1995,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
9f1893b9,Felipe Anderson,br BRA,FW,Lazio,30-024,1993,34,2735,80,89.4,30.4,32,84,22,2,27,0,1.88,44,22,+22,+0.72,-0.38,39.6,33.6,+6.0,+0.20,+0.41,Matches
f1474b3d,Matteo Angeli,it ITA,DF,Bologna,20-130,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
9ee1d39e,Samuele Angori,it ITA,DF,Empoli,19-214,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
38d9ce53,Janis Antiste,fr FRA,FW,Sassuolo,20-264,2002,2,52,26,1.7,0.6,0,,0,2,26,13,1.50,2,1,+1,+1.73,+2.03,1.0,1.0,0.0,-0.08,-0.10,Matches
108fe016,Marcos Antônio,br BRA,MF,Lazio,22-330,2000,15,521,35,17.0,5.8,5,69,1,10,18,19,1.80,6,4,+2,+0.35,-0.51,7.2,6.0,+1.2,+0.22,+0.07,Matches
8f68aa41,Valentin Antov,bg BUL,DF,Monza,22-181,2000,7,289,41,9.4,3.2,2,75,1,5,28,26,0.71,6,7,-1,-0.31,-0.25,3.7,3.2,+0.5,+0.15,+0.25,Matches
00459419,Marko Arnautović,at AUT,FW,Bologna,34-020,1989,17,1254,74,41.0,13.9,14,85,10,3,22,2,1.06,17,21,-4,-0.29,-0.44,15.7,17.4,-1.7,-0.12,+0.08,Matches
963a328b,Tolgay Arslan,de GER,MF,Udinese,32-266,1990,32,1051,33,34.3,11.7,11,59,0,21,19,0,1.44,12,12,0,0.00,-0.18,15.1,13.8,+1.3,+0.11,+0.26,Matches
a820e429,Arthur,br BRA,FW,Fiorentina,25-014,1998,27,1342,50,43.9,14.9,14,77,4,13,21,4,1.44,22,16,+6,+0.40,+0.45,23.0,17.0,+6.0,+0.40,+0.27,Matches
e26fcca3,Santiago Ascacíbar,ar ARG,MF,Cremonese,26-073,1997,13,727,56,23.8,8.1,7,74,3,6,35,3,0.31,6,11,-5,-0.62,+0.27,10.4,14.4,-4.0,-0.50,+0.26,Matches
a69cc629,Kristoffer Askildsen,no NOR,MF,Lecce,22-120,2001,19,633,33,20.7,7.0,6,63,0,13,20,13,1.11,9,10,-1,-0.14,+0.30,8.2,9.8,-1.7,-0.24,-0.09,Matches
0fdcef0e,Kristjan Asllani,al ALB,MF,Inter,21-061,2002,17,459,27,15.0,5.1,4,64,0,13,16,17,2.06,7,4,+3,+0.59,-0.24,9.4,4.3,+5.1,+1.01,+0.08,Matches
649b01d8,Emil Audero,it ITA,GK,Sampdoria,26-111,1997,25,2250,90,73.5,25.0,25,90,25,0,,0,0.48,11,39,-28,-1.12,+0.32,21.4,37.7,-16.3,-0.65,+0.49,Matches
3cd3b384,Tommaso Augello,it ITA,DF,Sampdoria,28-252,1994,33,2701,82,88.3,30.0,31,84,24,2,45,1,0.52,19,54,-35,-1.17,+0.34,26.3,49.1,-22.8,-0.76,+0.18,Matches
2200181e,Kaan Ayhan,tr TUR,DF,Sassuolo,28-180,1994,10,545,55,17.8,6.1,5,90,5,5,19,8,1.40,6,11,-5,-0.83,-0.68,5.7,7.3,-1.6,-0.26,-0.35,Matches
dfd24c07,Jaime Báez,uy URU,DF,Cremonese,28-014,1995,2,96,48,3.1,1.1,1,61,0,1,35,13,0.00,0,2,-2,-1.87,-1.09,0.6,1.5,-0.9,-0.84,-0.14,Matches
ad263695,Nicola Bagnolini,it ITA,GK,Bologna,19-056,2004,0,,,,,0,,0,0,,12,,,,,,,,,,,,Matches
f42d6c13,Nedim Bajrami,al ALB,"MF,FW",Empoli,24-070,1999,19,940,49,30.7,10.4,8,80,4,11,27,1,1.21,8,14,-6,-0.57,-0.28,8.9,18.6,-9.7,-0.93,-0.51,Matches
f42d6c13,Nedim Bajrami,al ALB,FW,Sassuolo,24-070,1999,14,662,47,21.6,7.4,6,73,1,8,28,0,1.71,5,13,-8,-1.09,-1.05,6.3,9.9,-3.6,-0.49,-0.66,Matches
59bf127b,Tiemoué Bakayoko,fr FRA,MF,Milan,28-265,1994,3,41,14,1.3,0.5,0,,0,3,14,27,2.00,1,1,0,0.00,-0.48,0.8,1.0,-0.2,-0.54,-0.97,Matches
102e2599,Tommaso Baldanzi,it ITA,MF,Empoli,20-047,2003,25,1717,69,56.1,19.1,23,72,6,2,28,5,1.16,17,22,-5,-0.26,+0.27,17.9,25.3,-7.3,-0.38,+0.44,Matches
f449640d,Fodé Ballo-Touré,sn SEN,DF,Milan,26-126,1997,7,477,68,15.6,5.3,5,90,5,2,14,23,1.71,6,6,0,0.00,-0.56,8.0,6.1,+2.0,+0.38,-0.05,Matches
8a6de8c7,Lameck Banda,zm ZAM,"FW,MF",Lecce,22-100,2001,33,1429,43,46.7,15.9,16,70,3,17,19,1,0.94,11,19,-8,-0.50,-0.23,13.5,18.8,-5.3,-0.33,-0.32,Matches
d44360be,Filippo Bandinelli,it ITA,MF,Empoli,28-041,1995,33,2124,64,69.4,23.6,26,75,3,7,26,0,1.15,21,26,-5,-0.21,+0.56,22.4,31.6,-9.2,-0.39,+0.60,Matches
01efac19,Antonín Barák,cz CZE,MF,Hellas Verona,28-157,1994,1,25,25,0.8,0.3,0,,0,1,25,0,0.00,0,1,-1,-3.60,-2.95,0.1,0.6,-0.5,-1.77,-1.46,Matches
01efac19,Antonín Barák,cz CZE,MF,Fiorentina,28-157,1994,27,1556,58,50.8,17.3,18,77,5,9,18,4,1.22,21,24,-3,-0.17,-0.65,23.8,21.6,+2.2,+0.13,-0.26,Matches
32ebfe1e,Andrea Barberis,it ITA,MF,Monza,29-149,1993,9,338,38,11.0,3.8,3,75,2,6,19,23,1.11,4,9,-5,-1.33,-1.40,4.6,6.0,-1.4,-0.37,-0.33,Matches
6f1d7aa8,Tommaso Barbieri,it ITA,DF,Juventus,20-256,2002,1,56,56,1.8,0.6,1,56,0,0,,6,0.00,0,0,0,0.00,-0.72,0.6,0.4,+0.2,+0.37,+0.01,Matches
0acda699,Francesco Bardi,it ITA,GK,Bologna,31-111,1992,1,90,90,2.9,1.0,1,90,1,0,,32,3.00,3,0,+3,+3.00,+3.12,0.7,0.8,-0.1,-0.14,+0.03,Matches
