id,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
c5942695,Rolando Aarons,eng ENG,"MF,FW",Hellas Verona,21,1995,5.7,166,3,18,71,80,7,166,15,8,53.3,7,46.7,105,712,352,9,11,2,9,13,125,31,Matches
1c529186,Ignazio Abate,it ITA,DF,Milan,30,1986,11.7,864,35,237,428,206,8,864,1,0,0.0,1,100.0,386,1802,1124,20,18,0,7,6,563,65,Matches
b96b595c,Francesco Acerbi,it ITA,DF,Sassuolo,29,1988,38.0,2124,299,1076,954,135,21,2124,23,17,73.9,6,26.1,918,5957,2979,35,38,0,26,9,1044,14,Matches
d7403bd5,Afriyie Acquah,gh GHA,MF,Torino,25,1992,10.6,562,8,79,405,92,7,562,24,16,66.7,8,33.3,392,2545,1243,24,18,2,13,14,413,24,Matches
ce5b170a,Claud Adjapong,it ITA,"DF,FW",Sassuolo,19,1998,13.6,691,38,199,296,207,26,691,19,9,47.4,10,52.6,344,2339,1105,31,25,10,23,24,365,54,Matches
06050480,Ali Adnan Kadhim,iq IRQ,"DF,FW",Udinese,23,1993,18.6,1142,94,343,539,269,6,1142,33,25,75.8,8,24.2,472,2327,1139,25,21,2,19,15,538,56,Matches
f9714604,Arlind Ajeti,al ALB,DF,Crotone,23,1993,14.1,553,108,330,212,18,9,553,6,5,83.3,1,16.7,236,1060,448,2,2,0,6,4,203,0,Matches
5294a83f,Luis Alberto,es ESP,"FW,MF",Lazio,24,1992,29.7,2136,7,128,1050,995,67,2134,86,59,68.6,27,31.4,1461,8283,4656,126,109,20,56,54,1567,179,Matches
4bd414c1,Raúl Albiol,es ESP,DF,Napoli,31,1985,30.5,2760,149,876,1839,55,28,2760,5,2,40.0,3,60.0,1838,9780,6268,27,10,0,6,3,2036,4,Matches
7a2e46a8,Alisson,br BRA,GK,Roma,24,1992,37.0,1405,1143,1395,11,0,0,1405,6,6,100.0,0,0.0,677,3374,2393,0,1,0,3,0,646,0,Matches
cc700722,Allan,br BRA,MF,Napoli,26,1991,31.7,2220,30,199,1385,667,41,2220,120,79,65.8,41,34.2,1468,7312,3815,83,98,18,49,72,1661,135,Matches
92a5ac34,Ricky Álvarez,ar ARG,MF,Sampdoria,29,1988,3.0,221,3,22,97,103,5,221,10,3,30.0,7,70.0,114,711,309,7,13,1,6,7,161,30,Matches
e34fc66d,Joachim Andersen,dk DEN,DF,Sampdoria,21,1996,6.1,492,73,269,216,11,4,492,0,0,,0,,250,1440,980,7,5,0,1,2,331,1,Matches
9f1893b9,Felipe Anderson,br BRA,"FW,MF",Lazio,24,1993,12.9,930,6,65,386,513,65,930,114,77,67.5,37,32.5,610,5362,2830,98,80,41,46,47,665,140,Matches
326d09ef,Nícolas Andrade,br BRA,GK,Hellas Verona,29,1988,36.0,1561,1396,1558,3,0,0,1561,0,0,,0,,624,3971,2690,0,0,0,2,0,516,0,Matches
13d820de,Marco Andreolli,it ITA,DF,Cagliari,31,1986,20.3,1088,161,617,448,25,14,1088,2,1,50.0,1,50.0,476,2471,1439,11,4,1,3,0,623,2,Matches
0c971997,Gabriele Angella,it ITA,DF,Udinese,28,1989,9.9,617,74,317,284,21,6,617,1,1,100.0,0,0.0,296,1101,489,2,4,0,4,0,335,7,Matches
bbafc0c4,Cristian Ansaldi,ar ARG,DF,Torino,30,1986,20.8,1244,66,398,574,292,28,1244,64,47,73.4,17,26.6,732,5070,2541,78,46,9,40,23,722,88,Matches
97c9bce3,Luca Antei,it ITA,DF,Benevento,25,1992,6.6,448,40,233,214,7,1,448,5,3,60.0,2,40.0,236,1373,893,7,3,0,2,4,286,1,Matches
43a2e16c,Mirco Antenucci,it ITA,FW,SPAL,32,1984,28.6,909,10,63,370,486,104,904,52,30,57.7,22,42.3,658,4141,1262,46,27,13,96,42,748,214,Matches
40f0ed6c,Luca Antonelli,it ITA,"DF,FW",Milan,30,1987,1.6,110,7,31,60,20,3,110,2,1,50.0,1,50.0,55,213,124,2,1,0,4,1,77,6,Matches
91976866,Mirko Antonucci,it ITA,FW,Roma,18,1999,0.3,20,0,1,4,15,4,20,0,0,,0,,12,49,12,1,0,1,3,0,15,6,Matches
9c8f641a,Samuel Armenteros,se SWE,FW,Benevento,27,1990,4.8,128,3,11,77,42,9,128,7,6,85.7,1,14.3,66,314,73,2,4,1,19,7,89,17,Matches
089550f5,Kwadwo Asamoah,gh GHA,DF,Juventus,28,1988,17.4,1441,40,383,780,287,7,1441,39,23,59.0,16,41.0,1005,4812,2726,49,41,5,16,19,1067,88,Matches
1522dab2,Davide Astori,it ITA,DF,Fiorentina,30,1987,25.0,1821,179,804,907,120,22,1821,22,16,72.7,6,27.3,995,5564,4060,30,24,0,12,3,1161,8,Matches
23f9e9d3,Felipe Avenatti,uy URU,FW,Bologna,24,1993,5.2,192,7,18,107,67,13,192,3,1,33.3,2,66.7,107,433,134,2,2,0,21,8,145,30,Matches
422ec08a,Khouma Babacar,sn SEN,FW,Fiorentina,24,1993,5.0,162,7,21,48,96,30,160,7,3,42.9,4,57.1,109,680,356,10,5,4,14,5,122,38,Matches
422ec08a,Khouma Babacar,sn SEN,FW,Sassuolo,24,1993,8.3,213,2,11,88,115,40,212,4,3,75.0,1,25.0,137,717,258,11,9,4,17,18,162,52,Matches
e8c930bb,Milan Badelj,hr CRO,MF,Fiorentina,28,1989,26.1,2099,63,420,1331,367,24,2099,43,29,67.4,14,32.6,1062,4426,2047,24,35,2,31,27,1431,35,Matches
49d399d5,Riad Bajić,ba BIH,"FW,MF",Udinese,23,1994,0.9,27,3,3,9,15,3,27,1,1,100.0,0,0.0,20,58,25,1,0,0,3,1,23,10,Matches
9be4ee80,Andrija Balić,hr CRO,MF,Udinese,19,1997,12.0,675,21,143,407,144,11,675,31,24,77.4,7,22.6,380,2010,826,16,14,3,27,9,402,19,Matches
0821331c,Mattia Bani,it ITA,DF,Chievo,23,1993,14.6,835,113,483,328,28,10,835,0,0,,0,,407,1631,881,1,4,0,4,0,474,3,Matches
01efac19,Antonín Barák,cz CZE,MF,Udinese,22,1994,30.1,1452,33,234,861,387,53,1452,55,31,56.4,24,43.6,954,5759,2780,67,56,17,38,49,1010,127,Matches
32ebfe1e,Andrea Barberis,it ITA,MF,Crotone,23,1993,33.7,1500,77,358,826,337,17,1500,24,18,75.0,6,25.0,628,2598,1104,16,25,1,58,37,682,56,Matches
6928979a,Nicolò Barella,it ITA,MF,Cagliari,20,1997,32.8,2028,55,383,1171,510,35,2025,79,50,63.3,29,36.7,1081,6157,2563,55,58,9,65,42,1248,101,Matches
6a189491,Antonio Barreca,it ITA,DF,Torino,22,1995,5.2,339,12,108,153,79,4,339,6,2,33.3,4,66.7,145,780,379,7,10,2,5,6,166,18,Matches
43a1bea5,Édgar Barreto,py PAR,MF,Sampdoria,33,1984,21.8,1312,34,225,783,315,28,1312,14,8,57.1,6,42.9,488,1764,753,13,18,0,25,17,909,73,Matches
e5bf73f3,Musa Barrow,gm GAM,FW,Atalanta,18,1998,4.9,211,2,8,67,139,37,211,17,8,47.1,9,52.9,145,777,320,13,7,12,31,9,178,54,Matches
7c0000fd,Andrea Barzagli,it ITA,DF,Juventus,36,1981,16.1,1377,60,493,834,56,1,1377,3,2,66.7,1,33.3,892,3509,1782,9,2,0,5,3,1034,7,Matches
ea06dd97,Daniele Baselli,it ITA,MF,Torino,25,1992,28.0,1643,62,339,956,370,41,1643,35,22,62.9,13,37.1,1021,5302,2303,29,40,5,42,39,1137,77,Matches
3b57f7f8,Dušan Basta,rs SRB,DF,Lazio,32,1984,8.6,466,18,137,201,132,16,466,7,4,57.1,3,42.9,263,1167,586,18,8,3,7,4,265,51,Matches
e61bdd69,Gil Bastião Dias,pt POR,"FW,MF",Fiorentina,20,1996,13.2,694,13,110,272,325,51,694,60,31,51.7,27,45.0,446,3441,1858,58,37,24,27,30,467,152,Matches
ec30b9c8,Samuel Bastien,cd COD,MF,Chievo,20,1996,15.1,624,20,120,323,190,8,624,17,9,52.9,8,47.1,387,2069,862,18,13,2,25,14,407,57,Matches
75b86fb3,Alessandro Bastoni,it ITA,DF,Atalanta,18,1999,1.0,96,2,26,49,23,5,96,3,2,66.7,1,33.3,53,235,90,1,0,1,0,2,64,12,Matches
c01c66d9,Bastos,ao ANG,DF,Lazio,26,1991,15.6,1009,84,490,487,43,12,1009,15,13,86.7,2,13.3,664,3678,1979,19,7,0,6,9,707,4,Matches
c67836b8,Enrico Bearzotti,it ITA,"DF,FW",Hellas Verona,20,1996,4.6,231,21,94,97,40,1,231,3,1,33.3,2,66.7,102,470,196,2,3,1,11,5,129,14,Matches
d3d758d8,Valon Behrami,ch SUI,MF,Udinese,32,1985,15.5,713,36,179,443,97,8,713,13,9,69.2,4,30.8,322,1667,691,8,10,1,16,16,315,9,Matches
4f8ce0e1,Vid Belec,si SVN,GK,Benevento,27,1990,12.4,411,363,411,0,0,0,411,0,0,,0,,183,1162,829,0,0,0,0,0,115,0,Matches
4f8ce0e1,Vid Belec,si SVN,GK,Sampdoria,27,1990,2.0,97,88,97,0,0,0,97,0,0,,0,,53,217,122,0,0,0,0,0,48,0,Matches
d705ba44,Andrea Belotti,it ITA,FW,Torino,23,1993,29.8,935,21,77,414,455,144,933,48,26,54.2,22,45.8,637,3075,1275,40,26,18,98,61,786,202,Matches
a128b07e,Ahmad Benali,ly LBY,MF,Crotone,25,1992,9.0,494,17,105,265,129,14,494,10,3,30.0,7,70.0,256,1242,634,17,17,3,10,9,290,37,Matches
0000acda,Marco Benassi,it ITA,"MF,FW",Fiorentina,22,1994,30.9,1663,28,237,837,605,91,1663,23,14,60.9,9,39.1,931,4353,2233,62,55,8,46,37,1166,191,Matches
3b15ef2d,Medhi Benatia,ma MAR,DF,Juventus,30,1987,19.5,1590,158,800,762,38,14,1590,8,5,62.5,3,37.5,1069,4837,2184,3,3,0,7,2,1101,3,Matches
3b8674e6,Rodrigo Bentancur,uy URU,MF,Juventus,20,1997,6.5,596,15,106,394,102,1,596,11,9,81.8,2,18.2,414,2204,1142,12,15,0,3,7,456,7,Matches
53a0e358,Domenico Berardi,it ITA,FW,Sassuolo,22,1994,25.5,1255,18,106,451,729,81,1251,58,36,62.1,22,37.9,743,4933,2242,69,47,21,51,38,919,237,Matches
dc1c2fce,Álex Berenguer,es ESP,FW,Torino,22,1995,11.6,642,10,89,268,302,36,642,58,35,60.3,23,39.7,408,3082,1436,44,32,13,35,39,446,109,Matches
61b3978f,Bartosz Bereszyński,pl POL,DF,Sampdoria,25,1992,27.6,1868,97,558,948,384,5,1868,34,25,73.5,9,26.5,840,4563,2303,40,40,2,19,15,1054,64,Matches
ee833569,Etrit Berisha,al ALB,GK,Atalanta,28,1989,31.0,892,769,886,6,0,0,892,0,0,,0,,392,2431,1714,0,0,0,1,0,286,0,Matches
ee93c1a9,Federico Bernardeschi,it ITA,"FW,MF",Juventus,23,1994,9.4,502,18,76,202,234,33,502,31,23,74.2,8,25.8,386,2682,875,27,17,11,26,27,387,87,Matches
c75b6a02,Andrea Bertolacci,it ITA,MF,Genoa,26,1991,32.2,1945,53,399,1191,384,33,1945,26,19,73.1,6,23.1,1019,4773,2297,49,32,5,50,41,1295,53,Matches
88895312,Daniel Bessa,it ITA,"MF,FW",Hellas Verona,24,1993,15.4,806,12,147,441,231,27,806,22,15,68.2,7,31.8,422,2856,1510,44,23,10,26,26,584,59,Matches
88895312,Daniel Bessa,it ITA,MF,Genoa,24,1993,4.9,258,6,32,138,95,14,258,11,9,81.8,2,18.2,163,861,348,6,8,1,18,9,161,30,Matches
b3a20f18,Matteo Bianchetti,it ITA,DF,Hellas Verona,24,1993,1.4,84,14,34,37,14,0,84,0,0,,0,,25,89,53,0,0,0,0,0,41,4,Matches
5710a281,Lucas Biglia,ar ARG,MF,Milan,31,1986,22.7,1900,81,445,1236,235,4,1900,18,15,83.3,3,16.7,897,3678,1835,18,28,1,23,18,1330,20,Matches
a3e1d20d,Jean-Claude Billong,cm CMR,DF,Benevento,23,1993,3.3,190,20,114,75,4,0,190,1,1,100.0,0,0.0,99,501,238,1,0,0,0,1,111,1,Matches
b4c3070a,Davide Biondini,it ITA,MF,Sassuolo,34,1983,2.3,126,1,15,73,39,1,126,0,0,,0,,64,295,130,4,3,0,1,3,94,8,Matches
9e1577aa,Cristiano Biraghi,it ITA,DF,Fiorentina,24,1992,33.1,2136,96,597,912,636,25,2136,18,10,55.6,8,44.4,898,4379,2362,54,49,1,26,10,1083,127,Matches
64cd167d,Davide Biraschi,it ITA,DF,Genoa,23,1994,20.0,1194,85,475,604,139,3,1194,30,24,80.0,6,20.0,702,3598,2072,28,27,0,15,13,724,28,Matches
455a2b79,Valter Birsa,si SVN,"MF,FW",Chievo,30,1986,27.8,1767,18,142,884,773,31,1767,60,29,48.3,31,51.7,1041,5627,2693,77,78,5,57,46,1238,145,Matches
32b9b5fa,Albano Bizzarri,ar ARG,GK,Udinese,39,1977,32.0,1151,964,1148,4,0,0,1151,1,1,100.0,0,0.0,536,3402,2337,0,0,0,1,0,398,0,Matches
9b7533de,Deian Boldor,ro ROU,DF,Hellas Verona,22,1995,1.0,58,15,41,17,0,0,58,0,0,,0,,17,99,50,1,0,0,0,0,27,0,Matches
d995ed27,Giacomo Bonaventura,it ITA,MF,Milan,27,1989,28.2,1799,38,265,896,654,74,1799,51,34,66.7,17,33.3,1018,5921,3235,96,73,12,41,39,1368,186,Matches
bf57eaab,Federico Bonazzoli,it ITA,"FW,DF",SPAL,20,1997,2.0,64,0,5,32,28,8,64,6,3,50.0,3,50.0,48,199,71,4,2,4,6,3,55,15,Matches
