id,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
4b7a9fcc,James Abankwah,ie IRL,DF,Udinese,19-084,2004,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
8f5cdf66,Oliver Abildgaard,dk DEN,"MF,DF",Hellas Verona,26-304,1996,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
f586779e,Tammy Abraham,eng ENG,FW,Roma,25-190,1997,20.1,6,52,23,44.2,2.59,1.14,0.12,0.26,11.5,0,0,0,9.8,9.8,0.19,-3.8,-3.8,Matches
771a2cfe,Christian Acella,it ITA,MF,Cremonese,20-277,2002,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
b96b595c,Francesco Acerbi,it ITA,DF,Inter,35-059,1988,19.8,0,15,2,13.3,0.76,0.10,0.00,0.00,15.7,0,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches
26777636,Yacine Adli,fr FRA,"MF,FW",Milan,22-255,2000,1.4,0,2,2,100.0,1.45,1.45,0.00,0.00,18.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
f9c927de,Michel Aebischer,ch SUI,"FW,MF",Bologna,26-094,1997,11.9,1,11,2,18.2,0.93,0.17,0.09,0.50,16.6,1,0,0,1.1,1.1,0.10,-0.1,-0.1,Matches
0154d290,Felix Afena-Gyan,gh GHA,"FW,MF",Cremonese,20-081,2003,6.8,0,17,1,5.9,2.49,0.15,0.00,0.00,18.1,0,0,0,1.5,1.5,0.09,-1.5,-1.5,Matches
46fa7204,Kevin Agudelo,co COL,"MF,FW",Spezia,24-147,1998,20.3,0,21,5,23.8,1.04,0.25,0.00,0.00,20.4,0,0,0,1.2,1.2,0.06,-1.2,-1.2,Matches
246d153b,Ola Aina,ng NGA,DF,Torino,26-184,1996,9.0,1,7,3,42.9,0.78,0.33,0.14,0.33,16.1,0,0,0,0.7,0.7,0.11,+0.3,+0.3,Matches
d810c13b,Emanuel Aiwum,at AUT,DF,Cremonese,22-106,2000,15.4,0,3,1,33.3,0.19,0.06,0.00,0.00,17.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
fdf4b948,Jean-Daniel Akpa-Akpro,ci CIV,MF,Empoli,30-181,1992,10.7,0,9,3,33.3,0.84,0.28,0.00,0.00,23.8,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
5294a83f,Luis Alberto,es ESP,MF,Lazio,30-194,1992,18.1,5,32,11,34.4,1.76,0.61,0.13,0.36,23.5,3,1,2,3.7,2.0,0.06,+1.3,+2.0,Matches
ab472696,Agustín Álvarez Martínez,uy URU,"FW,MF",Sassuolo,21-326,2001,3.5,1,14,4,28.6,3.99,1.14,0.07,0.25,15.8,0,0,0,1.5,1.5,0.11,-0.5,-0.5,Matches
bcc81786,Kelvin Amian,fr FRA,DF,Spezia,25-061,1998,18.7,0,16,4,25.0,0.86,0.21,0.00,0.00,19.8,1,0,0,1.2,1.2,0.07,-1.2,-1.2,Matches
2df7cc43,Bruno Amione,ar ARG,DF,Hellas Verona,21-097,2002,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2df7cc43,Bruno Amione,ar ARG,DF,Sampdoria,21-097,2002,16.8,0,8,1,12.5,0.48,0.06,0.00,0.00,12.2,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
10b9fa99,Ethan Ampadu,wls WAL,"DF,MF",Spezia,22-208,2000,22.1,0,14,5,35.7,0.63,0.23,0.00,0.00,17.2,0,0,0,1.0,1.0,0.08,-1.0,-1.0,Matches
5a2cb25d,Sofyan Amrabat,ma MAR,MF,Fiorentina,26-232,1996,18.7,0,10,3,30.0,0.54,0.16,0.00,0.00,25.8,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
9f1893b9,Felipe Anderson,br BRA,FW,Lazio,29-360,1993,25.4,6,29,16,55.2,1.14,0.63,0.21,0.38,14.7,0,0,0,4.8,4.8,0.17,+1.2,+1.2,Matches
38d9ce53,Janis Antiste,fr FRA,FW,Sassuolo,20-235,2002,0.6,1,1,1,100.0,1.73,1.73,1.00,1.00,17.3,0,0,0,0.2,0.2,0.18,+0.8,+0.8,Matches
108fe016,Marcos Antônio,br BRA,MF,Lazio,22-301,2000,3.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
8f68aa41,Valentin Antov,bg BUL,DF,Monza,22-152,2000,3.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
00459419,Marko Arnautović,at AUT,FW,Bologna,33-356,1989,13.7,8,21,10,47.6,1.54,0.73,0.24,0.50,15.7,0,3,3,5.7,3.3,0.16,+2.3,+1.7,Matches
963a328b,Tolgay Arslan,de GER,MF,Udinese,32-237,1990,10.6,1,22,5,22.7,2.07,0.47,0.05,0.20,21.1,1,0,0,1.6,1.6,0.07,-0.6,-0.6,Matches
a820e429,Arthur,br BRA,FW,Fiorentina,24-350,1998,12.2,6,40,15,37.5,3.28,1.23,0.13,0.33,11.8,0,1,1,5.7,4.9,0.12,+0.3,+0.1,Matches
e26fcca3,Santiago Ascacíbar,ar ARG,MF,Cremonese,26-044,1997,8.1,0,14,3,21.4,1.73,0.37,0.00,0.00,27.2,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
a69cc629,Kristoffer Askildsen,no NOR,MF,Lecce,22-091,2001,7.0,0,9,3,33.3,1.28,0.43,0.00,0.00,24.4,1,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
0fdcef0e,Kristjan Asllani,al ALB,MF,Inter,21-032,2002,4.1,0,7,0,0.0,1.69,0.00,0.00,,29.3,1,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
649b01d8,Emil Audero,it ITA,GK,Sampdoria,26-082,1997,25.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
3cd3b384,Tommaso Augello,it ITA,DF,Sampdoria,28-223,1994,25.0,2,9,3,33.3,0.36,0.12,0.22,0.67,15.5,0,0,0,0.6,0.6,0.06,+1.4,+1.4,Matches
