id,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,recov
003a5c72,9,4,2,4,3,2,10,8,3,1,2,9,18,12,0,22
0076ab7f,20,14,11,8,1,6,19,13,17,8,9,12,32,35,1,65
00b28772,49,28,12,31,6,10,44,34,37,7,30,56,105,30,1,136
011d8c56,0,0,0,0,0,0,1,1,0,0,0,1,1,6,2,26
01a49bd2,22,15,10,12,0,8,14,6,17,6,11,16,38,43,1,51
01eb744d,25,9,7,9,9,9,36,27,23,5,18,14,39,21,0,105
02319ad7,21,13,3,11,7,3,20,17,16,1,15,7,28,15,0,94
02c15616,29,15,7,16,6,7,21,14,24,4,20,14,43,9,0,72
02ef8778,9,7,3,4,2,4,13,9,8,1,7,10,19,4,0,34
036bba5f,61,30,37,20,4,30,63,33,46,15,31,15,76,41,0,178
04965583,21,14,8,11,2,8,37,29,14,1,13,23,44,18,0,109
04a65a8f,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
04ac8285,0,0,0,0,0,0,1,1,0,0,0,3,3,3,1,20
04e17fd5,16,12,2,8,6,6,27,21,24,5,19,10,26,29,0,54
05a4465d,46,23,11,31,4,17,72,55,28,12,16,28,74,32,1,110
062fc2e6,6,5,5,0,1,5,11,6,1,0,1,2,8,6,0,30
06983922,12,9,1,6,5,3,19,16,8,0,8,2,14,4,0,28
070a3904,47,23,11,26,10,17,58,41,30,1,29,24,71,23,1,142
07129f3c,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
073b1b37,31,21,19,9,3,16,35,19,13,2,11,21,52,66,1,118
08511d65,46,31,26,17,3,20,42,22,22,9,13,49,95,102,4,211
09332647,4,0,1,2,1,1,1,0,4,0,4,1,5,7,0,21
0959c2a2,38,19,9,19,10,12,36,24,38,4,34,21,59,12,2,113
09a9e921,5,1,1,2,2,2,6,4,4,0,4,0,5,7,0,11
09e81276,3,3,2,1,0,1,1,0,0,0,0,0,3,2,0,8
0a0cc13c,3,3,0,3,0,2,4,2,3,0,3,1,4,2,0,12
0ac94a23,16,9,5,4,7,3,17,14,15,1,14,7,23,10,0,53
0ae4e09a,18,11,8,7,3,7,29,22,14,0,14,6,24,17,0,49
0b33f6ad,41,24,28,13,0,21,34,13,32,26,6,35,76,158,3,149
0b90bb97,13,8,8,5,0,5,38,33,19,2,17,10,23,27,0,71
0ba976e4,16,8,4,7,5,5,15,10,14,1,13,8,24,3,0,41
0bc4e720,7,3,0,3,4,5,9,4,4,0,4,2,9,2,0,10
