id,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
004d185e,21,14,13,7,1,7,28,21,30,1,29,12,33,12,0
0076ab7f,16,7,10,4,2,5,8,3,14,9,5,22,38,37,0
00b28772,56,32,24,26,6,18,49,31,42,13,29,71,127,41,0
01da7812,7,4,6,1,0,0,2,2,13,1,12,10,17,7,0
01eb744d,16,8,5,10,1,7,29,22,25,2,23,10,26,4,0
02319ad7,7,5,3,1,3,1,9,8,4,1,3,1,8,5,0
02c15616,51,23,25,22,4,28,43,15,33,10,23,27,78,44,0
02d2c436,9,5,9,0,0,5,8,3,5,3,2,16,25,34,0
02ef8778,15,11,6,7,2,6,17,11,12,3,9,6,21,42,1
03049c8c,27,17,14,12,1,11,31,20,20,10,10,15,42,26,1
030ef8d6,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0
036bba5f,41,20,14,24,3,22,45,23,10,2,8,13,54,14,0
037dbd30,28,18,16,7,5,17,34,17,11,5,6,19,47,33,1
04965583,31,25,17,9,5,19,39,20,19,6,13,25,56,35,2
04ac8285,0,0,0,0,0,0,1,1,0,0,0,1,1,6,0
04e17fd5,10,5,5,2,3,4,11,7,9,1,8,4,14,18,0
05439de2,23,13,15,6,2,9,19,10,26,15,11,22,45,70,1
056269d7,25,11,12,11,2,16,23,7,5,0,5,9,34,22,1
068f4dec,0,0,0,0,0,0,4,4,1,0,1,2,2,2,0
070a3904,45,22,16,19,10,18,54,36,16,1,15,26,71,32,1
0959c2a2,36,16,11,16,9,12,31,19,23,5,18,24,60,12,0
09a9e921,4,4,2,0,2,0,3,3,5,0,5,1,5,5,0
0a8fd9cb,3,1,0,3,0,2,4,2,0,0,0,3,6,2,0
0abc51f2,46,32,30,15,1,21,28,7,29,14,15,39,85,155,0
0ac94a23,14,5,6,1,7,6,15,9,9,1,8,9,23,9,0
0ae4e09a,23,14,3,13,7,8,30,22,14,0,14,2,25,8,0
0b2c8585,25,15,7,14,4,10,30,20,9,3,6,25,50,7,0
0b90bb97,27,17,8,15,4,5,32,27,28,2,26,6,33,22,0
0ba976e4,3,2,0,2,1,1,1,0,4,0,4,1,4,0,0
0bc4e720,10,3,2,5,3,4,14,10,7,0,7,0,10,5,0
0c2ac3cb,43,27,17,20,6,16,28,12,21,2,19,12,55,4,0
0c717ae6,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1
0cadc46d,6,3,1,3,2,1,7,6,12,0,12,6,12,29,0
0cb29e91,24,11,4,19,1,8,14,6,16,4,12,9,33,11,0
0d9b2d31,20,12,9,8,3,7,20,13,13,0,13,5,25,7,1
0e4fef6e,71,40,25,38,8,29,57,28,32,11,21,47,118,55,0
0e50f929,7,3,5,2,0,4,10,6,1,0,1,6,13,1,0
0e5ddc7c,7,4,3,2,2,4,12,8,3,0,3,3,10,5,0
0ef89a37,6,3,3,3,0,3,11,8,3,0,3,4,10,3,0
10072610,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2
106c142c,24,13,10,8,6,10,22,12,16,3,13,9,33,19,0
112521d1,58,30,38,14,6,26,57,31,25,7,18,25,83,92,2
11b9265b,13,7,5,7,1,5,18,13,13,1,12,27,40,15,0
11fd2b75,46,26,16,23,7,24,60,36,42,14,28,48,94,52,2
12c50af5,61,29,20,33,8,25,82,57,32,4,28,16,77,11,0
132ac341,12,9,10,2,0,3,13,10,11,9,2,20,32,71,0
15937e17,5,3,4,1,0,3,6,3,3,2,1,2,7,6,0
162efffd,55,30,22,25,8,30,60,30,24,3,21,21,76,17,2
16aa3654,31,19,12,14,5,10,24,14,24,3,21,8,39,4,0
16e9d0ea,76,40,53,15,8,33,60,27,28,6,22,34,110,82,1
174651c8,1,1,1,0,0,0,3,3,3,2,1,1,2,4,1
17a1299d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1827a42d,5,3,3,2,0,1,5,4,3,1,2,10,15,10,0
1840e36d,1,0,1,0,0,1,2,1,0,0,0,0,1,9,1
18abe173,39,26,28,10,1,17,31,14,23,13,10,38,77,96,3
18f0a9f0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19709006,20,14,7,11,2,6,15,9,9,1,8,16,36,13,1
19b776e9,29,18,12,10,7,6,36,30,22,1,21,23,52,18,0
19c36442,59,29,25,30,4,25,64,39,28,4,24,25,84,34,0
19cae58d,38,18,13,18,7,9,33,24,36,0,36,25,63,13,0
1bacc518,35,19,12,18,5,12,23,11,19,5,14,20,55,16,0
1bc432b7,1,0,0,0,1,0,3,3,0,0,0,0,1,0,0
1bda5842,16,7,2,6,8,3,19,16,21,3,18,7,23,8,0
1c2c55fc,19,9,15,4,0,8,16,8,20,14,6,13,32,59,1
1c5d79e2,1,1,1,0,0,1,1,0,1,0,1,0,1,0,1
1c96ad85,8,5,6,1,1,2,4,2,3,0,3,4,12,7,1
1ccd3dae,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1daec722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1ea5f91c,11,7,5,5,1,10,17,7,4,0,4,4,15,7,0
1f079188,2,0,1,1,0,2,6,4,1,0,1,5,7,2,0
1f1c8a15,1,0,0,0,1,0,1,1,1,0,1,1,2,0,0
1f462f95,6,3,3,3,0,2,4,2,6,5,1,5,11,37,1
1fc474ae,9,3,4,4,1,3,5,2,7,2,5,4,13,14,0
1fe0492d,76,47,43,27,6,43,85,42,40,6,34,57,133,82,0
1fe67e86,33,24,15,15,3,25,43,18,27,4,23,21,54,79,0
200e89e1,15,10,9,6,0,8,18,10,7,0,7,2,17,2,0
21512407,22,12,12,5,5,12,21,9,12,1,11,10,32,11,0
228b0d9d,28,17,14,13,1,18,29,11,11,1,10,17,45,34,0
237a3851,8,6,1,3,4,0,10,10,6,1,5,3,11,4,0
240d3a0b,36,22,15,17,4,14,47,33,27,10,17,24,60,41,1
244bc2c8,8,6,3,4,1,2,5,3,6,1,5,5,13,4,0
253a06b9,17,7,6,7,4,7,21,14,14,2,12,13,30,15,1
2683eda7,24,14,18,5,1,12,37,25,18,2,16,11,35,24,0
274ab13c,39,23,24,15,0,25,42,17,26,19,7,30,69,168,3
2784f898,50,32,30,12,8,20,39,19,42,20,22,52,102,107,3
27a013f7,22,14,17,5,0,9,21,12,17,10,7,27,49,105,2
27dc1378,46,27,10,31,5,16,41,25,24,5,19,38,84,30,0
2946f9a1,18,14,9,9,0,12,22,10,22,15,7,34,52,50,0
29b61deb,26,18,4,20,2,7,21,14,10,1,9,6,32,11,0
2a0c8ba4,61,30,22,31,8,28,65,37,27,6,21,30,91,18,1
2a9f6b4d,2,1,0,1,1,0,1,1,2,0,2,1,3,1,0
2ad0e5e5,9,6,3,5,1,3,10,7,5,1,4,2,11,3,0
2ae30661,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0
2bea832e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2bed3eab,27,18,13,13,1,11,26,15,22,12,10,44,71,53,3
2bef2bca,41,23,29,12,0,21,25,4,37,20,17,23,64,66,1
2c56a792,31,20,5,23,3,11,27,16,12,0,12,6,37,12,0
2dce876a,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2fbe6af0,2,2,0,2,0,0,0,0,1,0,1,2,4,0,0
30061f53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3024e383,20,13,9,9,2,9,14,5,6,1,5,10,30,21,0
3061e1ec,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
