id,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1
004d185e,20,11,3,3,1,2,0,1,0,0,0,0,1,0
0076ab7f,16,13,0,0,2,1,0,1,1,0,0,0,0,0
00b28772,9,7,0,0,0,1,1,1,1,0,0,0,0,0
00eba9c9,3,1,0,2,0,0,0,0,0,0,0,0,0,0
0107757e,0,0,0,0,0,0,0,0,0,0,0,0,0,0
014aa7bd,47,36,9,0,0,2,0,4,2,2,0,0,0,0
01a49bd2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01eb744d,42,31,3,3,3,1,1,3,1,0,0,1,0,1
02319ad7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02c15616,44,40,1,0,1,1,1,2,2,0,0,0,0,0
02d2c436,25,16,6,0,2,0,1,2,2,0,0,0,0,0
02ef8778,6,4,0,2,0,0,0,0,0,0,0,0,0,0
03049c8c,6,3,1,0,1,0,1,1,0,0,0,0,0,1
036bba5f,24,17,5,0,1,1,0,2,2,0,0,0,0,0
04965583,16,13,1,1,0,0,1,3,2,0,0,0,0,1
04e17fd5,16,9,1,0,5,1,0,3,2,0,0,1,0,0
04e531b6,1,1,0,0,0,0,0,0,0,0,0,0,0,0
05439de2,25,21,3,0,1,0,0,4,3,0,0,1,0,0
056269d7,20,19,0,0,1,0,0,0,0,0,0,0,0,0
05e19d6a,11,7,0,1,3,0,0,1,1,0,0,0,0,0
068f4dec,4,3,1,0,0,0,0,0,0,0,0,0,0,0
06efa9dc,35,28,1,1,3,0,2,2,1,0,1,0,0,0
070a3904,101,61,29,5,2,3,1,7,6,1,0,0,0,0
075fe5a3,18,16,0,0,2,0,0,1,0,0,0,1,0,0
0959c2a2,65,61,0,2,1,1,0,10,9,0,1,0,0,0
0a0cc13c,18,13,1,1,3,0,0,3,2,0,0,1,0,0
0a69de7b,1,0,0,0,1,0,0,1,0,0,0,1,0,0
0abc51f2,4,3,0,0,1,0,0,0,0,0,0,0,0,0
0ae4e09a,17,11,0,1,2,1,2,1,1,0,0,0,0,0
0b2c8585,11,9,0,1,1,0,0,2,2,0,0,0,0,0
0ba976e4,33,20,0,7,5,0,1,8,5,0,1,2,0,0
0bc4e720,10,6,0,0,1,3,0,4,1,0,0,0,3,0
0cadc46d,36,26,0,2,4,3,1,3,2,0,0,0,0,1
0d9b2d31,71,60,6,0,2,2,1,9,9,0,0,0,0,0
0da6a13e,17,6,2,2,3,3,1,3,2,0,1,0,0,0
0e4fef6e,19,15,0,0,3,1,0,0,0,0,0,0,0,0
0e5ddc7c,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0f26ffd7,6,6,0,0,0,0,0,0,0,0,0,0,0,0
10072610,2,1,1,0,0,0,0,0,0,0,0,0,0,0
106c142c,11,7,0,1,2,0,1,0,0,0,0,0,0,0
114bbdee,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11b9265b,17,15,2,0,0,0,0,0,0,0,0,0,0,0
11fd2b75,29,21,7,1,0,0,0,1,0,1,0,0,0,0
129af0db,32,21,0,2,4,5,0,7,3,0,2,1,1,0
12c50af5,10,6,3,1,0,0,0,0,0,0,0,0,0,0
130a7a3f,40,22,5,7,4,0,2,1,0,0,0,1,0,0
132ac341,5,4,0,0,1,0,0,0,0,0,0,0,0,0
133faa84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139560df,2,2,0,0,0,0,0,0,0,0,0,0,0,0
13e0eb29,6,6,0,0,0,0,0,0,0,0,0,0,0,0
14d5b7ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1545cf15,9,6,2,1,0,0,0,1,1,0,0,0,0,0
15937e17,10,7,0,1,0,2,0,0,0,0,0,0,0,0
15d0c248,4,4,0,0,0,0,0,1,1,0,0,0,0,0
162efffd,48,41,5,0,0,2,0,3,3,0,0,0,0,0
1633fc8a,11,10,0,1,0,0,0,0,0,0,0,0,0,0
1657f448,4,3,0,0,0,0,1,1,1,0,0,0,0,0
16aa3654,56,36,6,3,4,5,2,7,4,0,1,0,1,1
16e9d0ea,20,13,2,3,2,0,0,4,3,1,0,0,0,0
175ece4c,1,1,0,0,0,0,0,0,0,0,0,0,0,0
18017beb,0,0,0,0,0,0,0,0,0,0,0,0,0,0
