id,GA,SoTA,Saves,W,D,L,CS,PKatt,PKA,PKsv,PKm
039ae103,12,30,18,3,3,4,4,1,1,0,0
04ac8285,11,45,33,5,1,4,3,2,1,1,0
0f7dbaf6,2,3,1,0,0,1,0,0,0,0,0
10072610,25,75,50,8,8,4,7,5,4,1,0
1840e36d,28,116,88,25,9,4,17,8,7,1,0
24279b8b,5,8,3,0,2,1,0,0,0,0,0
307fcd26,21,54,34,2,8,6,4,3,3,0,0
374ee424,38,105,67,17,11,10,14,5,3,1,1
5dcf3e90,40,108,68,11,13,13,9,6,5,1,0
61bb7498,3,6,3,0,1,2,0,0,0,0,0
625c144a,4,8,4,0,0,2,0,0,0,0,0
63d17038,9,22,14,3,1,4,2,1,1,0,0
67669ce7,8,24,16,1,1,3,1,0,0,0,0
6c4776b1,45,127,82,10,10,12,9,9,8,1,0
6f51e382,32,106,76,21,5,5,11,3,3,0,0
7b456af7,5,14,9,3,0,2,2,0,0,0,0
8f29e08b,3,8,5,1,1,1,1,1,1,0,0
8f8c6934,31,81,52,6,8,14,10,7,6,1,0
8fae77ea,40,115,75,4,9,12,2,4,4,0,0
94084f83,3,6,2,1,0,1,1,0,0,0,0
967f34d3,27,61,34,7,6,6,4,1,1,0,0
97852360,57,141,84,9,11,17,9,3,3,0,0
9970da54,0,1,1,0,0,1,0,0,0,0,0
9f0ea33f,40,118,79,15,13,8,10,9,7,1,1
a01c3d54,44,120,78,8,11,10,3,3,3,0,0
a4995f48,40,126,86,10,8,14,10,7,4,2,1
a9dc785c,6,24,18,3,2,2,3,2,2,0,0
ac295d9e,49,129,79,6,11,18,9,5,3,1,1
b1e5bbec,2,9,6,0,0,1,0,2,1,1,0
ba3ca78f,17,46,29,1,7,5,1,3,2,0,1
bfb15d99,2,4,2,0,0,1,0,0,0,0,0
c9cb972b,42,130,88,5,12,11,4,6,4,2,0
cda0b317,25,61,37,9,2,7,6,5,4,1,0
cde52ef5,30,77,47,7,5,7,5,7,6,1,0
e1846dde,11,39,28,1,3,4,1,1,0,0,1
e4346678,46,141,92,5,11,14,5,9,5,3,1
ea83bfa6,55,137,79,12,6,14,8,10,5,4,1
ee8508c0,25,122,98,26,8,4,18,4,1,2,1
f127d782,32,95,64,5,5,12,5,2,2,0,0
f6798fc3,28,106,78,21,5,7,15,6,4,2,0
fea23125,10,17,7,0,1,3,0,1,1,0,0
