id,GA,PKA,FK,CK,OG,PSxG,PSxG+/-,Cmp,Att,Att.1,Thr,Att.2,Opp,Stp,#OPA,TotLen,TotLen.1,TotDist
65d62814,53.0,3.0,0.0,5.0,4.0,41.8,-7.2,176.0,490.0,1002.0,130.0,253.0,468.0,17.0,22.0,32865.6,11233.2,321.2
8875b8c9,29.0,1.0,0.0,4.0,1.0,23.3,-4.7,110.0,285.0,494.0,48.0,129.0,214.0,8.0,18.0,17932.2,6527.4,253.8
983ccabe,2.0,0.0,0.0,0.0,0.0,2.7,0.7,8.0,26.0,25.0,1.0,8.0,9.0,1.0,0.0,1362.5,572.0,0.0
011d8c56,8.0,2.0,0.0,1.0,0.0,9.0,1.0,76.0,147.0,291.0,24.0,70.0,127.0,9.0,15.0,10214.1,2898.0,222.0
28d596a0,43.0,1.0,3.0,5.0,3.0,43.4,3.4,318.0,644.0,843.0,112.0,206.0,395.0,23.0,22.0,35574.6,11968.6,294.8
9f0ea33f,30.0,3.0,1.0,2.0,0.0,32.0,2.0,124.0,346.0,454.0,118.0,200.0,399.0,26.0,26.0,16979.6,10560.0,332.8
aad4f74f,14.0,1.0,0.0,2.0,0.0,13.8,-0.2,46.0,152.0,230.0,57.0,105.0,243.0,5.0,5.0,7452.0,5680.5,50.0
967f34d3,31.0,3.0,0.0,4.0,0.0,26.2,-4.8,137.0,415.0,660.0,76.0,151.0,325.0,6.0,20.0,25608.0,8335.2,276.0
f6798fc3,46.0,4.0,2.0,2.0,1.0,44.5,-0.5,226.0,635.0,633.0,86.0,243.0,411.0,9.0,29.0,29118.0,14774.4,417.6
58bc7d18,11.0,0.0,0.0,1.0,1.0,10.5,0.5,31.0,76.0,195.0,48.0,72.0,118.0,4.0,5.0,6045.0,2973.6,66.5
7a9fae62,6.0,1.0,1.0,0.0,0.0,4.7,-1.3,19.0,43.0,38.0,4.0,19.0,21.0,1.0,2.0,1759.4,1107.7,32.0
8d957256,47.0,3.0,1.0,4.0,1.0,50.8,4.8,156.0,443.0,907.0,175.0,230.0,376.0,23.0,57.0,30928.7,10833.0,969.0
04ac8285,1.0,0.0,0.0,0.0,0.0,0.7,-0.3,1.0,6.0,21.0,5.0,10.0,7.0,0.0,0.0,585.9,304.0,0.0
75751c99,43.0,5.0,3.0,4.0,0.0,44.4,1.4,311.0,894.0,859.0,89.0,258.0,481.0,29.0,47.0,42434.6,16460.4,737.9
ac295d9e,49.0,4.0,2.0,2.0,3.0,44.7,-1.3,334.0,888.0,942.0,93.0,216.0,339.0,21.0,97.0,48418.8,15141.6,1843.0
c9cb972b,5.0,0.0,0.0,1.0,0.0,6.9,1.9,18.0,48.0,106.0,31.0,34.0,81.0,2.0,3.0,3095.2,1659.2,35.7
307fcd26,6.0,1.0,0.0,2.0,0.0,5.0,-1.0,10.0,34.0,42.0,9.0,27.0,45.0,0.0,5.0,1344.0,1301.4,80.5
6fb59070,15.0,0.0,1.0,3.0,0.0,16.3,1.3,108.0,248.0,228.0,33.0,95.0,185.0,8.0,17.0,10898.4,5966.0,302.6
7c218bf9,0.0,0.0,0.0,0.0,0.0,1.5,1.5,8.0,40.0,94.0,10.0,20.0,62.0,3.0,2.0,3243.0,728.0,20.8
ab13a5aa,26.0,1.0,0.0,1.0,0.0,35.8,9.8,243.0,797.0,710.0,69.0,284.0,479.0,21.0,34.0,34932.0,18204.4,510.0
9109185e,6.0,2.0,0.0,0.0,0.0,8.5,2.5,89.0,196.0,223.0,28.0,65.0,130.0,6.0,9.0,9722.8,3971.5,127.8
26f2473f,13.0,0.0,1.0,0.0,2.0,13.3,2.3,63.0,162.0,196.0,47.0,52.0,77.0,5.0,14.0,8565.2,2979.6,214.2
60713cb3,3.0,0.0,0.0,0.0,0.0,1.2,0.0,11.0,26.0,29.0,9.0,19.0,27.0,0.0,0.0,1084.6,1033.6,0.0
f69e9eee,27.0,2.0,0.0,3.0,0.0,22.9,-4.1,42.0,116.0,288.0,64.0,94.0,157.0,7.0,9.0,8294.4,4004.4,124.2
73683fa9,11.0,1.0,0.0,0.0,2.0,10.7,1.7,55.0,166.0,178.0,39.0,92.0,146.0,4.0,1.0,6995.4,4986.4,11.3
20b9f052,31.0,3.0,1.0,5.0,0.0,36.5,5.5,182.0,507.0,578.0,133.0,237.0,422.0,27.0,23.0,24044.8,13840.8,301.3
bfa29677,8.0,0.0,0.0,2.0,0.0,4.7,-3.3,15.0,47.0,143.0,23.0,39.0,54.0,5.0,5.0,3961.1,1552.2,65.0
