id,FK,CK,OG,PSxG,PSxG+/-,Cmp,Att,Att.1,Thr,Att.2,Opp,Stp,#OPA,TotLen,TotLen.1,TotDist
0107757e,0,0,0,0.7,-0.3,0,4,28,5,7,13,1,0,652.4,93.1,0.0
10072610,0,0,0,4.8,-0.2,28,96,132,23,48,94,2,4,5016.0,2448.0,54.4
1840e36d,0,1,0,14.4,-0.6,55,134,556,109,86,215,21,22,15679.2,2812.2,323.4
2fa2a875,0,2,1,10.4,-2.6,72,160,192,25,80,146,4,11,8275.2,3760.0,168.3
3061e1ec,0,0,1,2.9,0.9,13,24,163,32,29,46,1,8,3732.7,1096.2,166.4
374ee424,1,2,2,19.7,-1.3,162,371,715,92,148,304,8,27,25239.5,7696.0,429.3
3f034750,0,1,0,2.7,0.7,12,55,64,8,23,43,7,0,2579.2,1541.0,0.0
58ad9383,0,3,0,26.6,1.6,196,469,597,95,218,387,16,16,25193.4,10616.6,203.2
5dcf3e90,0,0,2,21.0,-2.0,85,228,511,115,130,261,13,31,16863.0,6045.0,579.7
625c144a,0,1,0,12.5,2.5,50,119,451,70,92,215,20,21,12988.8,3486.8,325.5
63d17038,0,2,0,22.7,2.7,82,206,410,73,122,243,21,22,13571.0,5819.4,336.6
688b96e3,2,1,0,16.7,-1.3,23,64,278,51,62,120,6,21,7978.6,1878.6,354.9
6c4776b1,1,4,0,31.3,-3.7,164,541,587,98,210,422,31,11,26708.5,13566.0,104.5
6f51e382,0,1,1,12.4,5.4,94,206,785,105,127,244,10,21,22215.5,4648.2,327.6
73683fa9,0,2,0,1.0,-2.0,2,8,21,5,8,12,0,2,636.3,282.4,34.0
853b7c48,1,4,1,20.7,-7.3,103,267,500,75,131,253,14,25,17650.0,5619.9,452.5
8f8c6934,0,5,2,28.9,-1.1,230,507,489,76,197,378,19,30,22983.0,11189.6,441.0
8fae77ea,0,0,0,28.7,5.7,76,228,470,82,151,257,10,8,16074.0,6432.6,106.4
97852360,0,1,0,3.7,-1.3,30,83,112,21,36,71,3,6,8780.8,3333.6,181.2
9f0ea33f,0,0,0,8.8,-2.2,37,110,165,24,71,104,3,15,5874.0,3706.2,267.0
a01c3d54,0,0,0,11.7,1.7,108,258,382,67,97,186,10,20,15585.6,4976.1,298.0
a2c1a8d3,0,0,0,2.9,1.9,17,39,68,7,22,38,2,2,2148.8,1322.2,36.0
a4995f48,1,2,0,11.2,-1.8,98,232,308,34,86,134,6,15,13521.2,4136.6,279.0
ac295d9e,0,0,0,2.6,-0.4,15,40,81,13,18,35,6,3,3029.4,918.0,33.3
be6faae0,0,0,0,0.1,0.1,1,2,7,3,1,1,0,2,182.0,24.0,66.0
cde52ef5,0,1,0,6.3,1.3,34,78,119,23,34,68,2,6,4343.5,1757.8,102.6
d4b73232,0,4,2,27.8,1.8,98,277,577,101,139,292,19,27,18694.8,6324.5,426.6
d9235a45,0,0,0,1.4,-0.6,2,3,3,1,5,11,0,0,107.1,233.0,0.0
dabb2827,1,2,1,40.4,3.4,115,332,625,127,197,352,20,17,22875.0,8274.0,232.9
e358587b,0,1,0,13.1,1.1,21,67,297,31,41,119,4,9,7870.5,1476.0,162.0
e4346678,0,4,1,55.7,8.7,141,318,488,105,189,364,17,5,17909.6,8675.1,53.0
ea83bfa6,1,4,0,20.9,0.9,112,296,474,70,155,249,13,28,16969.2,7579.5,473.2
ee8508c0,1,1,0,18.8,1.8,94,299,456,87,181,284,17,16,16142.4,8724.2,259.2
f127d782,0,4,1,15.2,-1.8,105,221,253,37,103,153,5,15,10752.5,5644.4,244.5
f6798fc3,0,3,2,34.7,0.7,93,261,707,84,143,283,19,35,21846.3,5777.2,605.5
fc70e345,0,3,2,25.6,5.6,93,333,522,132,186,326,17,35,19992.6,8444.4,577.5
