id,CrdY,CrdR,2CrdY,Fls,Fld,Off,PKwon,PKcon,OG
000b3da6,6,0,0,43,21,0,0,0,0
003a5c72,5,0,0,39,8,0,0,0,2
00b28772,1,0,0,5,2,0,0,0,0
011d8c56,0,0,0,1,0,0,0,1,0
01ae64cd,0,0,0,0,1,0,0,0,0
01eb744d,4,1,1,47,49,6,0,0,0
02c15616,1,0,0,6,4,0,0,0,0
02d2c436,8,0,0,42,10,3,0,3,0
04965583,0,0,0,2,12,2,0,0,0
04a65a8f,5,0,0,34,18,2,0,0,0
04ac8285,0,0,0,0,0,0,0,0,0
04e17fd5,2,1,1,34,33,14,0,0,0
05384ea1,5,1,1,38,43,6,0,0,0
05a4465d,9,0,0,65,72,5,0,0,0
0657888a,3,0,0,14,18,2,0,0,0
070a3904,7,0,0,36,31,0,0,0,0
07a0baa9,1,0,0,1,2,0,0,0,0
07d67579,0,0,0,5,3,2,0,0,0
080ac8d8,0,0,0,0,0,0,0,0,0
08511d65,9,2,2,37,20,6,0,0,1
0959c2a2,0,0,0,14,3,1,0,1,0
09a9e921,9,0,0,22,20,40,0,0,0
0a0cc13c,5,0,0,25,39,11,0,0,0
0a447501,0,0,0,12,15,8,0,0,0
0ac94a23,2,0,0,21,14,5,1,0,0
0ae4e09a,4,0,0,17,14,5,0,0,0
0af4dcf0,5,0,0,40,19,11,0,0,0
0b90bb97,4,0,0,24,36,11,1,0,0
0c3f7197,4,0,0,10,22,2,0,0,0
0d10333c,6,1,0,56,51,1,1,0,0
0e7ccfc4,4,0,0,20,22,3,0,1,0
0ef89a37,1,0,0,12,32,8,0,0,0
0f138d5a,2,0,0,7,0,0,0,0,0
1001ae82,2,0,0,21,17,1,0,0,0
102fda08,0,0,0,0,0,0,0,0,0
10e25802,1,0,0,12,4,0,0,0,0
113fb4ea,0,0,0,0,0,0,0,0,0
119b9a8e,5,0,0,19,18,2,1,0,1
11c30a46,0,0,0,3,16,0,0,0,0
1214f0a6,0,0,0,4,0,0,0,0,0
1250086e,2,0,0,11,14,0,0,0,0
12a875ce,0,0,0,0,0,0,0,0,0
12c50af5,1,0,0,6,10,0,0,0,0
130a7a3f,4,0,0,42,66,7,2,0,0
13b0c150,4,1,0,14,11,0,0,1,0
148d4105,2,1,1,15,1,0,0,0,0
1512328c,3,0,0,35,28,6,0,0,0
1633fc8a,7,0,0,48,7,1,1,0,0
167c1bb0,7,0,0,33,33,1,0,0,0
174651c8,8,0,0,16,10,0,0,0,0
174f09a6,5,1,0,41,14,0,0,1,0
1771f2c1,3,0,0,21,4,1,0,0,1
1961b2aa,1,0,0,16,5,3,0,0,0
19b776e9,5,0,0,37,32,6,0,0,0
1a317a1b,1,0,0,10,17,0,0,0,0
1b17ed86,4,0,0,19,21,1,1,1,0
1b84dbe1,2,0,0,12,7,2,0,1,0
1bda5842,4,0,0,54,55,23,1,0,0
1c8dc17d,2,0,0,12,5,2,0,0,0
1d1691ad,3,1,1,25,31,9,0,1,0
1d5f96d9,1,0,0,7,6,2,1,0,0
1f079188,1,0,0,15,18,5,0,0,0
1fa85681,0,0,0,0,0,0,0,0,0
1fb1c435,4,0,0,28,40,20,2,0,0
1fe0492d,9,1,1,47,35,1,0,2,0
1fe67e86,1,0,0,21,16,0,0,0,0
20b9f052,3,0,0,0,5,0,0,0,0
21164a21,0,0,0,0,0,0,0,0,0
217011a0,2,0,0,8,4,5,0,0,0
21d4e122,5,0,0,17,30,4,0,0,0
220c11f1,8,0,0,88,67,22,1,0,0
22df75d8,0,0,0,1,1,0,0,0,0
2306bfde,0,1,0,1,1,0,0,0,0
23593121,0,0,0,5,11,0,0,0,0
23f32ea1,0,0,0,1,0,0,0,0,0
240d3a0b,14,0,0,46,25,0,0,1,0
24279b8b,3,0,0,0,5,0,0,0,0
244f57b9,1,0,0,2,2,0,0,0,0
24f59bb2,4,0,0,17,16,0,0,0,0
251336da,3,0,0,17,11,1,0,0,0
2513a588,2,0,0,9,14,8,0,0,0
2515040a,1,0,0,20,7,3,0,0,0
25c72b36,0,0,0,0,1,1,0,0,0
26f2473f,1,0,0,0,0,0,0,0,1
283c7121,1,0,0,2,1,0,0,0,0
28d596a0,3,0,0,1,7,0,0,1,0
293211e1,5,0,0,42,39,35,0,0,0
294450ba,0,0,0,9,1,0,0,0,0
2946f9a1,7,0,0,33,28,0,0,1,1
29b61deb,8,0,0,59,35,0,0,1,0
2a0c8ba4,2,1,1,37,17,5,0,0,0
2a70c756,2,0,0,12,3,2,0,0,0
2b15a82a,0,0,0,2,2,0,0,0,1
2bee98fd,4,0,0,18,35,13,0,0,0
2cea96ce,5,0,0,21,6,0,0,1,0
2e23c66b,5,0,0,41,37,9,1,1,0
2e8fc160,8,0,0,37,34,0,0,1,0
2ef16f06,0,0,0,0,0,0,0,0,0
2f3e911a,6,0,0,29,20,0,0,0,0
3024e383,4,0,0,20,17,1,0,0,0
30672832,0,0,0,2,0,0,0,0,0
307fcd26,0,0,0,0,0,0,0,0,0
31223bcf,2,0,0,23,14,2,0,0,0
314eeab1,0,0,0,0,0,0,0,0,0
322ba2df,0,0,0,5,3,0,0,0,1
32b84cec,1,0,0,4,3,0,0,0,0
335fa267,3,2,0,16,26,1,0,0,0
348e4809,5,0,0,15,14,1,0,1,0
3536fdc1,0,0,0,0,0,0,0,0,0
355c883a,4,0,0,19,18,0,0,0,0
35f6db55,4,0,0,48,49,14,0,0,0
379652be,1,0,0,6,21,0,0,0,0
37e103f8,0,0,0,1,0,0,0,0,0
37f1cf47,4,0,0,34,9,6,0,0,0
37f96552,2,0,0,30,35,5,0,0,0
38699c72,0,0,0,18,10,3,0,0,0
39583cfd,1,0,0,11,5,4,0,0,0
39e9c09a,0,0,0,2,2,1,0,0,0
3a6a49f7,1,0,0,12,8,6,0,0,0
3a9c4b7b,1,0,0,5,3,0,0,0,0
3aa4a3be,3,0,0,26,28,5,0,0,0
3b9f859b,0,0,0,8,3,0,0,0,0
3c7bc9bd,13,0,0,44,47,0,0,0,0
3d7e48ce,5,0,0,25,45,3,0,0,0
3e1858af,1,0,0,19,18,8,1,0,0
3e4f735d,14,0,0,50,36,1,0,0,0
3e5a168c,1,0,0,2,1,0,0,0,0
3ecc11d8,2,0,0,12,10,0,0,0,0
3eed9821,7,0,0,22,25,4,0,0,0
