id,Cmp,Att,TotDist,PrgDist,Cmp.1,Att.1,Cmp.2,Att.2,Cmp.3,Att.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
000b3da6,45,54,849.0,262.0,20,22,21,24,4,6,0,0.0,0.0,0.0,0,5,0,0,8
003a5c72,540,720,9070.0,3378.0,254,322,211,263,55,82,0,1.7,1.2,-1.7,16,56,19,2,98
00b28772,581,779,8549.0,2302.0,290,365,190,248,39,72,0,0.5,0.6,-0.5,12,47,7,0,83
011d8c56,292,363,8746.0,6055.0,35,35,133,134,124,192,0,0.0,0.0,0.0,0,1,0,0,0
014b57f5,2,2,35.0,0.0,1,1,1,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0
01eb744d,547,753,7219.0,1909.0,323,390,149,207,22,42,2,4.6,3.5,-2.6,37,51,22,2,77
02319ad7,413,708,6275.0,1324.0,227,337,126,197,32,71,6,2.5,2.2,3.5,19,32,14,3,47
02c15616,350,379,7106.0,1489.0,128,139,161,164,59,64,0,0.2,0.2,-0.2,4,23,0,0,18
02ef8778,377,473,6421.0,1010.0,204,235,104,130,49,74,1,1.5,0.9,-0.5,18,36,8,0,40
036bba5f,1438,1757,29343.0,7859.0,556,603,604,681,254,402,2,0.9,1.1,1.1,20,172,2,0,181
04965583,236,324,4328.0,1607.0,90,109,112,146,26,46,0,1.0,0.9,-1.0,14,17,13,4,32
04a65a8f,13,18,225.0,85.0,5,6,6,7,1,2,0,0.0,0.0,0.0,0,1,1,0,2
04ac8285,98,111,2379.0,1570.0,19,19,54,55,25,37,0,0.0,0.0,0.0,0,0,0,0,0
04e17fd5,279,513,4228.0,980.0,167,261,73,145,24,45,2,2.3,1.5,-0.3,17,30,9,4,28
05a4465d,698,955,11470.0,3374.0,358,447,252,329,63,106,1,0.7,0.9,0.3,12,68,5,2,97
06efa9dc,64,84,950.0,312.0,36,39,22,26,4,12,1,0.1,0.1,0.9,1,3,1,1,7
070a3904,1010,1307,17918.0,5586.0,468,535,402,494,120,200,2,3.8,3.9,-1.8,37,125,30,7,169
07750704,17,22,282.0,110.0,7,10,9,10,1,1,0,0.0,0.0,0.0,1,2,0,0,3
08511d65,1777,1938,36291.0,15282.0,630,664,839,884,292,356,1,0.6,0.6,0.4,8,152,4,0,135
0959c2a2,323,378,5143.0,1632.0,185,203,97,113,30,40,0,0.3,0.5,-0.3,9,38,7,1,58
09a9e921,185,277,2610.0,623.0,117,164,43,66,13,20,1,1.6,1.1,-0.6,23,12,11,0,24
0a0cc13c,79,104,1047.0,109.0,47,54,22,28,3,6,1,0.6,0.7,0.4,6,1,1,1,3
0a447501,103,141,1382.0,212.0,52,68,34,41,4,7,0,0.0,0.1,0.0,1,4,2,0,9
0ac94a23,447,712,7066.0,2163.0,239,319,157,250,35,87,2,7.6,5.6,-5.6,37,28,34,18,64
0ae4e09a,243,367,3411.0,602.0,125,158,64,103,19,34,0,1.0,0.7,-1.0,16,15,5,1,30
0b90bb97,343,479,5097.0,815.0,194,246,101,137,24,34,5,3.9,3.1,1.1,16,21,11,3,34
0c2ac3cb,131,148,1967.0,275.0,76,81,46,54,6,8,0,0.1,0.2,-0.1,2,9,0,0,5
0c3f7197,65,89,1009.0,255.0,25,32,23,31,6,8,0,0.1,0.1,-0.1,2,7,2,0,13
