id,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks
000b3da6,53,1,1,0,2,0,0,0,0,0,0,0,1
003a5c72,709,10,6,6,5,11,1,0,0,0,0,1,12
00b28772,721,52,10,0,6,4,0,0,0,0,0,6,18
011d8c56,257,104,27,0,0,0,0,0,0,0,0,2,0
014b57f5,2,0,0,0,0,0,0,0,0,0,0,0,0
01eb744d,743,7,2,13,5,34,2,2,1,1,0,3,34
02319ad7,697,7,1,2,4,55,0,0,0,0,0,4,43
02c15616,368,8,7,0,8,0,1,0,0,0,0,3,6
02ef8778,391,81,1,5,24,11,1,0,0,0,0,1,8
036bba5f,1645,106,92,2,54,39,0,14,8,3,1,6,29
04965583,266,54,6,1,4,23,46,2,0,2,0,4,9
04a65a8f,16,1,0,0,1,0,0,0,0,0,0,1,0
04ac8285,84,27,3,0,0,0,0,0,0,0,0,0,0
04e17fd5,484,25,2,0,8,34,10,1,0,0,0,4,26
05a4465d,934,17,13,0,9,16,3,0,0,0,0,4,24
06efa9dc,73,9,0,0,0,8,9,0,0,0,0,2,2
070a3904,1222,73,37,13,10,56,4,32,8,9,8,12,29
07750704,22,0,0,0,0,1,0,0,0,0,0,0,1
08511d65,1864,68,55,3,46,2,13,0,0,0,0,6,5
0959c2a2,373,4,3,2,7,4,0,1,1,0,0,1,7
09a9e921,259,18,0,2,3,6,1,1,0,0,0,0,9
0a0cc13c,89,14,0,0,1,3,1,0,0,0,0,1,7
0a447501,122,17,0,0,0,2,0,0,0,0,0,2,6
0ac94a23,700,12,0,1,2,95,11,0,0,0,0,0,39
0ae4e09a,351,13,1,3,6,17,0,0,0,0,0,3,26
0b90bb97,448,26,3,3,10,9,2,0,0,0,0,5,17
0c2ac3cb,144,4,3,1,0,3,0,1,1,0,0,0,2
0c3f7197,84,4,1,2,0,5,0,0,0,0,0,1,5
0ef89a37,1351,102,21,9,6,49,16,65,33,3,0,8,21
0f0aa5b4,950,22,15,0,9,2,7,0,0,0,0,7,7
0f134faf,79,2,1,0,1,3,0,1,0,1,0,0,1
1001ae82,686,48,20,4,3,71,3,25,13,7,0,6,17
112521d1,240,72,1,2,1,15,69,2,0,0,0,2,4
1163de29,74,8,0,1,0,1,0,0,0,0,0,1,2
1232e1dc,249,11,10,0,1,1,1,0,0,0,0,0,1
129af0db,256,7,0,1,1,7,0,0,0,0,0,3,10
129dd8e7,200,132,52,0,0,0,0,0,0,0,0,2,0
12c50af5,15,3,0,0,0,1,2,1,0,0,0,0,1
13b0c150,89,4,4,0,0,0,0,0,0,0,0,0,0
13e0eb29,130,9,2,0,2,6,1,6,2,0,0,1,4
148d4105,135,0,0,0,2,0,0,0,0,0,0,0,0
1512328c,506,29,5,0,10,103,16,8,0,5,0,2,36
1519a888,16,8,1,0,1,2,7,0,0,0,0,0,1
1633fc8a,1472,100,80,0,21,4,20,0,0,0,0,7,15
167c1bb0,438,7,6,0,1,0,1,0,0,0,0,0,3
16e9d0ea,1173,352,29,2,7,103,322,0,0,0,0,11,57
174651c8,82,5,5,0,6,0,0,0,0,0,0,0,0
174f09a6,87,5,5,1,0,1,0,0,0,0,0,0,1
17a1299d,16,7,2,0,0,0,0,0,0,0,0,0,0
17d9e354,343,210,72,0,2,0,0,0,0,0,0,1,0
1840e36d,592,247,63,0,1,0,0,0,0,0,0,2,1
18dc8533,180,6,6,0,4,2,0,0,0,0,0,3,0
19709006,952,139,35,2,18,137,4,73,30,33,1,3,25
19b776e9,285,4,1,1,2,8,0,0,0,0,0,0,9
1a1609ab,24,0,0,0,1,2,0,0,0,0,0,0,1
1a317a1b,470,151,18,0,5,66,131,2,0,2,0,5,21
1b17ed86,1048,149,84,5,10,76,1,64,10,31,3,4,18
1bda5842,686,11,5,4,3,72,4,0,0,0,0,4,35
1d1691ad,639,122,8,0,2,53,114,0,0,0,0,1,23
1d5f96d9,88,2,0,2,0,2,0,0,0,0,0,0,5
1daec722,918,74,2,0,2,72,72,0,0,0,0,6,43
1e1bea09,20,0,0,0,1,0,0,0,0,0,0,0,0
1f079188,1531,411,34,1,22,216,377,0,0,0,0,12,70
1f54ed90,1006,46,44,1,7,1,2,0,0,0,0,2,6
1fb1c435,837,29,1,7,12,30,7,2,0,0,0,9,32
1fe0492d,968,258,27,0,7,80,226,5,5,0,0,4,27
1fe67e86,183,44,2,0,0,8,42,0,0,0,0,0,7
200e89e1,111,0,0,1,0,6,0,0,0,0,0,0,4
20b9f052,924,320,71,0,1,0,0,0,0,0,0,4,2
220c11f1,437,69,0,0,2,3,0,0,0,0,0,1,11
228b0d9d,418,108,9,0,0,28,99,0,0,0,0,2,15
2306bfde,765,132,59,7,11,90,2,66,20,33,1,4,17
23fffc06,23,0,0,0,0,0,0,0,0,0,0,1,0
240d3a0b,1369,35,30,0,18,5,4,0,0,0,0,2,14
244f57b9,863,323,97,8,27,291,118,96,42,36,1,6,50
248c409d,83,17,1,0,1,10,16,0,0,0,0,1,3
24f59bb2,949,184,20,1,6,35,164,0,0,0,0,5,20
253a06b9,546,31,1,6,19,40,14,1,0,1,0,6,32
25c72b36,150,6,0,1,0,6,2,0,0,0,0,0,7
2683eda7,90,3,0,0,0,2,2,0,0,0,0,0,1
26f2473f,142,89,25,0,0,0,0,0,0,0,0,0,0
274ab13c,95,4,4,0,2,0,0,0,0,0,0,0,2
27a013f7,1450,49,43,1,9,2,6,0,0,0,0,3,8
27d0a506,976,264,13,1,12,124,251,0,0,0,0,6,54
293211e1,229,9,0,0,0,6,1,0,0,0,0,0,5
2946f9a1,966,74,36,0,7,15,38,0,0,0,0,3,9
2973d8ff,128,6,2,1,1,3,0,0,0,0,0,1,7
29b61deb,1183,13,12,3,7,11,1,0,0,0,0,3,21
29e48848,188,39,6,0,0,29,33,0,0,0,0,1,4
2a0c8ba4,1650,215,89,1,68,177,4,121,22,79,0,10,27
2a8c9f98,3,0,0,0,0,0,0,0,0,0,0,0,0
2b15a82a,236,51,3,0,0,19,48,0,0,0,0,2,13
2bee98fd,442,58,13,5,5,55,6,34,9,10,2,5,29
2e23c66b,98,6,0,0,0,3,0,0,0,0,0,1,2
2e8fc160,132,12,12,0,1,0,0,0,0,0,0,0,6
2ef16f06,129,8,0,2,0,23,5,3,2,1,0,0,5
3024e383,1640,521,63,2,43,260,413,45,2,41,2,12,69
3061e1ec,80,44,11,0,0,0,0,0,0,0,0,0,0
30672832,47,7,1,0,1,4,6,0,0,0,0,0,0
307fcd26,113,78,29,0,1,0,0,0,0,0,0,1,0
31223bcf,701,82,36,1,19,52,4,41,21,14,0,6,10
32974271,337,41,1,2,7,21,0,0,0,0,0,3,22
32c0491f,801,206,10,1,9,40,196,0,0,0,0,6,26
335039a2,120,12,1,0,1,16,2,9,0,8,0,3,9
3353737a,690,88,9,0,10,34,78,1,1,0,0,2,19
335fa267,1626,152,23,6,2,27,129,0,0,0,0,5,26
355c883a,752,208,9,0,6,42,197,0,0,0,0,4,35
35f6db55,372,16,1,2,2,10,9,2,0,0,0,0,30
36d5469c,391,67,36,2,7,43,8,23,13,5,0,5,12
375a669e,63,5,0,0,0,8,4,1,0,1,0,0,5
379652be,866,16,6,13,1,13,1,9,3,0,0,7,19
37e103f8,62,3,0,0,0,4,2,1,0,0,0,0,2
37f1cf47,728,198,7,0,2,50,191,0,0,0,0,4,37
37f96552,287,10,4,1,3,38,1,5,2,2,0,1,11
38699c72,182,8,0,1,3,10,0,0,0,0,0,0,10
3902e91b,710,11,5,1,5,3,2,0,0,0,0,2,7
3aa4a3be,317,36,2,1,3,11,5,0,0,0,0,2,25
3c05c659,144,5,2,0,5,6,0,3,1,0,0,0,4
3c7bc9bd,1309,42,39,3,25,4,0,0,0,0,0,11,16
3cb6f224,96,6,0,0,0,7,1,0,0,0,0,0,2
3d7e48ce,36,6,3,0,1,7,3,0,0,0,0,1,2
3e1858af,6,2,1,0,0,3,0,1,0,1,0,0,0
3e4f735d,820,366,64,0,20,141,256,46,11,19,3,12,41
3e5a168c,44,10,0,0,0,3,10,0,0,0,0,0,1
3e96f3e7,152,14,8,0,1,0,6,0,0,0,0,0,2
3ecc11d8,1233,57,55,0,12,4,2,0,0,0,0,4,11
3ee0dd59,4,0,0,1,0,0,0,0,0,0,0,0,1
3eed9821,873,17,15,0,6,0,2,0,0,0,0,1,2
3ef0fa48,65,1,0,1,0,3,1,0,0,0,0,1,6
3effaa34,508,46,1,5,2,11,5,0,0,0,0,6,21
3f10bd22,1587,267,24,3,15,194,242,1,0,0,0,14,68
3f79a1c8,761,2,2,3,7,7,0,0,0,0,0,4,21
3fc45c73,1342,127,113,5,66,16,14,0,0,0,0,3,11
407feb71,166,3,1,2,0,4,2,0,0,0,0,1,3
418f8f61,1524,219,112,3,52,136,3,102,33,33,3,9,29
41b3069f,1378,84,76,0,13,4,8,0,0,0,0,4,10
41c12f75,331,62,2,1,1,18,60,0,0,0,0,4,12
42276181,406,32,2,2,2,10,6,0,0,0,0,1,26
4242011c,1351,42,41,0,12,0,1,0,0,0,0,4,6
42dcf26d,1471,47,39,0,31,14,8,0,0,0,0,10,6
43f71e77,741,13,2,14,1,17,2,0,0,0,0,11,35
4442fbcd,241,3,3,1,0,0,0,0,0,0,0,0,1
44e07fac,10,0,0,0,0,0,0,0,0,0,0,0,0
45af8a54,957,58,6,7,8,78,25,25,3,6,0,9,30
45e17712,421,33,3,0,2,26,30,0,0,0,0,5,34
45e304c8,191,24,10,0,1,14,4,8,2,4,0,1,3
4601e194,2356,332,55,9,16,52,276,1,0,0,0,7,44
46166b49,30,2,0,0,0,0,0,0,0,0,0,0,3
467bae22,1072,37,18,9,10,25,16,1,0,0,0,11,37
46e07328,32,0,0,0,0,2,0,0,0,0,0,0,1
4737cebe,457,97,26,3,22,118,5,66,33,26,1,3,22
474ecac8,473,21,20,1,7,0,1,0,0,0,0,3,5
487d9b09,555,81,9,0,3,41,72,0,0,0,0,1,12
48b3dd60,1254,33,26,6,9,4,3,4,0,1,0,5,12
48e89655,250,31,8,2,2,45,3,20,8,7,1,1,16
4958bfb2,1572,265,34,1,32,57,230,1,0,0,0,3,40
