id,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
003a5c72,132,131,1,1,0,1,0,0,0,0,0,0,94,0,2
0076ab7f,662,636,26,24,1,8,3,2,0,0,0,0,597,0,4
00b28772,742,665,74,23,0,2,8,5,0,0,0,0,520,3,10
011d8c56,462,325,136,36,0,0,0,0,0,0,0,0,367,1,0
01a49bd2,446,418,28,26,0,7,0,2,0,0,0,0,343,0,2
01eb744d,591,572,11,1,7,0,34,0,8,2,4,0,431,8,16
02319ad7,771,753,14,1,2,6,58,5,0,0,0,0,486,4,35
02c15616,493,484,6,4,2,2,8,0,0,0,0,0,382,3,18
02ef8778,275,250,25,2,2,6,10,1,0,0,0,0,208,0,7
036bba5f,1066,956,106,82,1,48,26,3,21,10,3,0,830,4,13
04965583,856,702,150,64,1,11,110,26,45,18,15,0,617,4,22
04a65a8f,18,18,0,0,0,0,2,0,0,0,0,0,9,0,1
04ac8285,760,489,265,60,0,2,0,0,0,0,0,0,482,6,0
04e17fd5,426,395,28,0,0,3,15,7,0,0,0,0,249,3,16
05a4465d,712,704,5,4,1,6,4,0,0,0,0,0,508,3,15
062fc2e6,227,153,74,3,0,1,28,64,7,4,3,0,150,0,9
06983922,152,134,16,1,0,0,8,1,0,0,0,0,94,2,10
070a3904,1090,984,102,45,4,18,57,10,36,12,18,2,805,4,14
07129f3c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
073b1b37,972,739,225,10,0,4,81,215,0,0,0,0,691,8,42
08511d65,2164,2080,78,72,1,71,2,6,0,0,0,0,1963,6,8
09332647,274,269,5,5,0,0,0,0,0,0,0,0,257,0,0
0959c2a2,1104,1090,12,6,5,12,16,6,0,0,0,0,961,2,16
09a9e921,134,124,10,0,0,0,3,0,0,0,0,0,99,0,5
09e81276,35,30,5,0,0,0,1,4,1,0,1,0,24,0,2
0a0cc13c,96,87,7,0,0,0,6,1,0,0,0,0,53,2,6
0ac94a23,354,339,12,1,1,2,40,11,0,0,0,0,231,3,16
0ae4e09a,453,440,8,0,2,7,18,0,0,0,0,0,283,5,16
0b33f6ad,1115,1080,29,25,1,6,1,4,0,0,0,0,894,6,10
0b90bb97,706,675,28,2,7,8,30,17,2,0,0,0,486,3,24
0ba976e4,530,512,15,1,0,4,21,4,10,8,0,0,438,3,9
0bc4e720,92,89,2,1,0,0,3,1,0,0,0,0,62,1,2
0c2ac3cb,1480,1412,65,44,5,12,38,9,11,3,6,0,1264,3,25
0cc474e7,388,368,18,4,0,2,7,13,0,0,0,0,303,2,10
0d690336,77,70,7,0,0,0,14,1,6,3,3,0,44,0,3
