id,MP,Min,90s,Starts,Compl,Subs,unSub,onG,onGA,+/-,onxG,onxGA,xG+/-,MinGK,MPGK,StartsGK,90sGK
00225aae,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,0,0
003a5c72,9,359,4,3,2,6,14,6,4,2,4.1,4.7,-0.6,0,0,0,0
0076ab7f,24,1216,13,9,9,15,10,21,12,9,16.2,16.4,-0.2,0,0,0,0
00b28772,35,2895,32,33,28,2,0,39,31,8,37.9,34.6,3.3,0,0,0,0
011d8c56,13,1170,13,13,13,0,22,18,16,2,14.6,13.5,1.1,1170,13,13,13
01a49bd2,17,1197,13,13,12,4,11,12,30,-18,12.3,25.9,-13.6,0,0,0,0
01d45441,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0
01eb744d,33,2061,22,22,9,11,1,31,20,11,33.2,21.0,12.2,0,0,0,0
02319ad7,34,2747,30,33,18,1,2,34,23,11,35.0,28.4,6.5,0,0,0,0
02c15616,29,1368,15,16,5,13,8,23,18,5,21.4,16.2,5.2,0,0,0,0
02ef8778,14,1075,11,11,9,3,0,7,12,-5,13.8,14.6,-0.8,0,0,0,0
036336ce,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,0,0
036bba5f,27,1927,21,20,16,7,3,17,25,-8,19.7,30.1,-10.5,0,0,0,0
04965583,29,2165,24,26,12,3,1,25,33,-8,25.8,35.3,-9.6,0,0,0,0
04a65a8f,2,72,0,0,0,2,1,0,0,0,0.6,0.2,0.4,0,0,0,0
04ac8285,24,2096,23,24,23,0,7,27,30,-3,26.4,34.0,-7.6,2096,24,24,23
04e17fd5,36,2181,24,22,15,14,1,27,36,-9,27.6,33.6,-6.1,0,0,0,0
05a4465d,30,1967,21,22,16,8,5,25,33,-8,24.8,30.1,-5.3,0,0,0,0
062fc2e6,6,435,4,6,3,0,6,6,6,0,7.8,7.2,0.6,0,0,0,0
06983922,20,870,9,9,2,11,6,6,21,-15,8.5,12.3,-3.8,0,0,0,0
06efa9dc,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0
070a3904,36,2658,29,29,21,7,1,22,48,-26,31.4,40.3,-8.9,0,0,0,0
07129f3c,1,1,0,0,0,1,11,0,0,0,0.1,0.0,0.0,0,0,0,0
073b1b37,23,1805,20,20,14,3,3,24,33,-9,22.7,29.7,-7.1,0,0,0,0
08511d65,35,3013,33,35,31,0,0,61,21,40,60.9,28.3,32.5,0,0,0,0
09332647,7,263,2,1,0,6,2,4,3,1,5.0,3.7,1.2,0,0,0,0
0959c2a2,33,1907,21,21,10,12,2,42,12,30,39.6,19.2,20.4,0,0,0,0
09a9e921,19,688,7,7,1,12,15,10,7,3,11.0,7.9,3.1,0,0,0,0
09e81276,2,83,0,1,0,1,9,1,2,-1,1.5,1.5,0.0,0,0,0,0
0a0cc13c,22,672,7,6,0,16,12,7,10,-3,9.0,16.0,-7.0,0,0,0,0
0ac94a23,24,926,10,9,1,15,4,11,20,-9,12.1,19.0,-6.9,0,0,0,0
0ae4e09a,36,2267,25,26,11,10,1,27,32,-5,33.0,38.4,-5.5,0,0,0,0
0af4b238,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,0,0
0b006b08,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.0,0,0,0,0
0b33f6ad,31,2725,30,30,28,1,3,24,33,-9,29.4,44.6,-15.2,0,0,0,0
0b90bb97,34,1944,21,21,10,13,1,20,27,-7,24.3,24.9,-0.6,0,0,0,0
0ba976e4,24,1027,11,11,1,13,9,27,14,13,22.3,11.3,11.0,0,0,0,0
0bc4e720,11,418,4,3,0,8,10,10,5,5,7.5,6.3,1.2,0,0,0,0
0c2ac3cb,32,2297,25,27,13,5,0,29,32,-3,29.4,28.6,0.7,0,0,0,0
0cc474e7,25,1361,15,14,7,11,12,19,14,5,15.1,17.1,-1.9,0,0,0,0
0d690336,10,250,2,2,0,8,21,3,3,0,3.3,3.4,-0.1,0,0,0,0
0e50f929,23,1161,12,12,3,11,10,15,23,-8,17.1,20.1,-3.0,0,0,0,0
0e7ccfc4,3,269,3,3,2,0,2,0,5,-5,2.9,2.9,0.0,0,0,0,0
0f0aa5b4,23,1874,20,22,17,1,6,16,30,-14,18.6,23.4,-4.8,0,0,0,0
0f7dbaf6,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,0,0
0ff67313,1,9,0,0,0,1,3,1,0,1,0.9,0.0,0.9,0,0,0,0
10f1cd17,7,473,5,5,4,2,2,2,8,-6,4.4,7.7,-3.4,0,0,0,0
11184fa7,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,0,0
112521d1,20,1087,12,11,8,9,13,11,19,-8,14.7,15.2,-0.5,0,0,0,0
113fb4ea,0,0,0,0,0,0,28,1,0,1,0.0,0.0,0.0,0,0,0,0
114b510e,2,93,1,1,0,1,1,3,1,2,2.6,1.9,0.7,0,0,0,0
11b9265b,18,1471,16,17,13,1,1,27,20,7,26.7,19.5,7.2,0,0,0,0
129af0db,34,2098,23,25,11,9,0,30,14,16,40.5,17.7,22.7,0,0,0,0
12c50af5,26,1630,18,20,7,6,3,18,21,-3,20.9,20.6,0.3,0,0,0,0
12eda7be,3,30,0,0,0,3,6,0,0,0,1.1,0.2,0.9,0,0,0,0
132ac341,29,2610,29,29,29,0,4,36,36,0,39.4,35.3,4.1,0,0,0,0
137bcb59,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,0,0
14e05913,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,0,0
167c1bb0,8,377,4,4,3,4,9,2,6,-4,4.3,6.1,-1.8,0,0,0,0
16aa3654,35,2312,25,23,14,12,1,28,49,-21,26.6,47.0,-20.4,0,0,0,0
16e9d0ea,31,2265,25,25,19,6,3,35,41,-6,36.4,34.6,1.8,0,0,0,0
174651c8,22,943,10,10,5,12,11,11,11,0,11.7,14.5,-2.9,0,0,0,0
17a1299d,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,0,0
1827a42d,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,0,0
1840e36d,34,3060,34,34,34,0,2,60,20,40,61.1,28.8,32.3,3060,34,34,34
189cee7b,9,448,5,4,1,5,6,5,4,1,8.7,5.4,3.3,0,0,0,0
18abe173,32,2502,27,27,25,5,5,24,34,-10,28.5,31.9,-3.4,0,0,0,0
18f0a9f0,3,19,0,0,0,3,3,0,2,-2,0.0,0.7,-0.7,0,0,0,0
19709006,30,1914,21,22,7,8,0,20,34,-14,22.4,27.1,-4.7,0,0,0,0
19b776e9,13,170,1,1,0,12,12,4,2,2,3.2,1.8,1.3,0,0,0,0
19cdceb0,3,83,0,1,0,2,14,1,1,0,0.6,1.8,-1.2,0,0,0,0
1a317a1b,16,1255,13,15,10,1,5,10,12,-2,8.6,18.7,-10.0,0,0,0,0
1af67930,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0
1b17ed86,11,473,5,5,1,6,5,3,11,-8,6.2,6.4,-0.2,0,0,0,0
1b40049a,19,573,6,5,0,14,17,6,9,-3,7.6,10.6,-3.0,0,0,0,0
1ba96fea,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,0,0
1bacc518,29,2115,23,24,14,5,1,52,26,26,41.2,25.3,16.0,0,0,0,0
1bda5842,35,2393,26,25,13,10,1,46,34,12,35.5,29.9,5.6,0,0,0,0
1d1691ad,4,343,3,4,3,0,5,9,4,5,7.1,3.6,3.5,0,0,0,0
1d2fa3e6,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,0,0,0,0
1d5f96d9,2,78,0,1,0,1,3,0,1,-1,0.7,0.6,0.1,0,0,0,0
1d8c99b0,1,9,0,0,0,1,0,0,1,-1,0.0,0.3,-0.3,0,0,0,0
1daec722,37,3237,36,37,24,0,0,41,33,8,40.0,38.2,1.8,0,0,0,0
1f079188,26,1909,21,21,18,5,7,36,28,8,33.9,24.8,9.1,0,0,0,0
1f2231a3,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,0,0
1fb1c435,27,1880,20,23,9,4,0,27,23,4,26.1,31.5,-5.4,0,0,0,0
1fc3c3d7,5,87,1,1,0,4,9,1,2,-1,1.2,1.6,-0.4,0,0,0,0
1fe0492d,31,2663,29,30,28,1,1,32,37,-5,34.6,38.9,-4.3,0,0,0,0
1fe67e86,9,563,6,6,5,3,11,5,9,-4,5.7,8.7,-2.9,0,0,0,0
200e89e1,17,442,4,3,1,14,9,7,6,1,6.3,6.6,-0.2,0,0,0,0
206b11c5,2,37,0,0,0,2,2,0,2,-2,0.4,1.3,-0.9,0,0,0,0
21512407,25,1979,22,23,19,2,8,30,15,15,35.4,17.1,18.4,0,0,0,0
227c27df,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0
228b0d9d,15,981,10,11,8,4,14,11,14,-3,12.0,12.0,0.0,0,0,0,0
2306bfde,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0
2327c29e,20,654,7,5,1,15,11,8,9,-1,11.0,12.9,-1.9,0,0,0,0
237a3851,6,218,2,2,1,4,1,2,4,-2,2.0,3.1,-1.1,0,0,0,0
240d3a0b,36,3029,33,33,32,3,0,39,35,4,38.5,44.3,-5.8,0,0,0,0
24279b8b,19,1583,17,18,17,1,7,22,24,-2,26.1,21.3,4.8,1583,19,18,17
2475cf9b,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0
24f59bb2,17,1014,11,11,8,6,11,29,11,18,19.8,10.9,9.0,0,0,0,0
253a06b9,20,1591,17,18,14,2,0,24,22,2,28.3,21.7,6.6,0,0,0,0
2683eda7,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,0,0
2784f898,15,1022,11,10,9,5,23,17,9,8,19.3,9.0,10.3,0,0,0,0
27a013f7,34,2888,32,32,27,2,1,32,42,-10,32.9,38.6,-5.6,0,0,0,0
27d0a506,13,739,8,7,6,6,10,5,17,-12,7.9,17.3,-9.4,0,0,0,0
283c7121,35,2316,25,24,19,11,3,29,34,-5,29.6,33.8,-4.3,0,0,0,0
293211e1,14,208,2,0,0,14,3,3,2,1,3.6,3.1,0.4,0,0,0,0
2946f9a1,6,439,4,4,4,2,8,5,2,3,5.8,4.8,1.0,0,0,0,0
29b61deb,30,1088,12,7,5,23,8,13,31,-18,12.0,24.0,-12.0,0,0,0,0
29e48848,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0
2a0c8ba4,34,2254,25,27,10,7,0,30,15,15,33.9,20.6,13.3,0,0,0,0
2a8c9f98,3,51,0,0,0,3,8,2,2,0,0.7,1.1,-0.5,0,0,0,0
2a9f6b4d,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0
2ae958ab,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,0,0
2bef2bca,6,238,2,2,2,4,9,11,0,11,6.6,2.6,4.0,0,0,0,0
2e3406ae,23,1768,19,18,16,5,4,21,34,-13,21.5,36.1,-14.6,0,0,0,0
2e5c0b73,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,0,0
2e5e846d,5,204,2,3,0,2,5,4,1,3,3.4,2.6,0.8,0,0,0,0
2f965a72,4,360,4,4,4,0,31,10,5,5,6.8,4.5,2.3,360,4,4,4
3024e383,28,2360,26,27,24,1,4,26,37,-11,28.5,35.5,-7.1,0,0,0,0
3061e1ec,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,0,0,0,0
30670b0e,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0
307fcd26,4,360,4,4,4,0,34,11,8,3,9.5,6.4,3.0,360,4,4,4
31a1288d,8,181,2,2,0,6,5,5,0,5,3.6,1.8,1.7,0,0,0,0
32974271,35,2655,29,31,18,4,0,26,29,-3,29.7,42.2,-12.5,0,0,0,0
32c0491f,2,75,0,1,0,1,0,0,2,-2,1.3,2.0,-0.7,0,0,0,0
3353737a,31,2509,27,29,26,2,4,39,22,17,39.6,27.0,12.6,0,0,0,0
335fa267,30,2339,26,27,21,3,2,56,27,29,40.3,26.8,13.5,0,0,0,0
33a61a52,23,1848,20,20,19,3,9,34,31,3,28.5,33.4,-4.9,0,0,0,0
34e393f2,14,936,10,11,6,3,3,10,14,-4,11.6,12.9,-1.3,0,0,0,0
355c883a,31,2099,23,23,16,8,5,20,38,-18,22.7,36.4,-13.8,0,0,0,0
3594a357,2,29,0,0,0,2,8,1,1,0,0.6,0.2,0.4,0,0,0,0
35f1a7a2,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0
360d70f8,35,2188,24,24,12,11,1,19,35,-16,22.8,38.1,-15.3,0,0,0,0
3624ce4c,36,2884,32,33,27,3,1,43,43,0,37.9,37.7,0.2,0,0,0,0
3672b352,1,10,0,0,0,1,7,0,0,0,0.1,0.1,0.0,0,0,0,0
36ba66aa,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,0,0
36c5f77b,20,561,6,5,1,15,14,3,10,-7,6.1,7.0,-0.9,0,0,0,0
374ee424,25,2250,25,25,25,0,13,38,32,6,34.2,29.5,4.7,2250,25,25,25
379652be,24,1115,12,12,2,12,10,8,18,-10,10.1,17.1,-7.0,0,0,0,0
37e103f8,12,378,4,4,0,8,5,3,8,-5,4.7,6.4,-1.7,0,0,0,0
37f04799,2,180,2,2,2,0,9,2,2,0,1.6,2.6,-1.0,0,0,0,0
37f1cf47,35,2872,31,32,26,3,0,35,32,3,37.8,38.5,-0.7,0,0,0,0
38126309,29,1690,18,22,5,7,9,20,32,-12,23.6,32.2,-8.6,0,0,0,0
38ce1150,3,59,0,0,0,3,2,1,0,1,0.7,0.7,0.0,0,0,0,0
3902e91b,25,1236,13,14,2,11,4,11,17,-6,15.5,24.8,-9.3,0,0,0,0
3a58d075,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0
3a9c4b7b,30,2332,25,26,23,4,2,32,33,-1,33.3,30.5,2.8,0,0,0,0
3aa4a3be,36,2031,22,21,9,15,1,31,40,-9,33.7,32.3,1.4,0,0,0,0
3b40d0c0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0
3c05c659,18,877,9,9,4,9,1,10,12,-2,10.5,12.0,-1.4,0,0,0,0
3c16d927,22,1535,17,16,13,6,1,20,31,-11,16.4,27.4,-11.1,0,0,0,0
3c251970,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0
3c7bc9bd,26,2194,24,25,22,1,4,18,29,-11,23.2,25.7,-2.5,0,0,0,0
3cefcaef,25,1809,20,19,18,6,6,35,11,24,34.0,16.9,17.1,0,0,0,0
3d688b46,28,1499,16,18,6,10,3,18,22,-4,18.2,17.0,1.2,0,0,0,0
3da1b6ed,1,2,0,0,0,1,8,0,0,0,0.0,0.1,-0.1,0,0,0,0
3dfc70ed,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,0,0
3e016e5a,8,406,4,5,0,3,5,3,7,-4,3.8,5.8,-2.0,0,0,0,0
3e1858af,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,0,0
3e42f707,32,2793,31,31,31,1,2,38,48,-10,42.3,41.2,1.0,0,0,0,0
3e4f735d,1,6,0,0,0,1,5,0,0,0,0.0,0.2,-0.2,0,0,0,0
3e59d360,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0
3ecc11d8,32,2810,31,32,31,0,4,36,27,9,35.4,38.4,-3.0,0,0,0,0
3ee0dd59,9,524,5,6,5,3,4,9,8,1,6.7,5.2,1.6,0,0,0,0
3eed9821,13,949,10,10,10,3,12,24,12,12,16.8,8.2,8.6,0,0,0,0
3f10bd22,38,3369,37,37,35,1,0,53,32,21,52.8,34.7,18.1,0,0,0,0
3f79a1c8,23,1674,18,18,14,5,2,20,31,-11,21.0,28.6,-7.6,0,0,0,0
3fc45c73,33,2970,33,33,33,0,2,38,32,6,38.5,41.5,-3.0,0,0,0,0
40449bbd,15,1119,12,11,11,4,8,11,16,-5,12.5,19.4,-6.9,0,0,0,0
407feb71,6,65,0,0,0,6,10,0,1,-1,0.4,1.3,-0.9,0,0,0,0
4112ace5,1,73,0,1,0,0,2,0,1,-1,0.4,0.6,-0.3,0,0,0,0
41521385,2,13,0,0,0,2,5,1,0,1,0.4,0.5,-0.1,0,0,0,0
418f8f61,29,2178,24,27,13,2,4,17,21,-4,21.3,32.6,-11.2,0,0,0,0
41b3069f,15,1043,11,12,9,3,13,8,21,-13,12.5,15.2,-2.7,0,0,0,0
41c12f75,24,1870,20,21,18,3,1,20,20,0,21.8,24.1,-2.3,0,0,0,0
41f32541,34,2659,29,30,27,4,0,41,28,13,42.2,26.4,15.8,0,0,0,0
4207e578,13,209,2,1,0,12,11,2,3,-1,3.4,2.8,0.6,0,0,0,0
42276181,29,1581,17,17,5,12,1,21,28,-7,20.4,26.6,-6.2,0,0,0,0
4242011c,26,2259,25,26,24,0,3,21,38,-17,24.8,35.1,-10.3,0,0,0,0
43f71e77,34,1886,21,23,5,11,2,20,19,1,19.6,21.5,-1.9,0,0,0,0
44150beb,1,77,0,1,0,0,9,1,1,0,0.8,1.0,-0.2,0,0,0,0
4442fbcd,30,1569,17,20,5,10,2,18,28,-10,20.5,29.3,-8.9,0,0,0,0
45668e07,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0
45af8a54,9,336,3,3,0,6,2,9,3,6,7.2,3.4,3.8,0,0,0,0
45e17712,17,1119,12,12,10,5,1,15,12,3,12.8,12.1,0.7,0,0,0,0
45e304c8,2,22,0,0,0,2,6,1,1,0,0.3,0.1,0.2,0,0,0,0
4601e194,27,2187,24,25,21,2,2,53,23,30,41.8,23.3,18.5,0,0,0,0
46166b49,6,109,1,0,0,6,1,2,2,0,1.4,2.5,-1.1,0,0,0,0
466824fb,29,2320,25,27,18,2,1,34,31,3,38.3,31.1,7.3,0,0,0,0
467bae22,31,1098,12,11,3,20,4,19,14,5,17.7,14.0,3.7,0,0,0,0
46a8347f,5,362,4,4,2,1,2,2,3,-1,3.1,3.2,-0.2,0,0,0,0
46bd3a5b,12,929,10,11,7,1,9,8,17,-9,9.7,13.4,-3.7,0,0,0,0
46e07328,26,1128,12,10,3,16,8,9,15,-6,12.0,14.9,-2.9000000000000004,0,0,0,0
4737cebe,24,1167,13,13,4,11,8,16,15,1,16.6,12.9,3.7,0,0,0,0
474ecac8,28,2374,26,27,25,1,5,36,34,2,35.6,43.1,-7.5,0,0,0,0
476ca810,4,195,2,2,2,2,1,2,4,-2,2.1,2.8,-0.7,0,0,0,0
487d9b09,12,641,7,7,5,5,20,8,11,-3,10.0,8.9,1.2,0,0,0,0
48b3dd60,21,1182,13,14,4,7,6,32,11,21,21.9,14.2,7.7,0,0,0,0
48e89655,3,56,0,0,0,3,1,1,3,-2,0.4,1.6,-1.2,0,0,0,0
4958bfb2,31,2738,30,31,29,0,2,59,18,41,57.4,25.7,31.6,0,0,0,0
49d028db,10,681,7,9,2,1,15,9,9,0,10.2,9.4,0.8,0,0,0,0
49ea92be,24,1442,16,21,4,3,1,22,14,8,17.5,20.1,-2.6,0,0,0,0
4a478107,38,2519,28,29,11,9,0,32,38,-6,31.9,49.6,-17.7,0,0,0,0
4a633cfe,8,536,6,6,5,2,8,5,11,-6,6.0,9.8,-3.7,0,0,0,0
4a895384,17,1446,16,16,15,1,13,20,14,6,16.8,18.3,-1.5,0,0,0,0
4accb7e0,31,2245,24,27,17,4,2,26,33,-7,29.3,31.7,-2.5,0,0,0,0
4bd414c1,36,3237,36,36,35,0,1,61,44,17,60.9,42.7,18.1,0,0,0,0
4c2e9442,33,2143,23,25,11,8,1,29,30,-1,23.8,31.6,-7.7,0,0,0,0
4c5b14d2,34,2060,22,25,5,9,1,32,33,-1,33.1,28.6,4.5,0,0,0,0
4cee5954,35,3144,34,35,34,0,1,34,42,-8,34.3,40.3,-6.0,0,0,0,0
4d1666ff,29,2309,25,25,24,4,8,39,22,17,34.8,24.2,10.6,0,0,0,0
4d224fe8,35,3088,34,35,32,0,1,67,22,45,61.1,28.5,32.6,0,0,0,0
4d8cd038,17,430,4,4,1,13,10,9,5,4,11.0,5.3,5.7,0,0,0,0
4dbd0916,22,925,10,10,1,12,8,9,8,1,14.5,6.1,8.3,0,0,0,0
4df0dff8,6,531,5,5,5,1,27,7,12,-5,7.1,7.3,-0.2,531,6,5,5
4e219ad2,17,785,8,8,1,9,0,16,10,6,13.6,10.0,3.6,0,0,0,0
4f28a6ff,28,2424,26,28,24,0,6,61,28,33,49.4,27.1,22.4,0,0,0,0
505d9778,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,0,0
518f2234,1,15,0,0,0,1,8,1,0,1,0.1,0.0,0.1,0,0,0,0
51a3c4c8,25,2102,23,23,23,2,6,31,20,11,36.8,20.8,16.0,0,0,0,0
51e3954c,16,1277,14,15,11,1,13,16,21,-5,17.0,20.5,-3.5,0,0,0,0
529f49ab,35,2549,28,29,21,6,0,39,18,21,40.7,23.0,17.6,0,0,0,0
532e1e4f,34,2971,33,33,33,1,0,54,45,9,58.1,41.5,16.7,0,0,0,0
53ddba36,9,184,2,1,0,8,5,5,3,2,2.8,3.2,-0.4,0,0,0,0
54073b28,25,1570,17,18,10,7,7,9,23,-14,17.4,18.1,-0.7,0,0,0,0
545e2f01,6,338,3,3,3,3,7,5,10,-5,5.8,7.2,-1.4,0,0,0,0
55126f3b,32,2698,30,30,26,2,0,45,20,25,47.3,25.5,21.7,0,0,0,0
5512b1a9,11,990,11,11,11,0,27,5,18,-13,10.2,14.6,-4.4,990,11,11,11
555f3a0b,17,1217,13,15,10,2,14,17,9,8,22.3,11.0,11.3,0,0,0,0
557fcc50,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0
57be54ec,19,531,5,5,0,14,2,5,10,-5,7.4,8.6,-1.1,0,0,0,0
58640e66,4,231,2,3,2,1,19,0,3,-3,2.3,1.6,0.6,0,0,0,0
58a3a572,2,126,1,1,0,1,3,3,3,0,1.8,1.7,0.1,0,0,0,0
58a9a4d9,28,1596,17,21,3,7,5,26,16,10,23.1,15.4,7.7,0,0,0,0
58afe001,35,3069,34,34,30,1,0,36,33,3,37.4,36.6,0.7,0,0,0,0
59b7d823,14,623,6,6,4,8,17,8,13,-5,6.2,12.9,-6.7,0,0,0,0
5a626448,37,2319,25,26,8,11,1,42,32,10,41.9,32.6,9.2,0,0,0,0
5ab0ea87,33,2483,27,29,16,4,3,68,29,39,49.3,27.2,22.1,0,0,0,0
5c4dc0ff,5,45,0,0,0,5,6,1,2,-1,1.5,0.6,0.9,0,0,0,0
5c56ca54,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,0,0
5c7845f6,33,2640,29,29,26,4,4,45,39,6,36.5,36.4,0.1,0,0,0,0
5c96b017,30,2188,24,25,11,5,0,31,38,-7,35.6,34.5,1.1,0,0,0,0
5ca20b7a,30,2545,28,29,21,1,3,43,35,8,35.3,30.6,4.7,0,0,0,0
