id,MP,Min,90s,Starts,Compl,Subs,unSub,PPM,onG,onGA,+/-,On-Off,onxG,onxGA,xG+/-,On-Off.1,MinGK,MPGK,StartsGK,90sGK
00225aae,0,0,0.0,0,0,0,18,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
004d185e,30,2019,22.4,23,10,7,4,0.93,17,29.0,-12.0,0.04,14.7,35.2,-20.6,-0.25,0,0,0,0.0
0076ab7f,30,1041,11.6,10,7,20,7,2.17,10,13.0,-3.0,-1.13,13.8,14.2,-0.4,-0.79,0,0,0,0.0
00b28772,35,2728,30.3,34,16,1,0,1.0,21,31.0,-10.0,0.32,24.7,32.8,-8.1,-0.55,0,0,0,0.0
0107757e,0,0,0.0,0,0,0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
011d8c56,0,0,0.0,0,0,0,17,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
01e5f06e,29,792,8.8,4,1,25,9,0.83,3,14.0,-11.0,-0.98,11.0,12.6,-1.6,0.09,0,0,0,0.0
01eb744d,38,2393,26.6,29,3,9,0,2.26,39,14.0,25.0,-0.55,37.5,23.0,14.5,0.44,0,0,0,0.0
02319ad7,33,2037,22.6,23,8,10,2,1.0,14,24.0,-10.0,-0.12,20.3,21.0,-0.7,0.31,0,0,0,0.0
02c15616,37,2956,32.8,33,26,4,0,2.3,59,24.0,35.0,-0.29,44.2,32.7,11.5,-0.48,0,0,0,0.0
036336ce,0,0,0.0,0,0,0,17,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
036bba5f,30,2165,24.1,25,15,5,1,0.9,24,39.0,-15.0,-0.05,27.6,30.9,-3.3,0.55,0,0,0,0.0
037dbd30,28,1106,12.3,10,6,18,10,0.96,9,18.0,-9.0,-0.65,9.5,18.1,-8.6,-0.53,0,0,0,0.0
039ae103,10,900,10.0,10,10,0,28,1.2,8,12.0,-4.0,-0.01,9.2,10.3,-1.1,0.07,900,10,10,10.0
03cb6ca0,0,0,0.0,0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0
