id,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Tkld,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
003a5c72,191,17,65,98,30,5,191,4,1,3,74,205.0,72.0,0,1,0,5,3,98,1
0076ab7f,796,47,281,459,63,3,796,14,9,5,463,2493.0,1043.0,7,12,0,12,5,522,0
00b28772,1010,40,187,587,247,46,1010,16,11,5,321,1623.0,665.0,19,15,3,24,7,366,33
011d8c56,491,419,491,0,0,0,491,2,2,0,255,1155.0,767.0,0,0,0,0,0,217,0
01a49bd2,566,69,312,242,15,10,566,3,2,1,275,1281.0,655.0,1,2,0,9,2,275,0
01eb744d,908,22,127,342,447,134,908,68,37,31,576,2847.0,1381.0,54,35,33,82,55,638,141
02319ad7,1098,15,64,435,604,135,1094,32,14,18,620,2329.0,648.0,25,21,10,107,48,867,224
02c15616,658,18,116,359,193,44,658,32,27,5,385,2350.0,1195.0,39,23,18,28,26,419,75
02ef8778,430,6,49,223,166,43,429,45,30,15,292,1470.0,478.0,15,12,5,43,23,328,71
036bba5f,1340,73,341,848,167,10,1340,28,23,5,663,3258.0,1591.0,26,15,1,23,15,734,21
04965583,1083,18,124,546,429,36,1083,50,23,27,672,3778.0,1967.0,59,41,11,54,22,669,119
04a65a8f,24,2,3,10,11,2,24,0,0,0,7,26.0,11.0,1,0,0,1,0,8,3
04ac8285,808,740,805,3,0,0,808,0,0,0,412,2204.0,1742.0,0,1,1,1,0,274,0
04e17fd5,711,30,70,314,339,103,711,47,21,26,385,2142.0,899.0,37,23,24,56,29,492,136
05a4465d,949,54,197,644,114,27,949,10,6,4,486,1726.0,567.0,7,8,1,24,20,521,25
062fc2e6,254,3,61,120,77,1,254,2,0,2,95,569.0,209.0,6,6,0,6,6,100,13
06983922,257,4,17,121,127,28,257,19,9,10,154,959.0,422.0,21,10,10,39,17,167,47
070a3904,1347,24,196,747,426,35,1347,42,20,22,770,4043.0,1691.0,34,38,4,39,29,884,118
07129f3c,1,1,1,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
073b1b37,1187,77,391,502,314,12,1187,47,29,18,583,3716.0,2025.0,60,40,6,27,10,583,66
08511d65,2448,263,1186,1156,124,51,2442,13,11,2,1471,7037.0,3895.0,21,18,2,13,4,1726,7
09332647,292,9,73,195,25,2,292,2,1,1,186,752.0,319.0,2,3,0,2,0,241,1
0959c2a2,1300,27,195,726,395,24,1300,27,19,8,807,4603.0,2469.0,41,43,10,31,19,968,69
09a9e921,208,5,13,96,103,35,208,14,6,8,92,481.0,214.0,8,6,7,23,5,151,36
09e81276,47,4,20,18,9,0,47,1,1,0,27,104.0,60.0,1,1,0,0,2,24,2
0a0cc13c,166,2,12,67,87,24,166,8,3,5,101,393.0,110.0,7,1,5,20,10,123,38
0ac94a23,481,11,77,205,206,44,481,25,12,13,289,1584.0,788.0,29,20,5,21,8,325,85
0ae4e09a,696,14,71,307,324,87,692,22,13,9,414,1763.0,758.0,29,16,12,72,23,523,132
0b33f6ad,1422,232,805,604,25,16,1422,10,10,0,709,4033.0,1557.0,2,6,1,13,6,751,2
0b90bb97,966,33,109,439,423,73,966,34,14,20,548,2545.0,1158.0,35,26,9,58,36,727,180
0ba976e4,703,7,38,207,464,89,703,53,25,28,544,3520.0,1934.0,77,35,46,35,25,601,187
0bc4e720,145,5,12,54,80,14,145,10,7,3,92,572.0,298.0,10,10,2,14,10,100,23
0c2ac3cb,1871,43,336,987,574,55,1871,96,64,32,1238,6878.0,3530.0,80,66,11,67,53,1342,88
0cc474e7,516,11,96,295,134,17,516,11,4,7,263,1498.0,671.0,16,11,2,16,10,273,25
0d690336,113,0,12,37,64,4,113,7,2,5,67,394.0,132.0,7,5,2,9,4,85,20
0e50f929,929,18,173,617,153,9,929,31,23,8,544,2286.0,1239.0,13,17,1,19,14,615,22
0e7ccfc4,218,8,47,81,92,4,218,11,6,5,136,710.0,306.0,6,3,1,4,3,151,34
0f0aa5b4,902,131,515,374,19,10,902,4,4,0,329,1451.0,600.0,0,6,0,6,1,346,2
0ff67313,9,0,3,5,1,0,9,1,0,1,8,39.0,22.0,1,0,0,1,0,6,1
10f1cd17,278,17,96,105,80,7,278,10,4,6,127,998.0,521.0,22,12,6,8,2,127,33
112521d1,656,27,173,298,195,17,656,30,16,14,323,2063.0,1164.0,32,24,5,34,9,358,53
114b510e,67,6,35,21,11,0,67,0,0,0,18,54.0,27.0,0,0,0,0,0,27,1
11b9265b,1157,51,385,508,275,31,1157,28,14,14,565,3045.0,1838.0,51,39,9,27,11,685,70
129af0db,789,29,69,350,376,120,786,28,19,9,424,2408.0,1159.0,49,42,14,74,46,627,139
12c50af5,1097,19,154,516,446,45,1096,105,60,45,733,5584.0,2978.0,93,62,19,38,44,804,115
12eda7be,19,1,5,10,4,3,19,0,0,0,8,18.0,5.0,0,0,0,0,0,11,0
132ac341,1287,172,713,551,30,21,1287,4,3,1,562,2547.0,885.0,4,3,1,14,2,552,1
167c1bb0,238,19,65,160,14,6,238,1,1,0,137,585.0,225.0,1,0,0,4,3,159,1
16aa3654,1117,15,143,394,609,94,1117,125,64,61,836,5949.0,3235.0,102,77,46,77,45,804,153
16e9d0ea,1619,68,453,618,567,88,1619,80,47,33,873,6271.0,3445.0,122,73,35,41,28,938,178
174651c8,524,24,116,304,105,6,524,4,4,0,168,701.0,257.0,4,3,1,11,3,197,5
1840e36d,1153,1039,1151,1,1,1,1153,0,0,0,608,3379.0,1776.0,0,0,0,0,0,569,0
189cee7b,142,1,4,70,68,27,142,3,0,3,66,325.0,114.0,7,2,3,14,2,94,29
18abe173,1540,192,830,678,41,11,1540,15,10,5,895,4335.0,2073.0,17,7,2,14,8,936,2
18f0a9f0,9,0,2,4,3,0,9,0,0,0,5,25.0,3.0,0,0,0,1,0,7,0
19709006,1114,11,119,524,494,53,1112,84,43,41,617,4151.0,1872.0,65,59,15,56,17,681,111
19b776e9,78,1,12,30,38,11,78,5,5,0,52,356.0,200.0,11,5,3,12,11,55,11
19cdceb0,42,2,13,23,6,0,42,1,0,1,20,72.0,11.0,0,0,0,2,2,22,1
1a317a1b,778,39,228,347,210,9,778,15,8,7,321,1918.0,984.0,24,22,3,12,7,331,45
1b17ed86,276,7,43,142,95,11,276,8,7,1,150,734.0,278.0,5,6,0,13,10,169,17
1b40049a,231,2,51,79,107,23,231,30,12,18,152,1080.0,501.0,17,8,6,28,12,129,30
1bacc518,1809,31,305,1042,489,35,1809,57,46,11,1294,7746.0,4083.0,77,74,6,30,29,1517,82
1bda5842,907,13,88,311,517,126,906,30,11,19,512,3103.0,1511.0,67,45,20,57,31,594,226
1d1691ad,210,12,65,80,70,6,210,8,6,2,109,795.0,379.0,12,10,3,7,2,126,14
1d5f96d9,25,0,2,5,18,4,25,0,0,0,14,154.0,23.0,2,1,1,0,1,20,7
1d8c99b0,5,0,3,2,0,0,5,1,0,1,1,1.0,0.0,0,0,0,0,0,2,0
