id,Gls,Sh,SoT,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,G-xG,np:G-xG
65d62814,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
5890cef1,0,9,3,0.0,0.0,27.1,2,0,0,0.3,0.3,-0.3,-0.3
293211e1,2,17,9,0.0,0.0,15.0,0,2,2,3.3,1.8,-1.3,-1.8
cacadf4f,1,17,5,0.06,0.2,21.8,0,0,0,1.1,1.1,-0.1,-0.1
355c883a,0,1,0,0.0,0.0,23.8,0,0,0,0.0,0.0,0.0,0.0
18dc8533,0,3,1,0.0,0.0,19.0,0,0,0,0.5,0.5,-0.5,-0.5
f2a68b97,0,7,1,0.0,0.0,24.2,0,0,0,0.2,0.2,-0.2,-0.2
06efa9dc,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
4601e194,2,13,4,0.15,0.5,14.7,0,0,0,1.8,1.8,0.2,0.2
ba71d071,1,15,3,0.07,0.33,20.2,4,0,0,1.0,1.0,0.0,0.0
036bba5f,3,51,11,0.06,0.27,25.9,11,0,1,3.5,2.7,-0.5,0.3
46166b49,0,3,2,0.0,0.0,16.8,0,0,0,0.2,0.2,-0.2,-0.2
3d7e48ce,0,1,0,0.0,0.0,22.8,0,0,0,0.0,0.0,0.0,0.0
6c811eb7,2,14,3,0.14,0.67,22.9,0,0,0,1.3,1.3,0.7,0.7
3e1858af,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
b18a3023,0,4,2,0.0,0.0,15.4,0,0,0,0.4,0.4,-0.4,-0.4
88d91621,0,2,0,0.0,0.0,10.2,0,0,0,0.2,0.2,-0.2,-0.2
8875b8c9,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
3ecc11d8,0,11,3,0.0,0.0,10.0,0,0,0,1.3,1.0,-1.3,-1.0
9260926b,0,9,2,0.0,0.0,21.2,0,0,0,0.4,0.4,-0.4,-0.4
d70a2141,0,5,1,0.0,0.0,7.9,0,0,0,0.5,0.5,-0.5,-0.5
f3b1d9a2,1,15,6,0.07,0.17,17.3,0,0,0,1.2,1.2,-0.2,-0.2
3024e383,1,24,4,0.04,0.25,27.7,5,0,0,0.7,0.7,0.3,0.3
