id,Gls,Sh,SoT,FK,PK,PKatt,xG,npxG,G-xG,np:G-xG,TotDist
004d185e,3,28,8,0,0,0,3.0,3.0,0.0,0.0,518.0
0076ab7f,0,4,1,1,0,0,0.1,0.1,-0.1,-0.1,100.8
00b28772,1,31,5,0,0,0,2.6,2.6,-1.6,-1.6,492.9
01da7812,1,11,2,0,0,0,1.1,1.1,-0.1,-0.1,227.7
01eb744d,12,50,23,0,0,0,7.3,7.3,4.7,4.7,850.0
02319ad7,1,10,3,0,0,0,1.3,1.3,-0.3,-0.3,150.0
02c15616,0,16,2,0,0,0,0.7,0.7,-0.7,-0.7,334.4
02d2c436,0,6,1,0,0,0,0.5,0.5,-0.5,-0.5,73.8
02ef8778,17,101,40,9,5,5,15.1,11.2,1.9,0.8,1908.9
03049c8c,1,4,1,0,0,0,0.3,0.3,0.7,0.7,52.8
030ef8d6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
036bba5f,2,23,6,5,0,0,1.3,1.3,0.7,0.7,531.3
037dbd30,1,14,7,0,0,0,0.9,0.9,0.1,0.1,271.6
04965583,2,6,3,0,0,0,0.7,0.7,1.3,1.3,110.4
04ac8285,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
04e17fd5,5,36,13,0,1,1,6.4,5.6,-1.4,-1.6,428.4
05439de2,2,21,7,7,0,0,1.6,1.6,0.4,0.4,457.8
056269d7,0,2,1,0,0,0,0.3,0.3,-0.3,-0.3,14.6
068f4dec,0,7,2,0,0,0,0.4,0.4,-0.4,-0.4,162.4
070a3904,3,44,17,0,0,0,2.6,2.6,0.4,0.4,1060.4
0959c2a2,0,34,9,0,0,0,0.9,0.9,-0.9,-0.9,873.8
09a9e921,0,9,2,0,0,0,0.9,0.9,-0.9,-0.9,130.5
0a8fd9cb,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0abc51f2,1,16,7,0,0,0,0.9,0.9,0.1,0.1,198.4
0ac94a23,0,10,4,0,0,0,0.9,0.9,-0.9,-0.9,167.0
0ae4e09a,7,46,17,0,1,3,8.4,6.1,-1.4,-0.1,782.0
0b2c8585,0,18,5,0,0,0,1.2,1.2,-1.2,-1.2,412.2
0b90bb97,7,59,21,1,0,1,8.5,7.7,-1.5,-0.7,873.2
0ba976e4,4,18,8,1,0,0,1.3,1.3,2.7,2.7,311.4
0bc4e720,1,6,3,0,0,0,0.8999999999999999,0.8999999999999999,0.0999999999999999,0.0999999999999999,199.8
0c2ac3cb,1,14,2,1,0,0,2.5,2.5,-1.5,-1.5,236.6
0c717ae6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0cadc46d,5,49,16,0,2,2,5.3,3.7,-0.3,-0.7,764.4
0cb29e91,0,8,2,0,0,0,0.7,0.7,-0.7,-0.7,156.8
0d9b2d31,3,12,5,0,0,0,1.3,1.3,1.7,1.7,223.2
0e4fef6e,1,34,9,0,0,0,1.6,1.6,-0.6,-0.6,717.4
0e50f929,0,4,0,0,0,0,0.1,0.1,-0.1,-0.1,90.4
