id,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,recov
00242715,57,38,44,12,1,22,37,15,27,14,13,55,112,139,1,242
0049d544,7,4,1,3,3,1,4,3,1,0,1,4,11,4,0,39
0515a4cb,62,45,47,14,1,35,65,30,49,40,9,62,124,249,2,189
06f33dc8,17,11,4,7,6,2,10,8,5,0,5,4,21,8,0,33
06f46837,14,9,4,5,5,5,15,10,9,0,9,5,19,8,0,30
070a3904,9,3,1,5,3,1,7,6,0,0,0,3,12,3,0,11
07296190,6,4,2,3,1,3,11,8,7,1,6,7,13,4,0,45
083525e5,45,29,34,11,0,21,43,22,38,25,13,71,116,211,5,194
086d7db3,19,12,5,8,6,4,29,25,13,5,8,4,23,33,0,70
0984c5d5,34,17,13,19,2,5,30,25,9,4,5,16,50,17,0,123
0b4d8274,19,13,7,6,6,1,22,21,15,4,11,13,32,8,1,72
0d2158d5,63,38,22,36,5,18,66,48,26,9,17,40,103,25,2,147
0d57f1c1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1
0e12089d,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
0e96a5e1,3,2,0,3,0,1,2,1,0,0,0,1,4,0,0,4
0eb03d5b,18,14,11,7,0,6,14,8,18,10,8,27,45,67,0,84
0eeafda5,44,29,28,15,1,23,40,17,22,14,8,37,81,126,0,162
0f52f925,73,46,40,27,6,31,68,37,42,6,36,38,111,85,0,192
0fe7f7bc,14,8,2,9,3,0,20,20,11,0,11,6,20,23,1,68
1040e783,48,28,27,13,8,21,39,18,25,11,14,31,79,76,0,99
1061c207,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3
10650926,14,8,7,6,1,10,15,5,11,5,6,5,19,20,0,51
10efd0e1,25,14,9,12,4,9,56,47,16,4,12,26,51,15,4,187
11ced928,11,6,1,5,5,3,11,8,6,1,5,6,17,14,1,44
1232e1dc,42,29,29,9,4,21,31,10,22,16,6,29,71,154,2,130
1251f42e,8,4,0,4,4,1,9,8,5,0,5,3,11,2,0,35
13203c45,40,27,17,19,4,15,26,11,26,3,23,15,55,52,0,106
13c44fc5,69,40,34,25,10,23,38,15,19,2,17,66,135,86,0,144
1467af0d,51,33,20,25,6,12,55,43,25,6,19,26,77,11,3,115
148e136f,65,43,31,24,10,19,77,58,31,0,31,15,80,4,2,156
15285503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1598599e,13,6,8,5,0,5,17,12,9,1,8,13,26,10,1,53
15a21c79,3,0,1,2,0,1,1,0,2,1,1,1,4,9,0,4
15e1afd5,23,17,17,5,1,10,26,16,5,3,2,26,49,48,0,56
166a981d,15,12,9,5,1,9,19,10,5,2,3,15,30,18,0,35
16714a62,38,24,26,12,0,15,32,17,42,26,16,65,103,221,1,195
167d5018,19,11,12,7,0,8,16,8,21,11,10,39,58,119,2,89
176674ab,22,12,11,8,3,9,23,14,20,0,20,12,34,7,0,73
