id,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0033fb1b,28,14,9,12,7,11,24,13,20,1,19,23,51,16,0
005c0807,36,21,18,9,9,18,39,21,22,0,22,32,68,38,0
0118c54c,80,46,47,27,6,35,69,34,30,4,26,55,135,65,1
032f894e,13,7,4,8,1,5,25,20,13,2,11,13,26,8,0
037f2523,5,3,1,4,0,2,4,2,5,0,5,1,6,3,0
0557ff4f,6,3,5,1,0,4,6,2,2,1,1,2,8,11,2
0630eb63,6,5,1,2,3,2,12,10,8,0,8,3,9,1,0
065dc209,13,8,0,8,5,4,19,15,5,2,3,4,17,8,0
06c48679,60,39,26,28,6,22,38,16,37,19,18,56,116,81,1
06df8256,24,17,15,9,0,13,28,15,21,12,9,58,82,102,4
08082af0,14,7,9,5,0,13,28,15,22,19,3,31,45,52,0
08534272,2,2,0,1,1,0,5,5,1,0,1,0,2,3,0
09507ffa,1,1,0,1,0,0,0,0,2,1,1,0,1,2,0
095e4199,20,10,11,1,8,8,22,14,12,1,11,3,23,8,0
0a8d6b91,5,4,1,4,0,4,5,1,0,0,0,3,8,0,0
0ad37003,58,31,24,33,1,25,60,35,34,5,29,31,89,13,1
0b0cbe5b,52,28,22,24,6,16,58,42,32,3,29,20,72,36,0
0b4d8274,12,7,5,6,1,4,24,20,17,1,16,7,19,11,0
0bb6e193,30,20,20,8,2,7,19,12,6,2,4,9,39,13,0
0be95d34,30,11,5,14,11,5,25,20,6,0,6,3,33,4,1
0c2ac3cb,54,26,18,28,8,28,49,21,18,3,15,13,67,6,0
0cbc8baa,38,21,24,14,0,15,32,17,24,16,8,30,68,70,0
0d2158d5,34,17,9,23,2,23,56,33,14,5,9,23,57,12,2
0d3585b5,4,2,0,3,1,0,3,3,2,0,2,1,5,2,0
0d7b6576,4,3,2,1,1,1,6,5,4,0,4,2,6,5,0
0d99c6e1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0e46fa2f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0e7ccfc4,55,30,29,17,9,33,60,27,28,10,18,38,93,40,1
0f26fd24,4,1,2,0,2,1,1,0,0,0,0,0,4,0,0
0f8418aa,68,48,25,35,8,28,68,40,22,5,17,48,116,44,0
0f86995c,4,3,2,2,0,2,9,7,2,0,2,3,7,6,0
0f9b8301,5,2,1,4,0,2,9,7,0,0,0,4,9,5,0
1001ae82,9,4,1,7,1,4,8,4,3,0,3,5,14,5,0
10efd0e1,17,9,3,12,2,4,15,11,8,2,6,12,29,7,0
10f0fdd3,56,39,22,25,9,14,23,9,20,2,18,19,75,16,0
114bbdee,57,34,47,10,0,30,55,25,43,17,26,74,131,135,2
11ff3d56,14,9,2,9,3,4,8,4,4,0,4,3,17,3,0
12bd0579,12,6,6,3,3,7,12,5,2,1,1,12,24,16,1
132a82f1,6,4,6,0,0,3,4,1,3,3,0,8,14,14,1
1467af0d,53,30,17,25,11,24,72,48,22,5,17,26,79,4,1
14b8fcdf,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0
1545cf15,28,19,19,5,4,16,28,12,14,2,12,14,42,35,0
15944afd,11,5,6,5,0,3,7,4,1,0,1,1,12,2,0
16324e1d,12,7,9,3,0,9,19,10,19,12,7,33,45,57,2
165a2e40,13,6,3,7,3,4,30,26,7,0,7,5,18,22,0
166a981d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16aa7d4c,51,29,31,19,1,27,41,14,54,41,13,64,115,151,0
1787195f,18,8,7,5,6,8,20,12,9,0,9,6,24,5,0
17f29fb0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
18ebca4b,24,15,6,11,7,12,32,20,15,1,14,9,33,19,0
19053e31,49,34,17,25,7,18,53,35,25,1,24,31,80,15,0
19a12bed,65,39,40,16,9,27,49,22,39,12,27,55,120,61,1
19ba6c6d,15,11,3,11,1,3,28,25,18,3,15,12,27,40,0
19cda00b,26,17,6,8,12,11,45,34,14,1,13,6,32,7,0
1a4b9094,1,1,0,0,1,1,1,0,1,1,0,1,2,1,0
1a992676,13,6,5,6,2,5,20,15,4,0,4,14,27,0,0
1ad8cb67,10,7,7,3,0,7,7,0,6,4,2,11,21,28,0
1b6862e8,15,7,7,3,5,5,14,9,7,1,6,7,22,3,0
1bfe34dc,11,8,7,4,0,4,9,5,2,0,2,4,15,11,0
1d2d5cc8,0,0,0,0,0,0,1,1,0,0,0,2,2,8,6
1ddbc7ca,12,8,7,4,1,6,11,5,10,2,8,6,18,14,0
1df4a109,3,1,0,3,0,2,3,1,1,0,1,0,3,0,0
1ec7e1c5,22,13,13,8,1,12,18,6,17,13,4,44,66,99,1
1f6298f2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20094685,1,1,1,0,0,0,2,2,0,0,0,2,3,2,0
2054d037,3,2,2,1,0,0,0,0,2,0,2,1,4,2,0
20de219a,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20e73fac,40,23,17,16,7,21,71,50,37,1,36,19,59,25,0
2145368f,66,36,30,25,11,30,65,35,48,19,29,59,125,39,2
22721b88,11,9,9,1,1,9,12,3,12,2,10,27,38,33,1
2306bfde,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2321ea6e,42,29,16,24,2,18,49,31,27,5,22,44,86,44,0
23bf644d,0,0,0,0,0,0,4,4,0,0,0,5,5,1,0
23c63b7f,4,3,0,2,2,3,12,9,7,1,6,6,10,3,0
2434f24a,1,1,1,0,0,1,3,2,1,0,1,1,2,17,0
243f4a0b,54,31,33,19,2,26,55,29,20,5,15,26,80,36,0
244bc2c8,23,12,3,11,9,4,22,18,19,5,14,12,35,37,1
24eb7ed6,41,29,20,14,7,26,38,12,27,14,13,39,80,46,0
2500cef9,35,20,12,14,9,11,34,23,25,3,22,20,55,14,0
25146df0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2515040a,35,18,21,13,1,16,21,5,33,24,9,52,87,123,1
2591b066,25,15,16,6,3,13,32,19,17,2,15,9,34,18,0
26777636,74,37,30,33,11,35,92,57,27,2,25,39,113,17,2
2677a1de,24,15,12,7,5,12,24,12,10,1,9,4,28,11,0
2693f6bc,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2736b85e,6,3,3,3,0,3,7,4,3,0,3,2,8,0,0
275e2c51,47,25,34,11,2,20,35,15,35,20,15,50,97,138,0
279ddf6a,92,50,47,38,7,26,74,48,43,9,34,43,135,29,1
288e1e13,37,30,28,9,0,21,33,12,34,22,12,47,84,102,0
28a65a2c,2,1,2,0,0,2,3,1,0,0,0,2,4,9,2
28dabd43,1,1,1,0,0,1,2,1,0,0,0,2,3,23,1
28f66c2e,21,15,16,5,0,10,16,6,3,0,3,6,27,12,0
2945f4b7,7,4,1,1,5,2,12,10,2,0,2,2,9,4,0
295ba708,22,14,10,11,1,9,21,12,12,3,9,12,34,7,0
29939a1d,0,0,0,0,0,0,7,7,6,1,5,4,4,1,0
29aee77c,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
29c02c9f,23,11,4,17,2,14,19,5,18,5,13,16,39,18,1
29d8ad3f,17,11,13,4,0,8,14,6,17,12,5,25,42,46,1
29ef0f49,6,4,2,3,1,0,4,4,4,2,2,0,6,6,0
2a657da0,40,17,15,19,6,13,43,30,11,0,11,17,57,12,0
2ab14aaa,5,3,5,0,0,3,6,3,3,2,1,6,11,11,0
2acf0cd7,35,19,19,14,2,21,41,20,33,25,8,57,92,85,3
2aeb43f1,2,1,2,0,0,1,1,0,1,0,1,0,2,1,0
2b1bed19,69,39,32,28,9,31,66,35,26,5,21,57,126,34,0
2b5a35e5,2,2,1,1,0,0,1,1,2,0,2,1,3,0,0
2b9b37b2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2b9fdeea,40,22,14,21,5,20,54,34,26,2,24,14,54,11,0
2c127b6f,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2d22cea7,30,10,10,19,1,7,26,19,21,0,21,15,45,4,0
2d70dbe5,0,0,0,0,0,0,1,1,1,0,1,0,0,15,2
2d9f280e,2,0,0,0,2,1,3,2,0,0,0,1,3,1,0
2fa2a875,0,0,0,0,0,0,2,2,1,0,1,2,2,20,1
3010aefb,36,21,17,15,4,16,36,20,16,3,13,20,56,17,0
30144daa,18,5,7,10,1,8,23,15,12,0,12,14,32,6,0
3043d33f,20,12,8,8,4,7,38,31,20,2,18,8,28,10,0
3071a619,7,3,1,4,2,3,8,5,6,0,6,5,12,4,0
309937e7,0,0,0,0,0,0,2,2,0,0,0,2,2,7,0
30af8b93,50,34,25,20,5,31,51,20,20,3,17,16,66,37,0
31626657,145,84,64,69,12,54,162,108,64,6,58,46,191,12,0
31a62dc7,72,33,30,30,12,44,81,37,32,6,26,38,110,52,0
3225654e,3,1,2,1,0,2,2,0,1,1,0,3,6,1,0
329e7a13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32c2d95f,59,37,36,23,0,26,42,16,34,15,19,61,120,132,0
32f3d97e,18,3,7,8,3,11,18,7,10,0,10,7,25,4,1
33508c78,20,12,6,9,5,9,22,13,11,1,10,13,33,3,0
33887998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3423f250,5,2,1,3,1,1,4,3,5,0,5,3,8,4,0
34e4343c,2,1,0,2,0,1,4,3,3,1,2,0,2,3,0
