id,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1
005c0807,99,55,18,13,4,8,1,6,4,0,1,1,0,0
007faf7a,5,3,0,0,2,0,0,0,0,0,0,0,0,0
0118c54c,21,19,0,0,1,1,0,6,6,0,0,0,0,0
032f894e,72,42,16,7,4,2,1,4,2,2,0,0,0,0
0557ff4f,20,17,0,0,1,1,1,2,2,0,0,0,0,0
05816e19,24,14,0,4,1,4,1,3,2,0,0,0,1,0
0630eb63,30,17,1,6,3,3,0,2,1,0,1,0,0,0
0670ee51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06df8256,9,7,1,0,1,0,0,0,0,0,0,0,0,0
07f73a4f,1,0,0,0,0,0,1,1,0,0,0,0,0,1
08082af0,8,5,0,0,2,0,1,2,2,0,0,0,0,0
095e4199,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0984c5d5,3,3,0,0,0,0,0,0,0,0,0,0,0,0
0a63446f,19,14,4,0,0,1,0,2,2,0,0,0,0,0
0a89e877,18,11,1,1,1,2,2,0,0,0,0,0,0,0
0aa874f4,42,36,0,1,0,4,1,2,1,0,0,0,1,0
0b0cbe5b,63,29,3,12,10,8,1,7,3,2,0,2,0,0
0b4d8274,41,22,7,5,2,5,0,8,1,1,2,2,2,0
0bb6e193,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0be95d34,47,33,0,5,3,6,0,7,7,0,0,0,0,0
0c291a1a,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0cbc8baa,11,9,0,1,0,0,1,0,0,0,0,0,0,0
0d2158d5,4,3,0,1,0,0,0,0,0,0,0,0,0,0
0d3585b5,14,10,0,1,2,1,0,3,2,0,0,1,0,0
0e6bc38c,14,8,0,1,1,4,0,4,2,0,1,1,0,0
0eb03d5b,7,6,0,0,0,0,1,2,1,0,0,0,0,1
0f26fd24,12,5,1,3,3,0,0,0,0,0,0,0,0,0
0f52f925,12,6,5,0,1,0,0,0,0,0,0,0,0,0
