id,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
a7e4760c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
32c2d95f,17.0,15.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
a4c3f7af,31.0,18.0,5.0,3.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
31626657,59.0,45.0,0.0,3.0,6.0,4.0,1.0,9.0,6.0,0.0,1.0,1.0,1.0,0.0,Matches
469d3d84,14.0,11.0,0.0,2.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,Matches
0e46fa2f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
8bc373ea,9.0,5.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
26777636,104.0,78.0,10.0,8.0,2.0,3.0,3.0,10.0,7.0,1.0,0.0,1.0,1.0,0.0,Matches
288e1e13,20.0,17.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
3dd738a1,78.0,56.0,10.0,2.0,1.0,7.0,2.0,7.0,4.0,1.0,1.0,0.0,1.0,0.0,Matches
5ea9ebd4,12.0,9.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
48b28bfd,33.0,25.0,0.0,1.0,2.0,3.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,1.0,Matches
48b28bfd,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
9b398aea,10.0,8.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,Matches
462475ed,77.0,55.0,0.0,1.0,12.0,9.0,0.0,8.0,4.0,0.0,1.0,1.0,2.0,0.0,Matches
414e1f69,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
5314e067,21.0,14.0,2.0,2.0,0.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,Matches
f8405304,4.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
bdedd861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
b052b8bf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
9260926b,25.0,22.0,0.0,0.0,2.0,0.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,Matches
d7bf3d19,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
22721b88,17.0,8.0,1.0,1.0,1.0,6.0,0.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,Matches
2945f4b7,25.0,19.0,1.0,2.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Matches
e34fc66d,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
ef9c1c95,64.0,55.0,0.0,3.0,2.0,4.0,0.0,5.0,4.0,0.0,0.0,0.0,1.0,0.0,Matches
d8992b84,25.0,22.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
a5db0bec,105.0,73.0,2.0,13.0,7.0,7.0,3.0,12.0,7.0,0.0,1.0,3.0,1.0,0.0,Matches
b94b8be1,95.0,51.0,33.0,1.0,2.0,8.0,0.0,8.0,5.0,3.0,0.0,0.0,0.0,0.0,Matches
feb5d3ab,32.0,28.0,0.0,1.0,0.0,0.0,3.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,Matches
fa18c72e,54.0,40.0,0.0,9.0,4.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,Matches
08534272,6.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
5d5219b1,9.0,4.0,0.0,2.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,Matches
6a827d8e,23.0,16.0,1.0,4.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
97bfa797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
d3ce9f1f,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
114bbdee,23.0,20.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
06df8256,32.0,28.0,0.0,0.0,3.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,Matches
5046b7d4,22.0,15.0,0.0,4.0,2.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,Matches
be13e5a8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
a8567629,38.0,37.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,Matches
2b5a35e5,5.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Matches
7c3ed041,9.0,6.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
f449640d,15.0,13.0,0.0,1.0,0.0,1.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,Matches
7fecbcdb,21.0,17.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Matches
b2bd0f6c,121.0,77.0,24.0,6.0,5.0,7.0,2.0,16.0,11.0,2.0,1.0,1.0,1.0,0.0,Matches
d4fa7d01,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
be47b750,32.0,23.0,0.0,1.0,4.0,3.0,1.0,5.0,4.0,0.0,0.0,0.0,1.0,0.0,Matches
0557ff4f,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
1ddbc7ca,9.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Matches
80556f08,58.0,31.0,11.0,4.0,4.0,5.0,3.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,Matches
