id,GA,SoTA,Saves,W,D,L,CS,PKatt,PKA,PKsv,PKm
132bb875,5,13,8,0,0,2,0,0,0,0,0
1d2d5cc8,27,92,67,15,8,4,11,4,4,0,0
2434f24a,34,108,74,9,10,9,6,3,2,1,0
26975a92,32,83,51,10,6,10,11,3,3,0,0
28a65a2c,4,23,19,2,2,1,2,2,2,0,0
28dabd43,38,108,71,7,4,14,6,4,4,0,0
2ee1b96b,4,6,2,0,0,1,0,1,1,0,0
2f965a72,2,3,1,2,0,1,2,0,0,0,0
2fa2a875,44,134,91,11,7,10,7,6,6,0,0
33887998,19,79,60,13,5,6,9,4,3,1,0
380a15e2,3,5,2,0,0,3,0,0,0,0,0
3a74f92b,4,15,11,0,1,3,1,0,0,0,0
4e7db402,29,95,64,11,4,12,10,6,3,2,1
51c83a90,3,11,8,1,0,0,1,1,1,0,0
586ef3a3,3,4,1,0,0,1,0,1,1,0,0
58ad9383,18,87,65,10,11,6,12,5,1,4,0
5f0241b2,4,10,6,2,0,0,0,0,0,0,0
625c144a,27,119,91,11,7,7,8,5,3,2,0
74733221,5,19,13,2,0,2,1,1,0,1,0
76806215,2,7,4,1,0,0,0,1,0,1,0
7800bdb8,2,7,5,2,0,0,0,1,1,0,0
834b5c4c,32,104,71,11,5,11,8,7,6,1,0
8608f269,4,8,5,0,0,0,0,0,0,0,0
8a2248b4,36,130,95,9,8,9,4,6,4,1,1
8fa8f8d2,17,47,31,1,2,6,0,0,0,0,0
ae7d0ecd,31,129,98,8,10,9,8,3,3,0,0
b056e3da,2,11,9,1,0,1,1,0,0,0,0
b49729cb,34,132,96,7,10,10,7,5,3,2,0
b98cea65,1,7,6,1,0,1,1,0,0,0,0
bc270726,50,142,93,4,11,13,5,1,1,0,0
bcf1b2e9,49,118,68,3,3,16,2,5,3,2,0
be13e5a8,1,2,1,0,0,1,0,0,0,0,0
cac76a72,40,100,60,6,4,12,3,4,3,0,1
cecbce23,20,81,62,6,7,6,6,1,1,0,0
d83f8f69,6,19,13,0,2,1,1,0,0,0,0
dab1b8dc,2,6,4,0,0,1,0,0,0,0,0
db87a2c4,0,2,2,1,0,0,1,0,0,0,0
ecada4fc,18,66,49,17,2,2,11,0,0,0,0
f00de885,25,86,64,10,7,9,8,3,2,0,1
fcb38f57,27,83,58,15,4,9,12,6,4,1,1
