id,FK,CK,OG,PSxG,PSxG+/-,Cmp,Att,Att.1,Thr,Att.2,Opp,Stp,#OPA,TotLen,TotLen.1,TotDist
08f5afaa,0,3,1,17.5,1.5,20,47,374,108,95,176,11,34,8228.0,2061.5,625.6
1d2d5cc8,0,3,1,6.7,0.7,40,104,332,37,67,135,6,21,9296.0,2304.8,401.1
20b9f052,0,5,0,29.9,-1.1,79,248,1166,145,167,271,19,46,30082.8,5577.8,818.8
2434f24a,1,5,1,44.1,-16.9,181,424,686,78,218,355,9,39,24215.8,10442.2,659.1
28a65a2c,1,1,0,7.8,-0.2,32,97,164,40,75,109,11,9,5854.8,2827.5,102.6
28dabd43,3,11,2,47.3,-6.7,133,415,684,205,234,390,40,70,47059.2,20662.2,2198.0
2c127b6f,0,1,0,13.1,-1.9,25,82,221,61,82,159,15,21,6762.6,2000.8,348.6
2d70dbe5,4,3,3,30.5,-4.5,71,296,357,78,177,345,4,15,13744.5,9912.0,196.5
380a15e2,1,1,0,16.0,-4.0,46,129,226,55,86,128,8,4,7638.8,3311.0,46.8
3d214e5f,0,8,2,51.0,-4.0,290,624,877,205,328,541,16,34,32799.8,17416.8,479.4
3f034750,1,5,1,23.2,-3.8,97,267,419,87,166,310,16,13,14748.8,7221.0,152.1
4e7db402,0,6,1,52.4,5.4,206,607,824,137,288,491,27,56,32300.8,15984.0,834.4
58ad9383,2,8,0,42.9,-1.1,151,479,975,217,285,645,37,53,33832.5,11058.0,784.4
5ee6e943,0,7,0,27.5,-2.5,103,276,286,87,168,263,10,13,11125.4,9828.0,166.4
5f0241b2,0,0,0,0.2,-0.8,0,1,7,1,0,5,0,2,219.8,0.0,47.0
62124972,0,7,2,28.2,-5.8,92,302,584,107,154,304,23,28,19680.8,6237.0,397.6
667b65da,1,1,2,23.9,-1.1,64,166,290,64,110,173,6,14,9976.0,5126.0,197.4
74733221,0,0,0,1.5,-0.5,4,7,30,8,3,11,0,1,936.0,42.9,21.5
834b5c4c,0,5,1,35.0,-7.0,164,401,718,145,239,476,13,39,24627.4,9703.4,534.3
8a2248b4,1,1,0,42.6,7.6,145,378,774,169,260,503,31,33,23607.0,11180.0,448.8
96fcd380,0,0,0,0.0,0.0,0,0,2,0,1,1,0,0,44.0,34.0,0.0
9e17ccff,0,1,0,12.3,-0.7,54,147,321,54,70,146,8,24,9726.3,3843.0,458.4
a4527d33,0,0,0,0.1,0.1,3,6,23,5,7,12,2,0,598.0,221.9,0.0
ae7d0ecd,1,2,2,29.8,-7.2,131,335,431,137,167,319,39,42,17110.7,9168.3,621.6
afb0c500,0,5,3,41.5,4.5,160,415,839,173,280,427,23,46,27267.5,11900.0,786.6
b98cea65,0,1,2,19.0,-1.0,39,126,333,93,120,198,15,16,9923.4,4452.0,211.2
be13e5a8,1,0,0,13.2,0.2,28,75,141,40,44,82,4,11,4455.6,2037.2,188.1
c252c705,0,5,2,20.4,-6.6,75,198,373,55,111,191,10,40,12346.3,4551.0,704.0
c631f952,0,1,1,44.5,4.5,134,332,808,179,262,466,37,27,24482.4,9694.0,364.5
cecbce23,0,4,1,23.9,-0.1,130,304,627,119,151,362,17,31,19687.8,7474.5,499.1
d6f6ce93,0,1,0,7.5,1.5,13,35,140,25,34,47,1,7,3794.0,918.0,121.8
db3164e1,1,7,2,45.3,2.3,183,452,814,159,246,411,19,25,28245.8,9864.6,362.5
db87a2c4,0,0,0,1.7,0.7,1,3,17,6,7,14,1,1,326.4,174.3,22.5
e8c5dd4d,0,3,1,22.3,-9.7,32,133,302,53,112,159,5,4,9120.4,3785.6,42.4
ecada4fc,0,2,0,18.3,0.3,23,58,415,100,132,239,5,20,10167.5,2930.4,326.0
edbe46dc,1,2,0,31.8,-1.2,108,259,535,133,199,293,19,24,16745.5,6586.9,338.4
f00de885,1,8,3,42.7,0.7,113,263,910,160,219,412,17,28,26663.0,6876.6,408.8
f5dfc256,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
f7d3a773,0,2,1,12.6,-0.4,37,139,184,37,88,186,8,8,7452.0,3977.6,92.8
fbf83734,0,1,0,19.3,-5.7,67,203,282,46,133,223,5,10,10236.6,6503.7,154.0
