id,CrdY,CrdR,2CrdY,Fls,Fld,Off,PKwon,PKcon,OG
0033fb1b,1,0,0,25,42,4,0,0,0
005c0807,2,0,0,23,66,9,3,0,0
0118c54c,0,0,0,32,14,0,0,0,0
032f894e,4,0,0,27,27,2,0,0,0
037f2523,0,0,0,2,4,5,0,0,0
0557ff4f,2,0,0,3,4,0,0,0,0
0630eb63,2,0,0,3,3,2,0,0,0
065dc209,2,0,0,30,18,11,1,0,0
06c48679,9,1,1,51,62,0,0,2,0
06df8256,5,0,0,32,15,2,0,0,0
08082af0,2,1,0,19,11,0,0,2,0
08534272,0,0,0,2,2,0,1,0,0
09507ffa,0,0,0,1,0,0,0,0,0
095e4199,1,0,0,13,24,5,0,0,0
0a8d6b91,0,0,0,2,4,0,0,0,0
0ad37003,9,0,0,45,45,0,0,0,0
0b0cbe5b,7,0,0,60,35,11,1,0,1
0b4d8274,5,0,0,31,36,9,1,0,0
0bb6e193,2,0,0,11,7,0,0,0,0
0be95d34,2,0,0,12,13,2,0,0,0
0c2ac3cb,2,0,0,22,40,1,1,0,0
0cbc8baa,4,0,0,21,15,0,0,2,0
0d2158d5,2,0,0,12,7,0,0,0,0
0d3585b5,3,0,0,20,10,2,0,0,0
0d7b6576,1,0,0,7,15,5,0,0,0
0d99c6e1,0,0,0,1,1,0,0,0,0
0e46fa2f,0,0,0,0,0,0,0,0,0
0e7ccfc4,3,0,0,21,43,0,0,1,0
0f26fd24,0,1,0,3,0,3,0,0,0
0f8418aa,6,0,0,66,22,0,0,1,0
0f86995c,1,0,0,9,3,0,0,0,0
0f9b8301,0,0,0,1,2,0,0,0,0
1001ae82,2,0,0,7,9,0,0,0,0
10efd0e1,3,0,0,14,12,0,0,0,0
10f0fdd3,3,0,0,32,47,0,3,0,0
114bbdee,11,1,1,44,16,1,0,1,0
11ff3d56,1,0,0,8,8,0,0,0,0
12bd0579,0,0,0,2,4,0,0,0,1
132a82f1,1,0,0,6,5,1,0,0,0
1467af0d,7,0,0,28,51,1,0,0,0
14b8fcdf,1,0,0,2,2,0,0,0,0
1545cf15,3,0,0,23,6,1,0,3,0
15944afd,0,1,0,5,3,0,0,0,0
16324e1d,4,0,0,9,10,1,0,0,0
165a2e40,6,0,0,33,37,29,1,0,0
166a981d,0,0,0,1,0,0,0,0,0
16aa7d4c,3,1,0,29,23,0,0,1,0
1787195f,0,0,0,4,9,2,0,0,0
17f29fb0,0,0,0,1,0,0,0,0,0
18ebca4b,4,0,0,25,21,10,0,0,0
19053e31,4,0,0,33,56,4,0,0,0
19a12bed,3,0,0,22,31,1,0,0,0
19ba6c6d,6,0,0,68,27,20,1,0,0
19cda00b,1,0,0,11,26,8,1,0,0
1a4b9094,0,0,0,3,2,0,0,0,0
1a992676,3,0,0,8,13,4,0,0,0
1ad8cb67,1,0,0,5,10,0,0,0,0
1b6862e8,2,0,0,12,16,5,0,0,0
1bfe34dc,0,0,0,4,1,0,0,0,0
1d2d5cc8,1,0,0,0,5,0,0,0,0
1ddbc7ca,0,1,0,8,6,0,1,0,0
1df4a109,1,0,0,1,1,0,0,0,0
1ec7e1c5,7,1,0,30,22,0,0,1,1
1f6298f2,0,0,0,0,0,0,0,0,0
20094685,1,0,0,4,1,0,0,0,0
2054d037,0,0,0,13,11,0,0,0,0
20de219a,0,0,0,0,0,0,0,0,0
20e73fac,8,0,0,26,10,3,0,0,0
2145368f,8,0,0,45,16,0,0,2,0
22721b88,3,1,0,13,14,0,1,0,0
2306bfde,0,0,0,0,0,0,0,0,0
2321ea6e,0,0,0,16,12,1,0,0,0
23bf644d,1,0,0,4,1,1,0,0,0
23c63b7f,0,0,0,15,46,11,3,0,0
2434f24a,0,0,0,0,3,0,0,0,0
243f4a0b,6,0,0,28,10,0,0,1,0
244bc2c8,2,0,0,31,36,14,1,0,0
24eb7ed6,2,0,0,23,44,3,1,0,0
2500cef9,2,0,0,30,85,10,3,0,0
25146df0,0,0,0,0,0,0,0,0,0
2515040a,5,1,1,22,15,1,0,1,0
2591b066,3,0,0,20,15,0,1,0,0
26777636,6,0,0,39,37,0,0,0,0
2677a1de,5,1,0,25,31,7,2,0,0
2693f6bc,0,0,0,3,0,0,0,0,0
2736b85e,0,0,0,0,2,0,0,0,0
275e2c51,5,1,1,35,20,3,0,1,0
279ddf6a,8,0,0,38,6,3,0,0,0
288e1e13,6,0,0,22,29,2,0,1,0
28a65a2c,1,0,0,0,3,0,0,0,0
28dabd43,1,0,0,2,11,0,0,2,0
28f66c2e,1,0,0,12,15,0,0,0,0
2945f4b7,4,0,0,22,9,3,0,0,0
295ba708,4,1,1,18,1,0,0,0,0
29939a1d,1,0,0,4,3,3,0,0,0
29aee77c,1,0,0,1,0,0,0,0,0
29c02c9f,3,0,0,20,9,3,0,1,0
29d8ad3f,5,0,0,20,5,0,0,1,1
29ef0f49,4,0,0,26,12,3,0,0,0
