id,Cmp,Att,TotDist,PrgDist,Cmp.1,Att.1,Cmp.2,Att.2,Cmp.3,Att.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
0033fb1b,307,530,5176.0,1804.0,161,200,89,165,41,119,3,4.4,4.5,-1.4,35,15,15,9,27
005c0807,819,1242,12967.0,3865.0,433,550,251,390,84,180,10,6.5,5.4,3.5,50,77,49,15,121
0118c54c,1464,1921,28156.0,11238.0,624,714,591,727,220,383,2,2.5,2.7,-0.5,19,131,30,17,159
032f894e,818,994,15287.0,4204.0,361,406,308,360,125,171,3,2.0,1.6,1.0,17,114,11,0,115
037f2523,26,42,311.0,69.0,13,20,9,13,0,1,0,0.1,0.0,-0.1,2,3,2,0,6
0557ff4f,178,203,3422.0,1147.0,48,56,119,123,10,20,0,0.0,0.0,0.0,0,6,0,0,11
0630eb63,81,135,999.0,312.0,56,80,20,28,1,7,1,0.3,0.3,0.7,6,4,4,1,10
065dc209,264,387,3608.0,678.0,159,222,69,96,14,23,2,3.2,1.6,-1.2,26,14,14,1,34
06c48679,1509,1740,30486.0,9903.0,477,537,820,899,203,272,1,0.3,0.7,0.7,7,135,5,2,177
06df8256,2124,2450,43718.0,16007.0,566,632,1268,1366,274,412,1,1.2,1.4,-0.2,6,168,4,0,170
08082af0,691,798,13954.0,5192.0,218,236,386,413,82,135,0,0.0,0.1,0.0,1,36,0,0,43
08534272,38,68,453.0,66.0,25,35,9,16,0,2,0,0.1,0.1,-0.1,2,1,1,0,2
09507ffa,31,45,632.0,191.0,9,14,17,22,5,8,0,0.0,0.0,0.0,0,2,0,0,1
095e4199,287,399,4317.0,1002.0,166,187,91,124,18,48,3,1.8,1.6,1.2,18,17,9,2,33
0a8d6b91,57,68,1054.0,277.0,25,27,26,30,6,9,0,0.1,0.1,-0.1,2,9,1,0,8
0ad37003,1118,1301,18166.0,4640.0,545,608,442,502,83,124,2,2.2,1.8,-0.2,15,106,7,2,118
0b0cbe5b,506,794,7494.0,1972.0,300,398,136,209,43,112,4,3.1,3.1,0.9,24,28,16,5,51
0b4d8274,429,640,6466.0,1687.0,218,277,120,172,45,104,1,3.5,2.5,-2.5,33,30,16,2,59
0bb6e193,233,317,3461.0,1498.0,145,163,68,95,16,42,1,0.1,0.1,0.9,1,13,1,1,17
0be95d34,267,374,4225.0,1157.0,137,171,102,132,19,41,5,2.7,2.5,2.3,19,19,12,6,41
0c2ac3cb,1058,1182,15569.0,3450.0,605,640,346,388,63,82,4,2.6,1.7,1.4,23,109,14,1,119
0cbc8baa,1135,1361,24366.0,9866.0,320,352,610,676,200,308,0,0.6,0.4,-0.6,4,104,4,1,106
0d2158d5,635,773,11264.0,2954.0,303,347,243,287,78,106,0,0.8,0.6,-0.8,7,63,6,0,70
0d3585b5,75,108,1186.0,169.0,37,49,28,34,6,13,1,0.6,0.2,0.4,5,7,3,0,10
0d7b6576,69,105,840.0,149.0,46,61,15,22,3,6,1,0.4,0.3,0.6,6,2,2,0,6
0d99c6e1,8,9,105.0,16.0,7,7,1,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0
0e46fa2f,0,1,0.0,0.0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0
0e7ccfc4,648,986,10568.0,5291.0,324,385,251,364,45,154,1,2.8,1.8,-1.8,27,45,9,5,68
0f26fd24,12,24,136.0,30.0,9,14,3,5,0,2,0,0.0,0.0,0.0,0,0,1,1,0
0f8418aa,885,1111,16727.0,5069.0,361,421,389,442,116,186,0,0.3,0.9,-0.3,6,108,13,4,128
0f86995c,197,215,4137.0,938.0,56,62,108,111,30,35,0,0.0,0.1,0.0,1,20,1,0,16
