id,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
32c2d95f,1570,1491,75,72,0,13,1,3,0,0,0,0,1323,4,10
a4c3f7af,967,870,93,38,1,10,63,5,50,24,15,1,792,4,15
469d3d84,132,121,11,0,0,0,5,0,0,0,0,0,75,0,7
dcfb17f4,26,22,4,1,0,0,4,0,3,2,0,0,20,0,0
26777636,571,530,38,17,6,2,39,2,19,12,6,0,448,3,8
288e1e13,597,578,17,13,0,17,1,4,0,0,0,0,492,2,3
3dd738a1,787,665,122,13,1,3,63,109,0,0,0,0,662,0,14
48b28bfd,310,304,4,4,1,4,3,0,0,0,0,0,260,2,2
c46fa34c,406,400,4,3,1,0,2,1,0,0,0,0,350,2,6
9b398aea,808,655,151,3,0,2,43,148,0,0,0,0,618,2,23
462475ed,516,493,18,0,4,5,13,3,0,0,0,0,354,5,5
414e1f69,28,26,2,0,0,0,1,0,0,0,0,0,25,0,0
debc2f28,209,204,5,3,0,1,6,1,1,0,1,0,169,0,6
5314e067,798,601,196,13,0,4,29,183,0,0,0,0,648,1,20
4085f08e,1195,955,238,24,1,3,44,211,3,0,2,0,906,2,19
8fa8f8d2,330,221,108,27,0,0,0,0,0,0,0,0,247,1,0
bdedd861,476,438,38,2,0,2,15,2,1,1,0,0,345,0,10
0a63446f,736,571,163,6,0,3,31,157,0,0,0,0,491,2,27
d7bf3d19,898,873,24,12,5,9,25,8,4,1,3,0,702,1,8
22721b88,1236,1021,215,14,0,1,31,201,0,0,0,0,974,0,22
2945f4b7,191,190,1,0,0,2,15,0,0,0,0,0,136,0,7
bcc81786,676,533,141,21,1,2,12,120,0,0,0,0,546,2,12
e34fc66d,1333,1303,27,26,2,19,1,1,0,0,0,0,1195,3,3
ef9c1c95,1236,1208,21,19,1,15,12,1,0,0,0,0,965,7,28
d8992b84,620,596,23,17,0,6,3,2,1,0,1,0,542,1,7
38d9ce53,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
a5db0bec,1082,1030,51,21,5,7,24,5,9,4,4,0,910,1,16
b94b8be1,31,30,0,0,0,0,0,0,0,0,0,0,22,1,0
feb5d3ab,982,781,199,12,0,1,32,187,0,0,0,0,734,2,20
fa18c72e,311,286,23,10,2,1,28,5,7,1,2,0,222,2,12
2f965a72,58,43,14,5,0,0,0,0,0,0,0,0,57,1,0
6a827d8e,509,440,69,15,0,6,30,52,2,0,0,0,399,0,12
97bfa797,40,39,1,0,0,1,0,0,0,0,0,0,33,0,0
7dfbba27,565,485,74,20,6,9,71,7,46,29,13,0,373,6,10
d3ce9f1f,621,518,103,12,0,2,26,91,0,0,0,0,491,0,13
06df8256,943,910,30,25,2,15,1,5,0,0,0,0,802,3,5
3deb2342,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0
5046b7d4,194,174,19,0,0,0,15,2,0,0,0,0,143,1,4
5065d67d,693,669,23,23,0,2,0,0,0,0,0,0,631,1,4
be13e5a8,19,9,10,2,0,0,0,0,0,0,0,0,18,0,0
59bf127b,961,929,24,24,3,3,10,0,0,0,0,0,811,8,4
a8567629,95,88,7,2,0,0,1,5,0,0,0,0,92,0,0
509a4ccb,285,267,17,2,0,0,16,5,6,3,0,0,191,1,5
f449640d,874,713,159,13,1,2,61,146,0,0,0,0,681,2,22
4e7bfc23,263,244,18,11,0,0,9,4,3,1,1,1,213,1,1
7fecbcdb,277,219,58,3,0,1,15,55,0,0,0,0,204,0,5
b2bd0f6c,835,766,63,15,7,5,51,17,31,17,10,0,662,6,19
0557ff4f,793,773,19,19,1,2,1,0,0,0,0,0,725,1,5
1ddbc7ca,47,42,5,0,0,0,3,5,0,0,0,0,40,0,1
80556f08,590,538,52,21,3,4,47,2,29,24,3,0,457,0,7
65391fa7,255,227,26,2,0,0,6,24,0,0,0,0,205,2,2
e61bdd69,645,545,99,5,0,1,23,89,5,0,5,0,512,1,13
0f9b8301,864,782,81,40,2,13,44,11,29,15,8,1,678,1,8
3f1a7191,372,298,73,5,0,7,14,68,0,0,0,0,290,1,3
2b1bed19,851,834,17,17,1,4,4,0,0,0,0,0,730,0,16
e3756e72,28,21,7,1,0,0,0,6,0,0,0,0,22,0,0
10f0fdd3,705,679,25,13,1,15,33,1,11,2,7,0,589,1,11
c05d65d1,8,8,0,0,0,0,0,0,0,0,0,0,6,0,0
942b4f90,819,776,38,4,12,3,32,5,0,0,0,0,591,5,34
3b5cd50d,160,148,12,1,1,0,5,4,0,0,0,0,126,0,3
bef0a7ac,503,449,51,0,4,22,6,2,0,0,0,0,328,3,15
8a2248b4,788,539,249,35,0,1,0,0,0,0,0,0,673,0,1
f5b6fb78,1333,1137,193,22,0,2,46,170,1,0,0,0,1098,3,31
b6047994,66,60,6,2,0,0,8,0,4,2,2,0,49,0,3
fbf76716,107,94,12,4,0,1,8,4,4,4,0,0,82,1,1
fbf76716,323,247,75,32,1,2,66,1,42,23,13,3,212,1,4
6fbde63a,85,72,12,6,0,0,4,0,2,0,2,0,63,1,3
9001138b,65,56,9,0,0,0,3,1,0,0,0,0,44,0,3
28dabd43,709,416,289,114,0,2,0,0,0,0,0,0,441,4,0
433dc9a2,1130,1007,119,13,0,0,24,106,0,0,0,0,1007,4,15
380a15e2,67,44,23,5,0,1,0,0,0,0,0,0,59,0,0
47c609d5,77,68,9,0,0,0,2,0,0,0,0,0,51,0,2
6191093d,676,654,19,4,2,15,11,3,0,0,0,0,527,3,22
c69ef855,1051,1011,38,30,0,8,18,2,6,5,0,0,880,2,11
7d937aa1,103,87,15,7,0,3,17,0,8,4,4,0,81,1,2
