id,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks
00638016,927,23,20,1,3,1,3,0,0,0,0,3,5
007faf7a,449,42,7,1,10,43,7,28,14,6,0,1,10
00891164,956,31,30,0,12,1,1,0,0,0,0,1,4
00a8d210,1211,229,8,4,5,71,216,5,2,3,0,9,39
0118c54c,1396,223,18,1,39,97,200,5,0,5,0,8,25
01870104,470,68,0,3,3,14,0,0,0,0,0,4,21
02bcaf8e,234,39,7,1,1,56,18,14,6,7,0,3,9
032f894e,1120,80,32,5,31,65,12,34,9,18,0,8,18
037f2523,96,8,0,1,0,5,0,0,0,0,0,2,1
03e91055,1268,158,77,3,17,133,4,77,36,27,0,1,16
04bb2b06,123,11,0,1,0,4,2,0,0,0,0,2,2
0512a60a,3,0,0,0,0,0,0,0,0,0,0,0,0
0557ff4f,41,1,1,0,0,0,0,0,0,0,0,0,0
0630eb63,10,0,0,0,0,0,0,0,0,0,0,0,0
065dc209,527,39,0,6,3,7,2,0,0,0,0,1,16
06c48679,2016,53,45,2,26,10,8,0,0,0,0,3,11
06df8256,1352,27,24,1,15,1,3,0,0,0,0,1,8
06f33dc8,17,4,0,0,0,0,0,0,0,0,0,0,1
080de72a,3,1,1,0,0,0,0,0,0,0,0,0,0
08511d65,808,20,17,0,19,0,2,0,0,0,0,1,2
08f5afaa,359,110,15,0,1,0,0,0,0,0,0,0,1
095e4199,94,32,11,0,0,23,1,13,3,7,0,1,1
0ad37003,490,16,11,1,4,4,2,2,0,0,0,2,4
0af4dcf0,62,5,0,0,0,3,1,0,0,0,0,0,0
0b0cbe5b,717,76,12,3,32,67,38,20,10,6,1,2,17
0b2c9aec,185,36,10,1,0,49,1,19,7,11,0,4,8
0b4d8274,279,31,6,2,0,42,2,14,5,9,0,2,17
0bb6e193,785,216,12,2,16,58,203,1,0,0,0,1,40
0be95d34,414,35,18,3,3,45,4,13,10,3,0,1,16
0bfca6a1,1072,281,30,1,8,137,205,46,15,23,0,5,28
0c2ac3cb,184,4,1,0,1,1,2,1,1,0,0,0,2
0cbc8baa,1472,307,28,0,13,74,279,0,0,0,0,3,26
0d7b6576,232,11,0,0,0,11,1,0,0,0,0,2,10
0e46fa2f,9,0,0,0,0,0,0,0,0,0,0,0,0
0e7ccfc4,381,167,13,0,2,79,143,11,0,9,0,0,25
0ed063d6,137,26,1,0,2,15,25,0,0,0,0,0,3
