,id,MP,Min,90s,Starts,Compl,Subs,unSub,PPM,onG,onGA,+/-,onxG,onxGA,xG+/-,MinGK,MPGK,StartsGK,90sGK
0,00638016,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,2250,25,25,25
1,0118c54c,29,2298,25,26,20,3,5,1,39,29,10,27.5,34.0,-6.4,1170,13,13,13
2,03b5b60c,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,1890,21,21,21
3,03bd0bf4,7,301,3,5,1,2,7,0,4,5,-1,4.5,4.2,0.4,2057,23,22,22
4,04a5861a,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,3150,35,35,35
5,0515a4cb,25,2095,23,25,21,0,6,0,17,47,-30,23.1,31.3,-8.2,3420,38,38,38
6,0557ff4f,22,1548,17,18,10,4,5,1,15,17,-2,20.9,22.9,-2.0,90,1,1,1
7,05816e19,33,2175,24,24,12,9,1,1,18,33,-15,21.7,32.2,-10.4,180,2,2,2
8,0589c701,1,14,0,0,0,1,0,0,0,0,0,0.5,0.0,0.5,1530,17,17,17
9,0630eb63,17,681,7,7,5,10,10,1,5,11,-6,7.0,11.8,-4.7,3239,36,36,36
10,0670ee51,1,59,0,1,0,0,7,1,0,1,-1,0.8,0.2,0.6,1890,21,21,21
11,06c48679,24,2010,22,23,19,1,6,0,11,30,-19,14.9,35.5,-20.7,270,3,3,3
12,06d51feb,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,3330,37,37,37
13,06df8256,20,1762,19,20,19,0,5,1,20,33,-13,22.4,29.0,-6.6,495,6,6,5
14,06f33dc8,33,2260,25,28,10,5,1,0,17,35,-18,20.9,41.7,-20.8,939,11,10,10
15,06f46837,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,712,8,7,7
16,07a821e4,2,169,1,2,1,0,2,3,4,1,3,4.5,1.3,3.2,360,4,4,4
17,08082af0,22,1591,17,19,17,3,3,1,27,23,4,21.4,28.8,-7.4,3420,38,38,38
18,083525e5,4,175,1,2,1,2,6,0,0,8,-8,1.3,4.2,-2.9,1530,17,17,17
