id,MP,Min,90s,Starts,Compl,Subs,unSub,PPM,onG,onGA,+/-,onxG,onxGA,xG+/-,MinGK,MPGK,StartsGK,90sGK
0033fb1b,30,1799,20,19,3,11,2,0,20,40,-20,22.2,37.7,-15.5,0,0,0,0
005c0807,33,2957,32,33,30,0,0,0,39,61,-22,39.2,55.1,-15.9,0,0,0,0
0118c54c,33,2797,31,32,22,1,5,1,39,43,-4,43.7,36.5,7.3,0,0,0,0
02e63f80,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0
032f894e,23,1270,14,14,4,9,2,2,23,9,14,18.0,14.0,4.0,0,0,0,0
037f2523,6,223,2,2,0,4,7,0,1,4,-3,2.6,4.2,-1.7,0,0,0,0
04a5861a,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0,0,0,0
0557ff4f,4,250,2,3,2,1,1,1,2,4,-2,5.2,2.2,3.1,0,0,0,0
060faf9d,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
0630eb63,12,396,4,4,0,8,4,1,7,3,4,5.4,5.9,-0.5,0,0,0,0
065dc209,32,2073,23,26,3,6,0,1,33,39,-6,29.2,30.4,-1.2,0,0,0,0
06c48679,33,2823,31,33,27,0,1,1,42,40,2,47.6,39.9,7.7,0,0,0,0
06df8256,35,2870,31,32,26,3,3,2,63,37,26,56.5,30.1,26.4,0,0,0,0
08082af0,20,1626,18,20,17,0,6,0,21,33,-12,20.9,31.7,-10.8,0,0,0,0
08534272,13,294,3,2,0,11,5,0,3,9,-6,4.1,8.2,-4.0,0,0,0,0
09507ffa,1,90,1,1,1,0,0,0,0,4,-4,0.4,2.5,-2.1,0,0,0,0
095e4199,28,1289,14,14,0,14,3,0,16,19,-3,12.0,24.6,-12.6,0,0,0,0
0a8d6b91,5,109,1,1,0,4,26,1,1,3,-2,2.2,1.2,1.0,0,0,0,0
0ad37003,31,2438,27,29,14,2,0,1,29,37,-8,35.8,33.6,2.2,0,0,0,0
0b0cbe5b,36,2720,30,30,10,6,0,1,38,39,-1,39.9,35.1,4.8,0,0,0,0
0b283154,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
0b4d8274,29,1769,19,19,7,10,0,1,22,30,-8,25.4,26.7,-1.3,0,0,0,0
0bb6e193,6,539,6,6,5,0,0,1,8,7,1,6.2,8.4,-2.2,0,0,0,0
0be95d34,26,652,7,5,0,21,6,1,15,8,7,10.8,4.5,6.4,0,0,0,0
0bfca6a1,0,0,0,0,0,0,8,0,0,0,0,0.0,0.0,0.0,0,0,0,0
0c2ac3cb,23,1361,15,15,2,8,4,2,31,8,23,28.8,18.0,10.8,0,0,0,0
