id,MP,Min,90s,Starts,Compl,Subs,unSub,onG,onGA,+/-,onxG,onxGA,xG+/-,MinGK,MPGK,StartsGK,90sGK
0018166b,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,0,0
00638016,22,1815,20,21,16,1,11,19,35,-16,22.0,26.0,-4.0,0,0,0,0
007faf7a,25,1229,13,16,0,9,10,17,21,-4,21.1,15.0,6.0,0,0,0,0
00891164,23,2034,22,23,22,0,0,22,42,-20,24.5,32.2,-7.7,0,0,0,0
00a8d210,37,2448,27,28,16,9,0,45,37,8,36.3,32.7,3.6,0,0,0,0
0118c54c,37,2395,26,26,19,11,0,39,24,15,38.6,28.9,9.7,0,0,0,0
0167017b,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0
0170fb91,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0
01870104,32,2413,26,27,11,5,0,33,44,-11,33.5,33.3,0.2,0,0,0,0
02bcaf8e,20,716,8,5,1,15,7,13,11,2,12.2,12.3,0.0999999999999999,0,0,0,0
02e63f80,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,0,0
032f894e,25,1651,18,20,11,5,0,24,20,4,23.8,18.3,5.5,0,0,0,0
037f2523,16,453,5,5,0,11,5,8,13,-5,6.4,8.6,-2.2,0,0,0,0
03e91055,29,1732,19,22,2,7,1,19,30,-11,22.0,24.1,-2.1,0,0,0,0
04ac78d2,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,0,0
04bb2b06,16,732,8,6,2,10,0,13,13,0,11.1,9.8,1.3,0,0,0,0
0512a60a,1,17,0,0,0,1,3,0,0,0,0.1,0.0,0.1,0,0,0,0
0557ff4f,1,90,1,1,1,0,8,0,0,0,0.2,0.8,-0.6,0,0,0,0
0595569d,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,0,0
0630eb63,1,18,0,0,0,1,1,0,0,0,0.2,0.0,0.2,0,0,0,0
065dc209,37,2711,30,34,7,3,0,26,49,-23,30.6,41.4,-10.7,0,0,0,0
06c48679,35,3067,34,35,29,0,0,56,42,14,43.8,38.2,5.6,0,0,0,0
06df8256,24,1838,20,21,18,3,2,35,22,13,31.6,22.2,9.5,0,0,0,0
06f33dc8,4,102,1,0,0,4,1,2,3,-1,2.4,2.4,-0.1,0,0,0,0
080de72a,2,5,0,0,0,2,7,0,0,0,0.2,0.0,0.2,0,0,0,0
08511d65,12,801,8,8,8,4,2,31,6,25,25.3,7.7,17.5,0,0,0,0
08f5afaa,17,1530,17,17,17,0,15,45,17,28,37.5,18.2,19.4,1530,17,17,17
095e4199,9,409,4,4,0,5,1,8,7,1,5.9,7.0,-1.1,0,0,0,0
0a67443a,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,0,0
0a8d6b91,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0
0ad37003,16,936,10,12,4,4,0,7,25,-18,8.6,17.2,-8.6,0,0,0,0
0af4dcf0,12,356,4,5,0,7,3,11,10,1,8.6,3.5,5.2,0,0,0,0
0b0cbe5b,34,2436,27,28,12,6,0,33,62,-29,27.2,44.0,-16.8,0,0,0,0
0b2c9aec,20,983,10,11,0,9,5,9,11,-2,9.6,11.9,-2.2,0,0,0,0
0b4d8274,22,886,9,7,0,15,0,12,15,-3,14.1,14.7,-0.6,0,0,0,0
0bb6e193,22,1529,17,19,9,3,3,15,34,-19,16.1,23.2,-7.1,0,0,0,0
0be95d34,22,1003,11,13,0,9,5,15,16,-1,12.0,15.9,-3.9,0,0,0,0
0bfca6a1,28,1926,21,21,16,7,5,34,28,6,25.1,30.6,-5.6,0,0,0,0
0c291a1a,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,0,0
0c2ac3cb,5,220,2,3,1,2,9,5,2,3,3.9,2.9,1.1,0,0,0,0
0cbc8baa,37,3007,33,33,31,4,1,44,50,-6,38.5,50.8,-12.3,0,0,0,0
0d7b6576,33,1786,19,21,5,12,2,32,25,7,24.4,27.6,-3.2,0,0,0,0
0d836298,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0
0df854bb,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,0,0
0e46fa2f,7,103,1,1,0,6,9,0,1,-1,0.9,1.8,-1.0,0,0,0,0
0e7ccfc4,28,1324,14,13,5,15,2,20,21,-1,14.4,22.9,-8.5,0,0,0,0
0ed063d6,12,341,3,2,0,10,4,5,7,-2,6.2,5.9,0.3,0,0,0,0
0f26fd24,13,370,4,3,0,10,6,5,4,1,4.1,2.6,1.6,0,0,0,0
0f697e02,1,11,0,0,0,1,4,0,0,0,0.0,0.0,0.0,0,0,0,0
0f8418aa,35,2303,25,26,13,9,0,43,28,15,38.8,28.4,10.4,0,0,0,0
0f86995c,14,799,8,9,7,5,17,11,16,-5,10.9,9.7,1.2,0,0,0,0
0ff630d0,38,3337,37,37,35,1,0,38,69,-31,44.3,51.5,-7.1,0,0,0,0
1001ae82,30,2252,25,27,11,3,1,29,50,-21,23.7,36.0,-12.3,0,0,0,0
104b4ad3,20,1409,15,16,6,4,1,24,44,-20,20.5,28.1,-7.6,0,0,0,0
10f0fdd3,36,2332,25,26,14,10,0,35,31,4,35.5,30.6,4.9,0,0,0,0
114bbdee,14,985,10,11,9,3,12,17,9,8,16.7,13.4,3.3,0,0,0,0
12bd0579,1,45,0,1,0,0,1,1,1,0,0.5,1.0,-0.5,0,0,0,0
13d5fc25,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0
1467af0d,24,1937,21,23,12,1,0,47,22,25,46.5,23.8,22.7,0,0,0,0
148e136f,5,313,3,3,1,2,0,4,8,-4,5.2,6.0,-0.7,0,0,0,0
14d2670e,12,610,6,5,4,7,12,5,15,-10,5.6,14.8,-9.2,0,0,0,0
14df1d7f,9,610,6,8,2,1,6,5,15,-10,5.8,15.6,-9.8,0,0,0,0
1545cf15,36,3220,35,36,33,0,1,32,60,-28,38.0,48.7,-10.6,0,0,0,0
15944afd,18,790,8,8,3,10,16,15,9,6,12.4,8.4,4.0,0,0,0,0
165a2e40,31,2211,24,25,12,6,1,31,27,4,33.2,23.1,10.2,0,0,0,0
169ea6ed,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,0,0
16aa7d4c,32,2686,29,31,29,1,0,41,38,3,34.2,41.3,-7.0,0,0,0,0
1787195f,1,16,0,0,0,1,3,0,1,-1,0.1,0.3,-0.2,0,0,0,0
18563ea7,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,0,0
1880614f,32,2200,24,25,10,7,1,40,22,18,39.9,26.5,13.3,0,0,0,0
19053e31,30,1948,21,24,10,6,7,33,24,9,34.2,22.1,12.1,0,0,0,0
1956b948,30,1488,16,13,3,17,1,15,32,-17,18.8,23.4,-4.5,0,0,0,0
199ff86e,5,67,0,0,0,5,5,0,1,-1,0.4,1.2,-0.7,0,0,0,0
19a12bed,11,544,6,7,2,4,5,7,4,3,9.4,4.0,5.4,0,0,0,0
19ba6c6d,35,2312,25,25,14,10,0,35,38,-3,29.7,39.6,-9.9,0,0,0,0
19cda00b,26,1645,18,19,4,7,3,39,13,26,39.4,18.4,21.0,0,0,0,0
1a066e69,24,1857,20,20,17,4,3,18,33,-15,20.6,34.4,-13.7,0,0,0,0
1a248246,13,825,9,11,1,2,1,15,16,-1,12.7,14.0,-1.3,0,0,0,0
1a6b7ea4,36,2729,30,31,19,5,0,42,29,13,44.4,31.9,12.5,0,0,0,0
1a992676,18,548,6,5,0,13,3,20,5,15,12.9,5.6,7.3,0,0,0,0
1bfe34dc,3,154,1,1,1,2,6,2,4,-2,2.0,2.5,-0.5,0,0,0,0
1d2d5cc8,9,810,9,9,9,0,28,18,7,11,14.6,7.1,7.6,810,9,9,9
1d383c10,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,0,0
1ddbc7ca,33,2589,28,30,23,3,2,38,28,10,42.3,34.0,8.4,0,0,0,0
1df4a109,18,405,4,3,1,15,13,5,9,-4,5.5,8.0,-2.4,0,0,0,0
1e93fc5d,1,10,0,0,0,1,4,0,0,0,0.0,0.0,0.0,0,0,0,0
1ec7e1c5,17,1126,12,13,8,4,15,20,9,11,22.1,15.6,6.5,0,0,0,0
1f6298f2,1,1,0,0,0,1,15,0,0,0,0.2,0.0,0.1,0,0,0,0
2054d037,22,777,8,7,1,15,4,9,17,-8,11.4,12.0,-0.6,0,0,0,0
20b9f052,29,2610,29,29,29,0,7,45,31,14,43.6,32.0,11.6,2610,29,29,29
20de219a,0,0,0,0,0,0,22,0,0,0,0.0,0.0,0.0,0,0,0,0
20e73fac,38,3193,35,38,15,0,0,70,34,36,56.7,37.7,19.0,0,0,0,0
2180c761,1,5,0,0,0,1,10,0,0,0,0.0,0.0,0.0,0,0,0,0
226673c2,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0
22721b88,10,541,6,6,1,4,19,10,4,6,8.9,3.7,5.0,0,0,0,0
2306bfde,1,6,0,0,0,1,1,0,0,0,0.0,0.0,0.0,0,0,0,0
2321ea6e,34,3060,34,34,34,0,0,33,54,-21,37.2,45.9,-8.7,0,0,0,0
23c63b7f,28,1024,11,11,0,17,3,15,16,-1,15.8,12.7,3.1,0,0,0,0
2405094a,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0
2434f24a,25,2250,25,25,25,0,4,34,62,-28,30.2,47.8,-17.6,2250,25,25,25
243f4a0b,16,1147,12,13,8,3,2,16,30,-14,11.8,22.3,-10.5,0,0,0,0
249ac66d,34,2789,31,31,27,3,0,31,50,-19,35.7,38.6,-3.0,0,0,0,0
24eb7ed6,30,1533,17,16,7,14,5,23,28,-5,16.4,21.1,-4.7,0,0,0,0
25146df0,7,451,5,5,4,2,10,7,7,0,5.7,6.5,-0.8,0,0,0,0
2515040a,2,11,0,0,0,2,7,0,0,0,0.0,0.4,-0.4,0,0,0,0
25749008,29,1759,19,22,4,7,0,22,31,-9,20.6,26.7,-6.1,0,0,0,0
2591b066,14,432,4,4,0,10,3,5,5,0,4.9,5.1,-0.2,0,0,0,0
262ff8f7,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0
