id,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Tkld,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
a7e4760c,157,9,49,80,31,0,157,3,2,1,70,381,239,3,4,0,4,2,71,8
32c2d95f,2027,259,1276,738,46,27,2027,23,21,2,1040,5366,2909,16,7,1,16,6,1182,1
a4c3f7af,1356,30,252,870,258,21,1355,60,31,29,786,4914,2328,43,23,4,40,31,908,50
469d3d84,29,1,6,10,14,4,29,3,2,1,16,123,52,2,2,0,3,2,17,0
16714a62,1203,127,587,598,24,16,1203,1,1,0,687,3746,2202,13,4,0,5,7,701,1
26777636,184,0,12,107,68,6,184,15,9,6,112,838,341,13,12,2,11,5,147,17
288e1e13,747,68,336,383,36,9,747,7,6,1,376,1848,1032,11,6,0,8,5,460,3
3dd738a1,1970,63,417,953,614,35,1970,71,36,35,921,5482,3172,85,60,9,47,26,1172,155
48b28bfd,661,10,110,439,124,17,661,17,10,7,395,2337,1422,36,24,4,14,9,441,27
c46fa34c,748,12,174,494,87,2,748,16,11,5,382,1634,900,6,2,0,6,7,557,12
c46fa34c,841,34,217,566,73,0,841,14,12,2,542,2920,1654,21,20,0,11,7,564,13
9b398aea,41,2,5,25,11,2,41,0,0,0,17,100,79,3,1,1,0,0,27,2
462475ed,620,11,32,338,255,69,620,18,10,8,318,1204,334,11,13,4,41,23,482,126
5314e067,1382,55,390,633,367,17,1382,34,21,13,607,3159,1978,43,36,6,31,16,705,64
0f4c0bad,3,0,0,1,2,0,3,0,0,0,1,6,6,0,0,0,0,0,2,0
8fa8f8d2,917,733,911,7,0,0,917,2,2,0,406,2210,1483,0,0,0,3,0,368,0
bdedd861,525,8,28,219,280,43,525,12,7,5,249,1297,628,24,25,4,16,12,365,79
8870154f,509,427,509,0,0,0,509,0,0,0,231,1692,1287,0,0,0,0,0,137,0
0a63446f,375,23,108,154,116,8,375,6,4,2,159,1141,649,21,13,2,10,3,194,38
c9e99e49,1745,24,244,1012,506,36,1745,30,16,14,1049,4226,2553,41,47,5,22,24,1389,131
d7bf3d19,1407,58,284,878,261,11,1407,51,27,24,791,4983,2345,44,42,4,53,36,912,62
22721b88,1641,79,461,807,401,20,1641,43,23,20,806,4782,2657,74,66,5,37,25,817,98
bcc81786,1548,121,531,758,280,11,1548,39,24,15,655,3921,2519,46,48,4,31,20,721,59
aeed036d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ef9c1c95,1884,61,342,1165,397,46,1884,32,21,11,946,4992,2430,52,33,3,55,39,1181,86
872cd68c,4,1,2,1,1,0,4,0,0,0,2,8,0,0,0,0,0,2,1,0
a5db0bec,2457,35,306,1572,605,106,2457,97,58,39,1741,9785,4654,96,69,28,58,65,1956,163
fa18c72e,436,3,44,212,191,17,436,38,23,15,286,1956,967,30,25,8,21,15,317,45
2f965a72,552,482,550,2,0,0,552,0,0,0,291,1571,1116,0,0,0,0,0,221,0
9dd5da03,1107,47,349,540,230,7,1107,31,11,20,528,3164,1687,45,31,4,28,9,596,49
6a827d8e,1772,61,364,790,657,87,1771,203,101,102,1013,7446,4352,137,96,53,82,33,1123,275
d3ce9f1f,102,3,31,59,14,1,102,0,0,0,56,256,147,2,1,1,3,1,57,2
06df8256,1243,97,576,648,24,9,1243,1,1,0,799,4027,2654,18,4,0,4,5,865,2
5046b7d4,785,4,27,380,384,105,782,17,6,11,459,2332,700,31,21,17,102,59,557,173
f449640d,975,44,291,504,191,15,975,31,18,13,462,2550,1482,36,31,5,25,22,485,63
f449640d,1066,31,270,533,283,11,1066,51,30,21,523,3430,2081,63,46,5,21,15,547,82
4e7bfc23,806,17,145,524,142,2,806,4,4,0,449,2183,1208,15,11,0,13,10,567,13
8ff07990,345,10,20,174,154,28,345,15,3,12,194,803,336,10,13,5,30,9,272,60
8ff07990,337,8,25,178,138,32,337,17,10,7,193,913,435,17,17,3,10,6,259,38
7fecbcdb,1540,58,480,759,312,17,1540,26,15,11,647,3223,2009,60,41,9,21,14,746,79
b2bd0f6c,1606,9,188,774,681,92,1605,76,34,42,1114,7785,3715,112,105,26,80,82,1173,265
a1d04509,452,21,76,208,172,24,451,6,3,3,224,995,412,12,13,4,20,17,282,63
0557ff4f,890,29,181,532,186,31,890,53,33,20,457,2297,1250,27,19,7,42,39,670,63
6a189491,359,13,117,164,83,10,359,10,2,8,154,893,434,15,8,4,12,6,173,29
80556f08,782,18,110,472,209,11,782,30,18,12,456,2453,1078,20,16,1,28,18,518,58
65391fa7,39,6,18,21,0,0,39,0,0,0,16,54,47,0,0,0,0,0,17,0
2515040a,42,7,22,20,0,0,42,0,0,0,22,114,32,0,1,0,0,0,20,0
2515040a,1052,142,581,449,31,17,1052,1,1,0,493,2308,1213,5,2,0,4,2,609,4
8ca253a3,603,27,80,287,245,66,602,26,10,16,298,1375,544,22,18,6,56,16,426,116
74dc806c,1234,0,71,645,553,58,1231,207,116,91,882,7166,3650,121,104,30,56,64,940,114
b7e7937d,705,639,704,1,0,0,705,0,0,0,331,2022,1463,0,0,0,0,0,231,0
30395d3b,1103,6,114,486,517,63,1103,50,34,16,610,4386,1991,66,47,14,65,54,741,163
8a2248b4,1213,1142,1213,0,0,0,1213,0,0,0,520,2423,1732,0,0,0,1,0,489,0
fbf76716,149,1,21,58,73,4,149,9,2,7,71,548,200,6,9,2,6,4,102,19
378825c7,1582,91,523,769,305,25,1582,28,12,16,751,4433,2726,61,41,4,31,10,854,93
6fbde63a,111,1,6,68,37,3,111,1,1,0,83,373,161,5,4,0,0,0,94,6
9001138b,343,3,20,184,140,62,343,15,5,10,159,596,217,6,5,7,33,16,248,52
