id,Gls,Sh,SoT,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,G-xG,np:G-xG
a7e4760c,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
32c2d95f,3,15,5,0.2,0.6,10.5,0.0,0,0,1.9,1.9,1.1,1.1
a4c3f7af,0,20,0,0.0,0.0,23.9,1.0,0,0,1.0,1.0,-1.0,-1.0
31626657,3,29,10,0.1,0.3,26.8,0.0,0,0,1.5,1.5,1.5,1.5
469d3d84,3,19,4,0.16,0.75,12.5,0.0,0,0,2.1,2.1,0.9,0.9
0e46fa2f,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
8bc373ea,0,13,3,0.0,0.0,13.0,0.0,0,0,1.4,1.4,-1.4,-1.4
26777636,2,24,9,0.08,0.22,20.0,1.0,0,0,1.9,1.9,0.1,0.1
288e1e13,3,28,6,0.11,0.5,10.1,0.0,0,0,3.2,3.2,-0.2,-0.2
3dd738a1,1,8,3,0.13,0.33,11.0,0.0,0,0,0.9,0.9,0.1,0.1
5ea9ebd4,2,12,7,0.17,0.29,22.5,0.0,0,0,1.4,1.4,0.6,0.6
48b28bfd,2,31,6,0.06,0.33,21.3,0.0,0,0,2.3,2.1,-0.3,-0.1
48b28bfd,0,2,1,0.0,0.0,16.8,0.0,0,0,0.1,0.1,-0.1,-0.1
9b398aea,0,1,0,0.0,0.0,14.3,0.0,0,0,0.1,0.1,-0.1,-0.1
462475ed,16,66,30,0.18,0.4,15.0,0.0,4,5,15.7,11.8,0.3,0.2
414e1f69,0,4,0,0.0,0.0,12.7,0.0,0,0,1.0,1.0,-1.0,-1.0
5314e067,0,5,0,0.0,0.0,21.4,0.0,0,0,0.2,0.2,-0.2,-0.2
f8405304,0,10,0,0.0,0.0,13.0,0.0,0,0,1.9,1.9,-1.9,-1.9
bdedd861,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
b052b8bf,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
9260926b,0,15,5,0.0,0.0,20.3,0.0,0,0,1.5,1.5,-1.5,-1.5
d7bf3d19,0,2,0,0.0,0.0,30.3,0.0,0,0,0.0,0.0,0.0,0.0
22721b88,1,4,1,0.25,1.0,11.8,0.0,0,0,0.2,0.2,0.8,0.8
2945f4b7,0,19,6,0.0,0.0,20.0,0.0,0,0,1.0,1.0,-1.0,-1.0
e34fc66d,0,5,0,0.0,0.0,21.9,1.0,0,0,0.3,0.3,-0.3,-0.3
ef9c1c95,0,19,7,0.0,0.0,15.2,0.0,0,0,1.6,1.6,-1.6,-1.6
d8992b84,0,6,1,0.0,0.0,22.1,0.0,0,0,0.5,0.5,-0.5,-0.5
a5db0bec,7,68,25,0.07,0.2,16.6,0.0,2,2,9.9,8.3,-2.9,-3.3
b94b8be1,2,26,12,0.08,0.17,20.8,2.0,0,0,3.4,3.4,-1.4,-1.4
feb5d3ab,0,6,0,0.0,0.0,18.0,0.0,0,0,0.3,0.3,-0.3,-0.3
fa18c72e,4,49,10,0.08,0.4,23.2,1.0,0,0,3.7,3.7,0.3,0.3
08534272,0,8,2,0.0,0.0,13.5,0.0,0,0,0.8,0.8,-0.8,-0.8
5d5219b1,1,11,3,0.09,0.33,16.8,0.0,0,0,1.2,1.2,-0.2,-0.2
6a827d8e,1,8,5,0.13,0.2,18.1,0.0,0,0,0.4,0.4,0.6,0.6
97bfa797,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
d3ce9f1f,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
114bbdee,0,11,3,0.0,0.0,15.2,0.0,0,0,1.0,1.0,-1.0,-1.0
06df8256,2,24,4,0.08,0.5,14.9,0.0,0,0,2.3,2.3,-0.3,-0.3
5046b7d4,6,59,23,0.1,0.26,16.1,0.0,0,1,8.3,7.5,-2.3,-1.5
be13e5a8,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
a8567629,0,2,2,0.0,0.0,13.8,0.0,0,0,0.3,0.3,-0.3,-0.3
2b5a35e5,0,3,2,0.0,0.0,21.9,0.0,0,0,0.1,0.1,-0.1,-0.1
7c3ed041,2,13,4,0.15,0.5,9.1,0.0,0,0,2.0,2.0,0.0,0.0
f449640d,0,2,1,0.0,0.0,13.6,0.0,0,0,0.1,0.1,-0.1,-0.1
7fecbcdb,0,1,1,0.0,0.0,15.8,0.0,0,0,0.1,0.1,-0.1,-0.1
b2bd0f6c,6,60,20,0.1,0.3,22.8,1.0,0,0,4.2,4.2,1.8,1.8
d4fa7d01,0,2,1,0.0,0.0,11.2,0.0,0,0,0.1,0.1,-0.1,-0.1
be47b750,5,34,12,0.12,0.33,13.8,0.0,1,1,6.0,5.2,-1.0,-1.2
0557ff4f,0,2,0,0.0,0.0,19.3,1.0,0,0,0.2,0.2,-0.2,-0.2
1ddbc7ca,0,2,1,0.0,0.0,16.2,0.0,0,0,0.1,0.1,-0.1,-0.1
80556f08,4,45,17,0.09,0.24,21.8,7.0,0,0,4.6,4.6,-0.6,-0.6
0f9b8301,0,5,1,0.0,0.0,24.1,1.0,0,0,0.4,0.4,-0.4,-0.4
2515040a,2,11,2,0.18,1.0,10.3,0.0,0,0,1.5,1.5,0.5,0.5
7615f332,0,1,0,0.0,0.0,23.7,0.0,0,0,0.0,0.0,0.0,0.0
2b1bed19,0,6,0,0.0,0.0,26.3,0.0,0,0,0.2,0.2,-0.2,-0.2
10f0fdd3,1,23,5,0.04,0.2,17.9,0.0,0,0,2.1,2.1,-1.1,-1.1
c05d65d1,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
74dc806c,2,33,11,0.06,0.18,21.6,5.0,0,0,2.3,2.3,-0.3,-0.3
1f6298f2,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
942b4f90,20,68,21,0.15,0.48,17.7,7.0,10,12,19.6,10.2,0.4,-0.2
90c99c5c,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
bef0a7ac,5,37,14,0.11,0.29,15.4,0.0,1,1,7.6,6.8,-2.6,-2.8
8a2248b4,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
f5b6fb78,0,8,1,0.0,0.0,12.3,0.0,0,0,0.5,0.5,-0.5,-0.5
