id,Gls,Sh,SoT,FK,PK,PKatt,xG,npxG,G-xG,np:G-xG,TotDist
00891164,0,8,4,0,0,0,0.7,0.7,-0.7,-0.7,72.0
00a8d210,2,21,3,1,1,1,2.2,1.4,-0.2,-0.4,443.1
01870104,3,20,8,0,0,0,3.1,3.1,-0.1,-0.1,198.0
01becd60,1,12,5,0,0,0,2.8,2.8,-1.8,-1.8,170.4
01fd01e8,0,3,0,0,0,0,0.5,0.5,-0.5,-0.5,17.1
02bcaf8e,3,12,4,0,0,0,0.8,0.8,2.2,2.2,283.2
032f894e,2,6,4,0,0,0,0.6,0.6,1.4,1.4,91.2
03e91055,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0400dd2f,0,6,2,0,0,0,0.5,0.5,-0.5,-0.5,117.6
04ac78d2,0,2,0,0,0,0,0.3,0.3,-0.3,-0.3,19.4
04bb2b06,3,13,5,0,1,1,2.3,1.5,0.7,0.5,214.5
0512a60a,1,6,2,0,0,0,0.2,0.2,0.8,0.8,145.2
061266cd,0,2,1,0,0,0,0.1,0.1,-0.1,-0.1,51.8
065dc209,14,40,22,0,1,2,9.0,7.4,5.0,5.6,1124.0
06c48679,1,4,1,0,0,0,0.7,0.7,0.3,0.3,46.0
06df8256,2,5,3,0,0,0,0.6,0.6,1.4,1.4,80.0
07ace8c3,1,4,2,0,0,0,0.3,0.3,0.7,0.7,51.2
0810b6df,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
08511d65,0,10,4,0,0,0,0.9,0.9,-0.9,-0.9,117.0
08f5afaa,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
095e4199,0,28,5,5,0,0,2.0,2.0,-2.0,-2.0,593.6
0a63446f,0,10,2,0,0,0,0.5,0.5,-0.5,-0.5,170.0
0af4dcf0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0b2c9aec,0,20,9,0,0,0,1.6,1.6,-1.6,-1.6,376.0
0b4d8274,2,15,6,1,0,0,2.8,2.8,-0.8,-0.8,231.0
0b4f388a,12,35,17,0,0,1,8.1,7.2,3.9,4.8,385.0
0be95d34,4,21,8,2,3,3,3.7,1.4,0.3,-0.4,407.4
0bfca6a1,0,12,3,0,0,0,0.4,0.4,-0.4,-0.4,288.0
0cbc8baa,0,2,0,0,0,0,0.3,0.3,-0.3,-0.3,30.6
0d7b6576,9,38,20,1,0,0,5.9,5.9,3.1,3.1,562.4
0e12089d,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0e46fa2f,3,19,6,0,1,2,3.5,1.9,-0.4999999999999999,0.1,670.7
0e7ccfc4,0,3,2,1,0,0,0.1,0.1,-0.1,-0.1,91.8
0ed063d6,1,7,3,0,0,0,0.4,0.4,0.6,0.6,135.1
0f8418aa,0,9,2,0,0,0,0.5,0.5,-0.5,-0.5,140.4
0f86995c,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0ff630d0,1,7,1,0,0,0,0.6000000000000001,0.6000000000000001,0.3999999999999999,0.3999999999999999,218.4
102c9665,2,6,2,0,0,0,0.7,0.7,1.3,1.3,60.0
104b4ad3,0,3,1,0,0,0,0.2,0.2,-0.2,-0.2,35.1
10dd88f9,3,17,8,0,1,1,2.3,1.5,0.7,0.5,370.6
10f0fdd3,1,21,6,6,0,0,1.5,1.5,-0.5,-0.5,478.8
114bbdee,0,2,0,0,0,0,0.2,0.2,-0.2,-0.2,17.4
11f54bd5,0,2,0,0,0,0,0.2,0.2,-0.2,-0.2,33.8
1361e5bc,0,1,0,0,0,0,0.0,0.0,0.0,0.0,30.4
1467af0d,0,3,2,0,0,0,0.2,0.2,-0.2,-0.2,51.9
148e136f,4,30,18,6,0,0,4.8,4.8,-0.8,-0.8,441.0
15944afd,0,3,2,0,0,0,0.1,0.1,-0.1,-0.1,83.4
16aa7d4c,0,8,1,0,0,0,0.5,0.5,-0.5,-0.5,101.6
17e25e72,0,2,1,0,0,0,0.1,0.1,-0.1,-0.1,27.0
1880614f,2,42,13,2,1,1,5.1,4.3,-3.1,-3.3,697.2
18ebca4b,1,7,1,0,0,0,0.6,0.6,0.4,0.4,162.4
19053e31,2,22,7,1,0,0,2.4,2.4,-0.4,-0.4,704.0
1956b948,1,23,6,0,0,0,1.8,1.8,-0.8,-0.8,386.4
1961b2aa,1,11,3,0,0,0,0.5,0.5,0.5,0.5,250.8
19ba6c6d,4,26,7,0,1,1,4.1,3.3,-0.1,-0.3,387.4
1a066e69,0,4,0,0,0,0,0.4,0.4,-0.4,-0.4,32.4
1a248246,6,31,8,5,5,6,6.6,2.2,-0.6,-1.2,1212.1
1a2935f6,0,10,1,1,0,0,0.6,0.6,-0.6,-0.6,132.0
1a6b7ea4,0,6,0,0,0,0,0.4,0.4,-0.4,-0.4,105.0
1a85bcdb,0,2,0,0,0,0,0.1,0.1,-0.1,-0.1,35.4
1b5b32d2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1b729a98,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1bd5bdc4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1bfb6fef,2,13,5,0,0,0,0.9,0.9,1.1,1.1,149.5
1d2d5cc8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1d383c10,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1d5c96f8,0,7,2,0,0,0,0.5,0.5,-0.5,-0.5,112.7
1ddbc7ca,0,4,0,0,0,0,0.3,0.3,-0.3,-0.3,50.4
1df4a109,0,3,1,0,0,0,0.2,0.2,-0.2,-0.2,63.0
1e52971c,1,15,1,0,0,0,0.7,0.7,0.3,0.3,355.5
1e7aea56,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1e93fc5d,0,1,0,0,0,0,0.1,0.1,-0.1,-0.1,26.1
1ec7e1c5,0,2,0,0,0,0,0.1,0.1,-0.1,-0.1,27.0
1f6298f2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2054d037,3,22,5,0,2,2,3.4,1.9,-0.4,-0.9,319.0
20b9f052,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
20e0dd86,1,21,6,0,0,0,2.1,2.1,-1.1,-1.1,333.9
20e73fac,3,38,9,5,1,1,4.1,3.3,-1.1,-1.3,737.2
2180c761,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
22396615,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
22bfb57e,0,2,1,0,0,0,0.1,0.1,-0.1,-0.1,38.0
2321ea6e,0,13,5,0,0,0,0.9,0.9,-0.9,-0.9,227.5
23c63b7f,4,24,10,0,0,0,2.3,2.3,1.7,1.7,861.6
2434f24a,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
25749008,3,23,11,0,0,0,3.7,3.7,-0.7,-0.7,322.0
2677a1de,4,24,14,0,0,0,3.1,3.1,0.9,0.9,475.2
279ddf6a,2,20,8,0,0,0,0.8,0.8,1.2,1.2,452.0
28dabd43,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
29939a1d,1,18,7,0,0,0,1.9,1.9,-0.9,-0.9,300.6
29c02c9f,0,2,0,0,0,0,0.1,0.1,-0.1,-0.1,34.8
2acd49b9,1,12,3,0,0,0,1.7,1.7,-0.7,-0.7,192.0
2acf0cd7,5,41,13,0,0,0,5.7,5.7,-0.7,-0.7,717.5
2b1bed19,1,8,2,0,0,0,0.4,0.4,0.6,0.6,196.0
2b471f99,0,6,3,0,0,0,0.3,0.3,-0.3,-0.3,120.6
2c0f8e9e,9,43,21,4,1,2,8.5,6.9,0.5,1.1,649.3
2c70d915,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2ccd89a3,0,4,0,0,0,0,0.1,0.1,-0.1,-0.1,84.8
2d22cea7,1,14,5,2,0,0,1.8,1.8,-0.8,-0.8,254.8
2db2fd7b,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2f9e4435,6,52,17,4,0,0,5.2,5.2,0.8,0.8,863.2
2fa2a875,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
300ec91c,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
3010aefb,1,5,1,0,0,0,0.8,0.8,0.2,0.2,77.0
30144daa,2,19,8,0,0,0,1.8,1.8,0.2,0.2,326.8
30af8b93,1,10,6,2,0,0,0.7,0.7,0.3,0.3,210.0
31626657,0,6,0,0,0,0,0.3,0.3,-0.3,-0.3,136.8
31822f8c,15,71,31,1,4,5,16.1,12.1,-1.1,-1.1,1086.3
3189f61a,3,26,6,6,1,1,1.8,1.0,1.2,1.0,725.4
321a71a7,0,7,0,0,0,0,0.4,0.4,-0.4,-0.4,142.1
32c2d95f,1,22,2,0,0,0,1.8,1.8,-0.8,-0.8,330.0
32f3d97e,0,1,1,0,0,0,0.1,0.1,-0.1,-0.1,19.3
3322e296,0,5,2,0,0,0,0.2,0.2,-0.2,-0.2,74.0
34a88e3e,1,29,9,0,0,0,2.2,2.2,-1.2,-1.2,551.0
35516eac,3,20,10,0,0,0,1.6,1.6,1.4,1.4,372.0
357103bd,4,38,14,0,0,0,2.8,2.8,1.2,1.2,638.4
3670aa71,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
3681cfff,0,3,0,0,0,0,0.2,0.2,-0.2,-0.2,52.2
3708e9fa,6,41,19,2,0,0,4.1,4.1,1.9,1.9,791.3
37143438,0,1,0,0,0,0,0.0,0.0,0.0,0.0,20.5
374fbf7d,1,13,4,0,0,1,2.2,1.4,-1.2,-0.4,210.6
375622c5,0,6,1,0,0,0,0.1,0.1,-0.1,-0.1,152.4
3814120d,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
3916b09c,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
3935e52e,4,15,8,0,0,0,3.4,3.4,0.6,0.6,135.0
3975195f,0,5,0,0,0,0,0.2,0.2,-0.2,-0.2,84.5
397ba086,3,31,12,0,0,1,4.6,3.8,-1.6,-0.8,520.8
39b326ed,0,2,0,0,0,0,0.1,0.1,-0.1,-0.1,36.4
3a24769f,3,23,9,1,0,0,3.3,3.3,-0.3,-0.3,409.4
3b029691,0,19,5,0,0,0,1.8,1.8,-1.8,-1.8,408.5
3b676989,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
3bd65247,3,17,5,0,0,0,1.6,1.6,1.4,1.4,321.3
3befc2b6,1,19,4,1,0,0,1.1,1.1,-0.1,-0.1,347.7
3c6bbbab,0,7,0,0,0,0,0.4,0.4,-0.4,-0.4,149.1
3cdfc63e,2,6,3,0,0,0,1.3,1.3,0.7,0.7,55.2
3d214e5f,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
3dd738a1,0,2,2,0,0,0,0.2,0.2,-0.2,-0.2,24.2
3eaf8817,2,6,2,0,0,0,0.8,0.8,1.2,1.2,79.8
3ecc8c5f,0,11,4,0,0,0,0.8,0.8,-0.8,-0.8,106.7
3ef0fa48,0,12,3,0,0,0,0.8,0.8,-0.8,-0.8,190.8
3f319bb9,0,9,4,0,0,0,0.7,0.7,-0.7,-0.7,108.9
40221fa7,0,5,0,0,0,0,0.2,0.2,-0.2,-0.2,111.5
40774c6b,2,18,5,0,1,1,3.5,2.7,-1.5,-1.7,561.6
40ef7347,5,21,11,0,0,0,4.6,4.6,0.4,0.4,245.7
41eebdf5,2,8,3,0,0,0,2.1,2.1,-0.1,-0.1,62.4
42276181,7,37,20,0,0,1,5.9,4.9,1.1,2.1,492.1
42fd9c7f,18,88,47,1,2,4,15.4,12.1,2.6,3.9,1443.2
4315f30d,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
433dc9a2,1,7,6,0,0,0,0.9,0.9,0.1,0.1,77.0
43e7a164,1,12,3,1,0,0,1.1,1.1,-0.1,-0.1,188.4
4534a352,0,1,1,0,0,0,0.1,0.1,-0.1,-0.1,9.3
45cce300,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
462475ed,1,22,7,1,1,1,3.4,2.6,-2.4,-2.6,332.2
46359159,0,5,1,0,0,0,0.3,0.3,-0.3,-0.3,85.0
46750e9c,0,2,0,0,0,0,0.1,0.1,-0.1,-0.1,42.0
468fdbad,0,1,0,0,0,0,0.1,0.1,-0.1,-0.1,7.6
46faabfa,0,9,5,0,0,0,1.0,1.0,-1.0,-1.0,126.0
477e50ce,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
47c609d5,0,1,1,0,0,0,0.0,0.0,0.0,0.0,26.1
489e80e3,0,19,5,0,0,0,0.7,0.7,-0.7,-0.7,551.0
48b28bfd,1,10,3,0,0,0,0.6,0.6,0.4,0.4,239.0
48d5bd33,1,16,3,3,0,0,1.0,1.0,0.0,0.0,411.2
49070d66,0,3,1,0,0,0,0.2,0.2,-0.2,-0.2,32.1
49136c42,0,8,1,1,0,0,0.8,0.8,-0.8,-0.8,146.4
4a56052c,3,19,7,0,0,0,2.4,2.4,0.6,0.6,351.5
4a5e83ad,0,3,1,0,0,0,0.1,0.1,-0.1,-0.1,77.1
4a987ffa,0,3,0,2,0,0,0.2,0.2,-0.2,-0.2,85.5
4b792f35,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
4b96c347,1,6,3,0,0,0,1.0,1.0,0.0,0.0,73.8
4be0b467,1,10,2,0,0,0,1.7,1.7,-0.7,-0.7,141.0
4ca4f601,4,21,6,0,0,0,2.1,2.1,1.9,1.9,312.9
4db5915d,1,22,8,0,0,0,1.3,1.3,-0.3,-0.3,455.4
4e0afc5d,0,1,0,0,0,0,0.1,0.1,-0.1,-0.1,20.7
4e47507a,0,3,0,0,0,0,0.2,0.2,-0.2,-0.2,33.3
4e7db402,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
4fb18ca4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
5065d67d,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
5069b796,1,4,2,0,0,0,0.4,0.4,0.6,0.6,61.6
508a9011,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
50ac8941,0,1,0,0,0,0,0.1,0.1,-0.1,-0.1,20.7
5148dcc5,9,47,27,0,0,0,5.6,5.6,3.4,3.4,714.4
5167c97e,0,8,0,0,0,0,1.0,1.0,-1.0,-1.0,104.8
51c30111,1,24,6,1,0,0,1.0,1.0,0.0,0.0,640.8
5219ab4a,1,34,9,0,0,0,3.0,3.0,-2.0,-2.0,598.4
52cd0e88,0,1,0,0,0,0,0.0,0.0,0.0,0.0,23.4
5313ed43,3,57,16,0,1,2,6.2,4.7,-3.2,-2.7,1140.0
531a4aa8,0,8,2,0,0,0,0.6,0.6,-0.6,-0.6,134.4
53af52f3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
546bb36e,0,2,0,0,0,0,0.1,0.1,-0.1,-0.1,46.0
547a72ad,0,5,2,0,0,0,0.6,0.6,-0.6,-0.6,48.0
562a4799,0,5,2,0,0,0,0.5,0.5,-0.5,-0.5,64.0
563fcd6b,2,20,6,1,0,0,2.8,2.8,-0.8,-0.8,354.0
