id,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
5f09991f,43,23,31,10,2,23,50,27,31,9,22,45,88,52,1
774cf58b,48,30,33,9,6,18,36,18,46,29,17,37,85,97,1
f586779e,8,4,2,5,1,3,14,11,20,2,18,6,14,27,0
f2bf1b0f,6,4,1,5,0,1,4,3,9,1,8,2,8,10,0
f76e6b4e,1,1,1,0,0,1,1,0,0,0,0,0,1,8,3
4d034881,7,4,0,4,3,1,8,7,9,1,8,3,10,2,0
2b1c4abd,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
eaeca114,31,21,23,8,0,14,23,9,40,29,11,36,67,152,0
b827d5b3,24,17,10,13,1,9,30,21,19,2,17,10,34,8,0
f7d50789,40,29,24,13,3,11,24,13,48,32,16,31,71,172,2
cd1acf9d,55,34,35,17,3,36,78,42,27,9,18,45,100,84,3
7a2e46a8,0,0,0,0,0,0,2,2,0,0,0,1,1,13,3
cea4ee8f,34,16,11,20,3,13,37,24,35,3,32,17,51,17,2
862a1c15,60,39,32,20,8,19,52,33,25,1,24,31,91,25,0
f4290206,28,16,20,6,2,14,33,19,18,2,16,20,48,32,0
ad1f61f3,33,19,20,11,2,17,27,10,18,3,15,14,47,13,0
9260926b,18,11,9,8,1,3,11,8,8,5,3,16,34,55,1
9f1893b9,46,32,20,21,5,11,47,36,19,1,18,22,68,11,0
dc008610,1,1,0,1,0,1,1,0,1,1,0,0,1,1,0
30941e96,5,2,3,1,1,5,7,2,1,0,1,9,14,15,0
b105919e,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
ac05f970,13,9,5,4,4,4,14,10,17,2,15,9,22,5,0
97333cf5,32,19,19,11,2,9,38,29,22,4,18,11,43,23,1
28d596a0,1,1,1,0,0,1,2,1,0,0,0,1,2,7,2
8816329f,10,8,5,5,0,5,14,9,19,0,19,5,15,9,0
d5dd5f1f,31,19,10,12,9,12,51,39,39,1,38,14,45,16,0
5c2b4f07,93,69,58,27,8,39,69,30,38,6,32,47,140,98,2
da052c14,48,30,10,22,16,17,49,32,29,4,25,15,63,21,0
53cad200,86,56,40,32,14,35,69,34,56,21,35,67,153,94,0
a1232f4e,0,0,0,0,0,0,1,1,3,3,0,4,4,7,1
b18095b6,10,6,6,2,2,8,10,2,5,2,3,5,15,14,0
3626f7d9,17,12,13,3,1,9,25,16,15,5,10,26,43,75,3
394854c4,62,43,35,17,10,27,47,20,26,3,23,34,96,83,3
1ae30132,49,36,16,24,9,24,37,13,24,11,13,30,79,73,0
3a24769f,16,9,6,6,4,5,18,13,7,2,5,7,23,7,0
2691c772,10,5,3,5,2,3,9,6,7,2,5,6,16,9,0
3ea50f67,16,11,7,7,2,5,23,18,13,3,10,8,24,6,1
1aa84968,85,48,58,20,7,48,81,33,38,15,23,77,162,173,1
8c44e37b,1,0,0,1,0,0,2,2,1,0,1,0,1,0,1
2973d8ff,4,1,2,2,0,0,5,5,1,1,0,0,4,1,0
4115ce4e,65,38,41,18,6,31,61,30,44,23,21,77,142,198,4
f874dd44,20,13,7,11,2,11,29,18,20,4,16,19,39,27,1
0bad4516,4,2,4,0,0,2,6,4,14,8,6,9,13,29,0
0bad4516,5,4,3,2,0,4,6,2,3,1,2,7,12,8,0
3189f61a,23,13,14,9,0,7,25,18,9,2,7,19,42,9,1
ab070c55,9,5,1,6,2,0,10,10,11,4,7,4,13,28,1
f72293fc,4,2,2,2,0,1,8,7,8,1,7,7,11,9,0
d0b6129f,22,15,3,14,5,5,10,5,15,1,14,10,32,16,0
a29b1131,10,6,3,6,1,4,12,8,12,0,12,1,11,5,0
ab4b3e35,32,22,12,14,6,13,44,31,22,2,20,16,48,7,0
17370b95,27,16,12,9,6,13,17,4,7,3,4,6,33,24,0
01226327,47,29,22,15,10,26,58,32,27,12,15,37,84,31,1
7ca9f0f0,8,6,4,4,0,2,5,3,4,0,4,1,9,6,0
d328a254,72,46,30,37,5,17,65,48,59,16,43,66,138,97,1
6c203af0,49,38,24,22,3,17,40,23,18,2,16,21,70,23,0
a4ac4b8f,57,33,36,21,0,25,43,18,28,11,17,39,96,108,3
cfd5e123,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0
b0c71810,16,8,6,5,5,6,15,9,17,0,17,4,20,1,0
79c84d1c,19,15,7,9,3,4,17,13,6,0,6,16,35,8,0
96bb8cc2,11,9,5,4,2,3,10,7,10,2,8,5,16,8,0
c1949191,8,7,5,3,0,3,5,2,6,3,3,2,10,12,0
10072610,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
97220da2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dc4cae05,5,5,1,2,2,2,14,12,5,1,4,2,7,1,0
47369df8,14,8,5,7,2,5,13,8,9,4,5,14,28,18,0
66b76d44,82,39,57,21,4,38,118,80,58,5,53,23,105,32,2
b2d31e83,67,42,35,27,5,25,53,28,44,20,24,42,109,130,0
1bf811d4,40,22,24,11,5,18,37,19,16,8,8,26,66,73,0
a179d516,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
7914b9fe,15,8,11,4,0,7,15,8,34,25,9,18,33,114,1
59e6e5bf,7,5,1,4,2,1,10,9,15,2,13,6,13,36,0
b2d03887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bd6351cd,40,24,21,12,7,24,40,16,9,2,7,21,61,18,0
f63d8a4b,51,31,19,27,5,26,73,47,38,2,36,18,69,35,1
5acc4a10,75,40,38,30,7,37,85,48,30,11,19,68,143,61,0
b581987a,5,3,3,2,0,2,8,6,2,1,1,2,7,24,1
e28868f3,91,55,54,26,11,29,82,53,45,10,35,53,144,45,2
89e4b358,41,26,25,15,1,10,24,14,19,16,3,25,66,136,1
c0617e2b,45,23,26,14,5,18,61,43,14,3,11,32,77,16,1
422862ea,30,11,13,13,4,12,27,15,10,4,6,18,48,20,0
dc6f5bdd,26,10,12,8,6,11,16,5,13,7,6,16,42,43,1
d2424d1b,43,26,28,13,2,23,52,29,30,6,24,28,71,68,2
2696b6a9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7d2d3329,17,8,7,8,2,3,25,22,15,6,9,24,41,13,0
1cb49278,38,21,25,12,1,15,21,6,12,8,4,29,67,56,0
2b91cf8e,20,12,18,2,0,9,15,6,18,14,4,11,31,82,0
91c975a0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
6cdd8245,28,15,8,14,6,9,36,27,13,1,12,10,38,15,0
2928dca2,36,23,30,6,0,15,30,15,22,15,7,28,64,119,2
0420d84f,42,31,24,14,4,19,25,6,21,9,12,24,66,43,1
27c01749,7,6,1,4,2,3,10,7,11,0,11,0,7,3,0
2afc7272,27,14,15,9,3,10,47,37,17,5,12,17,44,17,1
3e5e4e63,22,11,18,4,0,8,20,12,32,23,9,44,66,153,1
74e12f1e,35,24,10,20,5,12,62,50,34,12,22,28,63,49,0
4f974391,43,26,21,18,4,23,46,23,33,10,23,35,78,75,2
a4fe8cda,4,2,2,1,1,1,5,4,1,1,0,2,6,1,0
d9565625,3,2,3,0,0,3,4,1,1,0,1,2,5,1,0
9d107085,1,1,0,1,0,0,1,1,2,0,2,1,2,5,1
f08490a6,4,2,3,1,0,1,4,3,2,0,2,8,12,4,1
52105203,8,4,7,1,0,8,14,6,9,7,2,14,22,67,0
6e33125f,6,4,3,3,0,4,7,3,7,3,4,2,8,7,0
44781702,28,15,13,11,4,7,21,14,28,12,16,22,50,47,0
9228b07c,38,17,12,22,4,17,55,38,12,4,8,35,73,28,0
9deaf2c8,1,1,0,1,0,0,3,3,4,0,4,0,1,3,0
3e9e06cb,29,18,16,13,0,17,31,14,41,32,9,34,63,116,0
e46012d4,45,24,8,20,17,18,66,48,26,4,22,18,63,24,2
82e34b69,19,12,6,10,3,6,29,23,13,1,12,11,30,27,0
111c3236,26,12,10,13,3,9,22,13,12,3,9,15,41,19,1
5a7301ae,68,31,41,19,8,28,67,39,39,12,27,38,106,64,2
39583cfd,33,16,18,9,6,12,59,47,10,0,10,25,58,6,0
ac861941,21,12,10,10,1,10,20,10,14,9,5,21,42,65,0
1b84dbe1,73,49,49,19,5,33,68,35,39,10,29,42,115,108,0
a712ca2b,27,15,18,9,0,16,25,9,37,21,16,47,74,166,2
254147d4,27,21,13,9,5,11,21,10,15,1,14,9,36,9,0
d557d734,55,29,34,17,4,27,41,14,34,4,30,40,95,52,1
02b29014,64,30,29,29,6,16,57,41,46,8,38,31,95,32,0
5526deb1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2649ff32,5,3,3,2,0,2,18,16,5,0,5,5,10,5,1
2649ff32,2,1,1,1,0,0,1,1,0,0,0,1,3,0,0
15ea94de,3,2,1,2,0,0,8,8,6,0,6,1,4,5,1
3a949a25,1,1,1,0,0,1,2,1,2,0,2,1,2,17,5
79ca3e23,18,11,9,6,3,7,16,9,10,2,8,6,24,8,0
7314bba4,18,9,14,4,0,6,17,11,13,7,6,21,39,72,0
3fe6bd8c,27,17,19,7,1,21,27,6,23,9,14,23,50,69,0
282f75f3,40,24,23,17,0,15,34,19,55,33,22,55,95,125,2
3bb7b8b4,2,2,2,0,0,2,5,3,0,0,0,3,5,16,6
debe38a0,44,27,34,10,0,25,45,20,39,27,12,58,102,171,4
c8387671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
615ef733,19,9,10,7,2,10,21,11,11,5,6,13,32,25,1
4fdf1fd9,11,6,8,2,1,8,13,5,18,17,1,28,39,86,3
980522ec,19,9,10,8,1,7,24,17,10,1,9,12,31,16,0
f8fcd2a5,48,34,33,14,1,28,39,11,33,18,15,57,105,174,4
9328b835,2,2,2,0,0,2,4,2,0,0,0,1,3,5,3
7f3b388c,62,35,20,35,7,26,67,41,25,2,23,34,96,19,1
1e43fad8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9d9a71c1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e5d01ecf,68,38,49,17,2,43,80,37,16,2,14,36,104,49,0
507c7bdf,22,12,9,9,4,5,38,33,6,0,6,11,33,16,0
e2dde94c,2,0,2,0,0,0,2,2,2,0,2,1,3,0,0
f25b010f,42,25,30,10,2,23,46,23,41,28,13,24,66,190,2
101da2b5,50,35,32,16,2,29,48,19,28,16,12,25,75,82,0
4c370d81,37,19,8,14,15,10,43,33,34,3,31,7,44,11,1
b63e789d,36,25,13,14,9,22,64,42,25,3,22,24,60,26,0
ed1e53f3,14,10,4,6,4,6,19,13,5,0,5,6,20,2,0
82927de4,46,28,21,18,7,19,64,45,35,1,34,25,71,15,0
d0b3ceb9,1,0,1,0,0,1,3,2,1,0,1,0,1,16,2
a9142dc3,1,1,0,1,0,1,4,3,0,0,0,4,5,1,0
45e17712,1,0,1,0,0,0,0,0,1,0,1,2,3,2,0
6c7762c3,7,3,5,2,0,3,4,1,1,0,1,1,8,3,1
1e0b6a73,13,9,11,2,0,11,21,10,17,12,5,20,33,71,0
d56543a0,12,6,5,5,2,7,22,15,15,3,12,15,27,24,0
b853e0ad,60,32,33,22,5,25,100,75,44,8,36,38,98,32,0
c067631c,82,56,59,18,5,41,64,23,20,10,10,24,106,73,1
c13c24c8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
636b64cd,6,4,2,2,2,2,8,6,1,0,1,10,16,6,0
a67a09fb,14,9,8,6,0,8,19,11,8,3,5,17,31,33,1
2bed3eab,6,1,4,2,0,5,9,4,2,0,2,18,24,33,0
4e015693,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
e58a03c6,12,10,4,6,2,4,8,4,5,0,5,2,14,9,0
