id,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1
00459419,66,52,0,5,7,2,0,8,7,0,0,1,0,0
00963611,2,0,0,1,1,0,0,0,0,0,0,0,0,0
01226327,53,36,11,0,1,4,1,6,4,2,0,0,0,0
02b29014,83,72,2,4,5,0,0,9,5,1,1,2,0,0
03e48abb,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0420d84f,49,41,2,3,1,1,1,3,3,0,0,0,0,0
0442183b,14,11,2,0,1,0,0,3,3,0,0,0,0,0
059948df,3,3,0,0,0,0,0,0,0,0,0,0,0,0
074d8166,2,1,0,0,1,0,0,1,0,0,0,1,0,0
07802f7f,61,43,0,9,4,3,2,7,2,0,1,0,3,1
07ace8c3,4,2,2,0,0,0,0,0,0,0,0,0,0,0
08452314,21,10,4,2,1,2,2,2,0,1,0,1,0,0
08aa17d0,14,13,1,0,0,0,0,0,0,0,0,0,0,0
099e666f,16,16,0,0,0,0,0,2,2,0,0,0,0,0
09fec029,34,26,4,0,4,0,0,4,3,0,0,1,0,0
0bad4516,26,19,4,0,2,0,1,0,0,0,0,0,0,0
0d267745,9,8,0,1,0,0,0,2,2,0,0,0,0,0
0d4ceb32,8,6,0,0,2,0,0,3,3,0,0,0,0,0
0d85a4e8,3,1,2,0,0,0,0,0,0,0,0,0,0,0
0db5d2c8,24,20,1,0,0,1,2,1,1,0,0,0,0,0
0f7533cd,37,25,0,3,5,4,0,7,4,0,1,2,0,0
101da2b5,72,61,0,1,2,4,4,10,8,0,0,0,1,1
10efd0e1,104,64,34,2,3,1,0,7,4,2,1,0,0,0
111c3236,14,14,0,0,0,0,0,2,2,0,0,0,0,0
119b9a8e,40,37,0,1,2,0,0,6,6,0,0,0,0,0
11b9265b,7,6,0,1,0,0,0,1,1,0,0,0,0,0
129af0db,29,23,0,2,1,3,0,1,1,0,0,0,0,0
12aa7661,61,23,35,2,0,0,1,9,3,3,2,0,0,1
12c50af5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1598599e,21,19,0,0,0,2,0,2,0,0,0,0,2,0
15d561fa,2,1,0,0,1,0,0,0,0,0,0,0,0,0
15ea812b,27,20,0,0,6,1,0,3,2,0,0,1,0,0
15f3ec41,15,13,0,1,1,0,0,2,1,0,1,0,0,0
16380240,84,68,13,2,1,0,0,9,8,0,0,1,0,0
165bed61,14,12,0,1,0,1,0,3,2,0,1,0,0,0
16ceb862,30,28,0,0,1,0,1,4,3,0,0,1,0,0
17370b95,28,20,2,1,1,4,0,1,1,0,0,0,0,0
1770bd68,22,15,0,4,3,0,0,2,2,0,0,0,0,0
178ae8f8,89,53,1,12,10,13,0,11,5,0,1,3,2,0
189cee7b,19,12,0,2,2,3,0,3,1,0,0,0,2,0
18b896d6,32,26,0,0,5,0,1,3,1,0,0,2,0,0
18b999f4,2,2,0,0,0,0,0,0,0,0,0,0,0,0
1900032e,14,11,0,1,1,1,0,0,0,0,0,0,0,0
1931bde9,8,6,1,0,0,1,0,0,0,0,0,0,0,0
1961b2aa,46,34,0,7,3,2,0,2,1,0,1,0,0,0
19b8b0b9,3,3,0,0,0,0,0,0,0,0,0,0,0,0
19ba6c6d,33,27,0,0,5,1,0,4,3,0,0,0,1,0
1a2935f6,6,5,0,0,0,1,0,2,1,0,0,0,1,0
1a4ef233,11,10,1,0,0,0,0,0,0,0,0,0,0,0
1ae30132,20,16,2,1,0,1,0,0,0,0,0,0,0,0
1b7ec703,14,13,0,0,0,1,0,2,2,0,0,0,0,0
1b84dbe1,111,63,40,2,4,0,2,9,6,2,0,1,0,0
1bebde9d,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1c7012b8,35,30,0,1,2,0,2,4,4,0,0,0,0,0
1cb49278,3,3,0,0,0,0,0,0,0,0,0,0,0,0
1d6ac165,14,12,0,0,2,0,0,0,0,0,0,0,0,0
1d8c99b0,39,22,14,0,1,2,0,3,2,0,0,1,0,0
1e0b6a73,26,24,1,1,0,0,0,4,3,0,1,0,0,0
