id,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
5f09991f,64,34,23,4,2,1,0,5,3,1,1,0,0,0,Matches
774cf58b,64,47,2,6,3,4,2,3,2,0,0,0,1,0,Matches
f586779e,57,37,0,5,10,2,3,9,4,0,2,2,1,0,Matches
f2bf1b0f,29,18,0,4,3,3,1,6,3,0,1,0,2,0,Matches
f76e6b4e,2,2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
4d034881,57,31,0,9,12,5,0,7,3,0,1,2,1,0,Matches
2b1c4abd,2,2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
eaeca114,14,8,0,1,4,1,0,1,0,0,0,1,0,0,Matches
b827d5b3,27,23,2,1,1,0,0,5,5,0,0,0,0,0,Matches
f7d50789,27,25,0,0,1,0,1,4,4,0,0,0,0,0,Matches
cd1acf9d,155,93,51,3,6,1,1,24,15,7,0,2,0,0,Matches
7a2e46a8,5,5,0,0,0,0,0,2,2,0,0,0,0,0,Matches
cea4ee8f,58,42,1,7,3,3,2,11,5,0,4,2,0,0,Matches
862a1c15,83,56,0,10,6,7,4,3,2,0,0,0,1,0,Matches
f4290206,49,37,5,1,3,3,0,6,4,0,0,0,2,0,Matches
ad1f61f3,38,29,0,6,2,1,0,2,1,0,0,0,1,0,Matches
9260926b,2,2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
9f1893b9,67,50,2,5,5,4,1,11,9,0,2,0,0,0,Matches
dc008610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
30941e96,15,15,0,0,0,0,0,0,0,0,0,0,0,0,Matches
b105919e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
ac05f970,71,35,1,15,11,7,2,9,4,0,1,3,1,0,Matches
97333cf5,60,43,0,6,5,5,1,8,4,0,1,2,0,1,Matches
28d596a0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
8816329f,25,19,3,2,0,1,0,4,3,1,0,0,0,0,Matches
d5dd5f1f,69,48,0,6,7,6,2,12,8,0,0,2,1,1,Matches
5c2b4f07,50,44,2,2,0,1,1,6,6,0,0,0,0,0,Matches
da052c14,81,48,0,13,4,13,3,8,3,0,2,2,1,0,Matches
53cad200,87,78,2,2,3,1,1,7,5,1,0,1,0,0,Matches
a1232f4e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
b18095b6,15,9,5,0,0,1,0,0,0,0,0,0,0,0,Matches
