id,GA,SoTA,Saves,W,D,L,CS,PKatt,PKA,PKsv,PKm
17acc2ed,2,4,2,0,2,0,1,0,0,0,0
2628fd2b,32,127,95,11,4,9,7,4,4,0,0
28300a16,0,2,2,1,0,0,1,0,0,0,0
28d596a0,13,63,52,6,6,5,8,0,0,0,0
2f965a72,6,12,6,0,0,1,1,2,2,0,0
33887998,12,37,25,3,1,4,1,0,0,0,0
3a949a25,0,5,5,0,0,0,0,0,0,0,0
3bb7b8b4,25,60,36,18,4,4,9,3,3,0,0
466fb2c5,25,83,59,20,3,3,11,3,2,0,1
4806ec67,38,123,85,4,7,14,5,3,3,0,0
4b40d9ca,17,72,55,10,11,3,12,2,1,0,1
6a713852,29,72,45,10,5,7,6,6,5,1,0
6b625ac2,40,112,73,5,7,13,5,2,2,0,0
76eca7e2,4,11,7,0,1,1,0,0,0,0,0
7956236f,31,88,60,9,4,10,6,3,2,1,0
7a2e46a8,28,103,76,12,6,7,10,3,2,1,0
7b4de647,0,4,4,1,0,0,1,0,0,0,0
7ba6d84e,35,100,66,15,4,6,10,1,1,0,0
8f62b6ee,29,95,67,12,2,7,7,1,1,0,0
903b6e8b,35,108,72,7,6,13,7,3,1,2,0
9328b835,27,94,67,6,5,13,4,2,1,1,0
98ea5115,32,133,103,9,11,4,8,1,1,0,0
a9dc785c,20,71,52,3,6,6,3,4,4,0,0
ab13a5aa,32,110,80,6,9,10,6,1,1,0,0
c3e39f12,7,18,11,2,1,2,2,0,0,0,0
c91441dc,41,92,54,6,3,16,3,1,0,1,0
d3ce0e89,43,113,72,7,3,15,6,3,2,1,0
e5a76dfe,31,85,52,5,5,8,6,5,2,2,1
e7ee38c3,7,16,9,1,0,1,1,1,1,0,0
ecada4fc,9,21,12,1,2,2,1,1,1,0,0
fe558029,31,60,31,2,0,8,2,2,2,0,0
