id,GA,PKA,FK,CK,OG,PSxG,PSxG+/-,Cmp,Att,Att.1,Thr,Att.2,Opp,Stp,#OPA,TotLen,TotLen.1,TotDist
f76e6b4e,9,0,0,2,0,6.8,-2.2,11,28,77,19,22,35,0,6,2410.1,464.2,102.0
8fa8f8d2,0,0,0,0,0,0.1,0.1,0,3,10,2,1,3,0,0,282.0,15.0,0.0
7a2e46a8,32,4,1,4,0,35.0,3.0,74,194,980,165,173,341,20,87,25186.0,5259.2,1618.2
2f965a72,48,6,0,2,1,50.5,3.5,144,389,760,173,251,501,26,31,22800.0,9989.8,403.0
28d596a0,8,1,0,0,0,8.0,0.0,21,53,200,41,46,68,3,1,5460.0,1430.6,9.6
cc70a1d5,2,0,0,0,0,1.0,-1.0,3,18,13,2,8,18,1,2,635.7,544.8,46.6
e608ed4c,2,0,0,1,0,0.8,-1.2,8,27,25,1,12,25,0,0,1045.0,772.8,0.0
a179d516,3,0,0,1,0,1.5,-1.5,1,3,20,2,6,9,0,3,432.0,115.2,84.0
3e1550ee,3,1,0,1,0,2.4,-0.6,0,1,14,6,2,10,0,0,264.6,59.0,0.0
58bc7d18,2,0,0,0,0,3.2,1.2,5,14,67,20,31,30,4,1,1554.4,765.7,10.8
cde3309f,43,3,1,4,2,37.2,-3.8,175,505,504,92,216,401,18,10,22629.6,11944.8,92.0
3a949a25,19,1,0,0,1,16.6,-1.4,70,166,316,67,122,244,9,11,10270.0,4941.0,138.6
3bb7b8b4,28,7,0,2,1,28.6,1.6,108,266,967,161,153,309,19,44,27462.8,6012.9,730.4
9328b835,44,3,0,4,4,40.8,0.8,238,609,738,154,272,516,26,15,29815.2,14116.8,162.0
c3e39f12,11,2,0,1,0,9.8,-1.2,30,134,207,28,64,142,6,14,7307.1,2828.8,218.4
7ba6d84e,32,4,1,5,2,28.1,-1.9,67,174,417,88,172,310,2,28,12384.9,5005.2,470.4
ab13a5aa,64,3,1,9,0,50.2,-13.8,223,651,762,156,315,604,19,24,29337.0,17640.0,319.2
e5a76dfe,12,0,0,4,0,11.2,-0.8,19,92,230,66,94,169,9,19,7107.0,2820.0,330.6
9e5708be,74,7,2,7,3,67.2,-3.8,293,889,994,182,296,645,20,38,44730.0,16812.8,532.0
62d7ef38,1,0,0,0,0,2.1,1.1,2,15,50,12,14,27,1,2,1425.0,425.6,32.6
2628fd2b,37,1,0,3,4,32.3,-0.7,78,293,953,183,227,487,18,33,24206.2,9761.0,531.3
8f62b6ee,45,10,0,3,3,45.6,3.6,159,408,814,180,264,590,23,24,26373.6,7418.4,314.4
7956236f,46,5,2,4,1,49.2,4.2,247,639,1058,177,253,613,42,34,39251.8,11891.0,482.8
36c2ca73,57,6,1,2,1,46.5,-9.5,109,435,900,131,171,365,23,31,28800.0,7028.1,483.6
33887998,25,2,1,4,1,21.9,-2.1,71,197,846,126,179,335,17,27,21488.4,4600.3,410.4
6b625ac2,52,8,1,11,2,46.6,-3.4,100,305,1099,286,267,447,24,19,30112.6,7849.8,226.1
c73ada83,4,0,0,2,0,0.9,-3.1,20,48,39,1,18,27,2,1,2125.5,1130.4,10.0
e7ee38c3,9,1,0,0,0,9.5,0.5,36,93,148,23,51,88,4,4,5268.8,2187.9,49.2
79b0d6a0,51,7,1,8,3,45.3,-2.7,160,383,540,146,268,558,21,12,19170.0,9862.4,127.2
4879f8cb,14,0,0,2,0,7.9,-6.1,43,94,83,6,29,50,0,4,4133.4,1879.2,91.2
4806ec67,39,2,1,5,1,37.9,-0.1,230,590,951,151,198,468,20,31,35947.8,10375.2,412.3
4b40d9ca,37,3,0,4,1,40.2,4.2,254,699,724,136,251,523,32,73,33521.2,14783.9,1321.3
466fb2c5,63,3,0,8,3,54.3,-5.7,263,817,866,128,281,578,33,34,39403.0,18124.5,435.2
6385ebfb,3,0,0,3,0,1.2,-1.8,12,39,43,5,23,49,0,2,1814.6,1051.1,27.2
17acc2ed,5,1,0,1,0,4.0,-1.0,6,13,40,6,7,17,1,2,1208.0,210.7,28.0
da8b19e2,1,0,0,1,0,0.9,-0.1,1,6,19,10,5,19,3,0,630.8,155.0,0.0
4535e4bb,19,4,0,3,1,12.6,-5.4,42,111,355,61,56,136,6,4,10224.0,1831.2,42.4
4535e4bb,2,1,0,0,0,3.6,1.6,3,7,59,21,9,28,6,4,1292.1,269.1,57.2
6a713852,27,2,0,5,1,23.3,-2.7,151,411,925,118,177,340,22,29,31080.0,7274.7,420.5
53af52f3,50,4,0,9,2,42.2,-5.8,159,425,1038,181,210,484,20,19,34461.6,7959.0,258.4
42130443,1,0,0,0,0,0.9,-0.1,0,4,22,4,8,14,0,0,594.0,98.4,0.0
728e9b2e,0,0,0,0,0,0.3,0.3,2,9,12,3,3,4,1,0,535.2,201.9,0.0
