id,CrdY,CrdR,2CrdY,Fls,Fld,Off,PKwon,PKcon,OG
5f09991f,7,0,0.0,18,10.0,3.0,0.0,0.0,0.0
c5942695,0,0,0.0,1,3.0,1.0,0.0,0.0,0.0
f586779e,0,0,0.0,15,27.0,9.0,0.0,0.0,0.0
aff418dc,2,1,0.0,8,8.0,0.0,0.0,0.0,0.0
f76e6b4e,2,0,0.0,1,3.0,0.0,0.0,0.0,0.0
9a8c6673,1,0,0.0,1,0.0,0.0,0.0,0.0,0.0
b63f4077,0,0,0.0,9,13.0,4.0,1.0,0.0,0.0
4d034881,2,0,0.0,10,17.0,16.0,0.0,0.0,0.0
eaeca114,5,0,0.0,27,19.0,2.0,0.0,0.0,0.0
b827d5b3,5,1,0.0,20,26.0,2.0,0.0,1.0,0.0
f7d50789,3,0,0.0,8,1.0,0.0,0.0,0.0,0.0
cd1acf9d,3,0,0.0,12,1.0,3.0,0.0,0.0,0.0
9feb8f24,8,0,0.0,49,49.0,0.0,0.0,0.0,0.0
cea4ee8f,7,0,0.0,43,84.0,5.0,1.0,0.0,0.0
f4290206,6,0,0.0,26,31.0,8.0,0.0,0.0,0.0
1a4ef233,1,2,1.0,5,7.0,0.0,0.0,0.0,0.0
10b9fa99,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
7c2a398c,0,0,0.0,6,2.0,2.0,0.0,0.0,0.0
ac05f970,1,0,0.0,17,30.0,7.0,1.0,0.0,0.0
b1313ec4,3,0,0.0,21,14.0,1.0,0.0,0.0,0.0
00459419,5,1,0.0,35,29.0,43.0,0.0,0.0,0.0
2f4c5a52,4,0,0.0,9,15.0,0.0,0.0,0.0,0.0
8816329f,1,0,0.0,10,26.0,6.0,0.0,0.0,0.0
d5dd5f1f,0,0,0.0,1,8.0,10.0,0.0,0.0,0.0
5c2b4f07,2,2,1.0,21,16.0,2.0,0.0,1.0,0.0
8d228291,2,0,0.0,16,16.0,14.0,0.0,0.0,0.0
5dbefa9d,2,0,0.0,6,17.0,3.0,0.0,0.0,0.0
5dbefa9d,3,0,0.0,18,19.0,3.0,1.0,0.0,0.0
da052c14,2,1,0.0,63,87.0,8.0,0.0,0.0,0.0
53cad200,1,0,0.0,25,13.0,1.0,0.0,0.0,1.0
a1232f4e,2,0,0.0,10,9.0,0.0,0.0,0.0,1.0
b18095b6,1,0,0.0,7,17.0,1.0,0.0,0.0,0.0
59bf127b,4,2,1.0,50,24.0,2.0,0.0,0.0,0.0
9d597f08,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
ca9178af,1,0,0.0,4,1.0,0.0,0.0,0.0,0.0
1ae30132,5,0,0.0,22,19.0,0.0,0.0,1.0,0.0
3a24769f,0,0,0.0,1,1.0,0.0,0.0,0.0,0.0
2691c772,10,0,0.0,53,71.0,26.0,0.0,0.0,0.0
3ea50f67,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0
7dbbe367,4,0,0.0,28,29.0,1.0,0.0,0.0,0.0
18e96f64,2,0,0.0,5,1.0,0.0,0.0,0.0,0.0
2973d8ff,0,0,0.0,4,3.0,6.0,0.0,0.0,1.0
cfe6238d,4,0,0.0,19,20.0,1.0,0.0,0.0,0.0
4115ce4e,1,0,0.0,3,1.0,0.0,0.0,0.0,0.0
7b4de647,2,0,0.0,2,7.0,0.0,0.0,1.0,0.0
f874dd44,5,0,0.0,36,7.0,4.0,0.0,2.0,0.0
8309b068,0,0,0.0,1,1.0,1.0,0.0,0.0,0.0
ab070c55,6,0,0.0,48,27.0,12.0,2.0,0.0,0.0
25b166d0,0,0,0.0,6,4.0,4.0,1.0,0.0,0.0
f72293fc,2,0,0.0,18,33.0,2.0,0.0,0.0,0.0
01226327,2,0,0.0,32,33.0,1.0,0.0,0.0,0.0
7ca9f0f0,0,0,0.0,1,2.0,0.0,0.0,0.0,0.0
d328a254,3,0,0.0,14,6.0,1.0,0.0,1.0,0.0
7f4f3e49,6,0,0.0,38,39.0,23.0,0.0,0.0,0.0
691bef82,0,0,0.0,4,4.0,0.0,0.0,0.0,0.0
fe012aca,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0
715fc0fe,0,0,0.0,12,11.0,4.0,0.0,0.0,0.0
cfd5e123,2,0,0.0,16,13.0,0.0,0.0,0.0,1.0
61abe9b6,2,0,0.0,7,11.0,2.0,0.0,0.0,0.0
b0c71810,1,0,0.0,27,28.0,2.0,0.0,0.0,0.0
96bb8cc2,3,0,0.0,20,11.0,3.0,0.0,0.0,0.0
10072610,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0
356a9a62,3,1,0.0,8,6.0,0.0,0.0,0.0,0.0
b92dd711,1,0,0.0,7,1.0,0.0,0.0,0.0,0.0
bf54c8cc,0,0,0.0,3,3.0,1.0,0.0,0.0,0.0
78803d03,3,0,0.0,19,8.0,0.0,0.0,1.0,0.0
ec7e6ad1,5,0,0.0,15,6.0,0.0,0.0,0.0,0.0
f631c17f,0,0,0.0,2,5.0,0.0,0.0,0.0,0.0
cc70a1d5,0,0,0.0,0,3.0,0.0,0.0,0.0,1.0
1bf811d4,1,0,0.0,4,1.0,1.0,0.0,0.0,0.0
a179d516,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
ad7b19ef,7,0,0.0,35,23.0,1.0,0.0,0.0,0.0
7914b9fe,1,1,0.0,17,17.0,0.0,0.0,0.0,0.0
59e6e5bf,4,0,0.0,43,27.0,15.0,4.0,0.0,0.0
1a160ea3,2,0,0.0,16,7.0,0.0,0.0,1.0,0.0
38aefb74,0,0,0.0,0,0.0,1.0,0.0,0.0,0.0
a65ce836,8,0,0.0,27,27.0,0.0,1.0,0.0,0.0
5acc4a10,3,0,0.0,21,16.0,1.0,0.0,0.0,0.0
ab7263c1,0,0,0.0,1,1.0,0.0,0.0,0.0,0.0
7527558b,2,0,0.0,13,15.0,4.0,0.0,0.0,0.0
8f898ba8,0,0,0.0,7,2.0,1.0,0.0,0.0,0.0
b581987a,6,2,1.0,28,14.0,6.0,0.0,0.0,0.0
5a1900a4,3,0,0.0,23,17.0,1.0,0.0,0.0,0.0
89e4b358,1,0,0.0,2,1.0,0.0,0.0,0.0,0.0
71672fa0,1,0,0.0,0,4.0,0.0,0.0,0.0,0.0
5b54bf3b,1,0,0.0,1,0.0,0.0,0.0,0.0,0.0
422862ea,1,0,0.0,3,7.0,1.0,0.0,0.0,0.0
dc6f5bdd,1,0,0.0,10,5.0,0.0,0.0,1.0,0.0
d2424d1b,2,2,1.0,13,23.0,4.0,0.0,0.0,0.0
7d2d3329,1,0,0.0,5,5.0,0.0,0.0,0.0,0.0
1cb49278,0,0,0.0,8,13.0,1.0,0.0,0.0,0.0
49b05a83,0,0,0.0,1,2.0,0.0,0.0,0.0,0.0
2b91cf8e,3,0,0.0,17,13.0,0.0,0.0,2.0,0.0
6cdd8245,2,2,1.0,33,26.0,1.0,0.0,0.0,0.0
987718f5,2,0,0.0,10,14.0,3.0,0.0,0.0,0.0
0442183b,1,0,0.0,4,0.0,0.0,0.0,0.0,0.0
0420d84f,0,0,0.0,3,13.0,0.0,0.0,0.0,0.0
c61f1719,3,0,0.0,13,2.0,0.0,0.0,0.0,0.0
2afc7272,5,0,0.0,33,20.0,1.0,0.0,0.0,0.0
3e5e4e63,5,0,0.0,22,19.0,1.0,0.0,0.0,1.0
a6951bf8,0,0,0.0,2,1.0,0.0,0.0,0.0,0.0
74e12f1e,7,0,0.0,23,54.0,1.0,0.0,0.0,0.0
1840e36d,2,0,0.0,2,3.0,0.0,0.0,2.0,0.0
0ef89a37,0,0,0.0,5,21.0,4.0,0.0,0.0,0.0
9e53837d,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
4f974391,7,0,0.0,20,15.0,3.0,0.0,0.0,0.0
73d9bdc7,4,0,0.0,40,11.0,14.0,0.0,0.0,0.0
f6d7d690,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
9d107085,0,0,0.0,7,18.0,0.0,0.0,1.0,0.0
94b2001f,2,0,0.0,12,10.0,0.0,0.0,0.0,0.0
52105203,4,0,0.0,12,3.0,2.0,0.0,1.0,0.0
cde3309f,0,0,0.0,0,1.0,0.0,0.0,0.0,1.0
96e0490d,0,0,0.0,5,1.0,0.0,0.0,0.0,0.0
44781702,3,0,0.0,24,25.0,0.0,0.0,0.0,0.0
9228b07c,7,0,0.0,38,43.0,3.0,0.0,0.0,0.0
cf15bbb1,0,0,0.0,8,8.0,3.0,1.0,0.0,0.0
3e9e06cb,6,0,0.0,35,22.0,4.0,0.0,0.0,0.0
e46012d4,2,0,0.0,30,33.0,2.0,1.0,0.0,0.0
