id,Cmp,Att,TotDist,PrgDist,Cmp.1,Att.1,Cmp.2,Att.2,Cmp.3,Att.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
00f0482f,5,5,69.0,14.0,2,2,1,1,1,1,0,0.0,0.0,0.0,0,0,0,0,0
01226327,151,191,2212.0,828.0,88,97,51,63,8,18,0,0.0,0.1,0.0,0,12,1,0,17
01962d0d,106,163,1166.0,344.0,58,81,28,46,2,5,2,1.6,1.4,0.4,9,5,10,2,15
02b29014,864,1097,12771.0,3058.0,490,581,296,351,45,72,4,2.0,1.3,2.0,19,81,19,0,113
0313a347,875,1013,15392.0,5885.0,345,381,470,505,46,94,0,0.3,0.5,-0.3,4,30,0,0,45
0420d84f,914,1255,14739.0,6578.0,497,569,316,447,76,168,0,0.8,1.5,-0.8,13,86,26,13,96
0442183b,561,727,8523.0,3116.0,289,322,228,292,22,64,1,0.4,0.5,0.6,6,24,7,3,36
0562b7f1,309,429,3784.0,791.0,210,265,75,105,5,7,3,1.9,1.6,1.1,21,24,10,0,42
05e8ca6d,4,4,62.0,29.0,3,3,1,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0
0745b37d,399,540,5175.0,838.0,257,308,94,124,19,27,3,3.8,2.9,-0.8,27,21,6,1,34
076bb352,2,2,42.0,0.0,1,1,0,0,1,1,0,0.0,0.0,0.0,0,0,0,0,0
07802f7f,251,378,3233.0,781.0,147,189,60,90,13,28,6,1.6,0.9,4.4,15,19,13,0,39
099e666f,351,478,5670.0,2338.0,185,209,122,166,32,71,1,0.8,0.6,0.2,11,35,10,7,36
0b33f6ad,1388,1851,24582.0,11429.0,582,672,664,829,116,280,0,0.8,0.7,-0.8,9,150,5,2,136
0d4ceb32,75,107,789.0,190.0,52,70,10,16,1,2,3,0.7,0.6,2.3,6,1,2,0,7
0db5d2c8,258,337,4576.0,2071.0,122,141,105,140,29,51,0,0.3,0.2,-0.3,3,14,1,1,18
0ef89a37,531,655,8091.0,2160.0,292,340,175,205,38,61,3,2.9,1.7,0.1,25,71,16,3,94
0f134faf,574,795,11460.0,3742.0,247,294,201,260,115,203,1,3.2,3.4,-2.2,35,74,28,10,103
0f933743,142,183,3070.0,927.0,16,26,111,121,13,30,0,0.0,0.0,0.0,0,1,0,0,2
1000a059,2,3,28.0,0.0,1,1,1,2,0,0,0,0.0,0.0,0.0,0,0,0,0,0
101da2b5,746,842,12820.0,3829.0,344,368,326,360,56,79,1,1.0,1.1,0.0,10,74,17,1,81
111c3236,259,309,4612.0,1427.0,125,138,90,103,35,48,0,0.1,0.1,-0.1,4,37,2,0,34
112c495e,530,714,7839.0,2988.0,320,367,189,253,16,62,1,0.6,1.0,0.4,9,24,14,2,40
1137759d,449,774,7092.0,2936.0,253,316,140,235,38,134,2,1.7,2.3,0.3,17,47,24,9,59
119b9a8e,2782,2940,53607.0,17549.0,933,966,1575,1624,251,316,0,0.6,1.3,-0.6,9,309,9,2,271
11ff3d56,361,453,5657.0,1490.0,190,232,132,155,26,35,2,1.0,0.3,1.0,16,43,3,2,57
1265a93a,1450,1687,22184.0,5499.0,803,856,509,593,93,133,9,5.9,4.8,3.1,48,67,51,15,149
132a82f1,470,528,8686.0,2839.0,168,183,266,284,29,50,0,0.0,0.1,0.0,2,25,0,0,28
1544f145,889,1045,13297.0,3505.0,484,548,323,359,48,64,1,1.9,2.3,-0.9,21,92,21,4,132
1598599e,593,645,9282.0,1636.0,304,323,233,247,35,43,0,0.0,0.1,0.0,1,39,0,0,36
15ea812b,816,1190,18096.0,8529.0,259,356,369,479,172,314,2,0.5,0.9,1.5,10,75,12,0,97
15f3ec41,317,399,4453.0,981.0,203,232,87,109,15,33,2,2.1,1.9,-0.1,25,9,18,4,41
16264a81,225,275,3117.0,843.0,144,164,59,75,12,17,1,0.3,0.4,0.7,4,19,2,0,22
169fd162,513,639,7634.0,1456.0,291,341,160,187,37,51,1,1.3,1.3,-0.3,16,31,14,0,57
172e52d8,1218,1507,22414.0,7103.0,421,498,703,821,77,145,1,0.3,0.6,0.7,5,35,0,0,67
17695062,682,823,9733.0,1935.0,401,441,230,268,25,58,2,2.0,2.3,0.0,30,41,20,1,85
1770bd68,140,224,2280.0,758.0,84,108,35,53,15,39,0,1.3,1.1,-1.3,12,7,3,2,8
17734ea0,2,2,21.0,0.0,2,2,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0
178ae8f8,559,770,7799.0,1928.0,324,397,183,231,22,46,4,5.8,3.5,-1.8,40,46,26,2,87
17d45fb2,85,122,1332.0,409.0,42,53,34,47,4,8,0,0.3,0.1,-0.3,4,13,2,0,16
