id,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks
00459419,617,48,1,6,1,18,7,0,0,0,0,2,21
00963611,135,2,2,0,6,0,0,0,0,0,0,0,1
01226327,814,267,23,2,4,93,214,30,13,16,1,6,36
02b29014,1919,35,31,5,13,11,2,1,0,0,0,9,41
03e48abb,12,0,0,0,0,0,0,0,0,0,0,1,1
0420d84f,1267,341,8,0,4,81,333,0,0,0,0,3,49
0442183b,533,145,6,2,1,21,139,0,0,0,0,2,23
059948df,32,0,0,0,0,1,0,0,0,0,0,0,1
074d8166,11,0,0,0,1,0,0,0,0,0,0,1,0
07802f7f,395,11,1,5,5,14,0,0,0,0,0,3,14
07ace8c3,10,4,0,0,0,3,4,0,0,0,0,0,2
08452314,289,15,6,1,3,23,4,5,2,0,2,4,17
08aa17d0,279,49,1,0,4,9,48,0,0,0,0,0,7
099e666f,442,129,3,0,1,17,126,0,0,0,0,2,21
09fec029,735,174,7,0,6,5,167,0,0,0,0,2,10
0bad4516,1330,69,17,1,19,1,52,0,0,0,0,6,8
0d267745,1230,21,16,0,7,1,5,0,0,0,0,1,5
0d4ceb32,69,6,0,1,1,1,1,1,0,0,0,0,3
0d85a4e8,158,85,18,0,1,0,0,0,0,0,0,3,0
0db5d2c8,1135,54,42,0,3,4,12,0,0,0,0,2,12
0f7533cd,299,19,0,2,1,6,1,0,0,0,0,2,14
101da2b5,2020,40,34,13,13,4,6,0,0,0,0,10,25
10efd0e1,1542,161,62,2,25,108,3,93,33,34,4,4,19
111c3236,695,71,6,0,8,8,65,0,0,0,0,0,9
119b9a8e,2974,69,30,0,53,6,39,0,0,0,0,10,7
11b9265b,108,13,0,0,0,3,13,0,0,0,0,0,3
129af0db,226,6,0,1,3,3,0,0,0,0,0,1,7
12aa7661,850,477,77,0,8,209,285,115,62,43,0,8,34
12c50af5,33,2,1,0,0,0,1,0,0,0,0,1,2
1598599e,1077,17,1,2,13,3,1,0,0,0,0,3,12
15d561fa,4,0,0,0,0,0,0,0,0,0,0,0,0
15ea812b,1125,17,14,0,23,5,3,0,0,0,0,8,6
15f3ec41,226,5,0,0,2,22,2,3,0,2,1,0,1
16380240,1092,75,28,7,2,42,7,38,8,9,1,10,14
165bed61,153,7,2,0,2,3,2,1,1,0,0,0,3
16ceb862,257,5,0,0,2,1,0,0,0,0,0,1,6
17370b95,803,223,13,0,2,31,210,0,0,0,0,3,33
1770bd68,241,6,0,0,0,10,1,5,1,0,0,1,16
178ae8f8,752,33,0,3,1,36,4,0,0,0,0,4,29
189cee7b,301,30,2,7,2,9,0,0,0,0,0,3,13
18b896d6,2491,58,47,8,28,1,11,0,0,0,0,8,7
18b999f4,30,1,1,0,0,2,0,0,0,0,0,0,0
1900032e,815,57,31,3,19,1,26,0,0,0,0,1,9
1931bde9,109,6,2,1,0,6,4,0,0,0,0,1,4
1961b2aa,1181,41,16,1,28,16,6,0,0,0,0,2,16
19b8b0b9,17,0,0,0,0,0,0,0,0,0,0,0,0
19ba6c6d,538,30,1,0,0,9,1,0,0,0,0,3,16
1a2935f6,809,18,16,1,3,4,2,0,0,0,0,2,4
1a4ef233,370,64,4,0,2,3,60,0,0,0,0,1,6
1ae30132,583,195,9,0,3,37,186,0,0,0,0,5,19
1b7ec703,190,3,0,2,2,3,0,0,0,0,0,3,4
1b84dbe1,1558,554,90,0,4,280,375,89,34,48,1,7,77
1bebde9d,50,11,1,0,0,0,0,0,0,0,0,0,0
1c7012b8,1506,17,15,2,21,3,2,0,0,0,0,1,24
1cb49278,445,14,13,0,3,0,1,0,0,0,0,0,4
1d6ac165,265,4,0,1,0,1,0,0,0,0,0,2,5
1d8c99b0,567,85,46,2,16,54,1,38,18,13,1,2,10
1e0b6a73,673,136,12,0,3,32,123,1,0,0,0,3,23
1ecb65be,625,7,2,1,1,53,3,2,0,0,0,1,27
1f9a3a04,1145,125,32,1,0,28,93,0,0,0,0,5,13
20b104bc,867,205,21,0,0,22,178,6,0,0,0,2,27
21166ff4,216,8,6,0,3,2,2,0,0,0,0,1,2
21512407,1607,404,48,3,3,185,283,73,17,35,0,14,51
21a66f6a,547,30,8,10,15,12,14,0,0,0,0,1,14
24396398,103,0,0,0,0,15,0,0,0,0,0,1,5
2513a588,402,7,1,1,1,19,4,0,0,0,0,2,15
2628fd2b,773,330,103,0,4,0,0,0,0,0,0,2,2
2642bf6c,711,484,165,0,0,0,0,0,0,0,0,7,1
26679cdf,269,12,0,1,2,10,0,2,0,1,1,2,8
2691c772,513,12,1,5,1,6,1,1,1,0,0,9,18
2696b6a9,15,0,0,0,0,0,0,0,0,0,0,0,1
26f6dca8,455,15,7,4,0,16,2,6,1,5,0,2,7
282f75f3,1456,49,36,2,49,2,13,0,0,0,0,5,16
2876eaa3,9,0,0,0,0,0,0,0,0,0,0,0,0
28b40c9c,1035,23,19,0,4,1,4,0,0,0,0,6,8
28d596a0,863,296,40,0,2,0,0,0,0,0,0,2,1
2928dca2,1655,37,33,3,18,0,4,0,0,0,0,8,3
29733c72,704,69,16,6,13,67,6,35,23,10,1,2,10
2973d8ff,156,8,0,1,2,1,0,0,0,0,0,1,9
2acd49b9,1365,34,9,0,5,27,24,0,0,0,0,5,28
2afc7272,397,8,5,1,6,10,3,0,0,0,0,2,11
2b114be3,892,58,3,7,2,98,5,50,2,39,0,5,35
2b471f99,809,14,5,2,10,9,4,0,0,0,0,3,5
2b622f01,738,10,1,5,0,19,6,0,0,0,0,4,24
2b91cf8e,301,9,6,0,1,3,3,0,0,0,0,0,4
2c0f8e9e,396,11,4,6,6,24,1,5,3,1,0,2,11
2ce2508a,1912,267,114,2,28,185,8,143,54,28,52,10,32
2e4f5f03,2488,347,40,2,19,135,303,4,0,3,0,5,51
2f4c5a52,612,65,11,3,7,17,2,0,0,0,0,3,12
2f7acede,1362,36,15,1,9,8,2,2,1,0,0,1,15
2f90f6b8,1388,241,43,6,15,134,94,92,27,36,1,7,46
2ff964a0,301,5,0,1,0,23,5,0,0,0,0,1,15
31dce0c8,10,1,0,0,0,1,1,0,0,0,0,0,1
3201b03d,109,37,2,0,2,1,35,0,0,0,0,0,4
321a71a7,1368,107,35,1,16,17,72,0,0,0,0,13,16
3233eefd,182,11,10,0,1,0,1,0,0,0,0,0,0
32f60ed8,315,19,4,4,4,17,0,9,4,5,0,2,7
3312f911,642,13,3,3,3,17,8,0,0,0,0,3,24
33508c78,185,11,8,4,2,1,2,1,1,0,0,2,1
33af5b9e,490,41,12,2,2,85,3,26,19,4,1,6,24
34ccf6fa,190,158,46,0,0,0,0,0,0,0,0,2,0
3515d404,717,170,43,0,5,145,22,92,58,31,1,5,13
356a9a62,59,1,1,0,1,1,0,0,0,0,0,0,0
3626f7d9,806,28,27,1,5,1,1,0,0,0,0,2,8
36c2ca73,399,268,79,0,1,0,0,0,0,0,0,1,1
3727dd3c,592,89,54,4,18,50,3,31,14,14,1,4,12
3730fcbc,749,107,57,1,6,77,1,49,34,10,4,8,21
381d7d54,12,1,0,0,1,3,0,0,0,0,0,0,2
3831b9fe,120,26,1,0,0,8,25,0,0,0,0,0,6
38c7feef,13,0,0,0,0,0,0,0,0,0,0,0,0
3925dbd6,938,99,0,4,3,6,5,0,0,0,0,5,12
3935e52e,1008,216,11,3,4,51,202,3,1,1,0,5,49
39583cfd,725,63,14,8,3,62,8,9,4,1,0,5,37
3a24769f,941,27,4,4,7,7,7,0,0,0,0,3,14
3a949a25,749,424,101,0,2,0,0,0,0,0,0,2,2
